Name,Distance,Rating,Votes,Address,OriginFile
Kohinoor Masala Kirana Store Near Jhoola Maidan Agripada,0.16 KM,4.6,13 Votes,"Shop No 25 Fancy Market, Morland Road, Agripada, Mumbai - 400011, Near Jhoola Maidan",Agripada
Gupta General Store Agripada,0.1 KM,5.0,2 Votes,"20-22, A Prabhat Building, Agripada, Mumbai - 400011",Agripada
Dsouza Stores Agripada,,,0 Votes,"Shop No 16/11, Agripada, Mumbai - 400011",Agripada
Laxmi General Stores Near Agripada Police Station Agripada,0.12 KM,3.0,2 Votes,"Shop No 18,19,24, Prabhat Building, R B Chandorkar Marg, Agripada, Mumbai - 400011, Near Agripada Police Station",Agripada
Laxmi General Stores Near Aagripada Police Stations Mahalaxmi,0.12 KM,,0 Votes,"Shop No.18/19, Prabhat Sadan, R. B. C. Road, Mahalaxmi, Mumbai - 400011, Near Aagripada Police Stations",Agripada
Kanji Anand Chheda Agripada,0.13 KM,4.0,2 Votes,"B.I.T. Chawl Number 21,Shop Number 9, Madhav Rao Gangan Marg, Agripada, Mumbai - 400011",Agripada
Arihant Coldrinks Communication Agripada Agripada,0.14 KM,,0 Votes,"Bit Chawl No 25 Shop No 11, Agripada, Mumbai - 400011, Agripada",Agripada
Gupta General Stores Agripada Mahalaxmi,0.14 KM,4.5,2 Votes,"20/22A Plot 24/26 Prabhat Building, R B Chandoorkar Marg, Mahalaxmi, Mumbai - 400011, Agripada",Agripada
Sharan General Stores Fancy Market Agripada,0.14 KM,,0 Votes,"Shop No 15/16, Building No 15, Bit Chawl, Red Cross Street, Agripada, Mumbai - 400011, Fancy Market",Agripada
Navkar General Store Ice cream Parlour Opp Vokar Hospital Agripada,0.15 KM,,0 Votes,"Shop No 18, Grd Flr, Bit Chawl No 25, Red Cross Lane, Agripada, Mumbai - 400011, Opp Vokar Hospital",Agripada
