Name,Distance,Rating,Votes,Address,OriginFile
Kohinoor Masala Kirana Store Near Jhoola Maidan Agripada,0.16 KM,4.6,13 Votes,"Shop No 25 Fancy Market, Morland Road, Agripada, Mumbai - 400011, Near Jhoola Maidan",Agripada
Shree Ganesh Medical General Stores Near Jaccob Circle Mahalaxmi,0.69 KM,3.7,8 Votes,"Shop No 11, Masjid Chawl, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jaccob Circle",Agripada
Laxmi General Stores Opp Masjid Mahalaxmi,0.72 KM,3.5,7 Votes,"Shop No 7, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Opp Masjid",Agripada
Swati Grain Stores Mahalaxmi,1.17 KM,4.8,6 Votes,"Shop No.2, Laxmi Pooja Appartment, D Wing, Saatrasta, J. R. Boricha Marg, Mahalaxmi, Mumbai - 400011",Agripada
Kalpana Grain Stores,1.32 KM,5.0,5 Votes,"43/44, Ananad Estate, 452, 454, Jacob Circle, Nm Joshi Marg, Mumbai - 400011",Agripada
Nutan Medical General Stores Near Apollo Mills Mark Classes Chinchpokli,1.48 KM,4.3,14 Votes,"390-A, Shop No 2, Laxmi Niwas, N M Joshi Marg, Chinchpokli, Mumbai - 400011, Near Apollo Mills & Mark Classes",Agripada
Global Enterprises Opp Voltas Chinchpokli,1.62 KM,5.0,6 Votes,"5, Dattakrupa HSG Society, Dr Babasaheb Ambedkar Road, Chinchpokli, Mumbai - 400011, Opp Voltas",Agripada
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.77 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital",Altamound Road
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.17 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital",Altamound Road
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.26 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building",Altamound Road
Nutan Stores Near Jaslok Hospital Breach Candy,0.68 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital",Altamound Road
Bharat Stores Next to Jaslok Hospital Pedder Road,0.68 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital",Altamound Road
Amit Stores Mahalaxmi Breach Candy,1.3 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi",Altamound Road
Raveesons Breach Candy,1.2 KM,3.6,19 Votes,"42 A, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026",Altamound Road
