Patel Brothers Opp Sai Baba Mandir Kandivali East,0.88 KM,4.1,7 Votes,"Shop No 03 New Shopping Center, Thakur Village, Kandivali East, Mumbai - 400101, Opp Sai Baba Mandir",https://www.justdial.com/Mumbai/Patel-Brothers-Opp-Sai-Baba-Mandir-Kandivali-East/022PXX22-XX22-120731103014-A2V6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Balaji General Stores Near Dream Park Kandivali East,0.9 KM,3.8,5 Votes,"Shop No.6,EMP 61,SUN BUILDING, Thakur Village Road, Kandivali East, Mumbai - 400101, Near Dream Park",https://www.justdial.com/Mumbai/Balaji-General-Stores-Near-Dream-Park-Kandivali-East/022PXX22-XX22-120720021749-G1U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Shilpa Chemist Near N G Suncity Thakur Village Kandivali East,1.39 KM,3.9,31 Votes,"Shop Number 24. D Wing N. G. Suncity Phase 1, Thakur Village-Kandivali East, Mumbai - 400101, Near N. G. Suncity",https://www.justdial.com/Mumbai/Shilpa-Chemist-Near-N-G-Suncity-Thakur-Village-Kandivali-East/022PXX22-XX22-120403013035-M7J7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Rumit General Stores Sahkar Gram Behind Esis Hospital Ashok Nagar kandivali East,1.61 KM,4.3,15 Votes,"Shop No 07, Sabarmati Apartment, Ashok Nagar-kandivali East, Mumbai - 400101, Sahkar Gram, Behind Esis Hospital",https://www.justdial.com/Mumbai/Rumit-General-Stores-Sahkar-Gram-Behind-Esis-Hospital-Ashok-Nagar-kandivali-East/022PXX22-XX22-120928012433-U2D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Shree Ashapura Super Market Near Lokhandwala Circle Kandivali East,1.74 KM,3.7,11 Votes,"Shop No 5, Raj Tower, Kandivali East, Mumbai - 400101, Near Lokhandwala Circle",https://www.justdial.com/Mumbai/Shree-Ashapura-Super-Market-Near-Lokhandwala-Circle-Kandivali-East/022PXX22-XX22-140223104251-F9T3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

New Ramdev General Stores Near Cambridge School Thakur Complex kandivali East,0.27 KM,4.3,7 Votes,"Shop No 13, Gokul Accord, Western Express Highway, Thakur Complex-kandivali East, Mumbai - 400101, Near Cambridge School",https://www.justdial.com/Mumbai/New-Ramdev-General-Stores-Near-Cambridge-School-Thakur-Complex-kandivali-East/022P2400780_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Krishna Provision Stores Opposite Surbhi Hotel Thakur Complex kandivali East,0.39 KM,3.6,6 Votes,"Vasant Samruti Building, Shop No 24, 90 Feet Road, Thakur Complex-kandivali East, Mumbai - 400101, Opposite Surbhi Hotel",https://www.justdial.com/Mumbai/Krishna-Provision-Stores-Opposite-Surbhi-Hotel-Thakur-Complex-kandivali-East/022P1918709_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Murlidhar Stores Near Dattani Park Kandivali East,0.47 KM,4.5,11 Votes,"Shop No 8, Kanchan Ganga Biulding,, Western Eastern Highway, Kandivali East, Mumbai - 400101, Near Dattani Park",https://www.justdial.com/Mumbai/Murlidhar-Stores-Near-Dattani-Park-Kandivali-East/022PXX22-XX22-171101213517-I6J4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0,Kandivali east

Pawan Super Shopee Sector 2 Kandivali West,1.92 KM,4.1,29 Votes,"Shop No 2/3/4, Rukmini Building, Plot No 36, Kandivali West, Mumbai - 400067, Sector 2",https://www.justdial.com/Mumbai/Pawan-Super-Shopee-Sector-2-Kandivali-West/022PXX22-XX22-160229081100-H5T4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

Noble Super Market Off New Link Road Kandivali West,0.43 KM,4.0,17 Votes,"Shop No 9, Orchid Suburban Ptc Building, Bunder Pakhadi Road, Kandivali West, Mumbai - 400067, Off New Link Road",https://www.justdial.com/Mumbai/Noble-Super-Market-Off-New-Link-Road-Kandivali-West/022PXX22-XX22-160610083025-N8Z5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

New Meghdhanush Medical General Store Opposite Humlog Society Kandivali West,0.98 KM,4.3,195 Votes,"Shop No 19 & 20,Kamal Apartment,Neelambuj,, Shankar Lane, Kandivali West, Mumbai - 400067, Opposite Humlog Society,",https://www.justdial.com/Mumbai/New-Meghdhanush-Medical-General-Store-Opposite-Humlog-Society-Kandivali-West/022PXX22-XX22-110918224455-H3N3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

All India Medical General Services Dahanukar Wadi Kandivali West,0.21 KM,4.0,35 Votes,"Shop 4/5, Ground Floor, Dattatray Apartment, M G Road, Kandivali West, Mumbai - 400067, Dahanukar Wadi",https://www.justdial.com/Mumbai/All-India-Medical-General-Services-Dahanukar-Wadi-Kandivali-West/022PXX22-XX22-130214122124-G6E7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

J D Brothers Kandivali West,1.41 KM,4.0,49 Votes,"Shop 1, Shiv Plaza, Station Road, Kandivali West, Mumbai - 400067",https://www.justdial.com/Mumbai/J-D-Brothers-Kandivali-West/022PK030712_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

Jeevan Jyoti Medical Stores Near Dr Mina Rane Charkop Sector 1 Kandivali West,1.69 KM,4.1,155 Votes,"Shop No 2, Priya Darshani Co Operative Housing Society, Plot 111, Kandivali West, Mumbai - 400067, Near Dr Mina Rane, Charkop, Sector 1",https://www.justdial.com/Mumbai/Jeevan-Jyoti-Medical-Stores-Near-Dr-Mina-Rane-Charkop-Sector-1-Kandivali-West/022P1232728247E6Q9M3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

Poornima Medical General Store Near Nirmal collage Kandivali West,0.36 KM,4.3,30 Votes,"Shop No B 1, Samrudhi Shopping Centre, M G Road, Kandivali West, Mumbai - 400067, Near Nirmal collage",https://www.justdial.com/Mumbai/Poornima-Medical-General-Store-Near-Nirmal-collage-Kandivali-West/022P1233745913D6W5A4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0,Kandivali west

