Name,Distance,Rating,Votes,Address,Website,OriginFile
Kohinoor Masala Kirana Store Near Jhoola Maidan Agripada,0.16 KM,4.6,13 Votes,"Shop No 25 Fancy Market, Morland Road, Agripada, Mumbai - 400011, Near Jhoola Maidan",https://www.justdial.com/Mumbai/Kohinoor-Masala-Kirana-Store-Near-Jhoola-Maidan-Agripada/022PXX22-XX22-180201164014-E1C2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Gupta General Store Agripada,0.1 KM,5.0,2 Votes,"20-22, A Prabhat Building, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Gupta-General-Store-Agripada/022PXX22-XX22-161018164937-J4Z3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Dsouza Stores Agripada,,,0 Votes,"Shop No 16/11, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Dsouza-Stores-Agripada/022PXX22-XX22-180312180753-Z5J3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Laxmi General Stores Near Agripada Police Station Agripada,0.12 KM,3.0,2 Votes,"Shop No 18,19,24, Prabhat Building, R B Chandorkar Marg, Agripada, Mumbai - 400011, Near Agripada Police Station",https://www.justdial.com/Mumbai/Laxmi-General-Stores-Near-Agripada-Police-Station-Agripada/022PXX22-XX22-130107134529-E2K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Laxmi General Stores Near Aagripada Police Stations Mahalaxmi,0.12 KM,,0 Votes,"Shop No.18/19, Prabhat Sadan, R. B. C. Road, Mahalaxmi, Mumbai - 400011, Near Aagripada Police Stations",https://www.justdial.com/Mumbai/Laxmi-General-Stores-Near-Aagripada-Police-Stations-Mahalaxmi/022PXX22-XX22-160722125247-Y4S1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kanji Anand Chheda Agripada,0.13 KM,4.0,2 Votes,"B.I.T. Chawl Number 21,Shop Number 9, Madhav Rao Gangan Marg, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Kanji-Anand-Chheda-Agripada/022PXX22-XX22-181204051807-B3E2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Arihant Coldrinks Communication Agripada Agripada,0.14 KM,,0 Votes,"Bit Chawl No 25 Shop No 11, Agripada, Mumbai - 400011, Agripada",https://www.justdial.com/Mumbai/Arihant-Coldrinks-Communication-Agripada-Agripada/022PXX22-XX22-110203005129-R1W9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Gupta General Stores Agripada Mahalaxmi,0.14 KM,4.5,2 Votes,"20/22A Plot 24/26 Prabhat Building, R B Chandoorkar Marg, Mahalaxmi, Mumbai - 400011, Agripada",https://www.justdial.com/Mumbai/Gupta-General-Stores-Agripada-Mahalaxmi/022PXX22-XX22-120303025541-P3Y4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Sharan General Stores Fancy Market Agripada,0.14 KM,,0 Votes,"Shop No 15/16, Building No 15, Bit Chawl, Red Cross Street, Agripada, Mumbai - 400011, Fancy Market",https://www.justdial.com/Mumbai/Sharan-General-Stores-Fancy-Market-Agripada/022PXX22-XX22-140625165304-K9B4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Navkar General Store Ice cream Parlour Opp Vokar Hospital Agripada,0.15 KM,,0 Votes,"Shop No 18, Grd Flr, Bit Chawl No 25, Red Cross Lane, Agripada, Mumbai - 400011, Opp Vokar Hospital",https://www.justdial.com/Mumbai/Navkar-General-Store-Ice-cream-Parlour-Opp-Vokar-Hospital-Agripada/022PXX22-XX22-150423171735-I8G9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Laxmi Stores Near Fancy Market Agripada,0.16 KM,,0 Votes,"B I T Chawl, M G Marg, Agripada, Mumbai - 400011, Near Fancy Market",https://www.justdial.com/Mumbai/Laxmi-Stores-Near-Fancy-Market-Agripada/022PXX22-XX22-190413225022-Y9U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Swastik General Stores Agripada,0.18 KM,,0 Votes,"Shop No 34-35, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Swastik-General-Stores-Agripada/022PXX22-XX22-180227132046-G2S6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Chintan Stores Opposite Parsi Colony Agripada,0.2 KM,4.8,2 Votes,"Shop No 6, Dr Anand Rao Nair Road, Agripada, Mumbai - 400011, Opposite Parsi Colony",https://www.justdial.com/Mumbai/Chintan-Stores-Opposite-Parsi-Colony-Agripada/022P1224357313P2Y4E3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Redij general store Agripada,0.23 KM,,0 Votes,"sai society, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Redij-general-store-Agripada/022PXX22-XX22-140630152432-A3A8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Anas Ansar store Near Jhoola Maidan Agripada,0.25 KM,,0 Votes,"Latif Khan building, Maulana Azad road, Agripada, Mumbai - 400011, Near Jhoola Maidan",https://www.justdial.com/Mumbai/Anas-Ansar-store-Near-Jhoola-Maidan-Agripada/022PXX22-XX22-160722160108-B6W8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Baba Masala Store Rangwala Market Agripada,0.26 KM,,0 Votes,"Shop No 17/18, Morland Road, Agripada, Mumbai - 400011, Rangwala Market",https://www.justdial.com/Mumbai/Baba-Masala-Store-Rangwala-Market-Agripada/022PXX22-XX22-180227131938-M9A8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Bismillah Soap Opp Kala Pani Chauki Agripada,0.28 KM,4.0,3 Votes,"Shop No. 78 C, Maulana Azad Road, Agripada, Mumbai - 400011, Opp Kala Pani Chauki",https://www.justdial.com/Mumbai/Bismillah-Soap-Opp-Kala-Pani-Chauki-Agripada/022PXX22-XX22-140801121930-V8E3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Rawnak General Store Apsara Hotel Agripada,0.33 KM,,0 Votes,"Hingwali Chawl Shop No. 6w, M.A. Road, Agripada, Mumbai - 400011, Apsara Hotel",https://www.justdial.com/Mumbai/Rawnak-General-Store-Apsara-Hotel-Agripada/022PXX22-XX22-160322172652-X4Z8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Daksha General Stores Agripada,0.33 KM,4.0,3 Votes,"Llal Gali, Ghas Bazar, Rto Colony, Dr Anandrao Nair Marg, Agripada, Mumbai - 400011",https://www.justdial.com/Mumbai/Daksha-General-Stores-Agripada/022PXX22-XX22-200626101114-G1E8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Anita General Store Opposite Jila Maidan Agripada,0.37 KM,,0 Votes,"BIT Chawl No.02 Shop No 11, Agripada, Mumbai - 400011, Opposite Jila Maidan",https://www.justdial.com/Mumbai/Anita-General-Store-Opposite-Jila-Maidan-Agripada/022PXX22-XX22-140630143938-S1Z2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Noor Medical General Stores Jacob Circle Agripada,0.62 KM,5.0,1 Votes,"Agripada, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Noor-Medical-General-Stores-Jacob-Circle-Agripada/022PXX22-XX22-120124150756-K1V6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
