Name,Distance,Rating,Votes,Address,Website,OriginFile
Kohinoor Masala Kirana Store Near Jhoola Maidan Agripada,0.16 KM,4.6,13 Votes,"Shop No 25 Fancy Market, Morland Road, Agripada, Mumbai - 400011, Near Jhoola Maidan",https://www.justdial.com/Mumbai/Kohinoor-Masala-Kirana-Store-Near-Jhoola-Maidan-Agripada/022PXX22-XX22-180201164014-E1C2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Shree Ganesh Medical General Stores Near Jaccob Circle Mahalaxmi,0.69 KM,3.7,8 Votes,"Shop No 11, Masjid Chawl, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jaccob Circle",https://www.justdial.com/Mumbai/Shree-Ganesh-Medical-General-Stores-Near-Jaccob-Circle-Mahalaxmi/022PF016286_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Laxmi General Stores Opp Masjid Mahalaxmi,0.72 KM,3.5,7 Votes,"Shop No 7, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Opp Masjid",https://www.justdial.com/Mumbai/Laxmi-General-Stores-Opp-Masjid-Mahalaxmi/022PXX22-XX22-160520163802-C2D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Swati Grain Stores Mahalaxmi,1.17 KM,4.8,6 Votes,"Shop No.2, Laxmi Pooja Appartment, D Wing, Saatrasta, J. R. Boricha Marg, Mahalaxmi, Mumbai - 400011",https://www.justdial.com/Mumbai/Swati-Grain-Stores-Mahalaxmi/022PXX22-XX22-181203232831-I8U8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kalpana Grain Stores,1.32 KM,5.0,5 Votes,"43/44, Ananad Estate, 452, 454, Jacob Circle, Nm Joshi Marg, Mumbai - 400011",https://www.justdial.com/Mumbai/Kalpana-Grain-Stores/022PXX22-XX22-181204044950-Q2Y1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Nutan Medical General Stores Near Apollo Mills Mark Classes Chinchpokli,1.48 KM,4.3,14 Votes,"390-A, Shop No 2, Laxmi Niwas, N M Joshi Marg, Chinchpokli, Mumbai - 400011, Near Apollo Mills & Mark Classes",https://www.justdial.com/Mumbai/Nutan-Medical-General-Stores-Near-Apollo-Mills-Mark-Classes-Chinchpokli/022PXX22-XX22-130214123955-Z8K8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Global Enterprises Opp Voltas Chinchpokli,1.62 KM,5.0,6 Votes,"5, Dattakrupa HSG Society, Dr Babasaheb Ambedkar Road, Chinchpokli, Mumbai - 400011, Opp Voltas",https://www.justdial.com/Mumbai/Global-Enterprises-Opp-Voltas-Chinchpokli/022PXX22-XX22-170629154101-F4U9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.77 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Next-to-Amarsons-Opposite-Breach-Candy-Hospital-Breach-Candy/022P651756_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.17 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital",https://www.justdial.com/Mumbai/Diamond-Stores-Opp-ACI-Cumballa-Hospital-Kemps-Corner/022PXX22-XX22-000038290740-E7G8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.26 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building",https://www.justdial.com/Mumbai/Bhimshi-Vershi-Company-Opp-Nalanda-Building-Pedder-Road/022P1224363455R7G4G7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Nutan Stores Near Jaslok Hospital Breach Candy,0.68 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital",https://www.justdial.com/Mumbai/Nutan-Stores-Near-Jaslok-Hospital-Breach-Candy/022P5648648_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Bharat Stores Next to Jaslok Hospital Pedder Road,0.68 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital",https://www.justdial.com/Mumbai/Bharat-Stores-Next-to-Jaslok-Hospital-Pedder-Road/022P8904655_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Amit Stores Mahalaxmi Breach Candy,1.3 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi",https://www.justdial.com/Mumbai/Amit-Stores-Mahalaxmi-Breach-Candy/022PXX22-XX22-120312225447-A7A5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Raveesons Breach Candy,1.2 KM,3.6,19 Votes,"42 A, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026",https://www.justdial.com/Mumbai/Raveesons-Breach-Candy/022P1228835966M8F5W2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,1.67 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni",https://www.justdial.com/Mumbai/Kenorita-Supermarket-Opposite-Dariya-Mahal-Near-Priya-Darshni-Nepean-Sea-Road/022P8710505_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,1.25 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Opposite-Priyadarshini-Park-Nepean-Sea-Road/022PXX22-XX22-100916143840-J6F9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Manilal Provision Store Near Wiaa Club Malabar Hill,1.29 KM,4.1,65 Votes,"Shop No 23, David Sasson Chawl, 10 Ridge Road, Malabar Hill, Mumbai - 400006, Near Wiaa Club",https://www.justdial.com/Mumbai/Manilal-Provision-Store-Near-Wiaa-Club-Malabar-Hill/022P8403916_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Apna bazar Opposite Phadkewadi Ganpati Mandir Girgaon,1.8 KM,3.8,179 Votes,"Shop No 136, Tulsi Mansion Building, V P Road, Girgaon, Mumbai - 400004, Opposite Phadkewadi Ganpati Mandir",https://www.justdial.com/Mumbai/Apna-bazar-Opposite-Phadkewadi-Ganpati-Mandir-Girgaon/022PXX22-XX22-120731121224-X9W2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
