Name,Distance,Rating,Votes,Address
Godrej Natures Basket Opposite Mahalaxmi Temple Near Nalli Sarees Warden Road,1.25 KM,4.1,1290 Votes,"Shop No.8, Ground Floor, Tirupati Apartment, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Opposite Mahalaxmi Temple, Near Nalli Sarees"
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.77 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital"
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.17 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital"
New Vijay Store Behind Jas Lok Hospital Pedder Road,,4.0,2 Votes,"Shop No:01, 31D, Bhavisha Darshan Building, Altamount Road, Pedder Road, Mumbai - 400026, Behind Jas Lok Hospital"
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.26 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building"
Nutan Stores Near Jaslok Hospital Breach Candy,0.68 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital"
Bharat Stores Next to Jaslok Hospital Pedder Road,0.68 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital"
Amit Stores Mahalaxmi Breach Candy,1.3 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi"
Bhaskar Store Near Jaslok Hospital Pedder Road,0.69 KM,5.0,1 Votes,"Sukh Shanti Building, Blg No. 2, Shop No. 5, Pedder Road, Mumbai - 400026, Near Jaslok Hospital"
Navrang Dhanya Bhandar Near Shobha Hotel Warden Road,1.45 KM,,0 Votes,"Shop No 6, K P Trust Building, B 30 Road, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Near Shobha Hotel"
Nutan Stores Near Parsi General Hospital Breach Candy,0.45 KM,,0 Votes,"Shop No 7, Bhomanji Road, Breach Candy, Mumbai - 400026, Near Parsi General Hospital"
Singer Jewellers Pedder Road,0.35 KM,3.2,8 Votes,"Jewellers Appartment, Shahid Bhagat Singh Nagar, Cumballa Hill, Pedder Road, Mumbai - 400026"
Pushpa Niketan Oppsoite St Stephen Church Breach Candy,0.43 KM,,0 Votes,"162, Chinoy Mansion, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Oppsoite St Stephen Church"
Mahalaxmi General Store Warden Road,,,0 Votes,"Shop No 6, Dariya Sagar Rahiwasi Sangh,, Bhulabhai Desai Road, Warden Road, Mumbai - 400026"
Keshavji Padamshi Grocery Stores Near Mahalaxmi Temple Breach Candy,,,0 Votes,"Shope No 1 Ram Das Bansali Chawl, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Near Mahalaxmi Temple"
Bhatkar Store Near Jslok Hospital Pedder Road,,,0 Votes,"Shop No.5 Sukhshanti Building No.19, Dhanukar Marg, Pedder Road, Mumbai - 400026, Near Jslok Hospital"
Society Store Next to Noble Plus Opposite Antilia Pedder Road,,,0 Votes,"Altamount Road, Pedder Road, Mumbai - 400026, Next to Noble Plus, Opposite Antilia"
Supar Market Chheda N g Road Corner Pedder Road,1.07 KM,4.0,1 Votes,"4-b Pedder Road, Pedder Road, Mumbai - 400026, N.g. Road Corner"
Raveesons Breach Candy,1.2 KM,3.6,19 Votes,"42 A, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026"
Monarch Dry Fruit Opposite Sheetal Baug Bus Stop Walkeshwar,1.42 KM,3.8,43 Votes,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop"
Reliance Fresh Opposite Shagun Hotel Navjeevan Society Mumbai Central,1.23 KM,3.8,924 Votes,"Central City Mall, Santoshi Mata Durga Co Operative Housing Society, Parekh Holding, Lamington Road, Mumbai Central, Mumbai - 400008, Opposite Shagun Hotel & Navjeevan Society"
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,1.67 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni"
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,1.25 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park"
Manilal Provision Store Near Wiaa Club Malabar Hill,1.29 KM,4.1,65 Votes,"Shop No 23, David Sasson Chawl, 10 Ridge Road, Malabar Hill, Mumbai - 400006, Near Wiaa Club"
Apna bazar Opposite Phadkewadi Ganpati Mandir Girgaon,1.8 KM,3.8,179 Votes,"Shop No 136, Tulsi Mansion Building, V P Road, Girgaon, Mumbai - 400004, Opposite Phadkewadi Ganpati Mandir"
Welcome General Store Near Shayadri Guest House Malabar Hill,1.4 KM,4.3,99 Votes,"Shop No 1-1A, Mini Sudarshan Building, 22, LD Ruparel Marg, Malabar Hill, Mumbai - 400006, Near Shayadri Guest House"
Apna Bazar Opposite Fire Brigade Nana Chowk Grant Road,0.57 KM,3.9,10 Votes,"Ness Baug Building, Grant Road, Mumbai - 400007, Opposite Fire Brigade, Nana Chowk"
Kamdhenu Gowalia Tank Kemps Corner,0.2 KM,4.2,55 Votes,"Shop No. 20, Warden Court Building, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Gowalia Tank"
Jai Bharat Store Near Bhatia Hospital Grant Road,0.61 KM,3.2,20 Votes,"1/6 Talmaki Wadi 235 F, Tardeo Road, Grant Road, Mumbai - 400007, Near Bhatia Hospital"
Devshi Nathubhai Co Near Grant Road Railway Station Grant Road,0.73 KM,4.1,19 Votes,"Shop No 6, 36 D, Avishkar Building, Sleater Road, Grant Road, Mumbai - 400007, Near Grant Road Railway Station"
Geetanjali Super Market Opposite Brahman Sabha R R M Roy Marg Charni Road,1.44 KM,4.0,108 Votes,"3/4, Suratwala Building,211, Raja Ram Mohan Roy Marg, Charni Road, Mumbai - 400004, Opposite Brahman Sabha, R R M Roy Marg"
Patel Brothers Novelty Cinema Grant Road,1.53 KM,4.2,3 Votes,"Shop No 391b, Lt Market, Grant Road, Mumbai - 400007, Novelty Cinema"
