Name,Distance,Rating,Votes,Address
New Nutan Provisional Store Opposite BMC Hospital Near Dena Bank Beside Marol Fire Brigade Andheri East,0.77 KM,4.2,3 Votes,"Marol Unit, Marol Village Road, Andheri East, Mumbai - 400059, Opposite BMC Hospital, Near Dena Bank, Beside Marol Fire Brigade"
Lucky Stores Opposite Sevenhills Hospital Near Agrwal Sweets Andheri East,1.23 KM,4.1,197 Votes,"Shop No 17, Premavati Anand Compound, Military Road, Andheri East, Mumbai - 400059, Opposite Sevenhills Hospital Near Agrwal Sweets"
Real Super Market Near Vijay Nagar Opposite Vicent Pollotty Church Andheri East,1.53 KM,4.1,47 Votes,"Shop No 5, Vijay Tower, Marol Marosi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar, Opposite Vicent Pollotty Church"
Colony Stores J B Nagar Andheri East,0.49 KM,4.0,21 Votes,"Shop No 4, 80 Bagadka Chawl, Andheri East, Mumbai - 400069, J B Nagar"
Rajwadi Super Stores Near Bagarka College Jb Nagar andheri East,0.42 KM,3.8,62 Votes,"Shop No 1, Narayani Bhavan, Swami Bagarka Road, Jb Nagar-andheri East, Mumbai - 400059, Near Bagarka College"
Mahaveer Super Market Chakala Junction Andheri East,,,0 Votes,"Shop No 2 & 3, Plot No 487, Andheri East, Mumbai - 400099, Chakala Junction"
Shashi Medical Seepz MIDC Next to Aakruti Center Point Andheri East,1.02 KM,4.3,45 Votes,"Shop No D-14, Central Road , MIDC, Andheri East, Mumbai - 400093, Seepz, MIDC, Next to Aakruti Center Point"
A Mart Super Market Near Canossa Convent School Shere Punjab Mahakali Andheri East,1.79 KM,3.9,448 Votes,"Shop No 3,4,5 Sapher Building, Mahakali Cross Road, Mahakali-Andheri East, Mumbai - 400093, Near Canossa Convent School & Shere Punjab"
Shanti General Store Near By Jain Mandir Andheri East,0.34 KM,4.2,5 Votes,"Mehul Apartment, Bhagwan Mahaveer Marg, Andheri East, Mumbai - 400059, Near By Jain Mandir"
Suryavanshi Super Market Opposite Check Inn Hotel Near Cigarate Factory Andheri East,1.19 KM,3.5,2 Votes,"Shop No, 2 & 3, Plot No, 3 Krishna Building T, Tarun Bharat Road Chakala, Andheri East, Mumbai - 400099, Opposite Check Inn Hotel & Near Cigarate Factory"
Gala General Stores Near Parsiwada Busstop Opposite New Airport Colony Andheri East,1.58 KM,2.8,3 Votes,"Shop No.2,Koldongri CHS Soc, Sahar Road, Andheri East, Mumbai - 400099, Near Parsiwada Busstop,Opposite New Airport Colony"
Devki General Stores Near Jb nagar circle Andheri East,0.68 KM,,0 Votes,"monarch society, Sri Nivas Bagarka marg, Andheri East, Mumbai - 400059, near Jb nagar circle"
Savla General Store Near Off marol Maroshi Road Near Bus Stop Marol Village Andheri East,0.83 KM,4.2,34 Votes,"Shop No -1, Marol Village Road, Andheri East, Mumbai - 400059, Near Off.marol Maroshi Road, Near Bus Stop, Marol Village"
Ganesh General Stores Near seven hill hospital Marol Pipeline Andheri East,1.04 KM,4.4,34 Votes,"Shop no 1 and 2, Marol Maroshi Road, Marol Pipeline-Andheri East, Mumbai - 400059, Near seven hill hospital"
Super Janta Stores Near Holy Family Church Andheri East,1.34 KM,3.6,14 Votes,"Shop No 4 Grace Chamber, Sir M. V Road, Andheri East, Mumbai - 400093, Near Holy Family Church"
Shivam General Stores Near Mukund Hospital Andheri East,0.1 KM,,0 Votes,"Shop No. 6 Sushila Complex, Oppo. Mukund Nagar, Andheri East, Mumbai - 400059, Near Mukund Hospital"
Anmol Medical Andheri East,,3.5,2 Votes,"Andheri East, Mumbai - 400059"
LUCKY STORE Seven Hills Andheri East,,4.2,3 Votes,"Shop No 1 Marol Military Road Junction, Andheri East, Mumbai - 400059, Seven Hills"
Patel Bakery And General Store Bombay Cambridge School Andheri East,1.09 KM,4.4,12 Votes,"2/cicila Cottage Dewalwadi Chakala, Bombay Cambridge Road, Andheri East, Mumbai - 400099, Bombay Cambridge School"
Royal Bakery General Store Near Our Lady High School Andheri East,1.28 KM,4.3,4 Votes,"Shop No 1 Sahar Village Road No 3, Talav Pakhadi Road, Andheri East, Mumbai - 400099, Near Our Lady High School"
Suryavanshi General Store Near Icici Bank Andheri East,1.76 KM,,0 Votes,"Shop No 2, Sai Dalit Seva Sangh, Midc Road, Subhash Nagar 2, Andheri East, Mumbai - 400093, Near Icici Bank"
Deepak General Stores Near Holy Spirit Hospital Andheri East,1.94 KM,4.0,1 Votes,"Bajrang Chawl, Mahakali Caves Road, Andheri East, Mumbai - 400059, Near Holy Spirit Hospital"
New Riddhi Siddhi Medical General Store Opp sugun hospital near twin arcade building Andheri East,1.33 KM,4.3,4 Votes,"Shop No 7, B Wing, Twin Arcade, Marol military road, Andheri East, Mumbai - 400059, Opp sugun hospital near twin arcade building"
Diamond Medical General Store Near Vijay Nagar Bus Stop Andheri East,1.49 KM,4.5,14 Votes,"Building No E-4, Shop No 5, Naina Vijay Co-Operative Housing Society Limited, Marol Maroshi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar Bus Stop"
Irfan Bakery Khadi No 3 Sakinaka Andheri East,,,0 Votes,"Ware Gali, Andheri Ghatkopar Link Road, Andheri East, Mumbai - 400072, Khadi No 3, Sakinaka"
