Name,Distance,Rating,Votes,Address
Sapan Papadwala General Stores Opposite to Adarsh Baug Hotel Kalbadevi,0.46 KM,4.3,192 Votes,"88 Manohar Bhavan, Shop No 3, Dr A M Road, Bhuleshwar Road, Kalbadevi, Mumbai - 400002, Opposite to Adarsh Baug Hotel"
Deval General Store Near Central Bank Bhuleshwar,,,0 Votes,"23, Dauji Building, Dr A M Road, Bhuleshwar, Mumbai - 400002, Near Central Bank"
Mahamdi Store Bhuleshwar,0.1 KM,5.0,4 Votes,"Ali Umar St, Marine Lines East, Gulal Wadi, Bhuleshwar, Mumbai - 400002"
We Care Medical General Stores Near Gulalwadi Circle Gulal Wadi Bhuleshwar,0.14 KM,4.5,4 Votes,"192, Hasham Mansion Brigadier Usman Marg, Null Bazar,, Gulal Wadi-Bhuleshwar, Mumbai - 400002, Near Gulalwadi Circle"
Afzal Store Bhuleshwar,0.17 KM,1.0,2 Votes,"149, Gulal Wadi, Erskline Road, Bhuleshwar, Mumbai - 400002"
Agrawal Dryfruit General Stores Opp 2nd Bhoiwada Bhuleshwar Kalbadevi,0.3 KM,,0 Votes,"41/A Balaji Ramji Bldg, Kalbadevi, Mumbai - 400002, Opp 2nd Bhoiwada Bhuleshwar"
Shree Giriraj Stores Near Kaburtarkhana Kalbadevi,0.77 KM,1.5,2 Votes,"142 M K N Shop No 4,5,6 Lalbaba Mandir, Bhuleshwar Road, Kalbadevi, Mumbai - 400002, Near Kaburtarkhana"
Balmukund General Stores Bhuleshwar Kalbadevi,,,0 Votes,"51/53, Dr A M Road, Kalbadevi, Mumbai - 400002, Bhuleshwar"
Shreenathji Stores Near Kabutar Khana Bhuleshwar,0.31 KM,,0 Votes,"142/B, Shop No 5/6, Lalbaba Mandir, Bhuleshwar Road, Bhuleshwar, Mumbai - 400002, Near Kabutar Khana"
Salunke Bandhu Near Vegetable Market Chira Bazar kalbadevi,0.96 KM,4.1,7 Votes,"Shop No 509, Sona Chambers, J S S Road, Chira Bazar-kalbadevi, Mumbai - 400002, Near Vegetable Market"
Gayatri Dryfruits General Stores Near Chira Bazar Kalbadevi,0.92 KM,4.5,8 Votes,"17 Jaydevi Niwas, Dr M B Velkar St, Kalbadevi, Mumbai - 400002, Near Chira Bazar"
Rolex Chemists Near Signal Opposite Geeta Bhavan Princess Street,1.11 KM,4.0,10 Votes,"Shop No 221, Anant Building, S G Road, Princess Street, Mumbai - 400002, Near Signal, Opposite Geeta Bhavan"
Parle Value Shoppe Dhobi Talao,1.19 KM,4.5,2 Votes,"Shop No 3, Pandya Mansion, 625, J S S Road, Dhobi Talao, Mumbai - 400002"
Shree Ganesh General Stores Metro Cinema Dhobi Talao,1.32 KM,4.0,3 Votes,"57/59, S S Gaikwad Road, Dhobi Talao, Mumbai - 400002, Metro Cinema"
All In One General Store Maheshwari Mata Mandir Sham Bhavan Navi Wadi Chira Bazar kalbadevi,0.76 KM,5.0,1 Votes,"Shop No 1, Building No 20, Dadi Seth Agyari Lane, Chira Bazar-kalbadevi, Mumbai - 400002, Maheshwari Mata Mandir, Sham Bhavan Navi Wadi"
Siddhi general tobacco store Opp charttered house Dhobi Talao,1.28 KM,4.0,1 Votes,"shop no 1 building no 288, dr.c.h. street, Dhobi Talao, Mumbai - 400002, opp charttered house"
Mahalaxmi General Stores Kalbadevi,0.62 KM,,0 Votes,"Kalbadevi, Mumbai - 400002"
Bharat Medical General Stores Thakurdwar Kalbadevi,0.84 KM,4.0,3 Votes,"No 312, J S S Road, Kalbadevi, Mumbai - 400002, Thakurdwar"
Shah Stores Near Balaji Temple Sitaram Poddar Marg Kalbadevi,,4.0,7 Votes,"59, 1st Fanaswadi Rele Building, Palekar Marg, Kalbadevi, Mumbai - 400002, Near Balaji Temple, Sitaram Poddar Marg"
Dhanalaxmi Kirana Store Near to Hita Bhavan Hotel Princess Street,1.12 KM,4.0,1 Votes,"Shop No -216, Sethna Building, Princess Street, Princess Street, Mumbai - 400002, Near to Hita Bhavan Hotel"
