Name,Distance,Rating,Votes,Address
Vishwas Store Saibaba Nagar borivali West,1.82 KM,4.3,48 Votes,"5, Kusumkala Cooperative Housing Society, Saibaba Mandir Road, Saibaba Nagar-borivali West, Mumbai - 400092"
Anupam Variety Store Opposite Borivali Railway Station Borivali West,0.46 KM,3.9,55 Votes,"Shop No 9, 10 BMC Market, S V Road, Borivali West, Mumbai - 400092, Opposite Borivali Railway Station"
D K Corporation Opposite Sanjay Ice Cream Opposite M K High School Borivali West,0.72 KM,4.2,118 Votes,"Shop No 1 & 2, D K House, Jambli Gully, Borivali West, Mumbai - 400092, Opposite Sanjay Ice Cream, Opposite M K High School"
Shree Damodar Medical General Stores Opposite Punjab Sind Bank Borivali West,0.91 KM,4.3,261 Votes,"Shop No 8/9,Atul Apartment, L T Road,Vaziranaka, Borivali West, Mumbai - 400091, Opposite Punjab & Sind Bank"
Bhagwati Medical General Store Near Corporation Bank IC Colony Borivali West,1.46 KM,4.1,188 Votes,"Shop No 4, Royal Tower, D P Link Road, IC Colony-Borivali West, Mumbai - 400103, Near Corporation Bank"
Bright General Stores Mulji Nagar Saibaba Road Borivali West,1.8 KM,4.1,129 Votes,"Shop No 8, Pancharatna Chs Ltd, Plot No 5, S V Road, Borivali West, Mumbai - 400092, Mulji Nagar, Saibaba Road"
Venus General Stores Opposite Jawahar Oil Borivali West,1.11 KM,4.0,33 Votes,"D/26 Shop No 6, Yogi Nagar, Eksar Road, Yogi Nagar, Borivali West, Mumbai - 400091, Opposite Jawahar Oil"
Sweet Home Super Market Near Ganesh Temple Oppsite Cosmos Bank Borivali East,1.17 KM,4.1,333 Votes,"Shop No.6,7,8 Gangadhar Nagar CHS, Nancy Road, Borivali East, Mumbai - 400066, Near Ganesh Temple Oppsite Cosmos Bank"
Mahadev Medical General Stores Daulat Nagar Borivali East,0.76 KM,3.9,6 Votes,"Shop No 11,Shewta Park, Road No 2, Borivali East, Mumbai - 400066, Daulat Nagar"
Rex Super Market Near Corporation Bank Borivali West,1.46 KM,4.2,197 Votes,"Shop No.8 & 9, Royal Tower, IC Colony, D. P. Link Road, Borivali West, Mumbai - 400103, Near Corporation Bank"
Shree Arya Durga Medical General Stores Opposite Borivali Fire Brigade Borivali West,1.48 KM,4.1,68 Votes,"Shop No 5, Ranade Shopping Centre, L T Road, Borivali West, Mumbai - 400092, Opposite Borivali Fire Brigade"
Om Shraddha Medical General Store J Raj Nagar Borivali West,1.24 KM,4.0,24 Votes,"Shop No 4, Om Shraddha Co Operative Housing Society, Link Road, Borivali West, Mumbai - 400091, J Raj Nagar"
Shree Tirupati Drug House Saibaba Nagar Borivali West,1.86 KM,4.3,26 Votes,"Shop No 3, Saibaba Dham, SAI Baba Mandir Road, Borivali West, Mumbai - 400092, Saibaba Nagar"
Darshan Dairy Borivali East,1.7 KM,4.5,9 Votes,"Shop No 11, Ekta Bhoomi Garden, Dattapada Road, Borivali East, Mumbai - 400066"
Arihant Medical General Stores Opposite Pragati High School Borivali West,1.82 KM,3.9,63 Votes,"Shop No 1, Plot No 87, Gorai Manas Co Operative Housing Society Ltd, Gorai-2, Borivali West, Mumbai - 400091, Opposite Pragati High School"
Navkar Provision Stores SAI Baba Nagar Nr Battiya School Borivali West,1.96 KM,3.8,15 Votes,"Shop No 4 Bahubali Tower, Borivali West, Mumbai - 400092, SAI Baba Nagar Nr Battiya School"
Centre Point Opposite Railway Station Borivali West,0.51 KM,3.6,4 Votes,"37, Goyal Shopping Centre, Borivali West, Mumbai - 400092, Opposite Railway Station"
Maru General Stores Near Sai Sadan Carter Road No 3 Borivali East,0.87 KM,3.6,9 Votes,"2 Borivali Rakhi Sra Society Ltd B Wing, Borivali Ea, Borivali East, Mumbai - 400066, Near Sai Sadan Carter Road No.3"
Janta Provision Stores Yogi Nagar Borivali West,1.16 KM,4.0,72 Votes,"Shop No 3 D-15, Borivali West, Mumbai - 400091, Yogi Nagar"
Jayesh Medical General Store Opposite Gajanan Hotel Borivali East,0.79 KM,4.5,52 Votes,"Shop No 5, Rambhia Niwas, Main Kasturba Road, Station Road, Borivali East, Mumbai - 400066, Opposite Gajanan Hotel"
Vinay Store Kastur Park Near Suvarna Hospital Borivali West,1.23 KM,3.9,18 Votes,"Shiv Tirth Apartments, Shop No 3, Shimpoli Road, Borivali West, Mumbai - 400091, Kastur Park, Near Suvarna Hospital"
Shree Sai Baba General Provision Stores Near Police Station Borivali West,1.28 KM,3.2,3 Votes,"Shop No 2, Indrapuri Building, Link Road, Borivali West, Mumbai - 400092, Near Police Station"
Vishwas Stores Borivali West,1.43 KM,4.5,1 Votes,"Shop No 5 Kusumkala Shooping Center, Sai Baba Nagar, Borivali West, Mumbai - 400092"
Supreme Traders Nr Silver Coin Hotel IC Colony Borivali West,1.51 KM,3.8,15 Votes,"Shop No 1, Archie Betty Building, D.P. Link Road, IC Colony-Borivali West, Mumbai - 400103, Nr. Silver Coin Hotel"
Welcome Medical General Stores Near Citizen Bank I C Colony Borivali West,1.59 KM,4.4,64 Votes,"Shop No 3,Rozario Apartment, I C Colony, Borivali West, Mumbai - 400103, Near Citizen Bank, I C Colony"
Maharashtra Medical General Store Opp Dr Nayak Borivali West,1.08 KM,3.9,21 Votes,"Shop No -5 , Building B8, Yogi Prabhat, Yogi Nagar, Borivali West, Mumbai - 400091, Opp Dr. Nayak"
Ashapura Medico General Store Near Kastur Park Borivali West,1.27 KM,4.3,28 Votes,"Shop No.6, Madhusudan Terrace, Shimpoli Road, Haridas Road, Borivali West, Mumbai - 400092, Near Kastur Park,"
Jasmine Stores Near National Park Kulup Wadi Borivali East,1.27 KM,4.5,29 Votes,"Shop No 11, Ashoka Tower, Borivali East, Mumbai - 400066, Near National Park, Kulup Wadi"
Ramkrishna Medical General Store Opp J B Khot School Borivali West,1.98 KM,4.4,10 Votes,"Shop No.8, Bahubali Tower, Desai Seth Nagar, Near Saibaba Nagar, Borivali West, Mumbai - 400092, Opp. J B Khot School"
Aastha Medical General Stores Opp Hanuman Mandir Borivali East,0.68 KM,3.9,5 Votes,"Shop No.1Ground Floor SAI Shital Chs, Daulat Nagar S V Road Plot No.23Road No.5, Borivali East, Mumbai - 400066, Opp Hanuman Mandir"
Bharat Store Near Vazira Naka Borivali West,0.98 KM,4.7,55 Votes,"Shop No. 07, Sharda Estate Building, LT Road, Borivali West, Mumbai - 400092, Near Vazira Naka"
Nice Dry Fruit Farsan General Stores Near Karur Vaishya Bank Vazira Naka Borivali West,1.01 KM,3.4,5 Votes,"Shop No 2, Sunrise View Building, L.T. ROAD, Borivali West, Mumbai - 400091, Near Karur Vaishya Bank, Vazira Naka"
Ambika Stores Chemist and Druggist Opposite Welcome Hotel Borivali East,1.11 KM,3.5,6 Votes,"13, Lavkush Shopping Centre, Dattapada Road, Borivali East, Mumbai - 400066, Opposite Welcome Hotel"
Suryavanshi medical general store Opp rajendra Nagar Police Chawki Borivali East,1.28 KM,,0 Votes,"Shop No.7 , Durgadevi, Dattapada Road, Borivali East, Mumbai - 400066, Opp.rajendra Nagar Police Chawki"
Parivar Medical And General Stores Opposite Citibank Shantivan Borivali East,1.29 KM,4.6,8 Votes,"Shop No 7, Veena Cooperative Housing Society, Shantivan, Borivali East, Mumbai - 400066, Opposite Citibank,Shantivan"
Western Chemist Near Mary Immaculate Girls High School Ic Colony borivali West,1.6 KM,4.1,9 Votes,"Shop No 2, Hill Abode, L M Road, Ic Colony-borivali West, Mumbai - 400103, Near Mary Immaculate Girls High School"
Vijay Grain Stores Near Vijay Sales Showroom Borivali West,1.64 KM,4.3,13 Votes,"A-1, Hari Om Apartment, Shastri Nagar, S V Road, Borivali West, Mumbai - 400092, Near Vijay Sales Showroom"
Sagar Dry Fruit General Stores Near Mulji Nagar Borivali West,1.81 KM,5.0,4 Votes,"Shop No 3, Building No 3, Saibaba Mandir Road, Borivali West, Mumbai - 400092, Near Mulji Nagar"
Mangala Medical and General Store Near Borivali Railway Station Borivali West,0.49 KM,3.9,19 Votes,"Shop No 06, Dhanraj Bhavan, Lokmanya Tilak Road, Borivali West, Mumbai - 400092, Near Borivali Railway Station"
Alpa Medico General Store Near Shree Krishna Nagar Shantivan Colony Borivali East,1.13 KM,4.4,15 Votes,"Shop No 8, Shantidwar Building, S G Marg, Shantivan Colony-Borivali East, Mumbai - 400066, Near Shree Krishna Nagar"
Mahavir Medical General Store Near National Park Shantivan Borivali East,1.16 KM,4.1,10 Votes,"Shop No 4. Koyna Co Operative Housing Society, Sant Dnyaneshwar Marg,, Shantivan-Borivali East, Mumbai - 400066, Near National Park,"
Rishab Medical General Store Nearby Solitaire Honda Borivali East,1.65 KM,4.8,24 Votes,"Shop No 1Ekta Bhumi Garden Building6, Rajendra Nagar Road, Borivali East, Mumbai - 400066, Nearby Solitaire Honda"
Chirag Medical General Store Opposite HDFC Bank Ic Colony borivali West,1.68 KM,4.3,73 Votes,"Shop No 07, Rosemar Co-operative Hosuing Society, Holy Cross Road, Ic Colony-borivali West, Mumbai - 400103, Opposite HDFC Bank"
Shree Ganesh General Stores Near Govind Nagar Borivali West,0.13 KM,5.0,2 Votes,"Shop No 2, Rushi Villa Compound, Sodawala Lane, Borivali West, Mumbai - 400092, Near Govind Nagar"
Chheda Stores Next To Satyam Electronics Services Center Govind Nagar Borivali West,0.28 KM,,0 Votes,"Rushi Villa, Sodawala Lane, Govind Nagar-Borivali West, Mumbai - 400092, Next To Satyam Electronics Services Center"
Laxmi Kirana Store Near Vajira Naka Borivali West,,,0 Votes,"Gajananad Chawl, L T Road, Borivali West, Mumbai - 400092, Near Vajira Naka"
Sagar General Store Devki Nagar Eksar Opposite Tilak Complex Borivali West,0.3 KM,5.0,1 Votes,"Shop No 1, Swati Apartment, Borivali West, Mumbai - 400092, Devki Nagar, Eksar, Opposite Tilak Complex"
Shivlal Store Near BMC Office Borivali West,0.33 KM,,0 Votes,"Opp MTNL SVP Road, SVP Road, Borivali West, Mumbai - 400092, Near BMC Office"
Teju Gupta Chana Bhandar Opp Nakshatra Building Borivali West,0.35 KM,,0 Votes,"Chandavarkar Road, Borivali West, Mumbai - 400091, Opp Nakshatra Building"
Shiv general store Oop prem nagar garden Borivali West,0.39 KM,3.5,3 Votes,"Prem nagar bulding no.2 shop no. 1, Prem nagar rd., Borivali West, Mumbai - 400092, Oop prem nagar garden"
Shiv General Stores MCF Club Prem Nagar Borivali West,0.39 KM,3.5,3 Votes,"Shop No.1 Prem Nagar Building 2, S.V.P Road, Prem Nagar-Borivali West, Mumbai - 400091, MCF Club"
Maruti General Store Daulat Nagar Borivali East,0.43 KM,3.0,3 Votes,"Shop No 7, Bhagwan Nivas, Jain Mandir Road, Borivali East, Mumbai - 400066, Daulat Nagar"
Paresh General Stores Opposite Hongkong Bank Borivali West,0.47 KM,5.0,3 Votes,"Shop No.17, Shayadri Apartments,, L. T. Road, Borivali West, Mumbai - 400092, Opposite Hongkong Bank"
Deepak General Store Next to Apex Hospital Borivali West,0.48 KM,2.8,5 Votes,"Shop No. 03, Om Sagar Apartment, Chandavarkar Road,, Borivali West, Mumbai - 400092, Next to Apex Hospital,"
Meena Biscuits General Stores Near Gokul Hotel Borivali West,0.57 KM,5.0,2 Votes,"Shop No 7 Rokadia Apartment, Rokadia Lane, Borivali West, Mumbai - 400092, Near Gokul Hotel"
Shakti General Store Opposite Ram Mandir Borivali West,0.62 KM,4.5,2 Votes,"Jaganath Apartment 1, Shop No 1, Mandpeshwar Road, Borivali West, Mumbai - 400103, Opposite Ram Mandir"
Chheda Provision Store Opposite CKP Colony Borivali West,0.67 KM,3.9,6 Votes,"Shop No 5 Tulit Building Royal Complex, Eksar Road, Borivali West, Mumbai - 400092, Opposite CKP Colony"
Patel tobaco store Near police station Borivali East,0.7 KM,,0 Votes,"shop.no-6,SUKLA CHAWL, Main Carter road, Borivali East, Mumbai - 400066, near police station"
Mohammad Yusuf General Stores Opposite Shamshan Bhumi Daulat Nagar Sanjay Nagar Borivali East,0.9 KM,,0 Votes,"Shop No 1, Sv Road, Borivali East, Mumbai - 400066, Opposite Shamshan Bhumi, Daulat Nagar, Sanjay Nagar"
Ramdev Kirana Store Eksar Road Borivali West,0.91 KM,,0 Votes,"Shop No 7, Trigun Co Op Hou Soc, Borivali West, Mumbai - 400092, Eksar Road"
Ashapura Super Market Abhyudaya bank Borivali East,0.91 KM,4.0,1 Votes,"Shop no 7 rattan deep co.op hag, Kasturba cross road no 1, Borivali East, Mumbai - 400066, Abhyudaya bank"
Navyug Medical And General Stores Nearby Vazira Naka Borivali West,0.97 KM,4.3,47 Votes,"Shop No 3 & 4, Old Ashok Nagar, Ashok Nagar, Borivali West, Mumbai - 400091, Nearby Vazira Naka,"
Perfect Dry Fruits a General Store Ashok Nagar Borivali West,0.98 KM,4.4,4 Votes,"Shop No. 6, Deep Raj Apartment, Borivali West, Mumbai - 400092, Ashok Nagar"
New Pradeep General Stores Opp Swamiji School Borivali East,1.01 KM,4.4,7 Votes,"Shop No 2 Viraj Apartment, Daulat Nagar No 10, Borivali East, Mumbai - 400066, Opp Swamiji School"
Maharashtra General Store Near Badi Masjid Borivali East,1.01 KM,,0 Votes,"Shop No 1, Dattadin Yadav Chawl, Kaju Pada Road, Borivali East, Mumbai - 400066, Near Badi Masjid"
Vijay Store Neardwarka Restorent Borivali West,1.1 KM,4.3,12 Votes,"Shop No. 06 Madhuvan Heights, Shimpoli Cross Road No. 01, Shimpoli Cross Road No. 01, Borivali West, Mumbai - 400092, Neardwarka Restorent"
Laxmi General Store Near Devi Pada Borivali East,1.12 KM,,0 Votes,"Shop No 1, Laxmi Niwas, Sant Gora Kumbhar Road, Borivali East, Mumbai - 400066, Near Devi Pada"
Ashapura Store Shanti Ashram LIC Colony Borivali West,1.13 KM,4.1,9 Votes,"Shop No 3, Devki Nagar, Devki Aashirwad Building, Eksar Road, Borivali West, Mumbai - 400092, Shanti Ashram, LIC Colony"
Kumar general store OPP Satguru tower Borivali East,1.15 KM,,0 Votes,"Shop no.1 Hanuman chal, Western Express Highway, Borivali East, Mumbai - 400066, OPP Satguru tower"
P M Traders Behind Karnataka Bank Borivali West,1.17 KM,4.3,3 Votes,"103, Lic Shopping Center, I C Colony, Lic Colony Road, Borivali West, Mumbai - 400103, Behind Karnataka Bank"
Uday General Stores Off New Link road Borivali West,1.18 KM,4.7,3 Votes,"Shop No. b/4, Jairaj Nagar, Off Link road, Borivali West, Mumbai - 400091, Off New Link road"
Ramdev Stores Opp Om Kareshwer Mandir Borivali East,1.22 KM,3.8,8 Votes,"Shop No 7, , New Shivam Build, Kulupwadi Road, Borivali East, Mumbai - 400066, Opp Om Kareshwer Mandir"
Choice dry fruit and general stores Borivali West,1.23 KM,3.0,1 Votes,"Shop no 1, Jayraj nagar,, Borivali West, Mumbai - 400091"
Gogari Stores Kastur Park Borivali West,1.29 KM,2.5,2 Votes,"Shop no.11, Shivdarshan Bldg, Shimpoli Road, Borivali West, Mumbai - 400092, Kastur Park"
Arnav Super Market Opposite Don Bosco School Vazira Borivali West,1.29 KM,,0 Votes,"Shop No 8, Acharya Ashram Cooperative Housing Society Limited, Borivali West, Mumbai - 400092, Opposite Don Bosco School, Vazira"
Bhavani Medical General Stores Borivali East,1.35 KM,4.0,3 Votes,"D 12 Adinath Tower, Borivali East, Mumbai - 400066"
Mahavir General Stores Borivali East,1.43 KM,2.0,1 Votes,"datta krupa building, shop no.2, Dattapada Road, Borivali East, Mumbai - 400066"
Kheratkar General Stores Borivali East,1.44 KM,,0 Votes,"Shop No 2, Torna Apartment, Dattapada Road, Borivali East, Mumbai - 400066"
Gala Medical General Stores Near Police Choki Borivali East,1.47 KM,4.0,16 Votes,"Shop No 4, Ahiri Chawl, Kajupada, Borivali East, Mumbai - 400066, Near Police Choki"
Avdena Manglore Stores Near Mary Immaculate School Borivali West,1.59 KM,4.0,29 Votes,"Shop No 4, Hill Abode, L M Road, Borivali West, Mumbai - 400103, Near Mary Immaculate School"
Mamta General Store Nearby Mary Immaculate High School Borivali West,1.61 KM,5.0,1 Votes,"Shop No.12, Shreeji Complex Bldg, L M Road, Borivali West, Mumbai - 400103, Nearby Mary Immaculate High School"
