Name,Distance,Rating,Votes,Address
Byculla Chemist And General Store Near Byculla Station Byculla,0.29 KM,4.8,9 Votes,"Shop No1, Yousuf Chamber, DR. Ambedkar Road Byculla East, Byculla, Mumbai - 400027, Near Byculla Station"
Ganesh Tea Stores Opposite Byculla Police Station Byculla,0.3 KM,4.2,28 Votes,"Shop No 7, Regena Pasisi, Dr Ambedkar Road, Byculla, Mumbai - 400027, Opposite Byculla Police Station"
Jacky General Stores Byculla,1.33 KM,4.3,16 Votes,"Aga Khan Compound, 44 Clare Road, Byculla, Mumbai - 400027"
Mangalore General Stores Near Sunrise Hotel Byculla Railway Station Byculla,0.17 KM,3.8,10 Votes,"Shop No 1, Haji Islam Gani Building, Dr B A Road, Byculla, Mumbai - 400027, Near Sunrise Hotel & Byculla Railway Station"
Deepak Medical And General Stores Opposite Jain Temple Byculla,0.01 KM,4.2,5 Votes,"Sidhachal Darshan Shop No 4, Seth Moti Shah Road, Byculla, Mumbai - 400027, Opposite Jain Temple"
Ramji Hirji Company Opposite Rustom Baug Byculla,0.07 KM,3.0,1 Votes,"122 x lane, Sant Savata Marg, Byculla, Mumbai - 400027, Opposite Rustom Baug"
New Life General Stores Byculla,,4.3,3 Votes,"77 8 Maualana Azad Road, Maualana Azad Road, Byculla, Mumbai - 400027"
Shree Ganesh General store B J marg Byculla,0.55 KM,,0 Votes,"6 4/A4 floor grd, mahatma phule nager, Byculla, Mumbai - 400027, B.J marg"
Siddhnath General Stores Opp S Bridge Byculla,0.81 KM,3.5,2 Votes,"5 Lokhandwala Galaxy, K K Marg, Byculla, Mumbai - 400027, Opp S Bridge"
Bombay Baroda General Stores Byculla,,,0 Votes,"79, K K Marg, Byculla, Mumbai - 400027"
Gouri General Store Byculla,,,0 Votes,"Byculla, Mumbai - 400027"
Shabnam Madina General Store Madanpura Byculla,,,0 Votes,"Shop No 2, Maulana Azad Road, Byculla, Mumbai - 400027, Madanpura"
Makhdoom General Stores Madanpura Byculla,,,0 Votes,"Shop No 8, Maulana Azad Road, Byculla, Mumbai - 400027, Madanpura"
Devika General Store Byculla,,,0 Votes,"Byculla, Mumbai - 400027"
Rk General Store Nr Balaji Hospital Byculla,0.07 KM,3.5,1 Votes,"Shop No 15 A Ground Floor X Line 3 Byculla East, Sant Savta Marg, Byculla, Mumbai - 400027, Nr Balaji Hospital"
Karmashi hirji and co Balaji Hospital Byculla,0.07 KM,,0 Votes,"Warden chawl sant Santa marg shop no 1, Byculla, Mumbai - 400027, Balaji Hospital"
R K General Store Next to balaji hospital Byculla,0.08 KM,5.0,1 Votes,"17 A, Mustaffa bazar, Byculla, Mumbai - 400027, next to balaji hospital"
Aristo General Store Near Station Byculla,0.08 KM,,0 Votes,"Shop No 14, Sansawta Marg, Byculla, Mumbai - 400027, Near Station"
Aristo General Store Near Heritage Hotel Byculla,0.12 KM,,0 Votes,"14, Sant Savta Marg, Byculla, Mumbai - 400027, Near Heritage Hotel"
Aristo General Store Opp Gloriya Church Byculla,0.12 KM,,0 Votes,"Shop No.14, Victoria Road, Byculla, Mumbai - 400027, Opp. Gloriya Church"
T S General Stores Opp Gloria Church Byculla,0.13 KM,2.0,1 Votes,"Shop No 5, Sant Savta Marg, Byculla, Mumbai - 400027, Opp Gloria Church"
Moon Light Biscuit Mart Opposite Gloria Church Byculla,0.13 KM,,0 Votes,"Byculla East, Victoria Road, Victoria Roadst Savta Marg, Byculla, Mumbai - 400027, Opposite Gloria Church"
Gauri General Store Near Gloriya Church Byculla,0.14 KM,,0 Votes,"Shop No. 2, Station Road, Byculla, Mumbai - 400027, Near Gloriya Church"
Janata Sev Bhandhar provision Byculla Railway Station Byculla,0.15 KM,,0 Votes,"Shop No.18 Mahavir Estate, N M Marg, Byculla, Mumbai - 400027, Byculla Railway Station"
Adarsh Provision And General Stores Babasaheb Ambedkar Marg Byculla,0.19 KM,,0 Votes,"Shop No 3 Ramnagar, Nr Rly Stn, Byculla, Mumbai - 400027, Babasaheb Ambedkar Marg"
Adarsh provision and general stores Opp Victoria garden Byculla,0.19 KM,,0 Votes,"Shop no 3,ramnagar, Dr Ambedkar Road, Byculla, Mumbai - 400027, Opp Victoria garden"
Adarsh Provision General Store Opposite Rani Baug Byculla,0.21 KM,3.0,1 Votes,"114 A Ram Nagar, Dr Ambedkar Road, Byculla, Mumbai - 400027, Opposite Rani Baug"
Jagdish Brother General Store Byculla Station Byculla,0.22 KM,,0 Votes,"Byculla, Mumbai - 400027, Byculla Station"
Maharashtra Soap Center Byculla,0.27 KM,,0 Votes,"Gujari Bajar Market ground floor, near fish Market Byculla East, Byculla, Mumbai - 400027"
Ambrose Savio Shop Near Byculla Station Byculla,0.3 KM,,0 Votes,"642/46,Noor Manzil,Shop no.8, N.M Joshi Road, Byculla, Mumbai - 400027, Near Byculla Station"
M S Shethia Grain Byculla,0.3 KM,3.0,1 Votes,"Shop Number 4/5, B, M.S. Shethia Grainprovision & General Store, Marzban Mansion, Nub Marg, Byculla East, Byculla, Mumbai - 400027"
Ambrose Savio P B Shop Byculla,0.31 KM,,0 Votes,"642/46 and Nur Manjil,Shop no.8,An Am Joshi Marg Byculla West, Byculla, Mumbai - 400027"
Arihant Medical And General Stores Opposite Maszid Byculla,0.33 KM,4.8,2 Votes,"Shankeshwar Parashwanath Society, Shop no-10, N.M. Joshi Marg, Byculla, Mumbai - 400027, Opposite Maszid"
Ghanshyam Cloth Stores N M Joshi Marg Byculla,0.34 KM,,0 Votes,"673/B, Sankheshwar Parshwanath Shopping Center, Byculla, Mumbai - 400027, N M Joshi Marg"
Om Sai Ram All Shop Near Jijamata Udhyan Byculla,0.34 KM,,0 Votes,"Shop No. 3, Dr Ambedkar Road, Byculla, Mumbai - 400027, Near Jijamata Udhyan"
Tu Ak Nirankar Stores Byculla,0.34 KM,4.5,1 Votes,"Narayan Bhawan, Shop No 10, N.m.joshi Marg, 1st Cross Lean Byculla West, Byculla, Mumbai - 400027"
New Byculla Stores Opposite Byculla Station West Byculla,0.35 KM,4.0,2 Votes,"646, Sakina Manzil, N M Joshi Marg, Byculla, Mumbai - 400027, Opposite Byculla Station West"
Rehmatnmedical And General Store Byculla Station near Moti masjid Byculla,0.35 KM,,0 Votes,"shop jo.1, habib apartment, chamber lane, Byculla, Mumbai - 400027, Byculla Station near Moti masjid"
Shewale Egg Bakery Store Near Byculla Station Byculla,0.35 KM,,0 Votes,"Shop no. 2, Station Road, Byculla, Mumbai - 400027, Near Byculla Station"
Shree Mahakali General Stores Opposite Khatau Mill Byculla,0.36 KM,,0 Votes,"Mahavir Building, N M Joshi, Byculla, Mumbai - 400027, Opposite Khatau Mill"
Ramesh General Stores Near Byculla Rly Station Byculla,0.37 KM,4.7,3 Votes,"Shop No 1, Khatau Chawl No . 3, B. J. Marg, Byculla, Mumbai - 400027, Near Byculla Rly Station"
Shree Sai Dry Fruit Store Byculla,0.38 KM,3.6,8 Votes,"Sai Baba Mandir, Byculla West, Jacob Circle, N M Joshi Marg, Byculla, Mumbai - 400027"
Suresh General Store Near Jain Mandir Byculla,0.39 KM,4.6,16 Votes,"Shop No 170 Moti Shah Jain Park, love Lane, Byculla, Mumbai - 400027, Near Jain Mandir"
Mauala General Stores Byculla,,,0 Votes,"Transit Cmap Oop Chawl No 4 Next To Main Gate Room No 4 E M X 68, M S Ansari Marg, Byculla, Mumbai - 400027"
Meenakshi General Store Near Axis Bank ATM Byculla Station Byculla,0.41 KM,,0 Votes,"Shop No. 2, N M Joshi Marg, Byculla, Mumbai - 400027, Near Axis Bank ATM & Byculla Station"
Fakhri General Stores Byculla,0.42 KM,3.5,2 Votes,"837, Bapurao Jagtap Marg, Attarwala Building, Byculla, Mumbai - 400027"
J K Pan Shop Byculla Byculla,0.45 KM,5.0,2 Votes,"515, Vishwamangal Society, Dhaku Prabhuchi Wadi East, Es Patanwala Marg, Byculla, Mumbai - 400027, Byculla"
A C Patel General Stores Byculla,0.46 KM,,0 Votes,"Theabi Appartment, T.B. Kadam Road Chinchpokli X Lane, Shop No 1 Buyculla, Byculla East, Byculla, Mumbai - 400027"
Sha Bhangi Kharaj Byculla,0.48 KM,4.3,4 Votes,"Shop No. 6, Gulzar Appartment, Dhaku Prabhuchi Wadi, Byculla East, Dadoji Konddev Cross Marg, Dadoji Konddev Cross Margdadoji Konddeo Cross Lane, Byculla, Mumbai - 400027"
Shri mahavir general store Byculla,0.5 KM,,0 Votes,"Seth motishah Jain, Seth Moti Shah Road, Byculla, Mumbai - 400027"
Jai Santoshi Maa Chana Shop Near Rani Bag Byculla,0.52 KM,3.0,1 Votes,"Shop No. 922, B J Marg, Byculla, Mumbai - 400027, Near Rani Bag"
Laxmi kirana shop Opp to Planet Godrej Byculla,0.56 KM,4.0,1 Votes,"Byculla, Mumbai - 400027, Opp to Planet Godrej"
Ajit Bidi Shop Jacob Circle Byculla,0.57 KM,,0 Votes,"B J Marg, Byculla, Mumbai - 400027, Jacob Circle"
New National Chemist General Store Opposite Muncipali E Ward Byculla,0.64 KM,4.4,11 Votes,"S-2, Allahfiz Manzil, Sankli Street, Byculla, Mumbai - 400027, Opposite Muncipali E Ward"
BBC General Stores Near Fly Over Byculla,0.66 KM,,0 Votes,"Shop No 13/14, Byculla House, Sir J J Road, Byculla, Mumbai - 400027, Near Fly Over"
Royal General Store Near Khataumil Byculla,0.66 KM,,0 Votes,"Suryaji Compound/2, Pakhadi Road, Byculla, Mumbai - 400027, Near Khataumil"
Rajesh Medical General Stores Byculla,0.68 KM,,0 Votes,"Ghodapdeo Road, Parel Tank Road, Byculla, Mumbai - 400027"
Jadhav General Stores Jacob Circle Byculla,0.74 KM,,0 Votes,"Shop no 6 astral mansion, musa killadar street, Byculla, Mumbai - 400027, Jacob Circle"
Nagesh General Stores Byculla,0.79 KM,,0 Votes,"Shopno 1, Hasam Bhai Jetha Chawl, Dr Ambedkar Road, Byculla, Mumbai - 400027"
Maharashtra grain general store Arihant tower Byculla,0.82 KM,3.0,1 Votes,"T b kadam road, Byculla, Mumbai - 400027, arihant tower"
Prince General Stores Madanpura Byculla,0.83 KM,,0 Votes,"215, Rangoowala Chawl, Maulana Azad Road, Byculla, Mumbai - 400027, Madanpura"
Aarey Stall Byculla,0.85 KM,,0 Votes,"Shop no 5313, TB Kadam marg, Byculla, Mumbai - 400027"
Rahul General Stores Opp New Masjid Byculla,0.87 KM,,0 Votes,"Shop No.05, Modi Compound, Rambhau Bhogle Marg,Ext. Road No.01, Byculla, Mumbai - 400027, Opp.New Masjid"
Chaitanya Medical General Stores Near Vicky Hotel Byculla,0.88 KM,5.0,2 Votes,"Shop No 13, Prafulla Co Operative Housing Society, Anant Pawar Marg, Byculla, Mumbai - 400027, Near Vicky Hotel"
Karan Greneral Store Byculla,0.89 KM,,0 Votes,"Byculla Road, East, Tukaram Bhikaji Kadam Marg, Tukaram Misaji Marg, Ghodapdeo, Byculla East, Byculla, Mumbai - 400027"
Bharat General Store Opposite J J Hospital Byculla,1.65 KM,4.0,1 Votes,"106 Bharat General Store, Khari Road, Byculla, Mumbai - 400027, Opposite J J Hospital"
Khusboo City Fresh General Store Behind Petrol Pump Dongri Byculla,1.98 KM,,0 Votes,"113/114 shop No 1, Cafe Islam Hotel Nowroji Hill Road, Byculla, Mumbai - 400027, Behind Petrol Pump Dongri"
Shiv Kripa General Stores Byculla,,,0 Votes,"570, N M Joshi Marg, Byculla, Mumbai - 400027"
Safe General Stores Byculla,0.2 KM,,0 Votes,"2/C, Habib Apts, Chamber Lane, Byculla, Mumbai - 400027"
Sushil General Stores Pais Street Byculla,0.39 KM,,0 Votes,"Shop No 24, Janta Sevak Society, Station Road, Byculla, Mumbai - 400027, Pais Street"
Vira stores Near Jain temple Byculla,0.41 KM,,0 Votes,"Seth Moti Shah Road, Byculla, Mumbai - 400027, Near Jain temple"
Sarvjanik oil depo Noor Manzil Byculla,0.5 KM,,0 Votes,"Shop-7,savla bldg, Stn. Road, Byculla, Mumbai - 400027, Noor Manzil"
SShivai General Stores Byculla,0.84 KM,,0 Votes,"Byculla, Mumbai - 400027"
Unique Medical Store Opposite Sales Tax Office Mazgaon,1.09 KM,4.1,81 Votes,"Shop No 4 & 5, Khudabux Building, Mazgaon, Mumbai - 400010, Opposite Sales Tax Office"
Hira Medical General Stores Near Sale Tax Office Mazgaon,0.93 KM,4.3,103 Votes,"Rosery Villa, 226 Mount Road, Mazgaon, Mumbai - 400010, Near Sale Tax Office"
Nandu Stores Near Sales Tax Office Mazgaon,1.2 KM,4.1,171 Votes,"Kutchhi Lohana House, 69 H, Shivdas Chapsi Marg, Mazgaon, Mumbai - 400010, Near Sales Tax Office"
