Name,Distance,Rating,Votes,Address
Lullas Medical General Stores Near Basant Cinema Chembur East,1.38 KM,3.9,46 Votes,"Shop No 5/A, Vikas Commercial Centre, Dr C Gidwani Road, Chembur East, Mumbai - 400074, Near Basant Cinema"
Navin Super Market Near Vasinaka Opposite Agarwal Nagar Chembur East,1.81 KM,3.8,40 Votes,"Shop No 4, Mahul Road, Chembur East, Mumbai - 400074, Near Vasinaka, Opposite Agarwal Nagar"
Paras General Store Opp Navbhart Apt Chembur East,1.96 KM,3.0,1 Votes,"Shop 4 Nityanand Baug Society, Mahul Road, Chembur East, Mumbai - 400074, Opp Navbhart Apt"
Parivar Society Kirana General Store Chembur East,1.09 KM,,0 Votes,"Bharat Nagar, Bharat Nagar, Chembur East, Mumbai - 400074"
Suraj General Stores Near hanuman mandir bhaji market Chembur East,,4.3,2 Votes,"shop no 1 Khardev Nagar, Chembur Ghatla, Chembur (E), Chembur East, Mumbai - 400071, near hanuman mandir,bhaji market"
Annapurna General Store Near Ashish Cinema Hall Chembur,,,0 Votes,"New Rna Park Shop No 26, Vashi Naka, Chembur, Mumbai - 400071, Near Ashish Cinema Hall"
Mahalaxmi General Stores Near Balaji Electronic Khardev Nagar Chembur East,1.4 KM,4.5,2 Votes,"Chembur East, Mumbai - 400071, Near Balaji Electronic, Khardev Nagar"
Jyoti Electric General Stores Opposite Basant Theatre Near Borla Society Chembur Colony chembur East,1.45 KM,5.0,1 Votes,"Dr C G Road, Chembur Colony-chembur East, Mumbai - 400074, Opposite Basant Theatre,Near Borla Society"
Goel Hardware General Stores Vashi Naka Chembur East,1.77 KM,3.0,2 Votes,"R C Marg, Chembur East, Mumbai - 400074, Vashi Naka"
Shree Girish Stores Chembur East,1.79 KM,,0 Votes,"Ghatla School, Ghatala Village, Nagesh Patilwadi, Kurla East, Ghatla Village Road, Chembur East, Mumbai - 400071"
Vijay Medical Store Near BMC School Chembur East,1.8 KM,4.7,12 Votes,"5, Maruti Sadan , Ghatla Village, N B Road, Chembur East, Mumbai - 400071, Near BMC School"
