Name,Distance,Rating,Votes,Address
Students General Stores Cuffe Parade colaba,1.28 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005"
Patel General Stores Near Colaba Post Office Colaba,1.4 KM,3.5,15 Votes,"Shop No 20, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
Nagrik Stores Opp MTNL Building Cuffe Parade Colaba,,2.0,1 Votes,"G D Somani Road, Cuffe Parade-Colaba, Mumbai - 400005, opp MTNL Building"
Royal Dry Fruits General Stores Near Electric House Causeway Colaba,0.08 KM,4.4,11 Votes,"Awabai Mansion,89, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Electric House, Causeway"
Jai Bharat Stores Colaba Market Colaba,0.54 KM,1.8,2 Votes,"Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market"
New Variety General Stores Near Colaba Post Office Colaba,0.83 KM,3.6,8 Votes,"Shop No 22, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
Kohinoor General Stores Behind Strand Cinema Colaba,1.66 KM,4.1,35 Votes,"Grants Building, Arthur Bunder Road, Colaba, Mumbai - 400005, Behind Strand Cinema"
Shivam Stationery And General Store Navy Nagar Colaba,,3.1,4 Votes,"Shop No 9, Sumitra Market, Colaba, Mumbai - 400005, Navy Nagar"
Welcome General Stores Colaba Market Colaba,0.5 KM,3.8,5 Votes,"Shop No 5, Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market"
Shakti General Stores Near Colaba Post Officie Colaba,1.54 KM,4.6,8 Votes,"Usha Sadan, Shop No 9, Block A, Shahid Bhagat Singh Road,Colaba, Colaba, Mumbai - 400005, Near Colaba Post Officie"
New Colaba Stores Colaba Colaba,,,0 Votes,"Nanu Bhai Trust Bldg 55, Rajwadkar Street, Colaba, Mumbai - 400005, Colaba"
Ishwar General Store And Bhaji Bhandar Centre Sundar Nagari Colaba,,,0 Votes,"Room No.253, Lala Nigam Road, Colaba, Mumbai - 400005, Sundar Nagari"
Bhart Medical General Store Colaba,,,0 Votes,"Colaba, Mumbai - 400005"
Zaveri General Store Near Delhi Darbar Colaba,,,0 Votes,"Colaba, Mumbai - 400005, Near Delhi Darbar"
