Name,Distance,Rating,Votes,Address
Students General Stores Cuffe Parade colaba,0.2 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005"
Nagrik Stores Opp MTNL Building Cuffe Parade Colaba,,2.0,1 Votes,"G D Somani Road, Cuffe Parade-Colaba, Mumbai - 400005, opp MTNL Building"
Thompson General Store Opp President Hotel Cuffe Parade Colaba,,,0 Votes,"Shop No. 37, Mahar DAS Bldg, Cuffe Parade-Colaba, Mumbai - 400005, Opp President Hotel"
Citizen Store Cuffe Parade Cuffe Parade Colaba,0.22 KM,5.0,1 Votes,"Maker Tower, Cuffe Parade-Colaba, Mumbai - 400005, Cuffe Parade"
Maleshwar Kirana Store Opposite Police Stn Colaba Colaba,0.36 KM,4.0,2 Votes,"Cuffe Parade, L.T Vasvani Marg, Colaba, Mumbai - 400005, Opposite Police Stn Colaba"
Devika Communication General Store Cuffe Parade Colaba,0.54 KM,3.5,2 Votes,"550, Dr. Babasaheb Ambedkar Nagar Hutments, Dhobighat, Backbay Depot, Settlement, Cuffe Parade, Baba, Captain Prakash Pethe Marg, Cuffe Parade-Colaba, Mumbai - 400005"
Sai Krupa General Store Colaba,0.59 KM,3.0,6 Votes,"Bhai Bandal Nagar, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005"
Saurav General Stores Dobhi Ghat Cuffe Parade Colaba,,,0 Votes,"Shop No 53, Rajak Co Operative Housing Society, New Dhobi Ghat, Cuffe Parade-Colaba, Mumbai - 400005, Dobhi Ghat"
Patel General Stores Near Colaba Post Office Colaba,0.33 KM,3.5,15 Votes,"Shop No 20, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
New Variety General Stores Near Colaba Post Office Colaba,0.58 KM,3.6,8 Votes,"Shop No 22, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
Jai Bharat Stores Colaba Market Colaba,0.94 KM,1.8,2 Votes,"Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market"
Royal Dry Fruits General Stores Near Electric House Causeway Colaba,1.31 KM,4.4,11 Votes,"Awabai Mansion,89, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Electric House, Causeway"
Kohinoor General Stores Behind Strand Cinema Colaba,0.45 KM,4.1,35 Votes,"Grants Building, Arthur Bunder Road, Colaba, Mumbai - 400005, Behind Strand Cinema"
Shakti General Stores Near Colaba Post Officie Colaba,0.35 KM,4.6,8 Votes,"Usha Sadan, Shop No 9, Block A, Shahid Bhagat Singh Road,Colaba, Colaba, Mumbai - 400005, Near Colaba Post Officie"
Welcome General Stores Colaba Market Colaba,0.98 KM,3.8,5 Votes,"Shop No 5, Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market"
Star Daily Opposite Colaba Market Colaba,1.26 KM,2.9,4 Votes,"Sanghavi House, Third Pasta Lane, Colaba, Mumbai - 400005, Opposite Colaba Market"
Shivam Stationery And General Store Navy Nagar Colaba,,3.1,4 Votes,"Shop No 9, Sumitra Market, Colaba, Mumbai - 400005, Navy Nagar"
Kajol General Store Near Back Bay Depot Colaba,,,0 Votes,"New Dhobi Ghat, Rajat Society, Capt Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Back Bay Depot"
Maa Dhan Laxmi Store Colaba,0.37 KM,,0 Votes,"Shop No. 141, Cuffle Parade, Settlement, Babasaheb Ambedkar Nagar, T.L. Vasvani Marg, Colaba, Mumbai - 400005"
Ramdav Store,0.4 KM,,0 Votes,"Prakasin Pate, Coff, Parg Coff, Parade Bomday, Captain Prakash Pethe , Machimar Nagar, Cuffe Parade, Marg, Mumbai - 400005"
Tapan general store Near bakery Colaba,,,0 Votes,"Riya bldge, Wodehouse Road, Colaba, Mumbai - 400005, Near bakery"
Kisan Grain Stores Near Backbe Depo Colaba,0.5 KM,4.0,2 Votes,"New Dhobighat, Cuf Pared, Mumbai, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Backbe Depo"
Maharashtra General Stores Near Sasoon Dock Colaba,0.53 KM,,0 Votes,"Daulatram Mansion, Shop No. 4, Rambhau Salgaonkar Marg, Colaba, MUMBAI - 400005, Near Sasoon Dock"
Karishma General Provision Store Colaba,0.54 KM,4.9,14 Votes,"Cen508, Doctor B.A Nagar Punarvasab, Settlement, Babasaheb Ambedkar Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005"
Laxmi Stores Colaba,0.54 KM,,0 Votes,"New Ganesh Medical, Settlement, Babasaheb Ambedkar Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005"
Mahakaali Stores Colaba,0.55 KM,3.7,3 Votes,"Settlement, Dr Babasaheb Ambedkar Nagar, Babasaheb Ambedkar Nagar, Cuffe Road, Cuffe Roadcaptain Prakash Pethe Marg, Colaba, Mumbai - 400005"
Balge Colaba,0.59 KM,4.0,8 Votes,"Settlement, Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005"
New Manish Stores,0.62 KM,3.0,4 Votes,"Gali Number 3, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Mumbai - 400005"
Bhagwati Store,0.64 KM,3.5,4 Votes,"Machimar, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Mumbai - 400005"
K G N Near Suladh Sochalya Colaba,0.68 KM,4.3,35 Votes,"Ganesh Muti Nagar 3, Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Suladh Sochalya"
Sai General Store Near Hanuman Mandir Colaba,0.69 KM,,0 Votes,"Mittal Apartment, Strand Road, Colaba, Mumbai - 400005, Near Hanuman Mandir"
Ramadav Shop Colaba,0.69 KM,4.0,2 Votes,"Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005"
Sai Kripa general stores Colaba,0.78 KM,,0 Votes,"Shop no 1, Fort pasta lane, Colaba, Mumbai - 400005"
