Name,Distance,Rating,Votes,Address
Shri Siddhanath Super Market Opp Kunal Masala Dadar East,1.31 KM,3.5,2 Votes,"Shop No 1,2 &3, G K Road, Dadar East, Mumbai - 400014, Opp Kunal Masala"
Asian Stores Near Dadar T T Circle Dadar East,0.57 KM,4.2,128 Votes,"807, Imperial Mahal, Khodadad Circle, Dr Ambedkar Road,, Dadar East, Mumbai - 400014, Near Dadar T T Circle"
Manoj Medical General Stores Dadar West,0.94 KM,4.4,22 Votes,"13,Raghuraj Bhavan, Gokhale Road South, Dadar West, Mumbai - 400028"
Jain General Stores Near Wadala Telephone Exchange Dadar East,0.97 KM,4.3,34 Votes,"Plot No- 234/235, Naigaon Cross Road, Dadar East, Mumbai - 400014, Near Wadala Telephone Exchange"
Bharat Medico Star Mall Opposite Plaza Cinema Dadar West,0.39 KM,3.9,35 Votes,"Shop No 2 Star Mall, N C Kelkar Road, Dadar West, Mumbai - 400028, Opposite Plaza Cinema"
Swami Samarth General Store Near Ashish Industry Dadar West,1.19 KM,4.8,5 Votes,"11, Ganesh Bhuvan, Gokhale Road South, Dadar West, Mumbai - 400028, Near Ashish Industry"
Ikon Bio Pharma Medical General Store Opposite Portuguese Church Dadar West,0.6 KM,4.5,49 Votes,"Shop No 11, Ground Floor, Jilani Manzil Building, S K Bole Road Junction, Dadar West, Mumbai - 400028, Opposite Portuguese Church"
Shree Swami Samartha Medical General Stores Near Hindu Colony Lane No 1 Dadar East,0.42 KM,4.2,30 Votes,"Shop No -05 Ground Floor Plot No 61 Shrikant Lodging, Sir Bhalchandra Road, Dadar East, Mumbai - 400014, Near Hindu Colony Lane No 1"
Arun Provision Stores Near Axis Bank Dadar West,0.51 KM,4.2,6 Votes,"Shop No.2, Popatlal Chawl, Ranade Road, Dadar West, Mumbai - 400028, Near Axis Bank"
Wellcare Medical And General Stores Near Ajanta Plywood Dadar West,0.52 KM,4.3,5 Votes,"Shop No 72,Kawali Wadi, Rao Bahadur S K Bole Marg, Dadar West, Mumbai - 400028, Near Ajanta Plywood"
Shushrusha Medical And General Store Opposite HP Petrol Pump Dadar West,0.64 KM,3.9,37 Votes,"Shop No 784/785, Hendre Castle, Gokhale Road North, Dadar West, Mumbai - 400028, Opposite HP Petrol Pump"
Ashish Medical General Stores Shivaji Park Dadar West,0.77 KM,3.7,8 Votes,"Shop No 3/4, 54/64 Upasana Building, L J Road, Dadar West, Mumbai - 400028, Shivaji Park"
Rambhia Cash N Carry Super Market Front State Bank Of India Near Railway Station Dadar West,0.72 KM,4.2,17 Votes,"Shop No 4/68, Kiran Building, Ranade Road, Dadar West, Mumbai - 400028, Front State Bank Of India, Near Railway Station"
Shubham Hotel Near Railway Station Dadar East,0.53 KM,3.6,4 Votes,"Shop No1, Station Road, Dadar East, Mumbai - 400014, Near Railway Station"
Khimji Palan Co Opp portugese Church Dadar West,0.69 KM,4.0,25 Votes,"110 Ravji Sojpal Building, S K Bole Road, Dadar West, Mumbai - 400028, Opp.portugese Church"
Shree Swami Samarth Pan Shop Opp Portugij Chruch Dadar West,0.71 KM,,0 Votes,"Shop No. 3, Chandan Mansion, Gokhale Road North, Dadar West, Mumbai - 400028, Opp. Portugij Chruch,"
Hardev Krupa General Stores Near Siddhivinayak Mandir Dadar West,1.21 KM,4.2,3 Votes,"Raichand Niwas, S K Bole Road, Dadar West, Mumbai - 400028, Near Siddhivinayak Mandir"
Goodluck General Store Near Axis Bank Opposite Brahman Seva Mandal Dadar West,0.39 KM,3.3,10 Votes,"Shop No 45, A C Nazareth Building, Bhavani Shankar Road, Dadar West, Mumbai - 400028, Near Axis Bank, Opposite Brahman Seva Mandal"
Health Care Medical And General Store Near Portuguese Church Dadar West,0.7 KM,4.3,28 Votes,"Shop No.14, Raoji Sojpal Building, Gokhale Road North, Dadar West, Mumbai - 400028, Near Portuguese Church"
Adarsh Medical General Store Opposite Spring Mail Dadar East,1.32 KM,4.0,12 Votes,"Shop No 50, G Chawl No 5, Laxmi Co Operative Housing Society, G D Ambekar Road, Naigaon, Dadar East, Mumbai - 400014, Opposite Spring Mail"
Mohansons Bharat General Stores Opp W Rly Station Dadar West,0.17 KM,3.4,21 Votes,"222 B/C Smruti Kunj, S B Marg, Dadar West, Mumbai - 400028, Opp W Rly Station"
Patel Stores Opposite Kabutar Khana Dadar West,0.22 KM,4.4,5 Votes,"Shop No.53/92, Kirtikar Market, 1st Lane, Dr Dsilva Road, Dadar West, Mumbai - 400028, Opposite Kabutar Khana"
Sadguru Medical General Store Near Dadar Railway Station Dadar East,0.29 KM,4.3,6 Votes,"Shop No-10 Gafoor Bldg, L N Road, Dadar East, Mumbai - 400014, Near Dadar Railway Station"
Cafe Colony Stores Hindu Colony Dadar Tt Opposite Parsi Dairy Farm Irani Restaurant Dadar East,0.41 KM,4.3,3 Votes,"G1, Shrikant Lodge, Dadar East, Mumbai - 400014, Hindu Colony, Dadar Tt, Opposite Parsi Dairy Farm & Irani Restaurant"
Kalpesh Stores Near Plaza Cinema Dadar West,0.46 KM,3.8,6 Votes,"Shop No 1, Khandeko Building No 11, J K Sawant Marg, Dadar West, Mumbai - 400028, Near Plaza Cinema"
Janta General Stores Dadar East,,3.5,2 Votes,"Dadar East, Mumbai - 400014"
Prabhu Pan Beedi Shop General Stores Dadar East,0.55 KM,,0 Votes,"168 A, Savitri Sadan, Dr Ambedkar Road, Dadar East, Mumbai - 400014"
Jackys Farm Dairy Product Shop Opposite Amar Hind Mandal Dadar West,0.64 KM,,0 Votes,"Shop No 20, 63/ E, Dhawal Co-Operative Housing Society, Gokhale Road North, Dadar West, Mumbai - 400028, Opposite Amar Hind Mandal"
Solanki Tobaco General Store Opposite Kohinoor Compund Naigaon Dadar East,,4.0,1 Votes,"Pundlik Bhavan Shop No-4, Naigaon-Dadar East, Mumbai - 400014, Opposite Kohinoor Compund"
Thorat General Stores Gandhi Chowk Naigaon Dadar East,0.78 KM,,0 Votes,"Pundlik Bhavan, Dadar East, Mumbai - 400014, Gandhi Chowk, Naigaon"
Lee Medical General Store Opposite Shindewadi Dadar East,0.84 KM,4.1,14 Votes,"Shop No. 09, Mahavir Sukh Building, Dr Ambedkar Road, Dadar East, Mumbai - 400014, Opposite Shindewadi"
Gala General Stores Near Shardashram School Near Axis Bank Dadar West,0.88 KM,5.0,1 Votes,"Shop No. 143, Meghji Vallabhdas Chawl, Bhavani Shankar Road, Dadar West, Mumbai - 400028, Near Shardashram School, Near Axis Bank"
Janata Stores Shivaji Park Dadar West,0.98 KM,,0 Votes,"Hari Niwas, L J Road, Dadar West, Mumbai - 400028, Shivaji Park"
Mankind General stores Chitra Dadar East,0.98 KM,2.3,3 Votes,"Daya manzil, BJ Deorukhkar road, Dadar East, Mumbai - 400014, Chitra"
Modern Bakery Dadar East,0.99 KM,,0 Votes,"Venu apartment, BJ Deorukhkar road, Dadar East, Mumbai - 400014"
Chunilal Company Agar Bazar Dadar West,1.13 KM,3.5,2 Votes,"Rozario Building, S K Bole Road, Dadar West, Mumbai - 400028, Agar Bazar"
Mini Store Opp Kirti College Dadar West,1.96 KM,5.0,1 Votes,"Uma Nivas,, Kashinath Guru Road, Dadar West, Mumbai - 400028, Opp Kirti College"
Premji Jhetha Chheda Co Opposite Anandasharam Hotel Dadar West,0.13 KM,4.0,2 Votes,"Shop-12 Abbas Mension Building, Chhabildas Marg, Dadar West, Mumbai - 400028, Opposite Anandasharam Hotel"
Shree Datt Krupa General Stores Near inox Dadar West,0.17 KM,,0 Votes,"Minarva Mention, Shop No. 4, dr. ambedkar road, Dadar West, Mumbai - 400028, near inox"
Sai Siddhi General Store Near Railway Station Dadar West,0.17 KM,,0 Votes,"S Savarkar Mandai, Dr D, Dadar West, Mumbai - 400028, Near Railway Station"
Smokers Corner Near Saraswat Bank Dadar West,0.17 KM,3.6,20 Votes,"Suryaji Niwas, Senapati Bapat Marg, Dadar West, Mumbai - 400028, Near Saraswat Bank"
Gaala Stores Opposite Hanuman Mandir Dadar East,0.21 KM,,0 Votes,"Shubham Hotel Building, Swami Narayan Chowk, Dadar East, Mumbai - 400014, Opposite Hanuman Mandir"
Kadam General Store Kabutarkhana Dadar West,0.21 KM,4.5,1 Votes,"93, Kirtikar Market, M C Javle Marg, Dadar West, Mumbai - 400028, Kabutarkhana"
PAN bidi n General store Near Dadar t t Dadar East,0.21 KM,,0 Votes,"Shop no 3, Subham hotel road, Dadar East, Mumbai - 400014, Near Dadar t.t."
Pravin Stores Dadar West,0.23 KM,3.6,14 Votes,"32 Kirtikar Market, M C Jawle Marg, Dadar West, Mumbai - 400028"
Siddhivinayak Medical General Stores Dadar West,0.25 KM,,0 Votes,"Shop No.2,Dargah Chawl, N C Kelkar Road, Dadar West, Mumbai - 400028"
Shridhar General stores OPP DADAR RAILWAY STATION Swami Narayan Mandir Dadar East,0.26 KM,,0 Votes,"SHOP NO.4, Kohinoor road, Dadar East, Mumbai - 400014, OPP. DADAR RAILWAY STATION, Swami Narayan Mandir"
Ashwin Shop Depot Dadar West,0.27 KM,,0 Votes,"Priyadarshini Society, Dadar West, Mumbai - 400028"
Shree Mudra General Store Near Kabutarkhana Dadar West,0.28 KM,,0 Votes,"Gr Floor, S K Bole Road, Dadar West, Mumbai - 400028, Near Kabutarkhana"
Maa Sarveshwari Chana Bhandar Near Kabutarkhana Dadar West,0.28 KM,,0 Votes,"Shop No 11, M.C. Jawale Marg, Dadar West, Mumbai - 400028, Near Kabutarkhana"
Western General Stores Opposite Dadar Station Dadar West,0.29 KM,3.5,2 Votes,"Senapati Bapat Road, Dadar West, Mumbai - 400028, Opposite Dadar Station"
Janata General Stores Opposite Dadar Railway Station Fly Over Bridge Dadar West,0.29 KM,2.2,6 Votes,"Shop No 12 Gala No 16 Bishmillah Building, Senapati Bapat Marg, Dadar West, Mumbai - 400028, Opposite Dadar Railway Station & Fly Over Bridge"
Shree Medico Dadar West,0.3 KM,4.5,4 Votes,"268, Shop No 1, Nawalkar Bldg, N C Kelkar Road, Dadar West, Mumbai - 400028"
Jai Maharashtra Biscuits Dadar East,0.33 KM,4.0,2 Votes,"A Balaji Biulding, Madhavwadi, Mmgs Marg , Lokmanya Tilak Colony, Naigaon Cross Road, Naigaon Cross Roaddsp Road, Dadar East, Mumbai - 400014"
Mehta Vasanji Damji Company Near rasht riya hotel Dadar East,0.36 KM,,0 Votes,"98/100, Balaji Bldg, Shop No.5, Madahv Wadi, M M G S Marg, Dadar East, Mumbai - 400014, Near rasht riya hotel"
Aarey Sarita Opp jolly timber mart Dadar West,0.4 KM,,0 Votes,"Shop no 117, S.k Bhole road, Dadar West, Mumbai - 400028, Opp jolly timber mart"
Are sharita Near juli timber mart Dadar West,0.41 KM,,0 Votes,"Shop 1, A.k.bole marg, Dadar West, Mumbai - 400028, Near juli timber mart"
SHREE SWAMI Samarth Patanjali General Stores CORNER OF D V PRADHAN ROAD Dadar East,0.42 KM,,0 Votes,"SHOP NO.4, GROUND FLOOR, PLOT NO.61,, SHRIKANT LODGING, HINDU COLONY, LANE NO.1, Dadar East, Mumbai - 400014, CORNER OF D.V.PRADHAN ROAD"
Shahade General Stores Dadar East,0.42 KM,3.0,2 Votes,"40b, Krishna Nivas, Sar Balachandra Road, Dadar East, Mumbai - 400014"
Shree Dattaguru Krupa General Stores Ranade Road Dadar Dadar West,0.43 KM,3.0,1 Votes,"Navprabhat Chambers, 3rd Floor,, Dadar West, Mumbai - 400028, Ranade Road,Dadar"
Solanki general store Opposite sunshine plaza Naigaon Dadar East,0.43 KM,4.0,1 Votes,"Shop no 3 civic center, Naigaon Cross Road, Naigaon-Dadar East, Mumbai - 400014, Opposite sunshine plaza"
