Name,Distance,Rating,Votes,Address
Malde General Stores Opposite Petrol Pump Dahisar,0.77 KM,2.7,3 Votes,"Shop No 21, Shri SAI Kripa Nagar, C S Road, Dahisar, Mumbai - 400068, Opposite Petrol Pump"
Gogari Anna Bhandar Opposite Bhatladevi Temple Dahisar,0.38 KM,4.0,98 Votes,"Shop No-9/10, Mani Ben Chawl, Station Road, Dahisar, Mumbai - 400068, Opposite Bhatladevi Temple"
Bhavani Medical General Stores Maruti Nagar Ashokvan Near Gokul Anand Hotel Dahisar,1.33 KM,4.2,19 Votes,"Shop No 7 Kesari Nandan BBuilding, Shiv Vallabh Road, Dahisar, Mumbai - 400068, Maruti Nagar, Ashokvan, Near Gokul Anand Hotel"
Jyoti Medico Opp BMC Market Dahisar,0.8 KM,3.9,12 Votes,"Shop No-13 A-2 Anand Nagar, CST Road, Dahisar, Mumbai - 400068, Opp BMC Market"
Krishna Medical General Stores Kandar Pada Dahisar,0.93 KM,3.7,28 Votes,"Shop No 7, Radha Raman Apartment, Waman Rao Bhoir Road, Dahisar, Mumbai - 400068, Kandar Pada"
Shri Purnima Super Market Near 298 Last Bus Stop Rawalpada Dahisar East,1.3 KM,4.0,90 Votes,"Shop No 1 & 2, Mandakini Building, Shiv Vallabh Cross Road, Rawalpada-Dahisar East, Mumbai - 400068, Near 298 Last Bus Stop"
Ankur Stores Opposite Vithal Temple Dahisar,0.44 KM,3.9,7 Votes,"Shop No. 01, Mantri Tower Bldg., L T Road, Dahisar, Mumbai - 400068, Opposite Vithal Temple"
Real Chemist Medical General Store Near JBCN International School Dahisar,0.47 KM,3.9,20 Votes,"Shop No 1, Shree Blue Diamond Co-op.Hsg.socity Ltd., L M Road, Dahisar, Mumbai - 400068, Near JBCN International School"
Shree Krishna Super Market Near Raj Medical Dahisar,0.69 KM,4.0,69 Votes,"Shop No 125,M.H.B Colony, Society No 22, S.N Dubey Road, Chunabhatti, Dahisar, Mumbai - 400068, Near Raj Medical"
Yash Supermarket Opposite Garden Dahisar,1.22 KM,4.0,10 Votes,"Anand Nagar Complex Building Udhish Thir Shop 11/10, 1750 Shivaji Road, Dahisar, Mumbai - 400068, Opposite Garden"
