Name,Distance,Rating,Votes,Address
Shah Medical General Store Opposite J J Hospital Gate No 6 Umerkhadi Dongri,0.4 KM,4.2,23 Votes,"109/5, Bandukwala Building, R B Bhat Marg, Dongri, Mumbai - 400009, Opposite J J Hospital Gate No 6, Umerkhadi"
Anmol Store Dongri,0.07 KM,4.5,5 Votes,"Kanchwala Biulding, Shop No. 5, Naoroji Hill Road, Dongri, Mumbai - 400009"
Metro Medical General Stores Opposite J J Hospital Gate No 6 Dongri,0.41 KM,4.0,14 Votes,"Shop No 4 A, Ramchandra Bhatt Marg, Dongri, Mumbai - 400009, Opposite J J Hospital Gate No 6"
Umama Medical General Store Near J J Hospital Dongri,0.41 KM,4.5,45 Votes,"Shop No 2 A, 115 Bandukwala Building, Ramchandra Bhatt Marg, Dongri, Mumbai - 400009, Near J J Hospital"
A Desai Beedi Shop Provision Stores Ajwa sweet Dongri,0.28 KM,,0 Votes,"172 Svp road, S.V.P. Road, Dongri, Mumbai - 400009, ajwa sweet"
Bharat General Stores Kidz Kraft Cambridge School Dongri,0.54 KM,5.0,1 Votes,"Dr Maheshwari Road, Dongri, Mumbai - 400009, Kidz Kraft Cambridge School"
Rahat Medical General Stores Next to Metro Opticians Dongri,0.58 KM,4.3,6 Votes,"Shop No 17, Haroon Manzil, 155 Imamwada Road, Dongri, Mumbai - 400009, Next to Metro Opticians"
Kuldip Vilash Jhadav General Store Dongri,0.04 KM,,0 Votes,"2, Umerkhadi, Navroji Hill Road, Dongri, Mumbai - 400009"
A One General Stores Dongri Sandhurst Road,0.05 KM,,0 Votes,"Shop No 8, Baitul Habib Building, Navroji Hill Road, Sandhurst Road, Mumbai - 400009, Dongri"
Kishori General Store And Xerox Opposite St Joseph High School Dongri,0.07 KM,,0 Votes,"Shop No. 6, Nowroji Hill Road, Dongri, Mumbai - 400009, Opposite St. Joseph High School"
Sun Stationery And General Stores Dongri,0.07 KM,,0 Votes,"Nav Shavkont Appartment, Navroji Hill Road, 19, Shop No 4, Umerkhadi, Dongri, Mumbai - 400009"
Shree Krishna Traders Near Jain Mandir Dongri,0.08 KM,4.0,1 Votes,"Shop No. 12, Khairunnisa Heights, Navroji Hill Road No. 2, Dongri, Mumbai - 400009, Near Jain Mandir,"
Pragati General Store Opp Machhi Market Dongri,0.1 KM,,0 Votes,"Shop no. 2, Navroji Hill Road, Dongri, Mumbai - 400009, Opp. Machhi Market"
Shree Datta General Store Near Sandhurst Road Railway Station Sandhurst Road,0.11 KM,3.7,413 Votes,"Shop No 6 , Dongri Muncipal Market, Nowroji Hill Road No4, Sandhurst Road, Mumbai - 400009, Near Sandhurst Road Railway Station"
Al Nazir Chemist Opposite Habib Hospital Dongri,0.11 KM,5.0,1 Votes,"Shop No 2, Jail Road,Umerkhadi, Dongri, Dongri, Mumbai - 400009, Opposite Habib Hospital"
Welcome General Store Opposite st joseph church Dongri,0.11 KM,,0 Votes,"Rangwala bld, Balu Changu Patil marg 1, Dongri, Mumbai - 400009, Opposite st.joseph church"
Nazir Medico Near Sandhurst Road Dongri Muncipal Fish Market Dongri,0.12 KM,4.6,7 Votes,"Shop No 13, Nowroji Hill Road No 4, Dongri, Mumbai - 400009, Near Sandhurst Road, Dongri Muncipal Fish Market"
Shivkrupa Pan Bidi Tobacco Shop Sandhurst Road,0.13 KM,,0 Votes,"Dongri, Mumbai, Dr Maheswari Road, Sandhurst Road, Mumbai - 400009"
Kedarling General Store New Muncipal Market Dongri,0.13 KM,,0 Votes,"Shop No.16, Dr Meisheri Road, Dongri, Mumbai - 400009, New Muncipal Market"
Hamidiya Store Dongri Sandhurst Road,0.13 KM,5.0,1 Votes,"Shop No 3, Jablie Building, Nawroji Hill Road No 1, Sandhurst Road, Mumbai - 400009, Dongri"
Shree Datta General Store Dongri,0.13 KM,3.7,413 Votes,"Shop No 6,Dongi Municipal Market, Nauroji Hill Road No 4, Dongri, Mumbai - 400009"
Abdul Rahim Husain Chinchole Bunder No 1 Dongri Chinch Bandar,0.14 KM,,0 Votes,"124, Jamal Mansion, Chinch Bandar, Mumbai - 400009, Chinchole Bunder No 1, Dongri"
