Name,Distance,Rating,Votes,Address
Manish Market Near Chhatrapati Shivaji Terminus Area Fort,1.11 KM,3.9,7677 Votes,"Unit No 2, Ramabai Ambedkar Marg, Fort, Mumbai - 400001, Near Chhatrapati Shivaji Terminus Area"
R R Acharia Inside Crawford Market Mahatma Phule Market Fort,1.19 KM,5.0,2 Votes,"Shop No 382, Fort, Mumbai - 400001, Inside Crawford Market, Mahatma Phule Market"
Bhawaniprasad Ramdas Co Fort,0.06 KM,,0 Votes,"10 Smt Meena Mehta Marg, Fort, Mumbai - 400001"
Alpha General Store Opp Stationary Zone Fort,0.09 KM,4.3,6 Votes,"95 Sai Bihar, Modi Street, Fort, Mumbai - 400001, Opp. Stationary Zone"
Janta Provision Stores Fort,0.22 KM,,0 Votes,"165, Bora Bazar Street, Fort, Mumbai - 400001"
Pyare Mohan Store Near General Post Office Fort,0.02 KM,5.0,1 Votes,"Sanji Khetsi, 8-A,, Smt Meena Mehta Road,, Fort, Mumbai - 400001, Near General Post Office"
Jadeja Govindji Devji Company Sudama Niwas Fort,0.13 KM,4.5,4 Votes,"58/62, Bora Bazar Street, Fort, Mumbai - 400001, Sudama Niwas"
Dungarshi Hansaraj Company Fort,,,0 Votes,"New Girish Apartment, Patil Lane,, Fort, Mumbai - 400001"
Nilesh Store Fort,,3.0,1 Votes,"Crawford Market,, Fort, Mumbai - 400001"
Ayush Agro Dry Fruits Near Post Office Fort,,,0 Votes,"Akashwani Bulding, MLA Guest House, Mantralaya Nafatlal House Garden Gate., Fort, Mumbai - 400001, Near Post Office"
Shah Nanji Bhanji Grain Provision Merchant Lucky House Fort,0.14 KM,,0 Votes,"Shop No.1, 272, S B S Road, Fort, Mumbai - 400001, Lucky House"
Shetty Farshan Mart Fort,0.15 KM,4.3,3 Votes,"58/64, Sudama Nivas, Bora Bazaarstreet,Room No 9, Fort, Mumbai - 400001"
Laxmi general store Ballart estate Fort,0.16 KM,,0 Votes,"shop no 24, Fort, Mumbai - 400001, ballart estate"
Shreeji Foods Nx Fort,0.17 KM,4.4,89 Votes,"Shop No 1/2, Walchand Hirachand Marg, Fort, Mumbai - 400001"
Vicky general store Mint road Fort,0.19 KM,,0 Votes,"shop no 21, om society, Fort, Mumbai - 400001, mint road"
CST General Store Opp Jairam Electric Store Fort,0.21 KM,3.4,4 Votes,"Shop No - 03, 55 Bora Bazar, Fort, Mumbai - 400001, Opp-Jairam Electric Store"
Dhanu store Opp Colo Photo Shop Fort,0.22 KM,,0 Votes,"Shop No 19/20, Bora Bazar Street, Fort, Mumbai - 400001, Opp-Colo Photo Shop"
Adarsh Chana Mart Fort,0.24 KM,,0 Votes,"# 176, Shop No. 5, Mhada Biulding, Bora Bazar St, Borabazar Precinct, Ballard Estate, Fort, Mumbai - 400001"
Zala Stores Opp Fort Market Fort,0.26 KM,4.7,3 Votes,"Shop No 170/172 Amina Building, Modi Street, Fort, Mumbai - 400001, Opp Fort Market"
Devshi Moorji Co Opposite Fort Market Fort,0.3 KM,,0 Votes,"184 Modi Street, Mody Street, Fort, Mumbai - 400001, Opposite Fort Market"
Rajendra Kumar Store Fort,0.3 KM,,0 Votes,"Bhaji Galli, Borabazar Precinct, Ballard Estate, Greater, Fort, Mumbai - 400001"
Sri Ram Trading Fort,0.32 KM,,0 Votes,"Shop No 28, DN Road, Fort, Mumbai - 400001"
Anmol Kirana Store Wellington Fountain fort,0.32 KM,3.0,1 Votes,"Shop No 02, M D Road, Wellington Fountain-fort, Mumbai - 400001"
Raj store Fort,0.33 KM,,0 Votes,"Shop2 cst station, Fort, Mumbai - 400001"
Arami Mithai Opposite CST Station Fort,0.35 KM,,0 Votes,"D.N.Road, Fort, Mumbai - 400001, Opposite CST Station"
Chandni General Store Fort,0.49 KM,,0 Votes,"Shop No 634, Fort, Mumbai - 400001"
Irfan kirana store Near Citi Bank Wellington Fountain Fort,0.51 KM,,0 Votes,"12 A. H. D. Building, Pitha street, Wellington Fountain-Fort, Mumbai - 400001, Near Citi Bank"
Bansi Studio Fort,0.52 KM,4.8,13 Votes,"Dhun Biulding, Jyoti Studio Compound, Veer Nariman Road, Kala Ghoda, Fort, Mumbai - 400001"
Gupta Provision Store Masoob Shopping Centre Near Janmabhoomi Marg Fort,0.53 KM,4.6,9 Votes,"14 Bagh, Wakriwala Building, Shop A/ 1, Pitha Street, Fort, Mumbai - 400001, Masoob Shopping Centre, Near Janmabhoomi Marg"
Krunal general store V n road Fort,0.64 KM,,0 Votes,"shop no 14, Fort, Mumbai - 400001, v n road"
Easyday Club Fort Fort,0.66 KM,,0 Votes,"Gymkhana Ltd, Azad Maidan, Mahatma Gandhi Road, Fort, Mumbai - 400001, Fort"
Gupta Kirana Store Fort,0.68 KM,,0 Votes,"Shop-a/1 7303781032, Fort, Mumbai - 400001"
Shree Shakti General Store Near jesal park Fort,0.87 KM,,0 Votes,"Shop 11, oswal park, Fort, Mumbai - 400001, near jesal park"
P K Bidi Shop Near Commisioner Office Fort,1.03 KM,,0 Votes,"Shop No 7 Sitaram Building, D N Road, Fort, Mumbai - 400001, Near Commisioner Office"
Magna Nutrition Centre Kala Ghoda Fort,1.14 KM,3.5,12 Votes,"143, Sassoon Building, M G Road, Fort, Mumbai - 400001, Kala Ghoda"
Gourmet West Opposite Jehangir Art Gallery Kala Ghoda Fort,1.18 KM,4.0,6 Votes,"C/O Westside Store, Ground Floor, Army & Navy Building, 148 M G Road, Fort, Mumbai - 400001, Opposite Jehangir Art Gallery, Kala Ghoda"
Lobo Gloria Stores Fort,1.18 KM,,0 Votes,"Dhobi Talao, Chhatrapati Shivaji Terminus Area, Fort, Mumbai - 400001"
Laxmi Stores Fort,1.18 KM,4.5,2 Votes,"255256, Crawford Market, Dhobi Talao, Chhatrapati Shivaji Terminus Area, 4th Lane, 4th Lanelokmanya Tilak Marg, Fort, Mumbai - 400001"
Hamir Merchant Fort,1.68 KM,,0 Votes,"Steel Chambers,, Caves Ji Street,, Fort, Mumbai - 400001"
Lobo Stores Opposite Bombay Police Head Quater Crawford Market,1.19 KM,4.1,206 Votes,"Shop No 295-296, M J Phule Market, Crawford Market, Mumbai - 400001, Opposite Bombay Police Head Quater"
Hakimi Stores Crawford Market,1.15 KM,4.4,132 Votes,"301/302 Crawford Hair Tage Market, 3rd Lane, Crawford Market, Mumbai - 400001"
V K Stores Opp crime branch Crawford Market,1.17 KM,4.3,12 Votes,"Shop No 467-468, second galli second shop, Crawford Market, Mumbai - 400001, opp crime branch"
Shah Vasanji Damji Opposite Badshah Cold Drink House Opposite CID Office Crawford Market,0.16 KM,4.0,18 Votes,"Shop No 376/377/378, D N Road, Crawford Market, Mumbai - 400001, Opposite Badshah Cold Drink House, Opposite CID Office"
Om Grocery Store,,,0 Votes,Mumbai - 400001
Sarang Organic Food,,,0 Votes,"457,, Retibundar, Mumbai - 400001, Mumbra"
Arihant Stores,,,0 Votes,Mumbai - 400001
Sadhumalkodumal Kirana Store,,,0 Votes,Mumbai - 400001
Vaishali Stores,,,0 Votes,Mumbai - 400001
Grocesory Shop,,4.4,8 Votes,Mumbai - 400001
Sitaldas Avatmal Dry Fruit,,,0 Votes,"Shop No 485, Nr.police Station, Mumbai - 400001, Bharat Chowk,Ulhasnagar-421001"
Raju Grain Stores,,,0 Votes,Mumbai - 400001
KAJAL ENTERPROISE,,,0 Votes,mumbai - 400001
Jai Ambe General Stores,,,0 Votes,"Shop No. 3014, Mukund Company Road, Mumbai - 400001, Near Axis Bank Atm, Eshwar Nagar"
Yadav Grain Store,,,0 Votes,Mumbai - 400001
Easy Day Fresh,,5.0,1 Votes,"Shop No.3 Kausar Mahal, Amrut Nagar, Mumbai - 400001, Opposite Dargah Signal"
Vijay grocery store,,,0 Votes,Mumbai - 400001
Kiran Stores Inside Crawford Market Crawford Market,0.19 KM,4.0,1 Votes,"Shop No 188, 4th Lane, L T Road, Crawford Market, Mumbai - 400001, Inside Crawford Market"
Chapshi Vershi Co Crawford Market,1.18 KM,3.0,1 Votes,"Crawford Market, Stall No. 437, Crawford Market, Mumbai - 400001"
Vasudas Narayan General Store Opp Sadanan Hotel Crawford Market,1.22 KM,2.0,1 Votes,"Shop No 511, 1st Lane Inside Crowford Market, Crawford Market, Mumbai - 400001, Opp Sadanan Hotel"
Satyam Enterprises Opposite Patwa Chambers Near Masjid Station East Dana Bandar,1.84 KM,4.3,59 Votes,"110 & 111, Clive Road,, Dana Bandar, Mumbai - 400009, Opposite Patwa Chambers, Near Masjid Station East"
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,1.32 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR"
Godrej Natures Basket Near Kc College Churchgate,1.19 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College"
Satyam Enterprise Masjid Bunder,,3.8,6 Votes,"Masjid Bunder, Mumbai - 400003"
Parshuram Traders Virmani Market Bhat Bazar Masjid Bunder,1.89 KM,4.1,20 Votes,"267/71, G-15, Narshi Nath Street, Masjid Bunder, Mumbai - 400003, Virmani Market, Bhat Bazar"
Patel Brothers Near yes ub academy school Marine Drive,1.28 KM,3.8,37 Votes,"Shop No 3, Badrikeshwar Building No 82, Marine Drive, Mumbai - 400020, near yes ub academy school"
E H Kathawala Company Bhat Bazar Masjid Bunder,1.89 KM,4.6,27 Votes,"262/70, Anant Niwas, Narshi Natha Street, Masjid Bunder, Mumbai - 400003, Bhat Bazar"
Aman Trading Company Masjid Bunder,,4.0,4 Votes,"219, Narshi Natha Street, Masjid Bunder, Mumbai - 400003"
Fair Price Shop Opposite Samrat Hotel Churchgate,1.32 KM,4.0,71 Votes,"Shop No 4, 195, Moti Mahal, J T Road, Churchgate, Mumbai - 400020, Opposite Samrat Hotel"
