Name,Distance,Rating,Votes,Address
Aarvi Trading Ghatkopar West,1.35 KM,4.5,1 Votes,"Ghatkopar West, Mumbai - 400086"
Food Spot Bussines Park Ghatkopar East,0.19 KM,4.1,75 Votes,"Shop No 18, Kamdar Shopping Apartment, Tilak Road, Ghatkopar East, Mumbai - 400077, Bussines Park"
Shah Arjan Virji Company Jalaram Nagar Opp Gandhi Market Ghatkopar East,0.19 KM,4.1,59 Votes,"1/4 Jalaram Nagar, M G Road, Ghatkopar East, Mumbai - 400077, Jalaram Nagar Opp. Gandhi Market"
Pramanik General Store Near Indian Overseas Bank Ghatkopar East,0.33 KM,4.2,379 Votes,"Shop No. 7 & 8, Golwala Banglow, M G Road, Hingwala Lane, Ghatkopar East, Mumbai - 400077, Near Indian Overseas Bank"
Shah Ramji Bachubhai Kirana Store Opposite Balaji Mandir Ghatkopar East,0.28 KM,3.8,80 Votes,"Shop No 7 & 8, Mahesh Kunj, Tilak Road, Ghatkopar East, Mumbai - 400077, Opposite Balaji Mandir"
Janta Masala Next Tiptop Ghatkopar East,0.24 KM,4.2,17 Votes,"Shree Sadan, Vallabh Baug Lane, Ghatkopar East, Mumbai - 400077, Next Tiptop"
Mansi Medical General Stores Near Garodia Nagar Opp Union Bank Of India Ghatkopar East,0.75 KM,4.2,61 Votes,"157, Shop No 8, Neelkanth Bldg, Vallabh Baug Lane, Ghatkopar East, Mumbai - 400077, Near Garodia Nagar, Opp Union Bank Of India"
Central Department Stores Opposite Doshi Nursing Home Ghatkopar East,0.34 KM,4.0,24 Votes,"10, Hingwala Bunglow, Hingwala Lane, Ghatkopar East, Mumbai - 400077, Opposite Doshi Nursing Home"
Alka General Stores Opposite Building No 106 Pant Nagarshakhar Market Pant Naga Ghatkopar East,0.86 KM,4.1,32 Votes,"Shop No 5, Station Road, Ghatkopar East, Mumbai - 400075, Opposite Building No 106, Pant Nagarshakhar Market Pant Naga"
Bhavin Medical Stores Near Pushpa Vihar Hotel Ghatkopar East,0.87 KM,3.6,28 Votes,"186/5 , Ratan Palace, Garodia Nagar, Ghatkopar East, Mumbai - 400077, Near Pushpa Vihar Hotel"
Riddhi Medical General Store Near Sarvodaya Hospital Ghatkopar West,0.88 KM,4.4,38 Votes,"Trimurti Arcade Shop No 8 & 9 Gandhi Nagar, L B S Marg, Ghatkopar West, Mumbai - 400086, Near Sarvodaya Hospital"
Shah Book Centre General Stores Opposite Sndt College Ghatkopar West,0.43 KM,4.0,37 Votes,"Monish Suruwat Building Ashish Complex, M G Road, Kama Gali, Ghatkopar West, Mumbai - 400086, Opposite Sndt College"
