Name,Distance,Rating,Votes,Address
Top Choice Super Market Goregaon West,1.23 KM,3.5,2 Votes,"Shop No14/15/16,Shepherd Royal, Near Metro Station Laxmi Nagar Link Road Goregaon West, Goregaon West, Mumbai - 400090"
Deepak Grain Stores Opp to BMC Market Goregaon West,0.31 KM,5.0,3 Votes,"Shop No 10, SAMARTH Complex, Jawahar Nagar Road No 1,, Goregaon West, Mumbai - 400062, Opp to BMC Market"
Big Bazaar The Hub Mall Near Western Express Highway Goregaon East,1.2 KM,3.9,82 Votes,"C/O Nirlon Compound, Goregaon East, Mumbai - 400063, Near Western Express Highway"
Chheda Sales Opposite Kedia Hospital Off MG Road Goregaon West,0.53 KM,4.2,285 Votes,"Shop No 2,3,4 Kiran Industrial Estate, Goregaon West, Mumbai - 400062, Opposite Kedia Hospital, Off MG Road"
Central Store Near Anupam Stationary Goregaon East,0.85 KM,4.1,68 Votes,"Accord Classic Shop No.7, Station Road, Goregaon East, Mumbai - 400063, Near Anupam Stationary"
Shanti Dal Mill Opposite Vardan Jewellers Goregaon West,0.71 KM,4.3,131 Votes,"1,2 Old Bora House,, Grampanchyayat Road,, Goregaon West, Mumbai - 400062, Opposite Vardan Jewellers,"
Sunday Express Liberty Sunday Retail Pvt Ltd Churi Wadi Goregaon East,1.21 KM,5.0,1 Votes,"Ground Floor,Romell Umiya Grandeur Building, Vishveshwar Nagar Road, Goregaon East, Mumbai - 400063, Churi Wadi"
Nutan Dal Mill Opposite Hotel Shabri Goregaon West,0.62 KM,3.9,224 Votes,"Shop No 1 & 2, Ganesh Bhavan, M G Road, Goregaon West, Mumbai - 400062, Opposite Hotel Shabri"
Satyam Stores Near Bangur Nagar Chowki Bangur Nagar goregaon West,1.51 KM,4.2,49 Votes,"Shop No 60,Bhanumati Society, Bangur Nagar-goregaon West, Mumbai - 400104, Near Bangur Nagar Chowki"
Mangalore Stores Goregaon West,0.04 KM,4.3,96 Votes,"20, Jawahar Nagar, Swami Vivekanand Marg, Goregaon West, Mumbai - 400104"
Pragati Super Mart NEAR VIJAYA BANK NEAR PHATAK Goregaon West,0.3 KM,3.8,23 Votes,"179/180 KAMLA CHARAN BUILDING, ROAD.2, Goregaon West, Mumbai - 400062, NEAR VIJAYA BANK NEAR PHATAK"
First Choice Foodland Opposite Rosary Church Goregaon West,0.87 KM,4.3,9 Votes,"434, Unnat Nagar, Motilal Nagar Ii, Mahatma Gandhi Road, Goregaon West, Mumbai - 400062, Opposite Rosary Church"
Laxmi Mart Near Jain Temple Goregaon West,0.29 KM,4.4,106 Votes,"Laxmi Mart, Plot No 76, Hem Kunj, Station Road, Jawaharnagar Road No 1, Goregaon West, Mumbai - 400062, Near Jain Temple"
Chhaya Chana Shop Opp goregaon Boot House Goregaon West,0.62 KM,4.2,23 Votes,"Shop No. 6 Shri Shrimal House, Station Road, Goregaon West, Mumbai - 400062, Opp.goregaon Boot House"
Popular Stores Near Pritam Hotel Goregaon East,0.93 KM,4.0,106 Votes,"Shop No 2, Kashi Niwas, Aarey Road, Goregaon East, Mumbai - 400063, Near Pritam Hotel"
Laxmi Dal Mill Near Ayyapa Temple Road Bangur Nagar goregaon West,1.48 KM,4.0,105 Votes,"Shop No 60, Hiramani Ratan Shopping Centre, Bangur Nagar Police Chowki Street, Bangur Nagar-goregaon West, Mumbai - 400104, Near Ayyapa Temple Road"
Easy Day Fresh Opposite Goregaon West,0.51 KM,4.4,6 Votes,"Shop Number 9/10 ,Dhanlaxmi Society Ltd, Vivek Niketan Road, Vivek Niketan Roadmahatma Gandhi Road, Goregaon West, Mumbai - 400062, Opposite"
Samant Bandhu Near Goregaon Station Goregaon West,0.55 KM,4.5,15 Votes,"Shop No.8/A, Shakti Niwas, Station Road, Goregaon West, Mumbai - 400062, Near Goregaon Station"
Simply Organics Opposite Sejal Park Goregaon West,1.17 KM,4.5,16 Votes,"192/1538, Motilal Nagar No. 1, BEST Colony Road, Goregaon West, Mumbai - 400104, Opposite Sejal Park"
Ajanta Stores Opposite Janta Dugdhalaya Goregaon West,0.25 KM,4.1,36 Votes,"176/9-10, Jawahar Nagar, Road No. 11, Goregaon West, Mumbai - 400062, Opposite Janta Dugdhalaya"
Easyday Fresh Store Near Satym Park Hall Goregaon Goregaon East,1.37 KM,3.6,59 Votes,"Shop No.4&5,Ground Floor,Bhanukant Complex, (East), Goregaon East, Mumbai - 400063, Near Satym Park Hall Goregaon"
Ananda Stores S V Road Goregaon West,0.12 KM,4.1,15 Votes,"15, Jawahar Nagar, Goregaon West, Mumbai - 400062, S V Road"
Dhiraj Grain Stores Opposite Ambe Mata Mandir Goregaon West,0.36 KM,4.4,20 Votes,"Shop No 71, Road No 1, Goregaon West, Mumbai - 400062, Opposite Ambe Mata Mandir"
New Chhaya Chana Mart Near New India Cooperative Bank Goregaon West,0.4 KM,4.2,151 Votes,"Shop No 1, Purnima Building, M G Road, Goregaon West, Mumbai - 400104, Near New India Cooperative Bank"
Saiya Grain Stores Goregaon West,0.41 KM,5.0,3 Votes,"264/2 Ajay Bhuvan, Jawahar Nagar Road No 11, Goregaon West, Mumbai - 400062"
Jai Bhawani Dal Mill Opposite Jain Mandir Goregaon West,0.7 KM,4.3,4 Votes,"Shop No.07, Tripathi Bhavan, Aarey Road, Goregaon West, Mumbai - 400062, Opposite Jain Mandir"
Annapoorna Super Market Near Off M G Road Goregaon West,0.75 KM,4.9,8 Votes,"Plot No-81, Shop No-2/3, Nightingale Building, L T Nagar Road No-5r, Goregaon West, Mumbai - 400104, Near Off M G Road"
Balubhai Dharsi Company Opposite Jain Temple Goregaon West,0.77 KM,4.2,19 Votes,"Shop No 8/9, Tripathi Bhawan, Aarey Road, Goregaon West, Mumbai - 400062, Opposite Jain Temple"
Patel Enterprises Motilal Nagar No 1 Goregaon West,0.78 KM,3.9,11 Votes,"91/727, Goregaon West, Mumbai - 400104, Motilal Nagar No 1"
Apna Bazar Goregaon West,0.8 KM,3.9,13 Votes,"Unnatural nagar No-2, Yeshwant nagar Goregaon, Goregaon West, Mumbai - 400062"
