Name,Distance,Rating,Votes,Address
Gujrals Mega Mart Near Tobotil Near State Bank Of India Govandi East,0.57 KM,3.8,13 Votes,"Shop No.18, Govandi Street, Govandi East, Mumbai - 400088, Near Tobotil, Near State Bank Of India"
S Mart Govandi East,1.05 KM,4.2,30 Votes,"Patil Wadi, Bs Devashi Marg, Govandi East, Mumbai - 400088"
Mcha Kirana Shop Govandi East Govandi West,0.25 KM,4.5,4 Votes,"1155, Gautam Naga, New Gautam Nagar, Gautam Naga, New Gautam Nagar, Sonapur Road, Govandi West, Mumbai - 400043, Govandi East"
The Tree House Dionar Meet Mandi Tata Nagar Govandi West,0.39 KM,,0 Votes,"364 part 1/2, Tata Nagar-Govandi West, Mumbai - 400043, Dionar Meet Mandi"
The Tree House Dionar Meet Mandi Tata Nagar Govandi West,0.39 KM,,0 Votes,"Shop no 365/1, Tata Nagar-Govandi West, Mumbai - 400043, Dionar Meet Mandi"
Firdoos Supari Govandi West,0.43 KM,2.8,11 Votes,"1155, Gautam Naga, New Gautam Nagar, Gautam Naga, New Gautam Nagar, Sonapur Road, Govandi West, Mumbai - 400043"
New Kismat Kirana Store Govandi East,0.44 KM,5.0,1 Votes,"Raman Raza Chowk, Baiganwadi, Govandi East, Mumbai - 400088"
Sanda Mata Oil Depot Deonar Gate No1 Govandi West,0.46 KM,,0 Votes,"Shop No 12, Govandi West, Mumbai - 400043, Deonar Gate No1"
Bhola Nath Lallan Gupta Near Ali Xerox Govandi West,0.48 KM,1.0,1 Votes,"New Gautam Nagar Plot No.1 Banana Shop, Govandi West, Mumbai - 400043, Near Ali Xerox"
Suresh Provision Store Near Dainik Chemist Govandi East,0.54 KM,,0 Votes,"Ramji Umarshi Building, Govandi Station Road, Govandi East, Mumbai - 400088, Near Dainik Chemist"
Akhani Store Baiganwadi,0.54 KM,5.0,4 Votes,"Plot No. 13/A/2 (W), No 10, Govandi East, Baiganwadi, Mumbai - 400043"
Rahul Coconut Shop GovandiEast Govandi East,0.56 KM,5.0,2 Votes,"Govandi Gaonthan, Samrat Ashok Nagar, Govandi Station Road, Govandi East, Mumbai - 400088"
Solanki Stores Shivaji Nagar Govandi Govandi West,0.67 KM,5.0,1 Votes,"Plot No-46,Shop No-22/23 Solanki Store, Nera Bmc Hospital, Govandi West, Mumbai - 400043, Shivaji Nagar Govandi"
Rajghar Kirana Stores Wamam Tukaram Patil Marg Govandi West,0.67 KM,,0 Votes,"Datta Nagar, Govandi West, Mumbai - 400043, Wamam Tukaram Patil Marg"
Chandan Bakery stores Govandi East,0.69 KM,,0 Votes,"Devji Umarsey chawl, Shop No.3, Govandi East, Mumbai - 400088"
Geeta General Stores Near Hanuman Mandir Govandi West,0.69 KM,,0 Votes,"Datta Nagar, Govandi West, Mumbai - 400043, Near Hanuman Mandir"
Manish General Provision Stores Patwardhan Colony Deonar,0.7 KM,4.0,3 Votes,"2, Uday Building, B Wing, Govandi Station Road, Deonar, Mumbai - 400088, Patwardhan Colony"
New Govadari Stores Anandi Hotel Govandi East,,,0 Votes,"Plot No42, Road 6, Govandi East, Mumbai - 400088, Anandi Hotel"
Sunil Stores Near Old Bus Depot Daigan Wadi Govandi East,,,0 Votes,"Shop No A 3, Plot No 33, Govandi East, Mumbai - 400088, Near Old Bus Depot, Daigan Wadi"
Dinis Kirana Stores Shivaji Nagar Govandi West,,5.0,1 Votes,"2, Govandi West, Mumbai - 400043, Shivaji Nagar"
Guru Krupa Shop Govandi East,,,0 Votes,"10,Road No 9,Baiganwadi, Govandi, Mumbai, Govandi East, Mumbai - 400088"
Prabhakar General Store Govandi West,,,0 Votes,"Plot NO A/11/A/3, Shivaji Nagar No 2, Road No 9, Govandi West, Mumbai - 400043"
Madhumati General Store And Kirana Store Near shivaji nagar signal Govandi West,,,0 Votes,"shop no 10,govandi station road,opp janta tember market,mali smaj bhujbal wadi,hanuman chs, Govandi West, Mumbai - 400043, near shivaji nagar signal"
S k Supari STORE Near Masjid Govandi West,,,0 Votes,"Baerambaugh, Road No 14, Govandi West, Mumbai - 400043, Near Masjid"
Quality Bakery Govandi East,,4.2,5 Votes,"Shop No. 3,P.L.Lokhnde Marg, Buddha Nagar, Govandi East, Mumbai - 400088"
Gajanan Gupta General Stores Near Kapileshwar Mandir Govandi West,0.7 KM,,0 Votes,"Tata Nagar Road, Govandi West, Mumbai - 400043, Near Kapileshwar Mandir"
Ansari Kirana Store Govandi West,,,0 Votes,"Near Bye, Govandi West, Mumbai - 400043"
Al Hamd General Store Near Kokan Bank Govandi West,,,0 Votes,"Plot No 3/S/1, Shivaji Nagar, Road No 1, Govandi West, Mumbai - 400043, Near Kokan Bank"
M Mart Stores Govandi West,,,0 Votes,"Plot No 23/S/1, Shivaji Nagar, Road No 4, Govandi West, Mumbai - 400043"
Madin trader Baganwadi Hunda Hotel Govandi West,,,0 Votes,"Shop 5 Plot No 17, Road No 8, Govandi West, Mumbai - 400043, Baganwadi , Hunda Hotel"
Chand Store Near Masjid Govandi West,,,0 Votes,"Building No-10A , Shop No-4, Network Park ,Mhada Compound, Govandi West, Mumbai - 400043, Near Masjid"
Sandeep Kirana Store Ambedkar chowk Govandi West,,4.5,1 Votes,"Shop no. G1, prabuddha tower B Wing, Govandi West, mumbai - 400043, Ambedkar chowk"
Vasant Kirana Stores Gajanan Colony Govandi West,0.71 KM,0.5,2 Votes,"Shivaji Nagar Road, Govandi West, Mumbai - 400043, Gajanan Colony"
Asha Farshan Govandi West,0.71 KM,,0 Votes,"Plot.3/U/3,Shivaji Nagar, Govandi West, Mumbai - 400043"
Shri Vinayak Masala Stores Govandi West,0.74 KM,,0 Votes,"17k, Number 2, Phase 1, Shivaji Nagar, Govandi West, Mumbai - 400043"
Aditya General Stores Opposite Durga Tempel Nimoni Baug Gaoutam Nagar Road Govandi West Govandi West,0.76 KM,5.0,1 Votes,"Govandi West, Mumbai - 400043, Opposite Durga Tempel Nimoni Baug Gaoutam Nagar Road Govandi West"
Dilawar Stores Govandi West,0.8 KM,4.4,10 Votes,"Number 4, Govandi Slums, Indira Nagar, Phase Ii, Shivaji Nagar, Road, Govandi West, Mumbai - 400043"
Ruksar General Store Lotus Colony govandi,0.83 KM,,0 Votes,"Room No 927 Plot No 14, Lotus Colony-govandi, Mumbai - 400043"
Sanjay Kirana Stores Near Hanuman Mandir Govandi West,0.83 KM,,0 Votes,"Datta Nagar, Govandi West, Mumbai - 400043, Near Hanuman Mandir"
Deepak Kirana Stores Opposite R C C Nagar Govandi West,0.84 KM,,0 Votes,"Gautam Nagar, Govandi West, Mumbai - 400043, Opposite R C C Nagar"
Aqsa Biscuit And Kirana General Store Govandi West,0.86 KM,5.0,4 Votes,"Govandi Slums, Phase Ii, Shivaji Nagar, Govandi West, Govandi West, Mumbai - 400043"
Manisha Grain Store Govandi West,0.88 KM,,0 Votes,"Plot No.29/K, , 5, Number 3, Govandi Gaonthan, Phase 1, Shivaji Nagar, Road, Govandi West, Mumbai - 400043"
Suresh Kirana Store Near Kapleshwar Mandir Govandi West,0.88 KM,,0 Votes,"Tata Nagar, Govandi West, Mumbai - 400043, Near Kapleshwar Mandir"
