Name,Distance,Rating,Votes,Address
Salunke Bandhu Near Vegetable Market Chira Bazar kalbadevi,0.21 KM,4.1,7 Votes,"Shop No 509, Sona Chambers, J S S Road, Chira Bazar-kalbadevi, Mumbai - 400002, Near Vegetable Market"
All In One General Store Maheshwari Mata Mandir Sham Bhavan Navi Wadi Chira Bazar kalbadevi,0.1 KM,5.0,1 Votes,"Shop No 1, Building No 20, Dadi Seth Agyari Lane, Chira Bazar-kalbadevi, Mumbai - 400002, Maheshwari Mata Mandir, Sham Bhavan Navi Wadi"
Shah Stores Near Balaji Temple Sitaram Poddar Marg Kalbadevi,,4.0,7 Votes,"59, 1st Fanaswadi Rele Building, Palekar Marg, Kalbadevi, Mumbai - 400002, Near Balaji Temple, Sitaram Poddar Marg"
Jay Bajrang Stores Thakurdwar Thakurdwar Kalbadevi,0.45 KM,,0 Votes,"Shop No 207, Barfiwala Building, Babasaheb Jaykar Road, Thakurdwar-Kalbadevi, Mumbai - 400002, Thakurdwar"
Bhagwati Store Kalbadevi,0.06 KM,,0 Votes,"No 45 Narayan Nivas, Dr Adisethi Agyari Road, Kalbadevi, Mumbai - 400002"
Morarji Ratanshi Co Near Acharya Mahapragya School and Santosh Store Kalbadevi,,5.0,1 Votes,"5/14, Dadiseth Agiary Lane, Kalbadevi, Mumbai - 400002, Near Acharya Mahapragya School and Santosh Store"
KGN store Opp bank of Baroda Chira Bazar Kalbadevi,0.12 KM,,0 Votes,"Shop no 345, Chira bazar, Chira Bazar-Kalbadevi, Mumbai - 400002, Opp bank of Baroda"
Jay Mahadev Provision Stores Morarji Velji Goshala Kalbadevi,0.12 KM,,0 Votes,"21, Building No 39/41, Kolbhat Lane, Kalbadevi, Mumbai - 400002, Morarji Velji Goshala"
Siddhivinayak Stores In Front Of City Kitchen Kalbadevi,0.19 KM,,0 Votes,"Lakhpati Building, Shrink ant Palekar Marg, Kalbadevi, Mumbai - 400002, In Front Of City Kitchen"
S v setti S p road Fanas Wadi Kalbadevi,0.23 KM,,0 Votes,"Shop no.106, Jagannath chawl, Fanas Wadi-Kalbadevi, Mumbai - 400002, S.p road"
Win Supermarket Gazdar Street Corner Chira Bazar Kalbadevi,,,0 Votes,"412/414 Parekh Niwas, Jss Road, Chira Bazar-Kalbadevi, Mumbai - 400002, Gazdar Street Corner"
Rahul Store Kalbadevi,0.25 KM,5.0,11 Votes,"91/Hh Koliwadi, Kalbadevi, Mumbai - 400002"
Khushi grain store Chira bazar Kalbadevi,0.26 KM,,0 Votes,"91,khushi bldg, Velankar Road, Kalbadevi, Mumbai - 400002, Chira bazar"
Vishal grain store Machi market Chira Bazar Kalbadevi,0.26 KM,3.0,1 Votes,"Shop no 527, JSS Road, Chira Bazar-Kalbadevi, Mumbai - 400002, Machi market"
Ashapura General Store Morarji Velji Goshala Kalbadevi,0.28 KM,,0 Votes,"21, Building No 39/41, Kolbhat Lane, Kalbadevi, Mumbai - 400002, Morarji Velji Goshala"
Babu Grocery Kalbadevi,0.32 KM,,0 Votes,"Kalbadevi, Mumbai - 400002"
Laxmichand Hansraj 45 Chandanwadi Opposite Nipra House Chira Bazar kalbadevi,0.35 KM,3.5,1 Votes,"Shop No 1&2,B I T Chawl 1, Chira Bazar-kalbadevi, Mumbai - 400002, 45 Chandanwadi, Opposite Nipra House"
Modern Store New Bhatia Bhajanwadi Kalbadevi,0.36 KM,3.5,1 Votes,"Shop No 3, 9/15 Moraji Veiji Bldg, Dr M.B Velkar Street, Kalbadevi, Mumbai - 400002, New Bhatia Bhajanwadi"
Niyati Store Opp Hotel Sunshine Kalbadevi,0.42 KM,5.0,1 Votes,"Shop No.-305, JSS Road,, Thakurdwar Road, Kalbadevi, Mumbai - 400002, Opp Hotel Sunshine"
Sai General Stores Princess road Kalbadevi,0.45 KM,,0 Votes,"Shop no.614, Setana bldg, Kalbadevi, Mumbai - 400002, Princess road"
Gupta Oil And General Stores Thakurdwar Kalbadevi,0.45 KM,,0 Votes,"Siddhesh Building Shop No 6, Dr.j B Marg, Thakurdwar-Kalbadevi, Mumbai - 400002"
Kiran Provision Masala Store First Khutter Gully Thakurdwar Kalbadevi,0.45 KM,,0 Votes,"Shop 38 /40, Khattar Galli, Thakurdwar-Kalbadevi, Mumbai - 400002, First Khutter Gully"
Lalas Namkeen Dry Fruits Sweets lalas Food Company Opposite 2nd Bhoiwada Kalbadevi,0.51 KM,5.0,3 Votes,"8,9,10,11 B.M.C Market, Bhuleshwar Road, Kalbadevi, Mumbai - 400002, Opposite 2nd Bhoiwada"
Morghar Kirana Store Mughbhat Thakurdwar Kalbadevi,0.53 KM,,0 Votes,"Chogdewala Building, Plot No.10, Mughbhat Lane, Thakurdwar-Kalbadevi, Mumbai - 400002, Mughbhat"
Agrico Overseas Kalbadevi,0.95 KM,3.0,1 Votes,"13,Lohar Chawl,Harawala Building, Shop 116, Kalbadevi, Mumbai, Kalbadevi, Mumbai - 400002"
