Name,Distance,Rating,Votes,Address
King Of Rice Near Bhavna Baug Kamathipura Mumbai Central,0.16 KM,2.7,2 Votes,"101-A, Shop No. 2, S P Road, 6th, Kamathipura-Mumbai Central, Mumbai - 400008, Near Bhavna Baug"
Galfar General Stores Kamathipura Mumbai Central,0.45 KM,5.0,1 Votes,"Sonawala Appartment Biulding,Shop No.14,13/15, M T Ansari Road, Kamathipura-Mumbai Central, Mumbai - 400008"
India Kirana Super Market Kamathipura Mumbai Central,100 mts.,,0 Votes,"Superme Heights, 2nd Lane, Mumbai Central, Mumbai - 400008, Kamathipura"
Janta General Store Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 1, Bit Chawl, Mumbai Central, Mumbai - 400008, Kamathipura"
Shimali General Store Opposite Fauzia Hospital Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 2, Suleman Tower, Bapty Road, Mumbai Central, Mumbai - 400008, Opposite Fauzia Hospital, Kamathipura"
Shree Shamkari Kirana General Store Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 3, 8th Kamathipura Lane, Mumbai Central, Mumbai - 400008, Kamathipura"
Pooja 99 Shop 3rd Lane Kamathipura Nagpada Mumbai Central,0.01 KM,,0 Votes,"Shop No 72/104, MR Road, Nagpada-Mumbai Central, Mumbai - 400008, 3rd Lane Kamathipura"
Dhanlaxmi Opp Hotel Jay Prakash Kamathipura Mumbai Central,0.01 KM,,0 Votes,"Shop No. 7, Reshamwala Bldg, M.R. Road, Kamathipura-Mumbai Central, Mumbai - 400008, Opp. Hotel Jay Prakash"
Om Prakash General Stores Kamathipura mumbai Central,0.04 KM,4.4,7 Votes,"Shop 9, Murgiwala Chawl, M R Road, 12th Lane, Kamathipura-mumbai Central, Mumbai - 400008"
Shree Rajendra Medical General Stores Near Natraj Centre Mumbai Central,0.04 KM,,0 Votes,"Shop No.36/40, Kamathipura 10th Lane, M. R. Road, Mumbai Central, Mumbai - 400008, Near Natraj Centre"
Aashirvad Biskit Mart Opp Krishna Hotel Kamathipura Mumbai Central,0.06 KM,,0 Votes,"Shop No 03 9vi Galli, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Opp Krishna Hotel"
New U P General Store Near Dr Bagh Kamathipura Mumbai Central,0.13 KM,,0 Votes,"Shop No92/1kamathipura8th Galli, M R Road, Kamathipura-Mumbai Central, Mumbai - 400008, Near Dr Bagh"
Sameer Stores Near Arab Galli Kamathipura Mumbai Central,0.13 KM,,0 Votes,"Shop No 01, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Near Arab Galli"
Kantu Bidi Shop Near Siddharth Nagar Kamathipura Mumbai Central,0.15 KM,,0 Votes,"Shop No 01 Ramabai Chawl, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Near Siddharth Nagar"
JAI AMBAY GENERAL STORE Opposite Police Chowky Kamathipura Mumbai Central,,,0 Votes,"89., Shop No. 2, 5th, M. R. Road, Kamathipura-Mumbai Central, Mumbai - 400008, Opposite Police Chowky"
Ranuja Kirana STORE SIX LINE Kamathipura Mumbai Central,,,0 Votes,"SHOP NO 4, M R ROAD, Kamathipura-Mumbai Central, Mumbai - 400008, SIX LINE"
Ranuja Kirana Stores Mumbai Central,,,0 Votes,"Shop No 6, Building No 47, Moti Bhawav, M R Road, Kamathipura Lane, Mumbai Central, Mumbai - 400008"
G D Shop 5th lane Kamathipura Nagpada Mumbai Central,0.2 KM,,0 Votes,"Shop 2, M R Road, Nagpada-Mumbai Central, Mumbai - 400008, 5th lane Kamathipura"
Sai General Stores 7th Lane Kamathipura Nagpada Mumbai Central,0.23 KM,,0 Votes,"Shop No 1 A, SP Road, Nagpada-Mumbai Central, Mumbai - 400008, 7th Lane Kamathipura"
Praveen Store Opp Laundry Kamathipura Mumbai Central,0.27 KM,,0 Votes,"Shop 184 Lokhandvala Chawl, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Opp Laundry"
Bajrang General Stores Kamathipura Mumbai Central,0.3 KM,3.2,5 Votes,"Shop No 1, Bhandar House, 2nd Lane, Mumbai Central, Mumbai - 400008, Kamathipura"
Ansaar General Store Mumbai Central,0.3 KM,,0 Votes,"Navjeevan Society, East, Dalal Estate, Kamathipura, Jayraj Bhai Road, Jayraj Bhai Roadgrant Road, Mumbai Central, Mumbai - 400008"
Nakoda Medical Stores 6th Lane Kamathipura Kamathipura Mumbai Central,0.31 KM,4.5,2 Votes,"Shop No 103/A, S P Road, Kamathipura-Mumbai Central, Mumbai - 400008, 6th Lane Kamathipura"
Chaudhri General Store Opp Aksha Hotel Kamathipura Mumbai Central,0.31 KM,,0 Votes,"Shop No 1 Bldg No 97, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Opp Aksha Hotel"
Arihant General Stores Mumbai Central,0.31 KM,,0 Votes,"10, 5th Ln, Dalal Estate, Kamathipura, Mumbai Central, Mumbai - 400008"
Shailesh Medical General Stores Near Bharat Gas Agency Nagpada mumbai Central,0.36 KM,3.5,1 Votes,"Shop No. 2, 13th Lane Kamathipura, Nagpada-mumbai Central, Mumbai - 400008, Near Bharat Gas Agency"
Gupta General Stores 10th Lane Kamathipura Kamathipura Mumbai Central,0.36 KM,,0 Votes,"Shop No 3, M R Road, Kamathipura-Mumbai Central, Mumbai - 400008, 10th Lane Kamathipura"
Parvez Bread Biscuit Store Kamathipura Mumbai Central,0.36 KM,,0 Votes,"Shop No. 280, Dalal Estate, Dawood Baug, Arab Lane, Arab Lanebapity Road, Kamathipura-Mumbai Central, Mumbai - 400008"
Lakhani General Store Near New S B Tailor Kamathipura Mumbai Central,0.38 KM,4.7,4 Votes,"Arab Galli Shop No 284, Bapty Road, Kamathipura-Mumbai Central, Mumbai - 400008, Near New S B Tailor"
S S General Stores 4th lane kamathipura Nagpada Mumbai Central,0.4 KM,,0 Votes,"Shop No 7, Madanpura Road, Nagpada-Mumbai Central, Mumbai - 400008, 4th lane kamathipura"
Firoz Stationery and general store Near Amin dairy Kamathipura Mumbai Central,0.4 KM,,0 Votes,"42/318 lokhandwala, Arab Gali, Kamathipura-Mumbai Central, Mumbai - 400008, Near Amin dairy"
Madina bakery and general store Near fauziya hospital Kamathipura Mumbai Central,0.43 KM,,0 Votes,"Lokhandwala chawl, Bapti road, Kamathipura-Mumbai Central, Mumbai - 400008, Near fauziya hospital"
Marina Shop Centers Opp Bmc Kamathipura Mumbai Central,0.48 KM,,0 Votes,"Shop No 371/72 Nuribai Abdula Compound, Arab Galli, Kamathipura-Mumbai Central, Mumbai - 400008, Opp Bmc"
Hansraj Hemraj General Stores Near Kamathipura Mumbai Central,0.72 KM,3.5,1 Votes,"Shop-10, Murgiwala Chawl, M.R.Marg, Mumbai Central, Mumbai - 400008, Near Kamathipura"
Vinayak Kirana General Store Mumbai Central,,,0 Votes,"Shop No 9, Jamanadas Building, 7th Kamathipura Lane, Mumbai Central, Mumbai - 400008"
Shanti Chemist General Stores Kamathipura 12th Lane Nagpada Mumbai Central,1.88 KM,3.0,1 Votes,"Shop-39 Resmwala Chowl, 39, Manaji Rajuji Road, Nagpada-Mumbai Central, Mumbai - 400008, Kamathipura 12th Lane"
New Royal Chemists Opposite Raj Oil Mills Nagpada Mumbai Central,0.16 KM,4.0,20 Votes,"Shop No. 3, 229 Bellasis Road, Nagpada-Mumbai Central, Mumbai - 400008, Opposite Raj Oil Mills"
Remedi Care Medical And General Store Near Dawood Nursing Home Nagpada mumbai Central,0.29 KM,4.3,23 Votes,"Shop No. S3A Memni Building, Dimtimkar Road, Nagpada-mumbai Central, Mumbai - 400008, Near Dawood Nursing Home"
Health Care Medical General Store Opp Tahoora Sweets Nagpada Mumbai Central,0.21 KM,4.1,8 Votes,"Shop No.23, 1st Floor Kedy Shopping Centre, Bellasis Road, Mumbai Central, Mumbai - 400008, Opp Tahoora Sweets,Nagpada"
Regal Store Opp Salvation Army Mumbai Central,0.75 KM,4.3,3 Votes,"Fanuswala Building ,Shop no.6, Sankli Street, Mumbai Central, Mumbai - 400008, Opp. Salvation Army"
Alka General Stores Mumbai Central,,3.0,1 Votes,"JAI Bhagwan, Walkeshwar Road,, Mumbai Central, Mumbai - 400008"
Patel Chemist General Stores Opp S T Depot Mumbai Central,0.55 KM,4.4,13 Votes,"Shop. No 2'29Bellasis Road, United Family Walfare Trust Building, Mumbai Central, Mumbai - 400008, Opp. S. T. Depot"
Nandu Super Bazaar Near Navjivan Society Opposite Reliance Mall Mumbai Central,0.65 KM,3.9,94 Votes,"Gala No 3/4, Shiv Smruti Building, K K Marg, Mumbai Central, Mumbai - 400008, Near Navjivan Society, Opposite Reliance Mall"
Satyam Dry Fruit General Stores Mumbai Central,,,0 Votes,"Shop 20, Plot 9 Sector 7 Navi, Mumbai Central, Mumbai - 400008"
Society General Stores Mumbai Central,,,0 Votes,"Shop No 10/11, Sanjay Apartment Mithagar Road Mumbai, Mumbai Central, Mumbai - 400008"
Rakhangi Store Mumbai Central,0.82 KM,3.7,3 Votes,"Rto Colony, Mumbai Central East, A.N. Nair Marg, Mumbai Central, Mumbai - 400008"
Central General Stores Opposite Mumbai Central Railway Station Mumbai Central,0.91 KM,4.0,4 Votes,"5th Block, Dalal Estate, Mumbai Central, Mumbai - 400008, Opposite Mumbai Central Railway Station"
Vira Stores Near Nagpada Circle Mumbai Central,,5.0,1 Votes,"Shop No 41, Monal, Maulana Azad Road, Mumbai Central, Mumbai - 400008, Near Nagpada Circle"
Mehendi Medical General Store Opp Balwas International Hotel Mumbai Central,0.25 KM,5.0,2 Votes,"Shop No 4, Ground Floor, 268/270 Juma Masjid Trust Building, Bellasis Road, Mumbai Central, Mumbai - 400008, Opp Balwas International Hotel"
Kapila Panchgavya Patmeda Orchid City Centre Mall Mumbai Central,0.39 KM,5.0,1 Votes,"Ground floor city center, Belasis Road, Mumbai Central, Mumbai - 400008, Orchid City Centre Mall"
Lifeline Medical General Stores Near Do Tank Mumbai Central,0.41 KM,4.5,9 Votes,"A 238, Tahir Manzil, Maulana Azad Road, Mumbai Central, Mumbai - 400008, Near Do Tank"
A G Stores Nagpada Mumbai Central,0.54 KM,5.0,2 Votes,"Mohammadi Biulding, 3rd Peerkhanstreet, Sofia Zubair Road, Nagpada-Mumbai Central, Mumbai - 400008"
Heena Stores Opp JJ Hospital Nagpada Mumbai Central,0.65 KM,,0 Votes,"Shop No 5/6, Dimitikar Road, Nagpada-Mumbai Central, Mumbai - 400008, Opp JJ Hospital"
Chheda General Store Mumbai Central,0.72 KM,4.2,9 Votes,"Shop No V8/T10, Dalal Estate, Belasis Road, Mumbai Central, Mumbai - 400008"
Royal Dry Fruits And General Stores Mumbai Central,,,0 Votes,"Shop No 89, Awabai Mansion Shahid Bhagat Singh Road, Colaba Causeway, Mumbai Central, Mumbai - 400008"
Dayabhai Punjiram Kirana Company Mumbai Central,,,0 Votes,"D-47, Apmc Market 1 Phase 2 Navi Mumbai, Mumbai Central, Mumbai - 400008"
Praveen Medicals Near JJ Hospital Do Taki,0.77 KM,4.0,7 Votes,"Shop No 1, Princess Bldng, Babulal Tank Road, Do Taki, Mumbai - 400008, Near JJ Hospital"
Shree Paras Medical Store Opp JJ Hospital Do Taki,0.81 KM,4.8,6 Votes,"Gate No 9, Princess Building, 135,Babulal Tank Road, Do Taki, Mumbai - 400008, Opp JJ Hospital"
Chamunda General Store Near Maszid Mumbai Central,0.02 KM,,0 Votes,"Shop No 52 9 vi Galli Kamatipura, Kamatipura, Mumbai Central, Mumbai - 400008, Near Maszid"
Kgn General store Near Bharat Bazar Mumbai Central,0.02 KM,,0 Votes,"Shop No 02, Kamatipura, Mumbai Central, Mumbai - 400008, Near Bharat Bazar"
Pradeep Store Near M A Cool Service Nagpada mumbai Central,0.02 KM,,0 Votes,"Shop No 184, Lokhandwala Chawl, Bapty Road, Nagpada-mumbai Central, Mumbai - 400008, Near M A Cool Service"
Rupal General Store Near Maszid Mumbai Central,0.05 KM,,0 Votes,"Shop No 01 Kamatipura, Kamatipura, Mumbai Central, Mumbai - 400008, Near Maszid"
Sajjad General store Near Bharat Nagar Mumbai Central,0.06 KM,,0 Votes,"Shop No 01, Kamatipura, Mumbai Central, Mumbai - 400008, Near Bharat Nagar"
Chaudhari General Store Opp Usaini Hotel Mumbai Central,0.07 KM,,0 Votes,"Shop No 92, Belasis Road, Mumbai Central, Mumbai - 400008, Opp Usaini Hotel"
Shah meghji And Sons Near 8th lane Mumbai Central,0.08 KM,4.5,1 Votes,"45/51, Belasis Road, Mumbai Central, Mumbai - 400008, Near 8th lane"
Shree Arihant Chemist Near By Paras Road Nagpada Mumbai Central,0.12 KM,5.0,1 Votes,"Shop No 1 Building No 82, 8th Lane, Sukhlaji Street, Nagpada-Mumbai Central, Mumbai - 400008, Near By Paras Road"
Sura Communication Bakery General Store Mumbai Central,0.12 KM,5.0,2 Votes,"249, Dalal Estate, Jehangir Boman Behram Road, Mumbai Central, Mumbai - 400008"
Farid General Store Usaini Hotel Mumbai Central,0.13 KM,3.5,1 Votes,"Shop No 97 Kamatipura, Shukla ji Road, Mumbai Central, Mumbai - 400008, Usaini Hotel"
Yousuf Baba Bidi Shop And General Store Opp Amin Dairy Mumbai Central,0.13 KM,,0 Votes,"Shop No 317 13/B Lokhandwala Chawl, Bapty Marg, Mumbai Central, Mumbai - 400008, Opp Amin Dairy"
