Name,Distance,Rating,Votes,Address
Gokul Medical General Stores Behind Saidham Temple Thakur Complex Kandivali East,0.23 KM,4.2,121 Votes,"Shop No 2, Bhagirathi Bhavan, Asha Nagar Road, Kandivali East, Mumbai - 400101, Behind Saidham Temple,Thakur Complex"
Pinky Provision General Stores Behind Saidham Mandir Western Express Highway Thakur Complex kandivali East,0.29 KM,4.0,12 Votes,"Shop No 3, AMI Building, Asha Nagar Road, Thakur Complex-kandivali East, Mumbai - 400101, Behind Saidham Mandir, Western Express Highway"
Welcome Medical General Store Behind Saidham Mandir Thakur Complex kandivali East,0.28 KM,4.3,24 Votes,"Shop No 6, AMI Aprtmant, Asha Nagar Road, Thakur Complex-kandivali East, Mumbai - 400101, Behind-Saidham Mandir"
Hari Om General Stores Opp Pizza Hut Kandivali East,0.77 KM,3.5,18 Votes,"Shop No 43. Shree Ganesh Aangan CHS Ltd, Thakur Village, Kandivali East, Mumbai - 400101, Opp Pizza Hut"
Bhanu Medical General Store Opposite Thakur Vidhaya Mandir School Thakur Complex kandivali East,0.23 KM,4.4,73 Votes,"Shop No 1, Avon Plaza, Thakur Complex-kandivali East, Mumbai - 400101, Opposite Thakur Vidhaya Mandir School"
Ashirwad Medical General Store Opposite Box 8 Thakur Village kandivali East,0.82 KM,4.2,26 Votes,"Shop No 12, Shree Ganesh Aangan Cooperative Housing Society Ltd, Thakur Village-kandivali East, Mumbai - 400101, Opposite Box 8"
Nayak General Stores Near 90 Feet Road Thakur Complex Kandivali East,0.35 KM,3.6,7 Votes,"Shop No 9, Satyam Apartment, Thakur Complex-Kandivali East, Mumbai - 400101, Near 90 Feet Road"
Pooja Medical General Stores Near Thakur House Kandivali East,1.33 KM,3.9,26 Votes,"Shop No1, Nagvekar Apartment, Akurli Road, Kandivali East, Mumbai - 400101, Near Thakur House"
Vipul Dry Fruits And General Stores Gokul Garden Bus Stop Thakur Complex Kandivali East,0.28 KM,4.2,23 Votes,"Shop No.29,Gokul Garden Building, Thakur Complex, Thakur Complex-Kandivali East, Mumbai - 400101, Gokul Garden Bus Stop"
Metro Chemist Opposite Bank Of Baroda Thakur Village kandivali East,0.93 KM,4.0,72 Votes,"Shop No 87, Building No 43 Emp, Thakur Village-kandivali East, Mumbai - 400101, Opposite Bank Of Baroda"
