Name,Distance,Rating,Votes,Address
Pawan Super Shopee Sector 2 Kandivali West,1.92 KM,4.1,29 Votes,"Shop No 2/3/4, Rukmini Building, Plot No 36, Kandivali West, Mumbai - 400067, Sector 2"
Rajeshwar Super Market Near Atharva College Kandivali West,1.27 KM,4.8,4 Votes,"Shop No.8, Bldg-24,, Ekta Nagar, Kandivali West, Mumbai - 400067, Near Atharva College"
Noble Super Market Off New Link Road Kandivali West,0.43 KM,4.0,17 Votes,"Shop No 9, Orchid Suburban Ptc Building, Bunder Pakhadi Road, Kandivali West, Mumbai - 400067, Off New Link Road"
New Meghdhanush Medical General Store Opposite Humlog Society Kandivali West,0.98 KM,4.3,195 Votes,"Shop No 19 & 20,Kamal Apartment,Neelambuj,, Shankar Lane, Kandivali West, Mumbai - 400067, Opposite Humlog Society,"
All India Medical General Services Dahanukar Wadi Kandivali West,0.21 KM,4.0,35 Votes,"Shop 4/5, Ground Floor, Dattatray Apartment, M G Road, Kandivali West, Mumbai - 400067, Dahanukar Wadi"
J D Brothers Kandivali West,1.41 KM,4.0,49 Votes,"Shop 1, Shiv Plaza, Station Road, Kandivali West, Mumbai - 400067"
Jeevan Jyoti Medical Stores Near Dr Mina Rane Charkop Sector 1 Kandivali West,1.69 KM,4.1,155 Votes,"Shop No 2, Priya Darshani Co Operative Housing Society, Plot 111, Kandivali West, Mumbai - 400067, Near Dr Mina Rane, Charkop, Sector 1"
Poornima Medical General Store Near Nirmal collage Kandivali West,0.36 KM,4.3,30 Votes,"Shop No B 1, Samrudhi Shopping Centre, M G Road, Kandivali West, Mumbai - 400067, Near Nirmal collage"
Siddhi Dry Fruits Opp Natural Icecream Mahavir Nagar Kandivali West,0.49 KM,4.2,93 Votes,"Shop No. C-2 Ratnakar Bldg, Mahavir Nagar, Mahavir Nagar-Kandivali West, Mumbai - 400067, Opp Natural Icecream"
Anand Mangal Medical and General Store M G Cross Road No 4 Kandivali West,0.67 KM,4.0,46 Votes,"Shop No. A/5 Neelyog Apt., Patel Nagar, Kandivali West, Mumbai - 400067, M. G. Cross Road No. 4"
Lalit General Stores Dhanukar Wadi Kandivali West,0.28 KM,3.6,48 Votes,"1-2, Bobby Shopping Complex, Mg Road, Kandivali West, Mumbai - 400067, Dhanukar Wadi"
Vipul General Stores Dahanukar Wadi Near 5 Star Dairy Kandivali West,0.63 KM,3.8,10 Votes,"9, Bobby Shopping Centre, M G Road, Kandivali West, Mumbai - 400067, Dahanukar Wadi, Near 5 Star Dairy"
Bhavesh Chemist And General Stores Iraniwadi Opposite Asian Bakery Stores Kandivali West,0.73 KM,4.3,112 Votes,"Shop No 261/1-2, Shantilal Modi Road, Kandivali West, Mumbai - 400067, Iraniwadi, Opposite Asian Bakery Stores"
Kandivali Consumers Co Op Society Ltd Kandivali West,1.29 KM,,0 Votes,"Shop No.7/8, Society Bhavan (Narayan Bhavan), Jethava Nagar, Swami Vivekananda Road, Kandivali West, Mumbai - 400067"
Parivar Stores Dahanukar Wadi Mahavir Nagar kandivali West,0.71 KM,4.3,21 Votes,"Shop No 5, Mahavir Darshan, Mahavir Nagar-kandivali West, Mumbai - 400067, Dahanukar Wadi"
Panchvati dry fruit general store Opp Bhavna building Kandivali West,1.36 KM,5.0,1 Votes,"Leela bai Chawal, Sv road, Kandivali West, Mumbai - 400067, Opp Bhavna building"
Dhanvantri Dryfruits Opposite Shankar Park Kandivali West,1 KM,4.1,40 Votes,"C 4, Pankaj Building, Kamal Apartment, Shankar Lane, Kandivali West, Mumbai - 400067, Opposite Shankar Park"
Arogya Chemist General Store Opposite Gaurav Heights Mahavir Nagar kandivali West,0.86 KM,4.3,35 Votes,"Shop No 36/356 Mhb Colony, New Link Road, Mahavir Nagar-kandivali West, Mumbai - 400067, Opposite Gaurav Heights"
Balkrishna Medical And General Stores Near Atul Tower Kandivali West,0.36 KM,4.6,7 Votes,"Shop No. 05, Vasant Bhagirathi Building, Mathuradas Extn. Road, Kandivali West, Mumbai - 400067, Near Atul Tower"
Rajesh General Stores Opposite Bhagvati Pav Bhaji Kandivali west,0.64 KM,3.9,11 Votes,"Shop No-1, Bhawani House, kandivali west, Mumbai - 400067, Opposite Bhagvati Pav Bhaji,"
Shrinath Medical General Store Opposite HDFC Bank Kandivali West,0.67 KM,4.3,18 Votes,"Shop No 41, Panchsheel Garden, Mahavir Nagar Road, Kandivali West, Mumbai - 400067, Opposite HDFC Bank"
Raj Medical General Store Near Ekta Nagar Bus Stop Opposite Dhwani Building Kandivali West,1.09 KM,4.0,15 Votes,"Shop No Rwg 193, Old Link Road, Kandivali West, Mumbai - 400067, Near Ekta Nagar Bus Stop, Opposite Dhwani Building"
Hasmukh Medical General Stores Near Sector No 05 Kandivali West,1.49 KM,4.0,24 Votes,"Shop No. 03 Amruta Co Operative Housing Society, Plot No 24, Charkop,, Kandivali West, Mumbai - 400067, Near Sector No. 05"
Rekha Provision General Store Sector No 5 Charkop Market Kandivali West,1.73 KM,4.1,44 Votes,"Shop No 1/2, Plot No 222, Megha Building, Kandivali West, Mumbai - 400067, Sector No 5, Charkop Market"
Om Sai Medical And General Store Near Panchsheel Opposite Pizza Hut and Dmart Mall Mahavir Nagar kandivali West,0.94 KM,4.0,67 Votes,"Shop No 13-B, Raj Arcade, Bhorsapada Road, Mahavir Nagar-kandivali West, Mumbai - 400067, Near Panchsheel, Opposite Pizza Hut and Dmart Mall"
Jadhav Provision General Store Kandivali West,0.06 KM,4.5,2 Votes,"121, Manohar Jadhav Chawal, Shivaji Road, Kandivali West, Mumbai - 400067"
Royal Trader Opposite Atul Tower Kandivali West,0.27 KM,4.3,7 Votes,"Shop No- 16, Shanti Apartments, Mathuradas Extension Road, Kandivali West, Mumbai - 400067, Opposite Atul Tower"
Maharashtra Wholesale General Store Opposite Global Mony Transfer Kandivali West,0.35 KM,,0 Votes,"Islam Compound, M.G . Road, Kandivali West, Mumbai - 400067, Opposite Global Mony Transfer"
Alpa General Store Data Mandir cross Road Kandivali West,0.53 KM,4.1,12 Votes,"Plot no-75,shop no.1, Om Shree Ganesh co-op housing society,, Kandivali West, Mumbai - 400067, Data Mandir cross Road,"
New Haria Provision Stores Nr Sunny Hotel Kandivali West,0.75 KM,4.4,10 Votes,"Shop No 1 & 2, Manek Nagar Cooperative Housing Society, M G Road, Cross Road No 4, Kandivali West, Mumbai - 400067, Nr Sunny Hotel"
Paarth Chemist General Stores Behind Swaminarayan Temple Near Turakhia Park Kandivali West,0.79 KM,4.8,5 Votes,"Shop No.10, Kalyan Apt, M G Road, Kandivali West, Mumbai - 400067, Behind Swaminarayan Temple, Near Turakhia Park"
Laxmi Medical And General Store Ganesh Nagar Kandivali West,0.96 KM,4.0,8 Votes,"Shop No 6, Dhavani Co Operative Housing Society, Off Old Link Road, Kandivali West, Mumbai - 400067, Ganesh Nagar"
Mangalore General Store Opposite Pooja Enclave Kandivali West,1.05 KM,3.3,2 Votes,"Shop No.50, Sai Kripa Enclave, Old Charkop Link Road, Kandivali West, Mumbai - 400067, Opposite Pooja Enclave"
Shri Shakti Traders Charkop Kandivali West,1.36 KM,3.8,16 Votes,"Shop No 2, Jupiter Building, Plot No 137, Sector 6, Kandivali West, Mumbai - 400067, Charkop"
Ridhi Sidhi General Store Dahanikar Wadi Kandivali West,1.41 KM,3.0,1 Votes,"2 Shivecha, Mahatma Gandhi Road, Kandivali West, Mumbai - 400067, Dahanikar Wadi"
Aashapura General Store Near Dena Bank Sector 1 Charkop Kandivali West,1.46 KM,,0 Votes,"Shop No D-44, Plot No 176, Indrasabha Houisng Society, Kandivali West, Mumbai - 400067, Near Dena Bank ,Sector 1,Charkop"
Sahakar Society Opposite Sri Krishna Building Kandivali West,1.54 KM,4.3,91 Votes,"Shop No 8, Shiv Sagar Building, Charkop, Kandivali West, Mumbai - 400067, Opposite Sri Krishna Building"
Mickeys Ice Cream Parlour Anand Nagar Kandivali West,0.32 KM,4.1,29 Votes,"Shop No 4, Anand Smruti, Mathuradas Road, Kandivali West, Mumbai - 400067, Anand Nagar"
Nobal Medical and General Store Near Axis Bank Kandivali West,0.91 KM,4.0,21 Votes,"Shop No 1, Veena Sargam, Mahavir Nagar, Kandivali West, Mumbai - 400067, Near Axis Bank"
Laxmi Dal Mill Opposite Sunrays Mall Kandivali West,1.51 KM,3.7,25 Votes,"Yashodhan Building,Shop No 2, Plot No 241, Sector 3,Charkop, Kandivali West, Mumbai - 400067, Opposite Sunrays Mall"
New Balaji Super Market Near Sagar Dairy Kandivali West,,,0 Votes,"Shop No, 2 Kabira Society Plot No, 131 Sector 2,, Hanuman Mandir Road, Kandivali West, Mumbai - 400067, Near Sagar Dairy"
Shree Siddhivinayak General Stores Sector No 5 Charkop Kandivali West,,3.0,1 Votes,"Plot No 556, D/16, Satyavijay Cooperative Hou, Kandivali West, Mumbai - 400067, Sector No 5, Charkop"
Sagar General Stores Nr hanuman temple Kandivali West,,,0 Votes,"liberty lar classic bldg, shankar lane, Kandivali West, Mumbai - 400067, nr hanuman temple"
Mahavir General Store Nr Bori Park Kandivali West,0.42 KM,,0 Votes,"6, Sairaj Ngr,, Hemp Colony Rd No. 3, Kandivali West, Mumbai - 400067, Nr. Bori Park"
Shreeji General Store Kandivali West,0.52 KM,5.0,1 Votes,"Number 4, Shop Number 6iraniwadi Road, Kandivali West, Mumbai - 400067"
Sagar Super Market Maharashtra Nagar Kandivali West,0.56 KM,,0 Votes,"Shop No. 3, Vini Classic, RNA Rejancy, M G Road, Kandivali West, Mumbai - 400067, Maharashtra Nagar"
Shreeji General Store Opposite Dhanamal School Kandivali West,0.63 KM,,0 Votes,"Shop No 1, Iraniwadi Road No 1, Kandivali West, Mumbai - 400067, Opposite Dhanamal School"
Gangar Stores Near Sarawat Bank Kandivali West,0.65 KM,,0 Votes,"JAI Swami Krupa, M. G. Cross Road No.3, Kandivali West, Mumbai - 400067, Near Sarawat Bank"
Mahavir Provision General Store Opposite JAI Temple Mahavir Nagar Kandivali West,0.79 KM,4.1,4 Votes,"Shop No 12, Bhoomi Enclave, Mahavir Nagar-Kandivali West, Mumbai - 400067, Opposite JAI Temple"
Mahakali Medical General Store Near Sai Baba Mandir Ekta Nagar Mahavir Nagar Extension Kandivali West,0.89 KM,3.9,8 Votes,"Shop No 12, Blue Ocean Building, Kandivali West, Mumbai - 400067, Near Sai Baba Mandir, Ekta Nagar, Mahavir Nagar Extension"
Rajkamal General Stores Opposite Parijat Society Kandivali West,1.07 KM,2.5,4 Votes,"Mhb Colony, Flat No 68/679, Mahaveer Nagar,, Kandivali West, Mumbai - 400067, Opposite Parijat Society,"
Patel Store Near Maharashtra Bank Kandivali West,1.14 KM,4.0,1 Votes,"Shop No. 01, Shree Vinayak Bldg, Plot No. 272, Sector 01, Kandivali West, Mumbai - 400067, Near Maharashtra Bank"
Shree Durgesh Nandini Provision General Store Near Vasant Complex Kandivali West,1.15 KM,3.5,2 Votes,"Shop No-5, Satyam Building, Off Link Road,, Kandivali West, Mumbai - 400067, Near Vasant Complex,"
Shah Mediline Mdical General Store Near Dominos Pizza Kandivali West,1.27 KM,4.0,4 Votes,"SHOP NO. 05, PLOT NO. 145, Sector 6, RDP-7, Charkop, Kandivali West, Mumbai - 400067, Near Dominos Pizza"
Shree SAI Krishna Medical General Stores Sector 5 Charkop Market Kandivali West,1.28 KM,5.0,1 Votes,"Shop No 9, Plot No 242, Neelam Housing Society Limited, Rdp 4, Kandivali West, Mumbai - 400067, Sector 5 Charkop Market"
Panchvati Provision Store Near Fire Brigade Kandivali West,1.29 KM,4.2,6 Votes,"Shop No. 3 Panchwati Bldg, S. V. Road, Kandivali West, Mumbai - 400067, Near Fire Brigade"
Garden Stationery General Stores Near Goras Wadi Kandivali West,1.35 KM,4.7,7 Votes,"Gurucharan Niwas, Kandivali West, Mumbai - 400067, Near Goras Wadi"
