Name,Distance,Rating,Votes,Address
Vinayak General Stores Opp Church Kanjurmarg East,1.13 KM,4.1,12 Votes,"Shop No. 1, Main Market, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Opp. Church"
Metro Electric Hardware Mart Near Kanjur Village Nehru Nagar Kanjurmarg East,0.53 KM,3.9,8 Votes,"Shop No 3, Fatima Mansion, Station Road, Kanjurmarg East, Mumbai - 400042, Near Kanjur Village, Nehru Nagar"
Vidhit Medical General Stores Kanjurmarg East,0.61 KM,4.3,5 Votes,"Shop No 1, Kalpataru Building, Village Rd, Kanjurmarg East, Mumbai - 400042"
Ankur Medical General Stores Kanjurmarg East,0.73 KM,4.0,14 Votes,"10, God Colony, Annabhau Godbole Road, Kanjurmarg East, Mumbai - 400042"
Janata Medical General Store Opposite Nch Colony Kanjurmarg West,0.38 KM,4.1,25 Votes,"Shop No 1, L B S Road, Kanjurmarg West, Mumbai - 400078, Opposite Nch Colony"
Raj Tobacco General Stores Kanjurmarg West,0.28 KM,3.7,5 Votes,"Shop No 3, Station Road, Kanjurmarg West, Mumbai - 400078"
Jai Jalaram General Store Nehru Nagar Kanjurmarg East,0.6 KM,4.3,7 Votes,"Shop No 2, Kalab Hussain Chawl, Kanjurmarg East, Mumbai - 400042, Nehru Nagar"
Dedhia General Stores Opposite Ankur Hospital Nehru Nagar Kanjurmarg East,0.73 KM,5.0,1 Votes,"Shop No 4, God Colony, Kanjurmarg East, Mumbai - 400042, Opposite Ankur Hospital, Nehru Nagar"
Lalan Medical General Stores Main Market Kanjurmarg East,1.02 KM,3.8,6 Votes,"Shop No. 7, Shankar Rajaram Valvi Chawl, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Main Market"
Pravin General Stores Opp Mahada Colony Kanjurmarg West,0.3 KM,,0 Votes,"Shop No 9, Kanjur Estate, Station Rd Kanjur, Kanjurmarg West, Mumbai - 400078, Opp Mahada Colony"
Jayprakash General Stores Near Fish Market Kanjurmarg East,,1.0,1 Votes,"Kanjurmarg East, Mumbai - 400042, Near Fish Market"
Kirti Book Gen Stores Kanjurmarg East,,2.0,1 Votes,"Shop No 3, Main Market, Kanjurmarg East, Mumbai - 400042"
Deepak General Stores Kanjurmarg East,,,0 Votes,"Kranti Nagar, Kamal Sagar, Kanjurmarg, Mumbai, Kanjurmarg, Kanjurmarg East, Mumbai - 400042"
Aaryan general store Kanjurmarg West,,,0 Votes,"201 samaj chs mrda road stn road, Kanjurmarg West, Mumbai - 400078"
Santosh Milk Center General Store Kanjurmarg East,,,0 Votes,"Shop No 1, Shiv Prasad Society, Karve Nagar Road, Kanjurmarg East, Mumbai - 400042"
Jyoti General Stores Opp Sbi Kanjurmarg East,,3.5,2 Votes,"Kanjurmarg East, Mumbai - 400042, Opp Sbi"
Maharashtra Biscuit General Stores Opposite Dockyard Colony Kanjurmarg West,0.36 KM,,0 Votes,"Shop No.32 2/2, L.B.S.Marg, Kanjurmarg West, Mumbai - 400078, Opposite Dockyard Colony"
Ganesh General Store Near Lbs Marg Kanjurmarg East,0.37 KM,5.0,2 Votes,"Shop No A/3, Ekta Society, Karve Nagar Road, Kanjurmarg East, Mumbai - 400042, Near Lbs Marg"
Bhawani Medical General Stores Opp Aniket Hospital Kanjurmarg East,0.6 KM,3.7,19 Votes,"Shop No 4, Thakkar Estate Chawl, Kanjurmarg East, Mumbai - 400042, Opp Aniket Hospital"
Janta Provision Stores Near Saibaba Mandir Kanjurmarg East,,,0 Votes,"Shop No 2, Mourya Chawl, Nehru Nagar, Kanjurmarg East, Mumbai - 400042, Near Saibaba Mandir"
Sejal Dairy General Stores Kanjurmarg East,0.64 KM,,0 Votes,"Shop No 5, Chandrabai Niwas, K V Road, Kanjurmarg East, Mumbai - 400042"
Agrawal Mahesh Jagdish Indira Nagar Kanjurmarg Bhandup East,0.74 KM,,0 Votes,"Shop No 3 Room No 2, Kalpa Taru, Bhandup East, Mumbai - 400042, Indira Nagar, Kanjurmarg"
Jasmin Provision General Stores Near State Bank Of India Kanjurmarg East,0.77 KM,4.0,2 Votes,"Shop No 1-2, Shah Shopping Centre, Station Road, Kanjurmarg East, Mumbai - 400042, Near State Bank Of India"
Shree Siddhagiri Stores Near Golden Palace Building Kanjurmarg East,0.96 KM,,0 Votes,"Shop No. 10, Arunodaya Niwas, Golden Palace Road, Kanjurmarg East, Mumbai - 400042, Near Golden Palace Building"
Nagarik Stores Kanjurmarg East,1.03 KM,3.9,44 Votes,"Shop No.7, Sebastian D'souza Chawl, Kanjur Village Road, Kanjurmarg East, Mumbai - 400042"
Jayprakash General Store Opposite Fish Market Kanjurmarg East,1.04 KM,,0 Votes,"Shop No 1,Shankar Valvi Chawl, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Opposite Fish Market"
Paras General store Opposite Police Station Near Main Market Kanjurmarg East,1.06 KM,3.8,181 Votes,"Girgol Mendoja Chawl, Shop No 1, Kanjur Village Road, Kanjurmarg East, Mumbai - 400042, Opposite, Police Station Near Main Market"
Kirti Book And General Store Opp Police Chauki Mani Market Kanjurmarg East,1.06 KM,,0 Votes,"Shop No. 3, Mendonza Chawl, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Opp. Police Chauki, Mani Market"
Sha Jantilalvirpar Main Market Kanjurmarg East,1.07 KM,,0 Votes,"Sisil Cottage, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Main Market"
Om Shanti General Store Kanjurmarg East,1.15 KM,5.0,2 Votes,"Datar Colony, A. N. Road, Kanjurmarg East, Mumbai - 400042"
Bhadke General Store Kanjurmarg West,1.15 KM,3.0,1 Votes,"Jyotiba Phule Nagar, Bhandup, Kanjurmarg West, Mumbai - 400078"
Vinayak General Stores Opp church Kanjurmarg East,1.21 KM,4.0,4 Votes,"Shop No.1,Mohamad Muniam Chawl, Kanjurmarg East, Mumbai - 400042, Opp.church"
Niti General Store Shivkrupa Nagar Near St Francis Church Kanjurmarg East,1.26 KM,,0 Votes,"Shop No 2, Chawl No 10, Sahyadri Society, Church Road, Kanjurmarg East, Mumbai - 400042, Shivkrupa Nagar, Near St Francis Church"
Sai Samrath Dairy General Store Near Adarsh Nagar Kanjurmarg East,1.3 KM,,0 Votes,"Kanjur Village Road, Kanjurmarg East, Mumbai - 400042, Near Adarsh Nagar"
Savita General Stores Bhandup West,1.31 KM,,0 Votes,"7, Chandra Nivas ,Kanjurmarg West, Pratap Nagar, Farid Nagar, P.N.Road, Bhandup West, Mumbai - 400078"
Francis General Stores Kanjurmarg East,1.35 KM,3.5,8 Votes,"Sai Shraddha Rahivashi Sangh, Hanuman Galli, Kanjurmarg East, Mumbai - 400042"
Pavan Traders General Store Kanjurmarg East,,,0 Votes,"I Think Techno Campus, Office No 809, Supremus-E Wing, Kanjurmarg (East), Kanjurmarg East, Mumbai - 400042"
Lokraja Janaushadhi General Stores Kanjurmarg West,1.95 KM,5.0,1 Votes,"Ajintha Town Society, Station Road, Kanjurmarg West, Mumbai - 400078"
Saptashrungi Masala General Stores Beside Maharashtra Gymkhana Phakadi Kanjurmarg East,,,0 Votes,"Kanjurmarg East, Mumbai - 400042, Beside Maharashtra Gymkhana, Phakadi"
Shree Maa Bagoriya General Store Kanjurmarg East,,,0 Votes,"Shop No 3, Chandra Bai Niwas, Nehru Nagar Road, Kanjurmarg East, Mumbai - 400042"
Shiv Parvati General Stores Behind Nagrik Store Varchi Pakhadi Kanjurmarg East,0.99 KM,,0 Votes,"Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Behind Nagrik Store, Varchi Pakhadi"
Good Luck Medical General Store Opp Bhandup Bus Stop Bhandup West,1.94 KM,4.4,49 Votes,"Shop No. 4,Lakdawala Chawl,, Station Road,, Bhandup West, Mumbai - 400078, Opp. Bhandup Bus Stop"
Nageshwar Medical General Store Near Datar Colony Near Maratha Store Bhandup East,1.03 KM,4.3,14 Votes,"Shop No.1, Vijay Shree Chs, Plot No.21, Bhandup East, Mumbai - 400042, Near Datar Colony, Near Maratha Store"
Suvidha Medical General Stores Near Datar Colony Bhandup East,1.21 KM,4.1,32 Votes,"Shop No.2/3 Chandralok, Veer Savarkar Marg, Bhandup East, Mumbai - 400042, Near Datar Colony"
Chheda Dry Fruits Grain Stores Near Sai Prasad Hotel Badwaik Hospital Bhandup West,0.87 KM,3.8,16 Votes,"Shop No 1, Plot No 93, L B S Marg, Bhandup West, Mumbai - 400078, Near Sai Prasad Hotel & Badwaik Hospital"
Dhan Laxmi Kirana Store Bhandup West,1.43 KM,4.0,3 Votes,"Shiv Chan Yadav Chawl, Farid Nagar, Pratap Nagar Road, Bhandup West, Mumbai - 400078"
Bharat General Stores Opp Metro Cash Carry Bhandup West,1.56 KM,5.0,1 Votes,"Shop no.2, Janta Market, Subhash Road, Bhandup West, Mumbai - 400078, Opp. Metro Cash & Carry"
Patil General Store Near State Bank Of India Bhandup East,0.73 KM,,0 Votes,"Shop Np 9 Neerashi Nagar, Kanur Marg, Bhandup East, Mumbai - 400042, Near State Bank Of India"
Sanjana General Stores Pan Bidi Shop Ram Nagar Tanajiwadi bhandup West,0.87 KM,,0 Votes,"R.M No 1,Shivprasad Chawl, Tembipada, Tanajiwadi-bhandup West, Mumbai - 400078, Ram Nagar"
Novelty General Stores Bhandup East,0.9 KM,,0 Votes,"Shop No 10, Chandra Lok Co Operative Housing Society, Datar Colony Road, Bhandup East, Mumbai - 400042"
Sai Krupa Oil General Stores Datar Colony Bhandup East,0.9 KM,,0 Votes,"Shop No 2, Mukteshwar Niwas, Bhandup East, Mumbai - 400042, Datar Colony"
Asha Pura Dhanya Bhandar H D Koparkar Marg Bhandup East,0.91 KM,4.5,2 Votes,"Shop No.2,Nildip Co.Op .Housing .Soc, Shivai Vidhamandir,, Bhandup East, Mumbai - 400042, H.D.Koparkar Marg"
Ashirvad Trading Near By Shivai School Bhandup East,0.93 KM,3.0,2 Votes,"4, Baviram Chwal, M D K Marge, Bhandup East, Mumbai - 400042, Near By Shivai School"
National general stores Bhandup West,0.98 KM,,0 Votes,"shop no2, jokhim compound, pratap nagar, Bhandup West, Mumbai - 400078"
Kailash General Stores Matoshrinagar Bhandup East,1.13 KM,,0 Votes,"90 Feet Road,, Kamal Nagar, Bhandup East, Mumbai - 400042, Matoshrinagar"
Jai Gajanan Gurukrupa Near Church Bhandup East,1.16 KM,5.0,2 Votes,"Shop No:2, Domnic Dimello Chawl, St Xaviers Rd, Damle Colony, Bhandup East, Mumbai - 400042, Near Church"
Ratna General Stores Datar Colony Bhandup East,1.17 KM,3.8,4 Votes,"V.S Marg, Bhandup East, Mumbai - 400042, Datar Colony"
Gupta General Store Opposite Punjab National Bank Bhandup East,1.18 KM,3.7,3 Votes,"Shop No.8, Chandralok Building, Datar Colony, Bhandup East, Mumbai - 400042, Opposite Punjab National Bank"
Gurudatta Communications Near Dav College Bhandup East,1.18 KM,,0 Votes,"Plot No 35, Laxmi Sadan, Datar Colony, Bhandup East, Mumbai - 400042, Near Dav College"
Shree Brahmandev Pan Bidi and General Store Bhandup East,1.18 KM,,0 Votes,"Ashok Nagar Road, Sai Nagar, Rukmini Nagar, Bhandup East, Mumbai - 400042"
Nagda Provision General Store Bhandup East,1.18 KM,3.3,6 Votes,"Ashok Nagar, Pandey Sadan, Shop No.5, Sai Nagar, Ashok Nagar Road, Bhandup East, Mumbai - 400042"
Golden Tea General Stores Behind Mangatram Petrol Pump Bhandup West,1.23 KM,,0 Votes,"J B Ali Goar Chawl, Shop No 3, Quarry Road, Bhandup West, Mumbai - 400078, Behind Mangatram Petrol Pump"
Satyam super market Bhandup West,1.23 KM,,0 Votes,"shop no 20, Netaji Baug, Near Sanjraj hotel L B S Marg, Bhandup West, Mumbai - 400078"
Kamal Steel General Stores Fugawala Compound Bhandup West,1.27 KM,3.0,1 Votes,"Kuwari Road, Bhandup West, Mumbai - 400078, Fugawala Compound"
Ambika Shewai And General Stores Bhandup East,1.28 KM,4.0,3 Votes,"3/1, Trimurti Nivas, Shivkrupa Nagar, Bhandup East, Mumbai - 400042"
Jai Swami Narayan General Stores Sai Nagar Bhandup East,1.29 KM,,0 Votes,"Shop No 9, Alex Mendoza Chawl, Bhandup East, Mumbai - 400042, Sai Nagar"
Anjali general store Bhandup West,1.31 KM,,0 Votes,"Shop No 2, Omkar Chawl, Ambedkar Nagar Road, Bhandup West, Mumbai - 400078"
Mahasweta General Store Bhandup West,1.31 KM,,0 Votes,"Shop No 2, Jay Bhawani Chawl, Ambedkar Nagar Road, Bhandup West, Mumbai - 400078"
Deep Mandir General Store Bhandup West,1.31 KM,,0 Votes,"5, Laxman Kunj, J M Society, P N Road, Bhandup West, Mumbai - 400078"
Bhairav Medical General Store Near B p e s School Bhandup West,1.32 KM,3.6,12 Votes,"10 Mohamed Afzal Chawl, Pratap Nagar Road, Bhandup West, Mumbai - 400078, Near B.p.e.s School"
Dhediya Stores Bhandup West,1.33 KM,4.0,3 Votes,"Shop No.4, Aligor Chawl Naka, Pratap Nagar, Ganesh Nagar, Quarry Road, Bhandup West, Mumbai - 400078"
Akshay General Store Near wara doctor Bhandup West,1.34 KM,5.0,1 Votes,"Shop no 1, Pratap nager road, Bhandup West, Mumbai - 400078, Near wara doctor"
Shree Gireshwar General Store Bhandup East,1.34 KM,,0 Votes,"Shop No.5, Rukmani Nagar, Sai Nagar, Bhandup East, Mumbai - 400042"
Paras General Stores Bhandup West,1.35 KM,3.2,4 Votes,"C/O Paras General Stores JAI Maharashtra Soc State, Pratap Nagar Road, Bhandup West, Mumbai - 400078"
Satish General Stores Rukmani Nagar Bhandup East,1.35 KM,,0 Votes,"Nanda Sawant Chawl, Bhandup East, Mumbai - 400042, Rukmani Nagar"
Shree dattguru Pan Bidi Shop General store Pratap Nagar Naka Bhandup West,1.35 KM,4.3,6 Votes,"Kwari Road, Bhandup West, Mumbai - 400078, Pratap Nagar Naka"
