Name,Distance,Rating,Votes,Address
Quality Picnic Opposite Regal Foot Store Near Telephone Exchange Khar West,0.77 KM,4.2,247 Votes,"Shop No. 6, Ground Floor, Meghdoot Building, Linking Road, Khar West, Mumbai - 400052, Opposite Regal Foot Store, Near Telephone Exchange"
Shri Vishnu Stores Near Corner Of 3rd Road P D Hinduja Marg Opposite Dr Jumani Khar West,0.58 KM,4.1,85 Votes,"783 A, Shiv Shakti Building, Khar Pali Road, Khar West, Mumbai - 400052, Near Corner Of 3rd Road & P D Hinduja Marg, Opposite Dr Jumani"
Jay Pharma Medico General Stores Next to Tharu Sweets Opposite Janakalyan Sahakari Bank Khar West,0.29 KM,4.0,34 Votes,"782,East View Building,Shop No 6, 4th Road, Khar West, Mumbai - 400052, Next to Tharu Sweets, Opposite Janakalyan Sahakari Bank"
Citizen Dry Fruit General Stores Opposite Hallmark Khar Danda khar West,1.03 KM,3.9,31 Votes,"Shop No 3 , Jai Niketan Building, 16th Road, Khar Danda-khar West, Mumbai - 400052, Opposite Hallmark"
Ajanta Medical General Stores Near 1st 12th Road Corner Near Madhu Park Khar West,0.61 KM,4.2,39 Votes,"Heera House, Chitrakar Dhurandhar Marg, Khar West, Mumbai - 400052, Near 1st & 12th Road Corner, Near Madhu Park"
MANIK General Stores NEAR BOURN BOURN MEDICAL NEAR BOMBAY Khar West,1.5 KM,3.8,9 Votes,"Shop No 2.Dhanhil Bulding, Dr Ambedkar Road, Khar West, Mumbai - 400052, NEAR BOURN BOURN MEDICAL NEAR BOMBAY"
National Medical Super Market Opposite Maharashtra Bank Next to Nike Showroom Khar West,1.05 KM,3.9,59 Votes,"Shop No 1/2 , JAI Niketan Building, 16th Road, Khar West, Mumbai - 400052, Opposite Maharashtra Bank, Next to Nike Showroom"
Manek stores Opp Gurunanak Hospital Khar West,1.11 KM,4.5,15 Votes,"316, Dun Hill Society, Dr Ambedkar Road, Khar West, Mumbai - 400052, Opp. Gurunanak Hospital"
Jeevan Society Stores Near Kabutar Khana Khar West,0.21 KM,3.9,40 Votes,"Model Building, 2nd Road, Khar West, Mumbai - 400052, Near Kabutar Khana"
Ashok Medical General Stores Opp Pizza Metro Hotel Khar West,1.19 KM,4.3,28 Votes,"Shop No. 4 73/E, Ravi Kutir Building, Dr Ambedkar Road, Khar West, Mumbai - 400052, Opp. Pizza Metro Hotel"
Paradise Medical General Store Near Khar Railway Station Khar West,0.23 KM,4.3,37 Votes,"3, Swahany Niwas, 3rd Road, Khar West, Mumbai - 400052, Near Khar Railway Station"
Peters Medical General Stores Near Dandpada Junction Next to Hanuman Mandir Khar West,1.63 KM,4.2,29 Votes,"Shop No 5, 55 D, Ramnath Prasad Building, Dr Ambedkar Road, Khar West, Mumbai - 400052, Near Dandpada Junction, Next to Hanuman Mandir"
Canara provision and general store Near Shiv Sena Shakha Khar Danda Khar West,1.95 KM,5.0,1 Votes,"2nd Shenoy Cottage, Danpada, Khar Danda-Khar West, Mumbai - 400052, Near Shiv Sena Shakha"
Jay Pharma Medico General Store Opposite Mg Jewellers Khar West,0.29 KM,4.1,14 Votes,"Shop No 6 East View Building, Fort Road, Khar West, Mumbai - 400052, Opposite Mg Jewellers"
Bon Bon Medical General Store Behind Khar Gymkhana Khar West,1.11 KM,4.2,31 Votes,"Shop No. 3, Calvery Apartment, Dr. Ambedkar Road, Khar West, Mumbai - 400052, Behind Khar Gymkhana"
Soni Provision Store Ram Bhuvan Restaurant Bar BMC Market Khar West,0.26 KM,4.5,2 Votes,"5th Road, Khar West, Mumbai - 400052, Ram Bhuvan Restaurant & Bar, BMC Market"
Laxmi General Store Opp axis Bank Khar West,0.19 KM,,0 Votes,"Shop No 1, 4th Road, Khar West, Mumbai - 400052, Opp.axis Bank"
Milan General Stores Opposite Hotel Jewel Palace Khar West,0.23 KM,3.5,4 Votes,"Shop No 9 Municipal Market, 2nd Road, Khar West, Mumbai - 400052, Opposite Hotel Jewel Palace"
Haria Stores Opp Sitla Mandir Khar West,0.5 KM,4.0,6 Votes,"570/3 Sawanand Sadan, 5th Road, Khar West, Mumbai - 400052, Opp. Sitla Mandir"
Raj Pharmacy General Stores Union Park Khar West,1.44 KM,5.0,3 Votes,"Shop No.1, Firdos Building, 679/680, Dr Ambedkar Road, Khar West, Mumbai - 400052, Union Park"
Sea Spray General Provision Store Near Shree Amrut Cooperative Housing Society Khar West,1.89 KM,3.8,98 Votes,"Khar Danda, Khar (W), Hanuman Nagar, Khar West, Carter Road, Carter Road B R Ambedkar Road, Khar West, Mumbai - 400052, Near Shree Amrut Cooperative Housing Society"
Fancy General Stores Opposite Krishna Chaya Hotel Khar West,0.23 KM,3.7,6 Votes,"Shop No B/15 , Municipal Market, 1st Road, Khar West, Mumbai - 400052, Opposite Krishna Chaya Hotel"
J S Medical General Stores Near Sweet Corner Jawahar Nagar Khar East,0.26 KM,,0 Votes,"Shop No 1, Gopal Chawl, Saibaba Road, Khar East, Mumbai - 400051, Near- Sweet Corner, Jawahar Nagar"
A B General Store Opp Dr Khatri Clinic Zanpada Khar West,,3.5,1 Votes,"174 A SAI Krupa Bldg, 5th Road, Khar West, Mumbai - 400052, Opp Dr Khatri Clinic, Zanpada"
Swagat Medical General Stores Opposite Nirmal Nagar Police Chowk Khar East,0.57 KM,5.0,5 Votes,"HHC 257, Jawahar Nagar, Jay Prakash Road, Khar East, Mumbai - 400051, Opposite Nirmal Nagar Police Chowk"
Cityzen Opp camy waife Khar West,1.03 KM,5.0,1 Votes,"shop no.3,jai niketan bild, 16 road, Khar West, Mumbai - 400052, opp.camy waife"
Shree Laxmi General Stores Near Olive Restaurant Khar West,1.44 KM,4.0,1 Votes,"Shop No 3 71-A,Sheetal Apartment, Dr Ambedkar Road, Khar West, Mumbai - 400052, Near Olive Restaurant"
Good Luck Stores Khar West,1.49 KM,3.1,3 Votes,"Shop Number 1, Chawri Biulding, Khar Danda, Khar (W), Danda, Khar West, Mumbai - 400052"
Kheteshwar Bazar Near Bajaj Arcade Khar West,1.52 KM,4.5,6 Votes,"Shop No 2 Bansi Kunj Plot No 67, Chuim Village, Off Ambedkar Road, Khar West, Mumbai - 400052, Near Bajaj Arcade"
Himatlal Babulal Company Khar West,1.58 KM,4.0,1 Votes,"58-A, Dr Ambedkar Rd, Khar West, Mumbai - 400052"
Kheteshwar Provision Store Near Datta Mandir Khar West,1.95 KM,,0 Votes,"Shop No. 7, Jai Jalaram Niwas, Ram Mandir Road, Khardanda, Khar West, Mumbai - 400052, Near Datta Mandir"
P V S General Stores Opposite Nagpal House Linkway Hotel Chennai Wadi Khar West,0.04 KM,,0 Votes,"Shop No 523, 35th Road, Khar West, Mumbai - 400052, Opposite Nagpal House & Linkway Hotel, Chennai Wadi"
Fair Chemist Medicine store Opp Corner sweet Khar East,0.09 KM,5.0,1 Votes,"Shop No-7 Rampati Sharma Chawl, jawahar Nagar Road,, Khar East, Mumbai - 400051, Opp-Corner sweet"
Deepak Provision Stores Khar West,0.15 KM,5.0,1 Votes,"2, Hari Market, 3rd Road, Khar West, Mumbai - 400052"
Bharat General Stores Near Khar Market Khar West,0.18 KM,4.0,1 Votes,"Shop No 13, 2nd Road, Khar West, Mumbai - 400052, Near Khar Market"
Shree Laxmi General Stores Near BMC Market Khar West,0.19 KM,4.0,1 Votes,"Shop No 12, 2nd Road, Khar West, Mumbai - 400052, Near BMC Market"
Uday General Stores Opp Khar Railway Station Khar West,0.21 KM,,0 Votes,"Gajanand Building, 3rd Road, Khar West, Mumbai - 400052, Opp Khar Railway Station"
Sanjay General Stores Jawahar Nagar Khar East,0.22 KM,2.0,1 Votes,"Shop No 1, Punjabi Chawl No 4, Golibar Road, Khar East, Mumbai - 400051, Jawahar Nagar"
Gurav Tobacco And General Stores Khar West,0.24 KM,,0 Votes,"Shop #B-3 Khar Market, C.d. Marg Khar, Khar West, Mumbai - 400052"
Ashtavinayak General Store Shantilal Compound Khar East,0.24 KM,,0 Votes,"Shop No. 1, Shiv Srushti Chawl, Golibar Road, Jawahar Nagar, Khar East, Mumbai - 400051, Shantilal Compound"
Kaka General Store Near Jawahar Nagar Khar East,0.24 KM,,0 Votes,"Saibaba Road, Khar East, Mumbai - 400051, Near Jawahar Nagar"
Maharashtra shasan Opp new crietion bldg Khar West,0.25 KM,5.0,1 Votes,"Shop no 5, 3rd Road-Khar West tps, Khar West, Mumbai - 400052, Opp.new crietion bldg"
Om Store Jawahar Nagar Khar East,0.25 KM,,0 Votes,"Punjabi Chawl No 4, Golibar Road, Khar East, Mumbai - 400051, Jawahar Nagar"
Gokul Provision Store Khar East,0.26 KM,5.0,2 Votes,"Satyati Shivlal Chawl, Jawahar Nagar, Golibar Road, Khar East, Mumbai - 400051"
