Name,Distance,Rating,Votes,Address
Home Foods Supermarket Opposite Don Bosco College Kurla West,1.93 KM,3.9,273 Votes,"Kohinoor City Mall, G43,, Premier Road, Kurla West, Mumbai - 400070, Opposite Don Bosco College"
Baba Kirana Stores Near Panusulla Kurla West,0.64 KM,5.0,20 Votes,"Shop No-2, Jani Seth Chawl, Shri Krishna Chowk, New Mill Road, Kurla West, Mumbai - 400070, Near Panusulla"
Kirana Ghar Near Ration Office Nehru Nagar Kurla East,0.63 KM,3.9,245 Votes,"Shop No G/20/21/22/23, S G Barve Marg, Kurla East, Mumbai - 400024, Near Ration Office Nehru Nagar"
Master Medical General Stores Opposite to Gol Building Kurla West,0.4 KM,4.5,32 Votes,"Shop No.5/0104, Ghag Bhuvan, Belgrami Road, Kurla West, Mumbai - 400070, Opposite to Gol Building"
Ranjan Chemist Krishna Chowk Kurla West,0.38 KM,3.5,12 Votes,"Shop No.4, Shreemal Centre, New Mill Road, Kurla West, Mumbai - 400070, Krishna Chowk"
Prabhat General Stores Near Nehru Nagar Kurla East,0.41 KM,4.1,34 Votes,"Shop No. C17/18,, S G Barve Marg, Kurla East, Mumbai - 400024, Near Nehru Nagar"
Prince Chemist Near Bhabha Hospital Kurla West,0.34 KM,4.0,3 Votes,"Shop No.2, Madhu Niwas, S M Marg, Kurla West, Mumbai - 400070, Near Bhabha Hospital"
Kurla Apna Bazar Near Mahesh Medical Kurla West,0.24 KM,3.0,1 Votes,"Shop No-80/A, MP MargPipe Road,, Pipe Line Rd Kurla, Kurla West, Mumbai - 400070, Near Mahesh Medical"
Anand Medical General Store Opposite Neel Kamal CHS Ltd Kurla West,0.48 KM,4.2,29 Votes,"Sidhmahal Bldg, Kurla West, Mumbai, Belgrami Road, Kurla West, Mumbai - 400070, Opposite Neel Kamal CHS Ltd."
Durga Kirana Store Near Rado Medical Kurla West,,5.0,1 Votes,"Ashok Nagar, Kurla West, Mumbai - 400070, Near Rado Medical"
New Gulzar Bakery Store Near Citi Hospital Off Lbs Marg Sonapur Kurla West,1.71 KM,4.3,6 Votes,"Shop No 5, Sagar Palace Building, Kurla West, Mumbai - 400070, Near Citi Hospital, Off Lbs Marg, Sonapur"
New City Medical General Store Behind Sahara Hotel Kurla West,1.54 KM,4.1,23 Votes,"Shop No 3, Near Fozya Hospital, L B S MG Kurla, Kurla West, Mumbai - 400070, Behind Sahara Hotel"
Roshan Medical General Stores Kurla West,0.4 KM,,0 Votes,"Kurla Weast, Mumbai, Pipa Road, Kurla West, Mumbai - 400070"
Kirana Bazaar Takya Ward Kurla West,0.42 KM,4.6,8 Votes,"218 Devji Teja Building, S M Road, Kurla West, Mumbai - 400070, Takya Ward"
Ramdev Grain Stores Kurla East,0.47 KM,4.5,24 Votes,"B Wing, Baba Vihar, Station Road, Kurla East, Mumbai - 400024"
Gautam Medical General Stores Takia Ward Khot Chawl Kurla West,,4.0,2 Votes,"Shop No 11, 34 Vaishnav Co-Operative Housing Society, Kurla West, Mumbai - 400070, Takia Ward, Khot Chawl"
Sahyadri Medical General Stores Near Shivsena Shakha Kurla West,0.63 KM,3.4,4 Votes,"Shop No-27/7, S M Road, Kurla West, Mumbai - 400070, Near Shivsena Shakha"
Vasant Medical General Store Opposite Asia Grain Centre Kurla East,0.64 KM,4.3,15 Votes,"Shop No G/11/12, S G Barve Marg, Kurla East, Mumbai - 400024, Opposite Asia Grain Centre"
Navjivan Medical General Stores Nehru Nagar Kurla East,0.71 KM,3.0,2 Votes,"Shop No H/8, Dairy Road, Kurla East, Mumbai - 400024, Nehru Nagar"
Lucky Book Depot General Stores Oppt Bhaba Hospital Kurla West,0.33 KM,3.5,10 Votes,"85/1 Small Gol Bldg, New Mill Road, Kurla West, Mumbai - 400070, Oppt Bhaba Hospital"
Welcome Store Near Karthika High School Junior College Kurla West,1.24 KM,5.0,2 Votes,"Shop No 4 Bhushan Bhavan, Hall Road, Kurla West, Mumbai - 400070, Near Karthika High School & Junior College"
Noor Medical Store Near Police Chowky Kurla West,0.18 KM,4.2,25 Votes,"Shop No 1 House No 95 Rajkotwala Building, M P Road, Kurla West, Mumbai - 400070, Near Police Chowky"
Paras Stores Near Tanaji Chowk Kurla West,0.3 KM,,0 Votes,"328, Rambha Bhavanshop No 1, New Mill Road, Kurla West, Mumbai - 400070, Near Tanaji Chowk"
Roshan Medical General Store Opposite To Azad Hotel Kurla West,0.4 KM,2.0,1 Votes,"Shop No-5, Plot No-41, Nausan Building, Pipeline Road, Kurla West, Mumbai - 400070, Opposite To Azad Hotel"
Apna General Stores Opposite L I G Colony Kurla West,0.45 KM,,0 Votes,"Shop No-6/10, A-Block, V.B.Nagar, Pipe Road, Kurla West, Mumbai - 400070, Opposite L.I.G.Colony"
Jai Santoshi General Stores Near Gol Building Kurla West,0.46 KM,5.0,1 Votes,"Shop No 5, Neelkamal Apartment, Belgrami Road, Kurla West, Mumbai - 400070, Near Gol Building"
Ambika General Stores Near Anjuman Islam High School Kurla West,0.53 KM,4.5,16 Votes,"Shop No.1, Building No.616, Hakkani Mansion, S G Barve Marg, Kurla West, Mumbai - 400070, Near Anjuman Islam High School"
Rajesh Medical General Stores Kurla West,,4.0,1 Votes,"Balaji Mandir Marg, Kurla West, Mumbai - 400070"
Usha Kirana General Stores Kurla West,0.56 KM,,0 Votes,"Shop No 5, Anandi Niwas, Kurla West, Mumbai - 400070"
Pooja Medical General Stores Next to Bharat Bank Kurla East,0.57 KM,4.5,4 Votes,"Shop No 8, Building No 48, Sampada Co Operative Housing Society, S.G Barve Marg, Kurla East, Mumbai - 400024, Next to Bharat Bank"
Only Fresh Near Shamrao Vital Co Operative Bank Kurla East,0.58 KM,3.9,63 Votes,"Shop No 7/8, Building No 52, Ashirwad Society Nehru Nagar, Sg Barve Marg, Kurla East, Mumbai - 400024, Near Shamrao Vital Co-Operative Bank"
Jay Sahydri Medical Near Shivsena Shakha Kurla West,0.6 KM,,0 Votes,"Shop No-27/7, Sm Marg, Kurla West, Mumbai - 400070, Near Shivsena Shakha"
A Z General Store Near Police Station Kurla West,0.74 KM,,0 Votes,"33bv, Hi-Tech Shopping Mall, Vinobha Bhave Nagar, Kurla West, Mumbai - 400070, Near Police Station"
Sagar Stores Kurla West,0.91 KM,3.0,1 Votes,"Shop No 2, 196, Sonapur Lane, Kurla West, Mumbai - 400070"
Welcome Store Near Goal Building Halav Pool Kurla West,1.02 KM,4.5,3 Votes,"Bhushan Bhavan, Masrani Lane, Kurla West, Mumbai - 400070, Near Goal Building, Halav Pool"
Gautam Medical General Store Opposite Sansar Hotel Kurla West,1.17 KM,4.2,22 Votes,"Shop No 6, Masrani Mansion, Kurla Halav Pool Road, Kurla West, Mumbai - 400070, Opposite Sansar Hotel"
Shah Bachu Jivraj Opp Sansar Hotel Kurla West,1.19 KM,5.0,4 Votes,"Sunrise Estate, Shop No 1 & 2,House No 10, Kurla West, Mumbai - 400070, Opp Sansar Hotel"
Kohinoor General Store Near to Kohinoor hospital Kurla West,1.22 KM,5.0,1 Votes,"Shop no 5, Premier Road, Kurla West, Mumbai - 400070, Near to Kohinoor hospital"
Manoj Medical General Stores Next to Dr Bhagwan Clinic Kurla West,1.26 KM,4.0,21 Votes,"Shop No 6, Building No. 24, Shama Apt, CST Road, Kurla West, Mumbai - 400070, Next to Dr Bhagwan Clinic"
New Habib Medical General Store Opposite Shalimar Hotel Kurla West,1.39 KM,4.0,2 Votes,"Shop No 1, Plot No 345/1, A H Wadia Road, Kurla West, Mumbai - 400070, Opposite Shalimar Hotel"
Haji Mukhtar Ahmad Zarda Wala Opposite Railway Station Kurla West,0.04 KM,2.0,1 Votes,"Mirja Irani Chawl, Station Road, Kurla West, Mumbai - 400070, Opposite Railway Station"
Vineeta General Stores Near Kural Rly Stn Kurla East,0.06 KM,3.0,1 Votes,"Shop No 10, Ali Dad Estate, S G Bave Marg, Kurla East, Mumbai - 400024, Near Kural Rly Stn"
Sanjay General Stores Near Railway Station Kurla West,0.07 KM,3.3,4 Votes,"Shop No-4, Lokhandwala Building,, Pipeline Road, Kurla West, Mumbai - 400070, Near Railway Station"
Sanjay General Store Near Baba Hospital Kurla West,0.09 KM,,0 Votes,"Kurla West, Mumbai - 400070, Near Baba Hospital"
Azad Store Near Station Kurla West,0.09 KM,,0 Votes,"Shop No 5, Bodha Colony, Kurla West, Mumbai - 400070, Near Station"
Iran General Stores Opposite Qureshi Masjid Kurla East,0.09 KM,,0 Votes,"Qureshi Nagar, Kurla East, Mumbai - 400024, Opposite Qureshi Masjid"
