Name,Distance,Rating,Votes,Address
New Vashi Market Lower Parel,0.6 KM,3.9,8 Votes,"45b, Shankar Rao Narampath, Lower Parel, Mumbai - 400013"
Jai Maharashtra Masala Near Lower Parel Station Lower Parel,0.17 KM,,0 Votes,"Shop No 21, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near Lower Parel Station"
Jai Maharashtra Masale Opposite Bawla Masjid Lower Parel,0.44 KM,2.8,2 Votes,"No 231/A-3, Rangari Chawl, N M Joshi Marg, Lower Parel, Mumbai - 400013, Opposite Bawla Masjid"
Atharva Medical And General Stores Near Bavla Masjid Lower Parel,0.48 KM,4.4,5 Votes,"Shop No 4, Bavla Masjid Building, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Bavla Masjid"
Tip Top Medical General Store Near Hanuman Gali Lower Parel,0.55 KM,4.3,10 Votes,"Shop No 2, Gandharv Darshan Building, S N Path, Lower Parel, Mumbai - 400013, Near Hanuman Gali"
Sat Sarkar General Store Opp Merathon Lower Parel,,,0 Votes,"Jigna App D/502 Hemant Joshi Marg, Lower Parel, Mumbai - 400013, Opp Merathon"
Welcome Super Market Near Railway Stn Lower Parel,0.17 KM,2.3,3 Votes,"2,Jamila Bldg, J K Rd, Lower Parel, Mumbai - 400013, Near Railway Stn"
Ashirwad Medical General Store Opposite Lower Parel Station Lower Parel,0.3 KM,2.3,6 Votes,"Shop No 6, Shiv Smruti, N M Joshi Road and Curry Road Gip Store Lane, Lower Parel, Mumbai - 400013, Opposite Lower Parel Station"
Shree Ram Enterprises Opposite Bavla Masjid Bala Masjid Lower Parel,0.47 KM,4.0,1 Votes,"Shop No 7, Lower Parel, Mumbai - 400013, Opposite Bavla Masjid, Bala Masjid"
Bharat Stationery General Stores Near Piramal Tower Lower Parel,0.5 KM,4.5,2 Votes,"Shop No.01 Punawala Building No.02, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near Piramal Tower"
Navkar Medical General Stores Near Bawla Masjid Lower Parel,0.65 KM,4.4,8 Votes,"Shop No 15, Prithvi Vandan Co Operative Housing Society, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Bawla Masjid"
Food Shoppe Near Deepak Cinema Lower Parel,1.09 KM,4.5,16 Votes,"Shop No 8,Sahjeevan Chs, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Deepak Cinema"
Shah Manilal Morarji Co Near Deepak Cinema Lower Parel,1.12 KM,4.5,5 Votes,"5, Vinayak Sadan, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Deepak Cinema"
Ambika Medical Store Near Narolac House Lower Parel,1.27 KM,4.2,17 Votes,"Irani Chawl, Shop No.01, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near-Narolac House"
Bhartiya Janta Store Opp India Bull Lower Parel,1.3 KM,,0 Votes,"Shop No:3,Shiv Parvati, N M Joshi Marg, Lower Parel, Mumbai - 400013, Opp India Bull"
Vijay Medical General Stores Near Elphinstone Station Lower Parel,1.37 KM,3.3,8 Votes,"Shop No.11, Suraj Building, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013, Near Elphinstone Station"
Pramod General Stores Lower Parel,,2.0,1 Votes,"Lower Parel, Mumbai - 400013"
Mahendra General Stores Lower Parel,,,0 Votes,"Lower Parel, Mumbai - 400013"
Shree SAI General Stores Lower Parel,,,0 Votes,"N M Joshi Marg, Lower Parel, Mumbai - 400013"
Krishana General Stores Lower Parel,,,0 Votes,"212 Shiv Shakti Indl Est, Lower Parel, Mumbai - 400013"
Sawant Kirana Stores Lower Parel,,,0 Votes,"Lower Parel, Mumbai - 400013"
Jay Renuka Grain General Stores Lower Parel,,,0 Votes,"J R Boricha Marg, Lower Parel, Mumbai - 400013"
Kevat General Store Behind Raheja Atlantic Lower Parel,,,0 Votes,"Shop No 1 Bldg No 3 Gumata Nagar, Lower Parel, Mumbai - 400013, Behind Raheja Atlantic"
Sai Grain Store Near Lower Parel Station Lower Parel,0.04 KM,,0 Votes,"46-B, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013, Near Lower Parel Station"
Sai Krupa General Store Lower Parel,0.08 KM,,0 Votes,"1 Pardiwala Chawl, 89/91, S J Marg, Lower Parel, Mumbai - 400013"
Shah Ranmal Raghavji Co Opposite Niwala Building Lower Parel,0.09 KM,4.1,6 Votes,"87, Thanawala Chawl, Sun Mill Road, Lower Parel, Mumbai - 400013, Opposite Niwala Building"
Shah Lakhmashi Nagshi Co Opposite Dawn Mill Lower Parel,0.11 KM,,0 Votes,"69 Kashinath Dhruw Chawl, Vasant Khanolkar Path, Lower Parel, Mumbai - 400013, Opposite Dawn Mill"
Gupta General Store Pan Bidi Shop Opposite Durga Niwas Lower Parel,0.13 KM,,0 Votes,"BMC Stall No. 3, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013, Opposite Durga Niwas"
Shri Gajanan Medical General Stores Lower Parel,0.15 KM,5.0,4 Votes,"Trishual Building No 2, Shop No 3, S J Marg, Lower Parel, Mumbai - 400013"
Sandeep Medical General Stores Opposite Sunneel Lower Parel,0.16 KM,3.5,2 Votes,"6/11 Manaji Rajuji Building, S J Marg, Lower Parel, Mumbai - 400013, Opposite Sunneel"
Shree Gajanan General Store Near Lower Parel Station Lower Parel,0.16 KM,4.0,2 Votes,"Shop No:3,Trishul Building No:2, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013, Near Lower Parel Station"
H V A Oil Center Opp Lower Parel Station W Lower Parel,0.17 KM,4.3,2 Votes,"Shop No 8, Trishul Bldg No 2, Lower Parel, Mumbai - 400013, Opp Lower Parel Station W"
Sai Oil General Stores Lower Parel,0.17 KM,,0 Votes,"1, Trishul Building No 2, S J Marg, Lower Parel, Mumbai - 400013"
Shree Ganesh General Store Lower Parel,0.17 KM,4.5,2 Votes,"16 Trishul Building 2, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013"
Mengalore Farsan General Store Opposite Trishul Building Lower Parel,0.18 KM,,0 Votes,"Shop No. 2, S J Marg, Lower Parel, Mumbai - 400013, Opposite Trishul Building"
ShreeRam Stores Sun Mill Compound Lower Parel,0.18 KM,,0 Votes,"Hari Baug, Shop No.11, Sun Mill Lane, Lower Parel, Mumbai - 400013, Sun Mill Compound"
Durgeshwari Medical General Store Near Railway Station Lower Parel,0.19 KM,4.2,14 Votes,"Shop No 20, Trishul Building No 1, G K Marg, Lower Parel, Mumbai - 400013, Near Railway Station"
Rainbow Xerox Stationers Near Peninsula Business Park Lower Parel,0.2 KM,,0 Votes,"Pathan Chawl 162, Shop No 03, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near Peninsula Business Park"
Vaibhav supari general stores Near fish market Lower Parel,0.23 KM,3.6,5 Votes,"shop no 3/A, n.m.joshi marg, Lower Parel, Mumbai - 400013, near fish market"
