Name,Distance,Rating,Votes,Address
Sonu Monu Dry Fruits Sweets Namkeen Near Jacab Circal Mahalaxmi,0.4 KM,4.0,20 Votes,"Shop No 12 ,46/A Rasul Bulding, K K Marg, Mahalaxmi, Mumbai - 400011, Near Jacab Circal"
Arihant Medical General Stores Maharashtra Nagar Mahalaxmi,0.6 KM,4.7,3 Votes,"5/1, 24, J R Boricha Marg, Mahalaxmi, Mumbai - 400011, Maharashtra Nagar"
Shree Ganesh General Store Near Jacob Circle Mahalaxmi,1.36 KM,3.8,2 Votes,"Shop No 1 Shanti Niketan Building, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near Jacob Circle"
Subhash Cloth Stores Mahalaxmi,,,0 Votes,"325 Delisle Rd & N M Joshi Marg, Mahalaxmi, Mumbai - 400011"
Sadhana Cloth Stores Mahalaxmi,,,0 Votes,"271 Irani Chawl Shop No 115, N M Joshi Marg, Mahalaxmi, Mumbai - 400011"
Avishkar Sathrasta Mahalaxmi,,,0 Votes,"Mahalaxmi, Mumbai - 400011, Sathrasta"
Shree Pant Traders Near Jacob Circle Mahalaxmi,0.14 KM,4.5,1 Votes,"Shop No 3, Rangwala Building, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jacob Circle"
Jay Ambika Dhanya Bhandar Near station Mahalaxmi,0.14 KM,,0 Votes,"a-9,rangwala Bldg, Dr.E.Moses Road, Mahalaxmi, Mumbai - 400011, Near station"
Prakash Dhanya Bhandaar Saatrasta Mahalaxmi,0.14 KM,,0 Votes,"Rangwala Building, Shahir Amar Sheikh Marg, Mahalaxmi, Mumbai - 400011, Saatrasta"
Coco General Store Dhobi Ghat Saat Rasta Mahalaxmi,0.15 KM,,0 Votes,"Shop No 1, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Dhobi Ghat Saat Rasta"
Shree Ganesh Medical General Stores Near Jaccob Circle Mahalaxmi,0.16 KM,3.7,8 Votes,"Shop No 11, Masjid Chawl, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Near Jaccob Circle"
Pariwar General Store Near lic office Mahalaxmi,0.18 KM,,0 Votes,"Shop-6 majid bldg, Jacob circal, Mahalaxmi, Mumbai - 400011, Near lic office"
Kaveri General Stores Gate no 3 dhobhighat Mahalaxmi,0.18 KM,,0 Votes,"Shop no 3,, Dr. E Moses road, Mahalaxmi, Mumbai - 400011, Gate no 3, dhobhighat"
Laxmi General Stores Opp Masjid Mahalaxmi,0.18 KM,3.5,7 Votes,"Shop No 7, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Opp Masjid"
Sainath General Stores Jacob Circle near by dhobi ghat Mahalaxmi,0.2 KM,4.7,3 Votes,"Shop 563, Aba Khan Building, Dr. E. Moses Road, Mahalaxmi, Mumbai - 400011, Jacob Circle, near by dhobi ghat"
Parivar grain and general store Opposite ambulance cement Mahalaxmi,0.2 KM,,0 Votes,"Shop.no6,masjid chawl, dr.e Moses road, Mahalaxmi, Mumbai - 400011, opposite ambulance cement"
Kolte Shop Jacob Circle Mahalaxmi,0.22 KM,,0 Votes,"Shop No 10/11 Kashinath Bld, Saat Rasta, Mahalaxmi, Mumbai - 400011, Jacob Circle"
T R Tobacco and General Store Jacob Circle Mahalaxmi,0.22 KM,,0 Votes,"Aga khan, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Purnima General Store Near Mahalakshmi Mahalaxmi,0.23 KM,,0 Votes,"Old Aga Building, Sadat Rasta Mumbai, Mahalaxmi, Mumbai - 400011, Near Mahalakshmi"
Riddhi siddhi provision Opp st Church Mahalaxmi,0.23 KM,2.9,13 Votes,"Laxmidas Wadi, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Opp.st.Church"
Royal General Stores Sant Gaadge Maharaj Chowk Saat Rasta Mahalaxmi,0.26 KM,,0 Votes,"Shop No 8, Rangwala Building, Shahir Amar Shakh Road, Mahalaxmi, Mumbai - 400011, Sant Gaadge Maharaj Chowk, Saat Rasta"
Nirmala Shetty Jacob Circle Mahalaxmi,0.27 KM,,0 Votes,"Round Building, B. J. Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Om Sai General Store Jacob Circle Mahalaxmi,0.29 KM,,0 Votes,"Mala Building, 76/78 K.K.Marg,Saatrasta, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Kastur General stores Jacob Circle Mahalaxmi,0.3 KM,,0 Votes,"Shop no 10, Naya waala Chal, Mahalaxmi, Mumbai - 400011, Jacob Circle"
Shri Mahalaxmi Provision and general Stores Jacob Circle Mahalaxmi,0.3 KM,,0 Votes,"K.K.Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle"
J V General Store Near church Mahalaxmi,0.33 KM,,0 Votes,"2,shiv darshan Bldg, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near church"
Ekvira Ice Cream Cold Drink Center Near Agustiyan Church Mahalaxmi,0.34 KM,,0 Votes,"Shivdarshan, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near Agustiyan Church"
