Name,Distance,Rating,Votes,Address
Rachana Dry Fruits Opposite Karnataka Sangh Hall Mahim,1.02 KM,4.3,22 Votes,"Shop No 2, Ajay Shopping Centre, T H Kataria Marg, Mahim, Mumbai - 400016, Opposite Karnataka Sangh Hall"
Nilkanth Super Market Near Mahim Bus Depot Mahim,0.55 KM,4.4,8 Votes,"Shop No.12, Mori Road, Mahim, Mumbai - 400016, Near Mahim Bus Depot"
Amit Medical General Stores Near Raja Rani Travels and Ashray Hotel Mahim,1.33 KM,4.9,5 Votes,"Shop No 4, Plot No 211 C, Keshav Bhawan, L J Road, Mahim, Mumbai - 400016, Near Raja Rani Travels and Ashray Hotel"
Mangalore General Stores Opposite Paradise Cinema 76 Alj Road Mahim,0.25 KM,3.9,48 Votes,"Shop No 8, Mohhamad Edu Manzil, Lady Jamshedji Road, Mahim, Mumbai - 400016, Opposite Paradise Cinema ,76 Alj Road"
Stop N Shop Boutique Near Victoria Church Mahim,0.62 KM,4.0,71 Votes,"4, Dimple Building, 133, L J Road, Mahim, Mumbai - 400016, Near Victoria Church"
Sagar Toys Shop OPP CANOSSA HIGH SCHOOL Mahim,0.12 KM,4.0,2 Votes,"SHOP NO.4 ROSARY BUILDING, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, OPP CANOSSA HIGH SCHOOL"
Jwell Chemist Next to Mahim Bus Depot Mahim,0.39 KM,4.2,15 Votes,"Shop No 1, Mohini Mansion, Mori Road, Mahim, Mumbai - 400016, Next to Mahim Bus Depot"
Mahim Super Masala Near Police Chowky Mahim,0.5 KM,5.0,2 Votes,"Shop No. 3, Kapad Bazar Road, Mahim, Mumbai - 400016, Near Police Chowky"
Vipul Chemist Near Mahim Station Mahim,1.09 KM,4.5,6 Votes,"Shop No 4, Qureshi Mahal, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, Near Mahim Station"
Snow Magic Ice Cream Parlour Near Canosa Convent Mahim,0.15 KM,4.0,47 Votes,"Shop No- 2/5, Garden View Co-Operative Housing Society, MMC Road, Mahim, Mumbai - 400016, Near Canosa Convent"
Hemant General Stores Mahim,0.22 KM,4.0,3 Votes,"8 Garden View Building, MMC Road, Mahim, Mumbai - 400016"
Metro Biscuit Stores Near indian Bank Mahim,0.24 KM,3.0,1 Votes,"Rajmahal Building,Shop No .9, M M C Road, Mahim, Mumbai - 400016, Near.indian Bank"
Apna Stores Near Kottak Mahindra ATM Mahim,0.35 KM,4.2,16 Votes,"Navjivan Colony.shop No-14, Mori Road, Mahim, Mumbai - 400016, Near- Kottak Mahindra ATM"
Bismillah Medical General Stores Near Mahim Dargah Mahim,0.38 KM,,0 Votes,"Shop No. 1, Madina Manzil, Cadel Road, Mahim, Mumbai - 400016, Near Mahim Dargah"
Poorna Bramha Near Shobha Hotel Mahim,0.38 KM,,0 Votes,"L J Road, Mahim, Mumbai - 400016, Near Shobha Hotel"
Divya Pharma Medical General Store Nr Hinduja Hospital Mahim,0.9 KM,4.3,22 Votes,"9-B,Gannsiddhinayk Socity, Dilipgupte Marag, Mahim, Mumbai - 400016, Nr Hinduja Hospital"
Nandu General Stores Opp Ajay Shopping Centre Mahim,0.98 KM,4.0,1 Votes,"Shop No.5, Shree Krishna Niwas, T H Kataria Marg, Mahim, Mumbai - 400016, Opp Ajay Shopping Centre"
Kanti general store Opp natural ice creem Mahim,1.01 KM,,0 Votes,"T h katariya marg, Mahim, Mumbai - 400016, Opp natural ice creem"
Sunder Milan Mahim,0.35 KM,,0 Votes,"Shop No 16,, Mori Road, Mahim, Mumbai - 400016"
Shalimar Bakery General Stores Mahim,0.57 KM,3.0,1 Votes,"Sant Rohidas Marg, Mahim, Mumbai - 400016"
Bk Stores Opposite Chhoti Dargah Mahim,0.15 KM,4.0,2 Votes,"Rehmat Manzil, Lady Jamshedji Road, Mahim, Mumbai - 400016, Opposite Chhoti Dargah"
Laxmi Medico And General Stores Opposite Bank Of Maharashtra Mahim,0.24 KM,5.0,6 Votes,"Shop No 2, 72/74,Laxmi Building, Lady Jamshedji Road, Mahim, Mumbai - 400016, Opposite Bank Of Maharashtra"
Metro biskut store Near Indian bank Mahim,0.26 KM,,0 Votes,"Raj mahal bldg shop no 9, M.m.c road, Mahim, Mumbai - 400016, Near Indian bank"
VINAY General Stores K G Khilnani School Mahim,0.33 KM,4.0,2 Votes,"Kunwar Cottage,Shop No-1,34-B, Mori street, Mahim, Mumbai - 400016, K.G Khilnani School"
Vinod General Stores Opp M M C Garden Mahim,0.34 KM,4.5,4 Votes,"5-A, Garden View, M M C Road, Mahim, Mumbai - 400016, Opp M M C Garden"
Kerala General Stores Near Mahim Dargah Mahim,0.42 KM,,0 Votes,"Makhdoomiya Apartment, Shop No 8, Dargah Street, Mahim, Mumbai - 400016, Near Mahim Dargah"
Satgurus Medical General Stores Oppoasite Saint Xaviers Technical Institute Mahim,0.59 KM,4.5,8 Votes,"Shop No 3 & 4, Fisherman Colony, Mahim, Mumbai - 400016, Oppoasite Saint Xaviers Technical Institute"
Jai Ganesh Medical General Stores Near R P Nagar M L Camp Mahim,0.83 KM,3.7,5 Votes,"D/3, JAI Ganesh Chs, 60 Feet Road 9, Mahim, Mumbai - 400016, Near R P Nagar, M L Camp"
Shah Kunwarji Hansraj Opp Magnet Mall Mahim,0.91 KM,4.5,2 Votes,"Shop No5om Sai Co Op Soc., Mogul Lane, Mahim, Mumbai - 400016, Opp Magnet Mall"
Jai Ambe Sweets Farsan Near Raja Rani Travels Mahim,1.16 KM,4.5,1 Votes,"Shop No 4, Rajnath Sadan, 9082763988 Chetan, Mahim, Mumbai - 400016, Near Raja Rani Travels"
City Light General Store Opp HDFC Bank Mahim,1.16 KM,,0 Votes,"Dinath Terrace, Shop No 2, L J Road, Mahim, Mumbai - 400016, Opp.HDFC Bank"
Arrey Sarita Store Mahim,1.25 KM,,0 Votes,"Shop No - 175,Raja Mall, P N Road, Mahim, Mumbai - 400016"
Ashish Medical General Stores Shivaji Park Mahim,1.57 KM,4.0,1 Votes,"54, Upasana Bldg, L.j. Road, Mahim, Mumbai - 400016, Shivaji Park"
Babu Stores Near Datta Mandir Mahim,,5.0,1 Votes,"Shop No 51, Adivasi Rahivashi Sangh, S L Raheja Road, Fishermen Colony, Mahim, Mumbai - 400016, Near Datta Mandir"
Savers Choice Near Mahim Police Station Mahim,,5.0,1 Votes,"Al Hussain Co Op Ho Soc,Shop No 5/24, Mahim, Mumbai - 400016, Near Mahim Police Station"
Mary Stores Near Dena Bank Mahim,,,0 Votes,"Pitamber Lane,Shop No 7, Next to Dena Bank, Pitembar Lane, Mahim, Mumbai - 400016, Near Dena Bank"
Gupta General Store Near Railway Station Mahim,,,0 Votes,"Sanaullah Compound, Mahim, Mumbai - 400016, Near Railway Station"
Bharat General Stores Mahim,0.05 KM,3.0,1 Votes,"Crystal Colony, Sonawala Agiyari Marg, Mahim, Mumbai - 400016"
Bright General Stores Near Parsi Ground Mahim,0.13 KM,,0 Votes,"Durgah Apartment, Shop No 12 Opp Parsi Ground, M.M.C Road, Mahim, mumbai - 400016, Near Parsi Ground"
Sagar General Stores Opp Canassa Convent Mahim,0.14 KM,3.8,2 Votes,"4 Rosary Bldg, M M C Road, Mahim, Mumbai - 400016, Opp Canassa Convent"
Emperor Snack Bar Near Axis Bank Mahim,0.15 KM,3.9,14 Votes,"Shop No 3, Shaffi Mansion, Lady Jamshedji Road, Mahim, Mumbai - 400016, Near Axis Bank"
Ivaan General Stores Near Paradise Cinema Mahim,0.16 KM,,0 Votes,"Vaibhav Building, Shop No 9, Next to Paradise Cinema, L.J Road, Mahim, Mumbai - 400016, Near Paradise Cinema"
Metro Biscuit Stores Near Mahim Railway Station Mahim,0.17 KM,,0 Votes,"Shop No.9, Raj Mahal Building, M.m.c Road, Mahim, Mumbai - 400016, Near Mahim Railway Station"
Laxmi Store Janta Sevak Society Mahim,,,0 Votes,"Shop No. 135, Mahim, Mumbai - 400016, Janta Sevak Society"
Kaiser General Store Mahim E Mahim,,,0 Votes,"Dhand Apartment, Jasmine Mill Road, Mahim, Mumbai - 400016, Mahim (E)"
R N Chemist Near Mahim Station Mahim,0.23 KM,,0 Votes,"Shop No 6, Mahim Mansion, M M C Road, Mahim, Mumbai - 400016, Near Mahim Station"
Pink Rose Kirana Stores Mahim,0.23 KM,4.0,25 Votes,"Pink Rose Biulding, Shop No A/4 M.M.C Road, Mahim, Mumbai - 400016"
Ratanhis Grain Generasl Stores Opposite Parsi Garden Mahim,0.24 KM,,0 Votes,"Shop No.7/B, Mahim Mansion, M.M.C. Road, Mahim, Mumbai - 400016, Opposite Parsi Garden"
Maniya kirana store Near jonson and jonson Mahim,0.24 KM,2.0,1 Votes,"laccy bulling mahim west, s.b road, Mahim, Mumbai - 400016, near -jonson and jonson"
Lalan General Stores St Michael Church And Living Room Mahim,0.25 KM,4.0,4 Votes,"Shop No 1, Lalan Bhavan, 26, Lady Jamshedji Road, Mahim, Mumbai - 400016, St Michael Church, And Living Room"
Pravez general store Opp manhar jewellery Mahim,0.27 KM,,0 Votes,"shop.03, mmc road, Mahim, Mumbai - 400016, opp.manhar jewellery"
Asif General Store Dargah Mahim,0.28 KM,,0 Votes,"Shop No 01, Lungiwala Building No 25, Mahim, Mumbai - 400016, Dargah"
Nk agency Nr swagat hotel Mahim,0.29 KM,3.0,1 Votes,"11A mahim mansion, M M C road, Mahim, Mumbai - 400016, Nr swagat hotel"
Diamond Biscuit Mart Opp Manhar Jwellers Mahim,0.29 KM,,0 Votes,"SHOP NO. 5, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, Opp Manhar Jwellers"
Ajwah General Stores Near BMC Building Mahim,0.29 KM,,0 Votes,"Shop No 72 Lohar Chawal, Mahim Dargah Road, Mahim, Mumbai - 400016, Near BMC Building"
Ajwa General Store Opp bmc colony Mahim,0.3 KM,,0 Votes,"shop no, kapad bazar road, Mahim, Mumbai - 400016, opp.bmc colony"
Matry chaya general store Near rly station Mahim,0.3 KM,,0 Votes,"tulshi pipe road mahim (w), Mahim, Mumbai - 400016, near .rly station"
A 1 general store Near rly station Mahim,0.3 KM,,0 Votes,"tulshi pipe road, Mahim, Mumbai - 400016, near rly station"
Jain Store Opp Swagat Hotel Mahim,0.3 KM,,0 Votes,"Shop No 3 Heera Bhuvan, M.M.C Road, Mahim, Mumbai - 400016, Opp. Swagat Hotel"
Swapnali General Store Near Vitthal Rukhmini Temple Mahim,,,0 Votes,"Jasmin Mill Road,, Mahim, Mumbai - 400016, Near Vitthal Rukhmini Temple,"
Solanki Gold Tea Mahim Near Mahim Railway Station Mahim,0.3 KM,,0 Votes,"Mahim Mension,Shop No 7 Near Railway Station, M.M.C Road, Mahim, Mumbai - 400016, Near Mahim Railway Station"
Matruchaya Mahim,0.32 KM,3.5,1 Votes,"shop no 22, outside Mahim station, tulsi pipe road, Mahim, Mumbai - 400016"
Sunder Cafe Near KG Khilnani School Mahim,0.34 KM,4.0,5 Votes,"Navjivan Colony, Mori Road, Mahim, Mumbai - 400016, Near KG Khilnani School"
Nidhi General Stores Near Building No 11 Mahim,0.34 KM,4.5,1 Votes,"Fisherman Colony, Mahim, Mumbai - 400016, Near Building No 11"
Balaji General Store Near Udyoge Mandir Mahim,0.35 KM,5.0,1 Votes,"Shop No 04, Tadeshawar Housing Society, B K Marg, Mahim, Mumbai - 400016, Near Udyoge Mandir"
Emperor Snacks Bar Near Axix Bank Mahim,0.35 KM,,0 Votes,"Shop No 57 Saifi Mansion, L j Road, Mahim, Mumbai - 400016, Near Axix Bank"
Appolo General Stores Near Johnson Johnson Mahim,0.36 KM,,0 Votes,"S R Road, Mahim, Mumbai - 400016, Near Johnson & Johnson"
Garr Soda Pub General Store Next to Andhra Bank Mahim,0.37 KM,3.7,3 Votes,"Shop No. 85/Gn/Sg/1/10, Mori Road, Mahim, Mumbai - 400016, Next to Andhra Bank"
Al Firdous Confectionery Stores Near Mahim Dargah Mahim,0.37 KM,,0 Votes,"Moin Manzil, Shop No 3, Dargah Street, Mahim, Mumbai - 400016, Near Mahim Dargah"
Ansari General Stores Mahim,0.37 KM,,0 Votes,"Wanjiwadi West, Mahim, Mumbai - 400016"
A F General Stores Near Mahim Dargah Mahim,0.37 KM,,0 Votes,"Makhdoomia Manzil Shop No 4, Dargah Street, Mahim, Mumbai - 400016, Near Mahim Dargah"
Matrachaya general store Mahim Railway Station Mahim,0.38 KM,,0 Votes,"Senapati Bapat Marg, Mahim, Mumbai - 400016, Mahim Railway Station"
Udit General Store Opposite Railway Station Mahim,0.38 KM,,0 Votes,"Ganesh Bhavan Building Shop No 13, M m c Marg, Mahim, Mumbai - 400016, Opposite Railway Station"
Iqbal General Stores Near Shakoor Bakery Mahim,0.38 KM,,0 Votes,"Shop No 16, Next to Shakoor Bakery, Cadel Road, Mahim, Mumbai - 400016, Near Shakoor Bakery"
Akbari Bidi Shop Near Mahim Darga Mahim,0.39 KM,,0 Votes,"Shop no. 92, Cadell Road, Mahim, Mumbai - 400016, Near Mahim Darga"
A One General Store Mahim Railway Station Mahim,0.39 KM,,0 Votes,"Senapati Bapat Marg, Mahim, Mumbai - 400016, Mahim Railway Station"
Asha General Store Lohar Chawl Mahim,0.4 KM,4.5,2 Votes,"Shop No. 3, Kapad Bazar Road, Mahim, Mumbai - 400016, Lohar Chawl"
Star Kerala Shop Near Mahim Dargah Mahim,0.4 KM,,0 Votes,"Makhdoomiya Building, Dargah Steeet, Mahim, Mumbai - 400016, Near Mahim Dargah"
Shree Stationery General Store Near Shitla Devi Temple Mahim,0.41 KM,5.0,1 Votes,"Shop No 2, L J Road, Mahim, Mumbai - 400016, Near Shitla Devi Temple"
Nawaz General Stores Near Pakeza Bakery Mahim,0.41 KM,,0 Votes,"Sagar Darshan, Apt Shop No 12, Opp Pakiza Bakery, Cadel Road, Mahim, Mumbai - 400016, Near Pakeza Bakery"
Cadel General Stores Near Afzal Sweet Mahim,0.42 KM,,0 Votes,"Shop No 2, Next to Nasir Hotel,Azim Building, Cadel Road, Mahim, Mumbai - 400016, Near Afzal Sweet"
Shree Stationery And General Store Shitladevi Temple Mahim,0.43 KM,,0 Votes,"104 A, Laher Mansion, Lady Jamshedji Road, Mahim, Mumbai - 400016, Shitladevi Temple"
Dhiraj Cloth Stores Mahim,0.43 KM,4.6,3 Votes,"Mahim, Mumbai - 400016"
Afzal General Stores Near Mahim Railway Station Mahim,0.43 KM,,0 Votes,"Shop No 3, Mahim Mension, M.M.C Road, Mahim, mumbai - 400016, Near Mahim Railway Station"
Janta General Stores Near Mahim Railway Station Mahim,0.43 KM,,0 Votes,"Subhani Building,Shop No 12 Opp Tarzan Bar Restro, M.M.C Road, Mahim, mumbai - 400016, Near Mahim Railway Station"
Pancham General Store Near Jonson House Mahim,0.44 KM,,0 Votes,"Shop No.8 Unnati Co Op Chs, B K Marg, Mahim, Mumbai - 400016, Near.Jonson House"
Ekveera General Store Behind Mahim Bus Depot Mahim,0.44 KM,,0 Votes,"Shop No.317, Mori Road, Mahim, Mumbai - 400016, Behind Mahim Bus Depot"
Kamaths Medical General Stores Opposite Mahim Police Chowky Mahim,0.45 KM,3.5,2 Votes,"Shop No 1and 2, Kamakshi Building, Kapad Bazar Road, Mahim, Mumbai - 400016, Opposite Mahim Police Chowky"
China Lane Near Victoria School Mahim,0.45 KM,,0 Votes,"L J Road, Mahim, Mumbai - 400016, Near Victoria School"
China lane Shitla Devi Temple Mahim,0.45 KM,,0 Votes,"108 Alipur terrace, Lady Jamshedji Road, Mahim, Mumbai - 400016, Shitla Devi Temple"
China lane Opp suresh auto garage Mahim,0.45 KM,,0 Votes,"108 Alipur terrace, L. J road, Mahim, Mumbai - 400016, Opp suresh auto garage"
City Light General Stores Mahim,0.45 KM,,0 Votes,"Crystal Building, Shop No 4, Next to Fatima Auto, Soonawala Agiary Lane, Mahim, mumbai - 400016"
National General Stores Near Billabong School Mahim,0.46 KM,,0 Votes,"Shop No 2, Ata Mention,Opp Billabong International School, L.J Road, Mahim, Mumbai - 400016, Near Billabong School"
Salim General Stores Near Canossa High School Mahim,0.46 KM,,0 Votes,"Mahim Mension,Shop No 12,Near Canossa High School, M.M.C Roaf, Mahim, Mumbai - 400016, Near Canossa High School"
