Name,Distance,Rating,Votes,Address
Manilal Provision Store Near Wiaa Club Malabar Hill,0.09 KM,4.1,65 Votes,"Shop No 23, David Sasson Chawl, 10 Ridge Road, Malabar Hill, Mumbai - 400006, Near Wiaa Club"
Legend Super Bazaar Teen Batti Bus Depot Malabar Hill,1.17 KM,4.0,112 Votes,"220, The Legend, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Teen Batti Bus Depot"
Welcome General Store Near Shayadri Guest House Malabar Hill,0.07 KM,4.3,99 Votes,"Shop No 1-1A, Mini Sudarshan Building, 22, LD Ruparel Marg, Malabar Hill, Mumbai - 400006, Near Shayadri Guest House"
Shah Provision Stores Opposite Khandray Mandir Near Raj Bhavan Malabar Hill,1.22 KM,4.1,61 Votes,"Shop No 241, Patil Niwas, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Opposite Khandray Mandir, Near Raj Bhavan"
Purnima Stores Malabar Hill,0.75 KM,4.0,16 Votes,"37-A, Mahavir, B G Kher Marg, Malabar Hill, Mumbai - 400006"
Prabhat Stores Malabar Hill,0.41 KM,4.1,58 Votes,"66, Petit Hall, Nepean Sea Road, Navshanti Nagar, Malabar Hill, Mumbai - 400006"
Anil Jaiswal Bhai Walkeshwar,0.3 KM,4.7,10 Votes,"Krishanaraj Society, Malabar Hill, Road, Walkeshwar, Mumbai - 400006"
Shah Bhimshi Naiya Opposite Russian Consulate Malabar Hill,0.62 KM,3.0,2 Votes,"Mahtru Ashish Biulding, 12 A/ Ground Floor, 454, L Jagmohandas Marg, Malabar Hill, Mumbai - 400006, Opposite Russian Consulate"
Sharmila Super Bazar Malabar Hill,1.11 KM,5.0,1 Votes,"Mata Parvati Nagar, Teen Batti, Malabar Hill, Malabar Hill, Mumbai - 400006"
Jai Jalaram Opposite Khanderai Mandir Malabar Hill,1.21 KM,3.0,3 Votes,"233a, Shivsmuti Biulding, Raj Bhavan, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Opposite Khanderai Mandir"
Laxmi Stores Bhagat Ashram Malabar Hill,1.22 KM,3.6,8 Votes,"235 Shop, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Bhagat Ashram"
Maharashtra Grain Store Malabar Hill,1.26 KM,,0 Votes,"Mata Parvati Nagar, Teen Batti, Malabar Hill, Mumbai - 400006"
Monarch Dry Fruit Opposite Sheetal Baug Bus Stop Walkeshwar,0.31 KM,3.8,43 Votes,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop"
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,0.5 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni"
Jain Provision Stores Shripal Nagar Walkeshwar,0.95 KM,3.9,72 Votes,"Shop No 101, 12,J Mehta Marg, Walkeshwar, Mumbai - 400006, Shripal Nagar"
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,0.33 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park"
Kamdhenu Gowalia Tank Kemps Corner,1.25 KM,4.2,55 Votes,"Shop No. 20, Warden Court Building, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Gowalia Tank"
New National General Stores Opposite Manik Jeevan Nepean Sea Road,0.23 KM,4.4,4 Votes,"Shop No 16, 17 & 18, Guide Building, L D Ruparel Marg, Nepean Sea Road, Mumbai - 400006, Opposite Manik Jeevan"
Manish Stores Walkeshwar,0.3 KM,4.5,2 Votes,"Sagar Cottage, 61/A, Walkeshwar Road, Walkeshwar, Mumbai - 400006"
Vijay Stores Opposite Mukesh Chowk Nepean Sea Road,1.14 KM,3.7,3 Votes,"10/A, Taher Mansion, Nepean Sea Road, Mumbai - 400006, Opposite Mukesh Chowk"
Shah Bhimshi Naiya Grocery Store Oppo Dariya Mahal Bus Stop Nepean Sea Road,1.77 KM,3.3,5 Votes,"Stardust Building 1-A , 80 Nepean Sea Road, Nepean Sea Road, Nepean Sea Road, Mumbai - 400006, Oppo Dariya Mahal Bus Stop"
Laxmi Food Hub Opposite Khanderai Mandir Walkeshwar,0.36 KM,5.0,2 Votes,"235/237, Bhagat Ashram, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Khanderai Mandir"
Shah Bhimshi Naiya Opp dariya mall bus stop Walkeshwar,0.49 KM,3.9,20 Votes,"Star Dust Building,shop no 1/a,, 80 Napean Sea Road, Walkeshwar, Mumbai - 400006, opp.dariya mall bus stop"
Kendrita supar market Opp Darya Mahal Nepean Sea Road,0.51 KM,,0 Votes,"75, Sagar Tarang Blg, Nepean Sea Road, Mumbai - 400006, Opp. Darya Mahal"
Darshana Store Super Market Near Sheetal Baugh Walkeshwar,1.2 KM,2.0,2 Votes,"52, Jalan House,Grd Floor,, Walkeshwar Road,, Walkeshwar, Mumbai - 400006, Near Sheetal Baugh,"
Sagar Stores Near Baalganga Walkeshwar,1.24 KM,5.0,5 Votes,"91, Prakash Niwas, Dr Bhagwandas Indrajit Road, Walkeshwar, Mumbai - 400006, Near Baalganga"
Mahavir Store Opposite Bhatiya Hospital Kemps Corner,,,0 Votes,"14/16, Forjett Terrace Building Shop No 8, Forjett Hill Road, Kemps Corner, Mumbai - 400006, Opposite Bhatiya Hospital"
Bhajji Sevai Co Walkeshwar,0.36 KM,,0 Votes,"94 Adarsh Building, Walkeshwar, Mumbai - 400006"
