Name,Distance,Rating,Votes,Address
Meghsons Near Junction Of S V Road Marve Road Malad West,1.04 KM,4.0,500 Votes,"Marve Road, Malad West, Mumbai - 400064, Near Junction Of S V Road & Marve Road"
Disha Traders Opposite Ambika Mata Mandir Malad East,1.5 KM,3.5,2 Votes,"Govind Nagar, Haji Bapu Road, Malad East, Mumbai - 400097, Opposite Ambika Mata Mandir"
Pramanik General Stores Opposite to Old Police Station Malad West,0.89 KM,3.9,54 Votes,"Shop No.11, Yojna Apartment, S V Road, Malad West, Mumbai - 400064, Opposite to Old Police Station"
Pravin General Stores New Municipal Market Near Fish Market Malad West,1.03 KM,4.2,28 Votes,"Shop No 4, Sainath Road, Malad West, Mumbai - 400064, New Municipal Market, Near Fish Market"
Orlem Medical General Stores Near Orlem Church Malad West,0.99 KM,4.0,142 Votes,"Shop No 4, Valeram Tower, Marve Road, Malad West, Mumbai - 400064, Near Orlem Church"
Raju Medical And General Store Near Dena Bank Orlem malad West,0.9 KM,4.1,119 Votes,"3 Sarda Niwas, Marve Road, Orlem-malad West, Mumbai - 400064, Near Dena Bank"
Twinkle Dry Fruits and General Store Evershine Nagar Malad West,1.03 KM,4.3,35 Votes,"Shop No. 9, Valeram Building No. 3, Malad West, Mumbai - 400064, Evershine Nagar"
Star Home Super Market Opposite Shopping Centre Malad West,1.11 KM,3.9,289 Votes,"Malwani Muncipal, Fire Brigade, Marve Road, Malad West, Mumbai - 400095, Opposite Shopping Centre"
Ganesh Medical General Store Opposite Union Bank Malad East,1.47 KM,4.4,40 Votes,"Shop No 2, Mhatre Plot, Rani Sati Marg, Malad East, Mumbai - 400097, Opposite Union Bank"
Shreeji Stores Near Evershine Nagar Malad West,0.88 KM,4.1,22 Votes,"Shop No.10, Navjeevan Building, Link Road, Malad West, Mumbai - 400064, Near Evershine Nagar"
Milan Provision Stores Evershine Nagar Malad West,1.01 KM,4.4,34 Votes,"Shop No. 14, Gurukripa Bldg, Malad West, Mumbai - 400064, Evershine Nagar"
Quality Mangalore Store Opposite to Orlem Market Orlem Malad West,1.03 KM,4.1,30 Votes,"Shop No. 06, Joanadom Apartment, Marve Road, Orlem-Malad West, Mumbai - 400064, Opposite to Orlem Market"
Day Night Medical General Store Near New Era Talkies Malad West,0.85 KM,4.0,149 Votes,"Shop No. 1, S V Road, Malad West, Mumbai - 400064, Near New Era Talkies"
Chheda store Near movie time theatre Malad West,0.34 KM,3.5,2 Votes,"shop no. 5 navjeevan building, everhine nagar, Malad West, Mumbai - 400064, near movie time theatre"
Brijwasi Snacks Sweets Near Chincholi Bunder Malad West,0.87 KM,4.0,11 Votes,"Shop No. 4, Vanita Aprt, Bhuleshker Road, Malad West, Mumbai - 400064, Near Chincholi Bunder"
New Arogya Chemist Near KFC Evershine Nagar Malad West,0.96 KM,4.0,30 Votes,"Shop No. 1, Blue Heaven, Link Road, Malad West, Mumbai - 400064, Near KFC, Evershine Nagar"
Ganesh Stores Orlem Church Malad West,1.05 KM,4.1,5 Votes,"Shop No ARS 42 G 240, Valney Colony, Marve Road, Malad West, Mumbai - 400064, Orlem Church"
Shivam General Store Ushma Nagar Malad West,1.13 KM,4.8,11 Votes,"Shop No 8, Sandesh Building, Link Road, Malad West, Mumbai - 400064, Ushma Nagar"
Popular Stores Sunder Nagar Gita Bhavan Malad West,1.35 KM,4.2,29 Votes,"S-1-19, S V Road, Malad West, Mumbai - 400064, Sunder Nagar, Gita Bhavan,"
Murgan Medical General Store OPP Orlem church Malad West,1.53 KM,5.0,3 Votes,"Shop No 701 Valnai colony, Gautama Buddh Road, Malad West, Mumbai - 400064, OPP Orlem church"
Medilife Pharmacy General Store Next to Maniratna Jewellers Malad West,1.04 KM,1.7,20 Votes,"Shop No. 3, Shanti Sadan Co-Operative Housing Society, Marve Road, Malad West, Mumbai - 400064, Next to Maniratna Jewellers"
Maharashtra General Stores Opposite Super Gas Service Malad West,0.68 KM,4.0,13 Votes,"Shop No 3, Jakaria Road, Malad West, Mumbai - 400064, Opposite Super Gas Service"
Variety General Provision Stores Near Evershine Nagar Malad West,0.84 KM,3.8,34 Votes,"Shop No 2, Haridwar Building, Link Road, Malad West, Mumbai - 400064, Near Evershine Nagar"
Rambhias Superstore Ltd Opposite Hanuman Mandir Malad West,0.99 KM,5.0,1 Votes,"Kalpataru Plaza, Chincholi Bunder Road, Malad West, Mumbai - 400064, Opposite Hanuman Mandir"
Shakti Provision General Store Evershine Nagar Malad West,1 KM,4.0,33 Votes,"Shop No 20, Gurukripa Building, Link Road, Malad West, Mumbai - 400064, Evershine Nagar"
Just One Call At Your Door Chincholi Phatak Malad West,1.19 KM,4.1,18 Votes,"Rani Sati, S V Road, Malad West, Mumbai - 400064, Chincholi Phatak"
Nandu Medical General Store Near Municipal Hospital Govind Nagar Malad East,1.47 KM,4.3,25 Votes,"Shop No. 5, JAY Mayurasan Co Operative Housing Society, Haji Bapu Road, Malad East, Mumbai - 400097, Near Municipal Hospital, Govind Nagar"
Lucky Medical And General Stores Below Kalpana Hospital Near Girnar Tea Malad East,1.62 KM,3.6,25 Votes,"Shop No. 09, Jawahar Darshan, Daftari Road, Malad East, Mumbai - 400097, Below Kalpana Hospital ,Near Girnar Tea"
Guru Medical General Stores Near Parmar Jewellers Malad East,1.15 KM,3.8,8 Votes,"Shop No. 01, Ganga Building, Rani Sati Marg, Malad East, Mumbai - 400097, Near Parmar Jewellers"
Evershine Medical General Store Near Sai Baba Park Evershine Nagar malad West,1 KM,3.6,75 Votes,"Evershine Nursing Home, Marve Link Road, Evershine Nagar-malad West, Mumbai - 400064, Near Sai Baba Park"
National Chemist Near Turel Pakhadi Road Liberty Garden Malad West,0.34 KM,3.7,17 Votes,"Shop No 3, Omkar Jaymalhar CHS, Liberty Garden Road No-2,, Malad West, Mumbai - 400064, Near Turel Pakhadi Road, Liberty Garden,"
Paresh Dry Fruit Near Flag Hotel Malad West,0.62 KM,4.8,4 Votes,"Shop No 2/A, Triveni Apt, Ramchandra Lane, Malad West, Mumbai - 400064, Near Flag Hotel,"
Arif General Stores Near Rose Mary High School and NTSC Malad West,1.84 KM,3.9,9 Votes,"Shop No 21 Plot No 68 Gate No 7, Gate No 7 Nec Collector Compound, Malad West, Mumbai - 400095, Near Rose Mary High School and NTSC"
Sandhya General Stores Dhanjiwadi Malad East,1.99 KM,5.0,4 Votes,"B-4 Shop No.8 Omkar Apartment, Khodkuwa Road, Malad East, Mumbai - 400097, Dhanjiwadi"
Kamla Medical General Store Opposite N L College Malad West,1.1 KM,4.8,12 Votes,"Shop No.6 Radha Vishweshwar Building, Narsing Lane, Malad West, Mumbai - 400064, Opposite N L College"
Paras Medical General Store Daftary Road Malad East,1.49 KM,4.2,19 Votes,"Shop No 4, Shailesh Niwas, Shubhash Lane, Malad East, Mumbai - 400097, Daftary Road"
Annapurna Medical General Store Near Charkop Naka Malad West,1.75 KM,3.3,10 Votes,"Shop No 14, Ground Floor, Asmita Jyoti Building, Marve Road, Malad West, Mumbai - 400095, Near Charkop Naka"
Jasu medical General store Malad West,,2.8,4 Votes,"Malad West, Mumbai - 400064"
Balaji Super Market Opposite to ICICI Bank Liberty Garden Malad West,0.31 KM,0.5,1 Votes,"Shop No 8, Shvet Sagar Building, Malad West, Mumbai - 400064, Opposite to ICICI Bank, Liberty Garden"
Sagar General Stores Somvari Bazar Malad West,0.43 KM,4.0,1 Votes,"Shop No 11, Kuvarji Manshi Chawl, Malad West, Mumbai - 400064, Somvari Bazar"
Welcome Super Market Near Honda Showroom Ram Nagar Chincholi Bunder Malad West,0.57 KM,3.2,3 Votes,"Shop No B 11, Dheeraj Platinum, Malad West, Mumbai - 400064, Near Honda Showroom, Ram Nagar, Chincholi Bunder"
Shraddha Provision And General Store Next to Movie Time Cinema Evershine Nagar Malad West,0.64 KM,4.1,28 Votes,"Shop No 3, Shankar Darshan Building, Evershine Nagar, Malad West, Mumbai - 400064, Next to Movie Time Cinema, Evershine Nagar"
Anmol Opposite Railway Station Malad West,0.99 KM,4.0,5 Votes,"Shop No 2, Shanti Kunj, Anand Road, Malad West, Mumbai - 400064, Opposite Railway Station"
All Clean Near Malad Sahkari Bank Malad East,1.08 KM,4.2,5 Votes,"Shop No 2, Yamuna Building, Rani Sati Marg, Malad East, Mumbai - 400097, Near Malad Sahkari Bank"
Good Price Provision Store Orlem Malad West,1.09 KM,4.5,23 Votes,"1st Domnic Colony, Tank Road, Orlem-Malad West, Mumbai - 400064"
Mary Cold Storage Near Orlem Church Opposite St Joseph School Malad West,1.12 KM,3.6,10 Votes,"Shop No 5, Janet Castle, Marve Road, Malad West, Mumbai - 400064, Near Orlem Church, Opposite St Joseph School"
Central Store Mith Chowky malad West,1.28 KM,4.0,2 Votes,"Mith Chowky-malad West, Mumbai - 400064"
Maruti General Store Near Hanuman Mandir Indira Nagar Malad East,,,0 Votes,"Adarsh Chawl Society, Rani Sati Marg, Malad East, Mumbai - 400097, Near Hanuman Mandir, Indira Nagar"
A 2 Z Super Market New Collector Compound Gate No 6 Malwani Malad West,1.82 KM,,0 Votes,"Plot No 15, Shop No 70, Malad West, Mumbai - 400095, New Collector Compound, Gate No 6, Malwani"
Ashapura Oil Depot Opposite Neel Yog Towers Malad East,1.88 KM,4.0,2 Votes,"Shop No D/37,Devdarshan Tower Dhanjiwadi.near BJP OFFICE, Khudh Khuwa Road, Malad East, Mumbai - 400097, Opposite Neel Yog Towers"
Raju Traders Malad East,1.97 KM,4.2,21 Votes,"Shop No. 9, Omkar Biulding No.4, B Wing, Dhanji Wadi, Kasam Baug, Khot Kuwa Road, Malad East, Mumbai - 400097"
Ganesh Medical General Store Near Suhas Terrace Near Mittal College Bhandarwada Rajan Pada Malad West,0.24 KM,3.8,22 Votes,"Shop No 1, Suruchi Building, P G Road, Rajan Pada-Malad West, Mumbai - 400064, Near Suhas Terrace, Near Mittal College, Bhandarwada"
Sonal Medical N General Store Opposite State Bank Of India Malad West,0.86 KM,4.4,17 Votes,"Shop Number-1/B2, Rahul Building, Marve Road, Malad West, Mumbai - 400064, Opposite State Bank Of India"
Lucky Medical And General Store Marve Road Opp St joseph School Malad West,1.1 KM,4.0,11 Votes,"Shop No 4,, Janet Castle Building,, Malad West, Mumbai - 400064, Marve Road,Opp St.joseph School,"
Hitesh Stores Near Liberty Garden Malad West,0.25 KM,4.8,5 Votes,"Shop No 1, Chandrakore Building, Liberty Garden Cross Road No. 4, Malad West, Mumbai - 400064, Near Liberty Garden"
New Chamunda Super Market Nearby Link Road Malad West,0.36 KM,3.3,3 Votes,"Shop No 4, Mafair Marval, Chincholi Bunder Road, Malad West, Mumbai - 400064, Nearby Link Road"
Mamta General Stores Behind Link Road Malad West,0.48 KM,0.5,1 Votes,"Shop No.5, Bhangaar Wada,, Malad West, Mumbai - 400064, Behind Link Road"
Shah General Stores Near Bamandev Society Malad West,0.48 KM,,0 Votes,"Shop No.24, Somwari Bazar,, Malad West, Mumbai - 400064, Near Bamandev Society,"
Liberty General Store Opposite Gariba Hospital Malad West,0.53 KM,4.6,11 Votes,"Shop No 3 Meena Apartment /, Main Mamlatadar Wadi Road, Malad West, Mumbai - 400064, Opposite Gariba Hospital"
Malwani society Opp National English High School Malwani Colony Malad West,0.61 KM,,0 Votes,"Shop No 138, Malwani Colony,Gate No 6, Malwani Colony, Malwani Colony-Malad West, Mumbai - 400095, Opp National English High School"
Nandu Medical General Stores Near Jain Temple Mamletdar Wadi Malad West,0.64 KM,4.0,32 Votes,"2/3 Sagardeep Building, Station road, Malad West, Mumbai - 400064, Near Jain Temple, Mamletdar Wadi"
Mahalaxmi Stores Opp Ambe Shive Temple Malad West,0.68 KM,4.0,1 Votes,"Shop No,4, Bhagwati House, Chincholi Bunder Road,, Malad West, Mumbai - 400064, Opp. Ambe Shive Temple,"
Ahmed Mills Opposite to SBI Bank Evershine Nagar Malad West,0.86 KM,3.8,14 Votes,"Shop No. 15, Kaustubh Society, Evershine Nagar, Evershine Nagar-Malad West, Mumbai - 400064, Opposite to SBI Bank"
D E Veera Mangalore General Store Malad West,0.86 KM,4.5,4 Votes,"145 Malad Shopping Centre, Malad West, Mumbai - 400064"
Vardhaman General Stores Near Indian Overseas Bank Off Marve Road Adarsh Nagar Malad West,0.9 KM,3.7,12 Votes,"Shop No-B/1,Silver Craft, Adarsh Dairy Road, Adarsh Nagar-Malad West, Mumbai - 400064, Near Indian Overseas Bank, Off Marve Road"
Mayur Immitations Near Malad station Malad West,0.96 KM,,0 Votes,"Vegetables Market, Station Road, Malad West, Mumbai - 400064, Near Malad station"
Furia General Stores Gupta Market Opposite Rly Station Behind M M Mithaiwala Malad West,0.97 KM,4.5,10 Votes,"Shop No 18 & 19, Malad West, Mumbai - 400064, Gupta Market, Opposite Rly Station, Behind M M Mithaiwala"
Gurukripa Mangalore Store Near Evershine Nagar Malad West,0.99 KM,4.0,5 Votes,"Gurukripa Society, Malad West, Mumbai - 400064, Near Evershine Nagar"
Sai Krupa Super Market Near Evershine Nagar Evershine Nagar malad West,0.99 KM,3.6,14 Votes,"Shop No 18, Gurukripa Building, Link Road, Evershine Nagar-malad West, Mumbai - 400064, Near Evershine Nagar"
Shanti General Stores Near Haridwar Building Evershine Nagar Malad West,1.07 KM,4.0,2 Votes,"Shop No 3, Manali No 1, Malad West, Mumbai - 400064, Near Haridwar Building, Evershine Nagar"
Denis General Stores Near Ryan International School Malad West,1.17 KM,4.0,5 Votes,"Shop No-1, Nishith Building, Link Road, Malad West, Mumbai - 400064, Near Ryan International School"
Sunny Medical And General Store Near Atul Apartmaet Near Laxmi Bar Malad East,1.24 KM,3.7,10 Votes,"Shop No. 01,Rajnath Tiwari Chawl,Nimani Compound, Nivetiya Road, Malad East, Mumbai - 400097, Near-Atul Apartmaet, Near Laxmi Bar"
Bhavani Medical General Stores Malvani Malad West,1.28 KM,4.8,4 Votes,"52/479, Municipal Colony, Gate No.3,, Malad West, Mumbai - 400095, Malvani,"
Jai Jalaram General Stores Near Navjivan School Malad East,1.29 KM,5.0,5 Votes,"Shop No 1 Valmiki Sadan, Rani Sati Marg, Malad East, Mumbai - 400097, Near-Navjivan School"
Khushbu General Store Malad West,1.32 KM,4.5,4 Votes,"Shop No.4, Dyaniwas Biulding, Goraswadi, Kandiwali West, Goraswadi Road, Malad West, Mumbai - 400064"
Swastik Super Market Sunder Nagar Opposite Umed Bhai Patel School Malad West,1.34 KM,3.6,41 Votes,"S-1, 12, S V Road, Malad West, Mumbai - 400064, Sunder Nagar, Opposite Umed Bhai Patel School"
Pooja General Store Near Nirman Dignostic Malad West,1.35 KM,4.2,18 Votes,"Shop No.5 Shivam Appartment, Goraswadi Road, Malad West, Mumbai - 400064, Near Nirman Dignostic"
Sainath Medical General Stores Near Police Station Laxman Nagar Kurar Village Malad East,1.44 KM,,0 Votes,"Shop No 6, Nashira Begam Chawl, Shantaram Talao Road, Malad East, Mumbai - 400097, Near Police Station, Laxman Nagar, Kurar Village"
A V S MART Near Ganesh Temple Malad East,1.51 KM,4.3,14 Votes,"Shop No 3, Priti Apartment, Khandwala Lane, Malad East, Mumbai - 400097, Near Ganesh Temple"
