Name,Distance,Rating,Votes,Address
Mahalaxmi Kirana General Store Near Railways Station Mankhurd,,5.0,1 Votes,"Shop No 85, Mahatma Phule Nagar Sainath Chawl, Mankhurd, Mumbai - 400088, Near Railways Station ,"
Chetna Stores Near BMC School Trombay,0.37 KM,5.0,1 Votes,"Shop No. Mg-5/1/1, Mankhurd Road, Trombay, Mumbai - 400088, Near BMC School"
Dibyanshu Jaiswal Kirana Stores P M G P Colony Mankhurd,100 mts.,,0 Votes,"Shop No 13, Building No 11, Sharda Chawal, Mankhurd, Mumbai - 400043, P M G P Colony"
Jay Bajrang Kirana General Stores Mangal Nagar Mankhurd,100 mts.,,0 Votes,"Shop No 3, Mangalmurti Complex, Mankhurd, Mumbai - 400043, Mangal Nagar"
Maharashtra Kirana Store Mhada Colony Mankhurd,100 mts.,,0 Votes,"Shop No 8, Building No 106, Mankhurd, Mumbai - 400043, Mhada Colony"
Gupta Kirana Stores Lokshahi Annabhau Sathe Nagar Mankhurd,100 mts.,,0 Votes,"Sitaram Dham Hanuman Chawl, Veer Jijamata Bhosle Marg, Mankhurd, Mumbai - 400043, Lokshahi Annabhau Sathe Nagar"
Shree Bhairav Kirana Stores Lokshahi Annabhau Sathe Nagar Mankhurd,100 mts.,,0 Votes,"Veer Jijamata Bhosle Marg, Mankhurd, Mumbai - 400043, Lokshahi Annabhau Sathe Nagar"
Jyotirling stores Datta mandir Mankhurd,0.28 KM,5.0,1 Votes,"Shop no 78, Jyotirling nagar, Mankhurd, Mumbai - 400043, Datta mandir"
Om Chetanya Collection Jyotirling Nagar Mankhurd,0.31 KM,,0 Votes,"PMGP Colony, Datta Mandir Lane, Mankhurd, Mumbai - 400043, Jyotirling Nagar"
Krishna oil depot Opp Vashi Highway Mankhurd,0.31 KM,,0 Votes,"Shop no 1, Dr Baba Saheb Ambedkar Nagar, Sion Panvel Road, Mankhurd, Mumbai - 400043, Opp Vashi Highway"
Anil Stores Mankhurd,0.31 KM,,0 Votes,"Ambedkar Nagar 2, Jyotirling Nagar, Mankhurd, Mumbai - 400088"
Sai Siddhi Kirana Stores Petrol Pump Mankhurd,0.32 KM,,0 Votes,"Shop No - 5,, PMGP Street, Mankhurd, Mumbai - 400043, Petrol Pump"
Tanaji General stores Datta mandir Mankhurd,0.34 KM,,0 Votes,"Jhotirling nagar, Mankhurd, Mumbai - 400043, Datta mandir"
Salunkhe Masala Store Opposite Saint Ravidas Temple Mochi Galli Gonvandi W Mankhurd,0.4 KM,3.8,4 Votes,"Station Rd, Tata Nagar, Mankhurd, Mumbai - 400043, Opposite Saint Ravidas Temple Mochi Galli Gonvandi W"
Shree Bhairunath Kirana Stores Maharashtra Nagar Mankhurd,,,0 Votes,"Trimurti Chawl, Mankhurd, Mumbai - 400088, Maharashtra Nagar"
Shree Ganesh Oil Depot Annasaheb Patil Maidan Maharashtra Nagar Mankhurd,,,0 Votes,"Samta Chawl, Mankhurd, Mumbai - 400088, Annasaheb Patil Maidan, Maharashtra Nagar"
Shree Krishna Kirana General Stores Maharashtra Nagar Mankhurd,,,0 Votes,"Shivshakti Chawl, Mankhurd, Mumbai - 400088, Maharashtra Nagar"
Aparna Kirana General Store Near Maharashtra Nagar Mankhurd,,,0 Votes,"Shop No 1, Rayreshwar Chawl, Mankhurd, Mumbai - 400088, Near Maharashtra Nagar"
Shivshakti Kirana General Stores Samta Nagar Maharashtra Nagar 3 Mankhurd,,,0 Votes,"Yashwant Rao Chavan Marg, Mankhurd, Mumbai - 400088, Samta Nagar, Maharashtra Nagar 3"
Apala Bazar Wholesale Retail Shop Govandi East Mankhurd,0.51 KM,,0 Votes,"89, Mankhurd West, Dr.Babsaheb Ambedker Nagar, Mohit Patil Road, Mankhurd, Mumbai - 400043, Govandi East"
Jai Maharashtra Masala Stores Mankhurd,0.55 KM,5.0,1 Votes,"Mohite Patil Nagar, P M G M Road, Mankhurd, Mumbai - 400043"
Insha Allah General Store Mankhurd,,3.5,2 Votes,"Mankhurd, Mankhurd, Mumbai - 400043"
Rajam Store Shiv Mandhir Mankhurd,0.56 KM,5.0,1 Votes,"No - 5, Shop No 08, Hiranandani Building , Lallubhai Compound, Shiv Mandhir Road, Mankhurd, Mumbai - 400043, Shiv Mandhir"
Shivshakti general store Near ramaniya masjid Mankhurd,,,0 Votes,"Shop no 1 Kamla Raman nagar, Mankhurd, Mumbai - 400043, Near ramaniya masjid"
Nandlal Gupta Kirana Opp Fire Brigade Mankhurd,,,0 Votes,"Ana Bhao Sathe Nagar, Mankhurd, Mumbai - 400043, Opp Fire Brigade"
Rajaram Supermarket Near Railway Station Mankhurd,,,0 Votes,"Shop No 9,Building No 17, Lallubhai Compound Hiranandani Aakruti, Mankhurd, Mumbai - 400043, Near Railway Station"
Jagdamba Super Market Near National Hardware Mankhurd,,,0 Votes,"Lallubhai Compound, Shop No. 1, Bldg No. 3,, Mankhurd, Mumbai - 400043, Near National Hardware"
Urvashi Kirana Stores Indira Nagar Mandala Mankhurd,,,0 Votes,"Near Ram Lal Hotel, 30 Feet Road, Mankhurd, Mumbai - 400043, Indira Nagar, Mandala"
Jay Mata Di Kirana General Stores Yashwant Rao Chavan Nagar Ekta Nagar Mankhurd,,,0 Votes,"Shivneri Road, Mankhurd, Mumbai - 400043, Yashwant Rao Chavan Nagar, Ekta Nagar"
Vaishnavi Kirana General Stores Ekta Nagar Mankhurd,,,0 Votes,"Room No B9/1, Shivneri Welfare Society, Jijamata Bhosle Marg, Mankhurd, Mumbai - 400043, Ekta Nagar"
Yadav Kirana Stores Yashwant Rao Chavan Nagar Ekta Nagar Mankhurd,,,0 Votes,"Shivneri Road, Mankhurd, Mumbai - 400043, Yashwant Rao Chavan Nagar, Ekta Nagar"
Jai Laxmi Kirana General Stores Yashwant Rao Chavan Road Ekta Nagar Mankhurd,,,0 Votes,"Mankhurd, Mumbai - 400043, Yashwant Rao Chavan Road, Ekta Nagar"
Gupta Kirana General Store Near Lallubhai Compound Mankhurd,,,0 Votes,"Tata Nagar Road, Mankhurd, Mumbai - 400043, Near Lallubhai Compound"
Nitin Kirana Store Mankhurd,,,0 Votes,"Shop Number 01, Vrundavan Chawl, Mankhurd, Mumbai - 400043"
Ramdev Kirana General Store Near Sun Grace School Mankhurd,0.57 KM,2.0,1 Votes,"Building No 22, Shop No 2, Hiranandani Akruti, Lallubhai Compound Road, Mankhurd, Mumbai - 400043, Near Sun Grace School"
Raj Super Market Maharashtra Nagar Mankhurd,0.59 KM,,0 Votes,"Shop No 16, Chawl No 18, Moreshwar Chawl, Vahhi, Mankhurd, Mumbai - 400088, Maharashtra Nagar"
