Name,Distance,Rating,Votes,Address
K J Mart Opposite Adamji Peerbhai Market Marine Lines,0.24 KM,3.7,6 Votes,"Shop No 21, Bhiwandiwala Terrace, 2nd Dhobhighat Lane, Marine Lines, Mumbai - 400020, Opposite Adamji Peerbhai Market"
Sil sila a Husaini 51 M k road Marine Lines,0.09 KM,3.5,1 Votes,"Mogal House, Princess Street, Marine Lines, Mumbai - 400020, 51 M.k road"
Tiwari General Stores Marine Lines,0.36 KM,,0 Votes,"Shop No 450, G S Road, Marine Lines, Mumbai - 400020"
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,1.72 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR"
Godrej Natures Basket Near Kc College Churchgate,1.51 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College"
Patel Brothers Near yes ub academy school Marine Drive,0.35 KM,3.8,37 Votes,"Shop No 3, Badrikeshwar Building No 82, Marine Drive, Mumbai - 400020, near yes ub academy school"
Fair Price Shop Opposite Samrat Hotel Churchgate,1.61 KM,4.0,71 Votes,"Shop No 4, 195, Moti Mahal, J T Road, Churchgate, Mumbai - 400020, Opposite Samrat Hotel"
Jyoti Grain Stores Bhd Satyam Collection Churchgate,1.57 KM,3.9,22 Votes,"Shop No 4 Chheda Sadan Grd Flr, J Tata Road, Churchgate, Mumbai - 400020, Bhd Satyam Collection"
Sarvodaya Stores Marine Drive,0.33 KM,3.9,61 Votes,"Shop No 1, Building No 81, Swashray, Hvb Road, Marine Drive, Mumbai - 400020"
Maharashtra Chana Bhandar Marine Drive,0.25 KM,,0 Votes,"Shop No 30/32, Batliwala Chawl, Shreekant Palekar Marg, Marine Drive, Mumbai - 400020"
Hari Grocery Store Churchgate,1.05 KM,,0 Votes,"C Road, Churchgate, Mumbai - 400020"
Vivek Grocery General And Cold Drinks Store Churchgate Churchgate,1.17 KM,5.0,1 Votes,"Imc Marg, Churchgate, Mumbai - 400020, Churchgate"
