Name,Distance,Rating,Votes,Address
Balaji Medicare Opposite S K Stone Mira Road,0.92 KM,4.5,2 Votes,"Shop No-9, Arena Building No-2, Poonam Garden, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite S. K. Stone"
Monica General Store Near Poonam Garden Mira Road,1.54 KM,,0 Votes,"Shop No-02,MIG Complex, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Poonam Garden"
Lucky Bakery And General Store Rani Shankar Hospital Diabetic Centre Mira Road,0.12 KM,3.5,1 Votes,"Shop no-B/4, Govind Nagar CHS ltd, Mira Bhayandar Road, Mira Road, Thane - 401107, Rani Shankar Hospital & Diabetic Centre"
Sumgam Super Market Near Mira Bhayandar Road Mira Road,0.13 KM,,0 Votes,"Shop No.3,NG Estate Co Operative Housing Society, Old Petrol Pump, Mira Road, Thane - 401107, Near Mira Bhayandar Road"
Sangam Super Market Near Vodafone Gallary Mira Road,0.14 KM,4.5,3 Votes,"Shop No 3, N G Estate, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Vodafone Gallary"
Shahil Bakery General Store Opp Old Petrol Pump Mira Road,0.19 KM,,0 Votes,"Shop No.A-1.Ostwal Kiran Apt., Mira Bhayandar Road, Mira Road, Thane - 401107, Opp Old Petrol Pump"
Jai Yogeshwar Provision And General Store Opp Shivar Garden Next To SVP School Mira Road,0.22 KM,,0 Votes,"Shop No-2, Sai Ratna Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp. Shivar Garden, Next To SVP School"
S K General Store Opp shivar Garden Mira Road,0.26 KM,,0 Votes,"Mira Bhayandar Road,, Mira Road, Thane - 401107, Opp.shivar Garden"
Royal General Stores Behind Old Petrol Pump Geeta Nagar Phase 2 Mira Road,0.29 KM,,0 Votes,"Shop No 2, New Satyam Tower Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Behind Old Petrol Pump, Geeta Nagar Phase 2"
Sagar Kirana Store Near Anthapura Lodge Mira Road,0.42 KM,,0 Votes,"Shop No.A-13, Bharti Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Near-Anthapura Lodge"
Sham general store Next to mani palace hotel Mira Road,0.43 KM,,0 Votes,"Shop no-5, niru park, Bharti park, mira bhayandar road, Mira Road, Thane - 401107, Next to mani palace hotel"
Sagar general store Mira bhayandar road Mira Road,0.45 KM,,0 Votes,"Shop no.13 bharti park a-wing, Mani palace hotel, Mira Road, Thane - 401107, Mira bhayandar road"
KNG General Store Nr Tata Motors Mira Road,0.54 KM,,0 Votes,"Shop no-11, Shanti Niketan, Mira Bhayandar Road, Mira Road, Thane - 401107, Nr. Tata Motors"
Shree Durga Trading Opposite Miraj Wine Shop Near Holy Cross School Mira Road,0.57 KM,5.0,1 Votes,"Shop No 2, Wood Land A/1, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite Miraj Wine Shop, Near Holy Cross School"
Dhanlaxmi Kirana Stores Opp Treasure Wood Mira Road,0.58 KM,3.5,2 Votes,"Shop No.1, Geeta Nagar Phase-8, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp. Treasure Wood,"
New Attari Oil Depot General Store Near Banegar School Mira Road,0.62 KM,,0 Votes,"Shop No.3, Poonam Complex, Ewing, Naya Nagar, East, Mira Bhayandar, Lodha Road, Lodha Road Mira Road, Mira Road, Thane - 401107, Near Banegar School"
Nagfhani General Stores Opp S k Stones Chowki Mira Road,0.63 KM,,0 Votes,"Shop No 38, Poonam Shrusti Bldg, Latif Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp S.k. Stones Chowki"
All Mart Opposite S K Stone Mira Road,0.63 KM,,0 Votes,"Shop no-38, Latif Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite S K Stone"
Lubna Trading Company Mira Road Mira Road,0.64 KM,4.3,7 Votes,"Shop No. 10, Meghdoot Cooperative Society Limited, Haidery Chowk, Naya Nagar, Mira Bhayandar, Lodha Road, Mira Road, Thane - 401107, Mira Road"
New kohinoor General store Mira Road,0.68 KM,,0 Votes,"shop no 8, Jineshwar tower, Mira Bhayandar Road, Mira Road, Thane - 401107"
Binjola Stores Golden Nest Mira Road,0.74 KM,,0 Votes,"D-10, Sonam Ganga, Phase 6, Mira Bhayandar Road, Mira Road, Thane - 401107, Golden Nest"
New Monika Super Market Near S K Stone Mira Road,0.74 KM,3.5,1 Votes,"Shop No 2, Lattif Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Near S K Stone"
