Name,Distance,Rating,Votes,Address
Reliance Fresh Opposite Shagun Hotel Navjeevan Society Mumbai Central,0.32 KM,3.8,924 Votes,"Central City Mall, Santoshi Mata Durga Co Operative Housing Society, Parekh Holding, Lamington Road, Mumbai Central, Mumbai - 400008, Opposite Shagun Hotel & Navjeevan Society"
Alka General Stores Mumbai Central,,3.0,1 Votes,"JAI Bhagwan, Walkeshwar Road,, Mumbai Central, Mumbai - 400008"
Anmol Grain Store Madanpura Mumbai Central,0.18 KM,4.0,1 Votes,"Shop No 7, Mansoor Building, Mohammed Umer Rajjab Road, Mumbai Central, Mumbai - 400008, Madanpura"
Nandu Super Bazaar Near Navjivan Society Opposite Reliance Mall Mumbai Central,0.43 KM,3.9,94 Votes,"Gala No 3/4, Shiv Smruti Building, K K Marg, Mumbai Central, Mumbai - 400008, Near Navjivan Society, Opposite Reliance Mall"
Apna Bazar Kamat Market Mumbai Central,,4.0,1 Votes,"Mumbai Central, Mumbai - 400008, Kamat Market"
King Of Rice Near Bhavna Baug Kamathipura Mumbai Central,0.85 KM,2.7,2 Votes,"101-A, Shop No. 2, S P Road, 6th, Kamathipura-Mumbai Central, Mumbai - 400008, Near Bhavna Baug"
Apna Bazar Ambekar Nagar Mumbai Central,1.82 KM,3.8,2 Votes,"G Building, Golandaji Hill Road, Mumbai Central, Mumbai - 400008, , Ambekar Nagar"
Amrit Medical And General Stores Shambang Mumbai Central,,0.5,1 Votes,"36, N M Joshi Marg, Mumbai Central, Mumbai - 400008, Shambang"
K Aboobakar Baputty General Store Mumbai Central,,,0 Votes,"Chowty Chamber,, Anandarshram Bhagat Singh Patel Road,, Mumbai Central, Mumbai - 400008"
Lalji Meghji Mumbai Central,,,0 Votes,"24, Ghas Galli,, Mumbai Central, Mumbai - 400008"
Madhuri General Stores Mumbai Central,,,0 Votes,"50, G D Ambekar Road, Laxmi Chambers, Raikar Chawl,, Mumbai Central, Mumbai - 400008"
Neo Canara General Stores Mumbai Central,,,0 Votes,"Ram Niwas Gupta Chawl, Mohilli Village,, Mumbai Central, Mumbai - 400008"
Apna Bazar Mumbai Central,,3.0,1 Votes,"27 Deepanjali Co-Operative Housing Society,, Marve Road,, Mumbai Central, Mumbai - 400008"
Bedekar Sales Shop Mumbai Central,,,0 Votes,"Bora Bazar,Narayan DAS Wadi Road,Mumbai G.P.O, Mumbai Central, Mumbai - 400008"
Kanti Grain Stores Mumbai Central,,,0 Votes,"Bail Bazar Sandesh Nagar Kurla Andhhri Rd Opp All India Glass Works Andheri(E) Mumbai, Mumbai Central, Mumbai - 400008"
Chandu Grain Stores Mumbai Central,,5.0,1 Votes,"Murli Upadhyay Chawl Off Aarey Road, Vishweshwar Nagar Mumbai, Mumbai Central, Mumbai - 400008"
Shivam Grain Stores Mumbai Central,,,0 Votes,"8 Panch Kutir Adi Shankaracharya Marg, I I T Mumbai, Mumbai Central, Mumbai - 400008"
Hansraj Hemraj General Stores Near Kamathipura Mumbai Central,0.19 KM,3.5,1 Votes,"Shop-10, Murgiwala Chawl, M.R.Marg, Mumbai Central, Mumbai - 400008, Near Kamathipura"
