Name,Distance,Rating,Votes,Address
Joshi Super Mart,,5.0,3 Votes,"Shop No 1,2,3, Sai Velocity Phase, 2, Pune, Paud Road, Mumbai - 400021"
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,0.5 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR"
Sahakari Bhandar Opposite to GPO Near Bus Depot Next to Sassoon Dock Colaba,1.63 KM,3.9,1532 Votes,"Shop No 21, Colaba Chamber, Shahid Bhagat Singh Marg, Colaba, Mumbai - 400005, Opposite to GPO, Near Bus Depot, Next to Sassoon Dock"
Godrej Natures Basket Near Kc College Churchgate,0.66 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College"
Godrej Natures Basket Opposite IDBI Bank Cuffe Parade colaba,1.47 KM,4.1,715 Votes,"Plot No 30 A, Ground Floor, Shopping Arcade, World Trade Center, JD Somani Road, Cuffe Parade-colaba, Mumbai - 400005, Opposite IDBI Bank"
King Plaza Supermarket Medical Near World Trade Center Cuffe Parade colaba,1.3 KM,4.0,188 Votes,"Shop No F/3, Maker Arcade Shopping Centre, Gs Somani Marg, Cuffe Parade-colaba, Mumbai - 400005, Near World Trade Center"
Shiv Plaza Super Market Opposite HDFC Bank Colaba,1.31 KM,4.1,163 Votes,"Shop No 1/2 Arsiwala Building,59/61, Wode House Road, Colaba, Mumbai - 400005, Opposite HDFC Bank"
Students General Stores Cuffe Parade colaba,1.28 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005"
Janta Super Market Colaba Market Colaba,1.23 KM,4.8,9 Votes,"Shop No 03, Colaba Mansion, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market"
Welcome Stores Opposite Indu Clinic Colaba,1.27 KM,3.9,59 Votes,"Shop No 9, New 57/A, Arsiwala Building, Wodehouse Road, Colaba, Mumbai - 400005, Opposite Indu Clinic"
Maratha Stores Near Dena Bank Colaba,1.14 KM,3.7,110 Votes,"40/A, Dena Bank Building, Shahid Bhagat Singh Marg, 3rd Pasta Lane, Colaba, Mumbai - 400005, Near Dena Bank"
Patel Brothers Near yes ub academy school Marine Drive,1.71 KM,3.8,37 Votes,"Shop No 3, Badrikeshwar Building No 82, Marine Drive, Mumbai - 400020, near yes ub academy school"
Patel General Stores Near Colaba Post Office Colaba,1.7 KM,3.5,15 Votes,"Shop No 20, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
Ketan Store Apollo Bandar Colaba,1.19 KM,3.4,8 Votes,"Sugra Manzil, Lala Nigam Road, Colaba, Mumbai - 400005, Apollo Bandar"
Shah Vasanji Damji Opposite Badshah Cold Drink House Opposite CID Office Crawford Market,1.89 KM,4.0,18 Votes,"Shop No 376/377/378, D N Road, Crawford Market, Mumbai - 400001, Opposite Badshah Cold Drink House, Opposite CID Office"
Fair Price Shop Opposite Samrat Hotel Churchgate,0.52 KM,4.0,71 Votes,"Shop No 4, 195, Moti Mahal, J T Road, Churchgate, Mumbai - 400020, Opposite Samrat Hotel"
Jyoti Grain Stores Bhd Satyam Collection Churchgate,0.68 KM,3.9,22 Votes,"Shop No 4 Chheda Sadan Grd Flr, J Tata Road, Churchgate, Mumbai - 400020, Bhd Satyam Collection"
Nagrik Stores Opp MTNL Building Cuffe Parade Colaba,,2.0,1 Votes,"G D Somani Road, Cuffe Parade-Colaba, Mumbai - 400005, opp MTNL Building"
New Colaba Super Market Opposite Dena Bank Colaba,1.18 KM,4.1,29 Votes,"Shop No 1, Ruby Terrace, Lala Nigam Road, Colaba, Mumbai - 400005, Opposite Dena Bank"
New Variety General Stores Near Colaba Post Office Colaba,1.31 KM,3.6,8 Votes,"Shop No 22, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office"
