Name,Distance,Rating,Votes,Address
Jai Maharashtra Super Market Near Abhudiya Coprative Bank Parel,1.09 KM,3.8,12 Votes,"Patel Wadi Shope No.15/16, Parel Village, Parel, Mumbai - 400012, Near Abhudiya Coprative Bank"
Shivam Super Bazar Gaourishankar Mithaiwala Parel,1.75 KM,3.8,12 Votes,"1, Poonawala Building, Jagannath Bhatankar Marg, Parel, Mumbai - 400012, Gaourishankar Mithaiwala"
Shraddha Medical General Store Behind Kem Hospital Gate No 07 Opposite Guru Rani Chowk Parel,1.08 KM,4.3,16 Votes,"649, S P Compound, Dr S S Rao Road, Parel, Mumbai - 400012, Behind Kem Hospital Gate No 07, Opposite Guru Rani Chowk"
Hariya Store Parel,0.52 KM,,0 Votes,"Best Staff Quarters, M/8, Sai Baba Road, Parel, Mumbai - 400012"
Kavita Medical General Stores Opp Nadkarni Hospital Parel,1.31 KM,4.1,7 Votes,"10 B, Nirmala Niwas, Aai MAI Merwanji Lane, Parel, Mumbai - 400012, Opp Nadkarni Hospital"
Shree Nandi Oil Centre Near Damodar Hall Parel,1.31 KM,3.9,5 Votes,"Mankeshwar Building No 2, Dr Ambedkar Road, Parel, Mumbai - 400012, Near Damodar Hall"
Janta super market Near p g a jewellers Parel,1.62 KM,,0 Votes,"Shop no 1 Parel mansion, Acharya Donge Marg, Parel, Mumbai - 400012, Near p g a jewellers"
Vikas General Store Parel,,,0 Votes,"Shop No 5 Kalewadi, Tank Road G D Ambedkar Road, Parel, Mumbai - 400012"
Aasim Tobacco And General Stores Parel,,3.0,1 Votes,"Maruti Mandir Shop #2 Cinch Pokdi Marg Parel, Parel, Mumbai - 400012"
Omkar Pooja General Stores Parel,,,0 Votes,"Sattar Terrace, 27/27, E, King Edward Memorial Road, Acharya Dade Marg, Parel, Mumbai - 400012"
Satish Kirana Provision General Stores Parel,,,0 Votes,"Bharat Bhavan Building,Shop 35, Rambhau Bhogle Marg,Ferbunder,Tank Road, Parel, Mumbai - 400012"
Bhagwat Kirana Shop Parel,,,0 Votes,"B.A. Road, Near Lalbhag Main Road, Parel, Mumbai, Parel, Mumbai - 400012"
