Name,Distance,Rating,Votes,Address
Cheap Best NEAR NATURAL ICE CREAN Powai,1.25 KM,4.3,6 Votes,"EDEN 2, Adi Shankaracharya Road, Powai, Mumbai - 400076, NEAR NATURAL ICE CREAN"
Super Janta Store OppositeVijay Vihar Building Hiranandani powai,1.03 KM,4.1,10 Votes,"Shop No 48 Prathmesh Galaxy, Hiranandani-powai, Mumbai - 400076, OppositeVijay Vihar Building"
Mamaji Medical General Store Near Hirananadani Gardens Powai,1.16 KM,4.1,157 Votes,"Shop No 22, Galleria, Central Avenue Road, Powai, Mumbai - 400076, Near Hirananadani Gardens"
Ashwin Medical And General Store Near Hiranandani Garden Near S M Shetty College Powai,1.37 KM,4.0,58 Votes,"Shop No 10, Daffodil Building, Central Avenue Road, Powai, Mumbai - 400076, Near Hiranandani Garden, Near S M Shetty College"
Supreme Medical General Store Hiranandani Gardens Powai,1.36 KM,4.0,180 Votes,"Shop No 3, Cypres Building, Central Avenue Road, Powai, Mumbai - 400076, Hiranandani Gardens"
Mamajis Medical General Store Near Lake Home And HDFC Bank Powai,1.51 KM,4.1,74 Votes,"Shop No 21, C Wing, Lake Primrose, Phase 4, Chandivali Farm Road, Powai, Mumbai - 400076, Near Lake Home And HDFC Bank"
Apna Ghar General Store Hiranandani Powai,1.14 KM,3.5,6 Votes,"Shop No 50, Galleria Mall, Powai, Mumbai - 400076, Hiranandani"
Inna Medical General Store Opposite L T Gate No 7 Powai,1.48 KM,4.2,13 Votes,"Shop No 10, Tristar Co Operative Housing Society, Shristi Complex, Saki Vihar Road, Powai, Mumbai - 400076, Opposite L T Gate No 7,"
Reliance General Stores IIT Powai Hiranandani Garden Powai,1.36 KM,3.9,67 Votes,"Shop No 6, Cypress Building, Powai, Mumbai - 400076, IIT Powai, Hiranandani Garden"
Vinayak Kirana General Store Opposite Tunga Village Powai,,5.0,1 Votes,"Karuna Nagar pipeline, Sakivihar Road, Powai, Mumbai - 400076, Opposite Tunga Village"
In Time General Store Near S N Shetty School Powai,1.35 KM,3.5,11 Votes,"Shop No 13, Panchavati Building, Chandivali Farm Road, Powai, Mumbai - 400076, Near S N Shetty School"
Sky Food Basket Opp Booker Store Powai,1.52 KM,3.3,2 Votes,"C 15, Lake Prime Rose CHS Ltd,, Adi Shankaracharya Road-Powai, Powai, Mumbai - 400076, Opp Booker Store"
Ma Laxmi General Stores IIT Market Powai,1.63 KM,,0 Votes,"Powai, Mumbai - 400076, IIT Market"
Maharashtra Kirana Bhandar IIT Market Powai Powai,1.66 KM,4.0,1 Votes,"Shop No 1, Dr Datta Samant Bungalow, Harekrishna Road, Powai, Mumbai - 400076, IIT Market Powai"
Gulabji Shankarji Kirana And General Stores Tunga Gaon Powai,1.99 KM,3.0,1 Votes,"Rathode Chawl,, Saki Vihar Road, Powai, Mumbai - 400076, Tunga Gaon"
Bismilla Bakery General Store Near Larson Tubro Powai,,,0 Votes,"Shop No 8, Maharashtra Building No 11, Jogeshwari Vikroli Link Road, Milind Nagar, Powai, Mumbai - 400076, Near Larson & Tubro"
Jay Jalaram Kirana Store Near Larson Tubro Powai,,,0 Votes,"Shop No 4, Mmrda Building No 12, Jogeshwari Vikroli Link Road, Milind Nagar, Powai, Mumbai - 400076, Near Larson & Tubro"
Khushboo Kirana Stores Near Shankar Mandir Swami Narayan Nagar Powai,,,0 Votes,"Thakur Chawl, Vikhroli Hiranandani Link Road, Powai, Mumbai - 400076, Near Shankar Mandir, Swami Narayan Nagar"
Maharashtra Genreal Store Powai,0.73 KM,,0 Votes,"Shop No 7 Friends Chs Shri Ganesh Nagar Punch Kutir Powai, Powai, Mumbai - 400076"
Shivam Grain Stores Near Ganesh Mandir Powai,0.75 KM,4.2,7 Votes,"Shop No-8, Friends Co...Op Society, Shri Ganesh Nagar,Panch kutir, Powai, Mumbai - 400076, Near Ganesh Mandir"
Satay general store Opp Tample Powai Garden Powai,0.75 KM,,0 Votes,"Pune Street, Powai Garden-Powai, Mumbai - 400076, Opp Tample"
Mahesh pan bidi general store Opp powai garden Powai Garden Powai,0.88 KM,,0 Votes,"Shop no.1, Saki Vihar Road, Powai Garden-Powai, Mumbai - 400076, Opp powai garden"
Disha Stationery Near Iit Area Powai,0.94 KM,4.4,20 Votes,"Students' Residential Zone, Powai, Mumbai - 400076, Near Iit Area"
Aaijee Super Market Near Powai Police Station Powai,0.97 KM,3.9,8 Votes,"Shop No B-3, Rambaug Road, Powai, Mumbai - 400076, Near Powai Police Station"
Pooja Grain Store IIT Market Powai,0.99 KM,,0 Votes,"Shop No.3, Padmavati Road, Powai, Mumbai - 400076, IIT Market"
Paradise Bakery Stores Opposite Amrut Bar Nitie,1 KM,5.0,3 Votes,"Shop No 4, Sitaram Yadav Chwl, Paspoli Gaon, NITIE, Powai, Nitie, Mumbai - 400087, Opposite Amrut Bar"
Sainath General Store Near Gaondevi Mandir Nitie,1.02 KM,,0 Votes,"Shop No 4, Patil Chawl, Vihar Lake Road, Powai, Nitie, Mumbai - 400087, Near Gaondevi Mandir"
Pooja General Store Near Gaondevi Mandir Nitie,1.02 KM,,0 Votes,"Shop No 6, Patil Chawl, Saki Vihar Road, Paspoli Village, Powai, Nitie, Mumbai - 400087, Near Gaondevi Mandir"
Tiwari General Store Near Gaondevi Mandir Nitie,1.02 KM,,0 Votes,"Shop No 2, Patil Chawl, Saki Vihar Road, Paspoli Village, Powai, Nitie, Mumbai - 400087, Near Gaondevi Mandir"
Sarswati General Store Near Residency Hotel Neeti post Powai Lake Powai,1.09 KM,,0 Votes,"Shop no 2, Murarji nagar, Aare colony road, Powai Lake-Powai, Mumbai - 400076, Near Residency Hotel/Neeti post"
Canny Kirana Powai,,2.5,2 Votes,"Powai, Mumbai - 400076"
Maharashtra Store Mhada Colony Powai,,3.5,6 Votes,"Shop No 5 Building No 11 Cost Guard Building, Powai, Mumbai - 400076, Mhada Colony"
YADAV Kirana Behind Hira Nandani Hospital Powai,,,0 Votes,"Hari Om Nagar, Powai, Mumbai - 400076, Behind Hira Nandani Hospital"
