Name,Distance,Rating,Votes,Address
Earth Nine Ridhi Sidhi Chemists Near Siddhi Vinayak Temple Prabhadevi,0.33 KM,4.1,69 Votes,"Shop No 9, Manoj Co Operative Housing Soceity, A Wing, Shankar Ghanekar Marg, Prabhadevi, Mumbai - 400025, Near Siddhi Vinayak Temple"
Good Morning Store Near Dainik Samna Press Sumer Trinity Vertical Prabhadevi,0.37 KM,4.1,43 Votes,"Shop No 7 and 8, Sarvodaya Building, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Dainik Samna Press & Sumer Trinity Vertical"
Siddhivinayak Medical General Store Near Siddhivinayak Health Care Prabhadevi,0.2 KM,4.0,3 Votes,"8/A, Om Chintamani CHS, K G Marg, Prabhadevi, Mumbai - 400025, Near Siddhivinayak Health Care"
Anagha Medical General Store Near Prabhadevi Temple Near Skoda Showroom Marathi Udyog Bhavan Prabhadevi,0.57 KM,4.2,43 Votes,"Shop No 4, Krypton Tower, Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Prabhadevi Temple, Near Skoda Showroom,Marathi Udyog Bhavan"
National Chemist Medical General Store Opposite Darbar Hotel Prabhadevi,0.22 KM,3.8,18 Votes,"Shop No.6, Laxmi Narayan Co Operative Housing Society, Sayani Road, Prabhadevi, Mumbai - 400025, Opposite Darbar Hotel"
Manish Supermarket Near Samna Press Prabhadevi,0.37 KM,4.0,31 Votes,"Shop.no1,2,Suryoday Society, New Prabhadevi Rd, Prabhadevi, Mumbai - 400025, Near Samna Press"
Shree Siddhanath Medical General Store Near Prabhadevi Road MMRDA Colony Prabhadevi,1.07 KM,4.8,30 Votes,"Shop No 8, Sukhsagar Co-operative Society, Rajabhau Desai Marg, Prabhadevi, Mumbai - 400025, Near Prabhadevi Road & MMRDA Colony"
Shree Siddhivinayak Chemist General Stores Near Nagusayji Wadi Opposite Samna Press Prabhadevi,0.42 KM,3.9,16 Votes,"Shop No 38-A, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Nagusayji Wadi, Opposite Samna Press"
Shree vidya vansi tiwari brothers Near motilal oswal building Prabhadevi,0.43 KM,,0 Votes,"shop no 1-2 adanawala chawl, s.l.matarwala marg, Prabhadevi, Mumbai - 400013, near motilal oswal building"
Janta Kiran Stores Near Nagusayachi Wadi Prabhadevi,,,0 Votes,"Sunderlal Patra Chawl, Shop No 2 9892355158, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Nagusayachi Wadi"
Ashok Grain And General Stores Deepak cinema Prabhadevi,0.79 KM,4.0,3 Votes,"46/48, Wadachi Chawl, Shop No 9, N M Joshi Marg, N.M.Joshi marg, Prabhadevi, Mumbai - 400013, Deepak cinema"
Anusaya General Store Prabhadevi,0.11 KM,,0 Votes,"Samarth Krupa Building, Sayani Road, Prabhadevi, Mumbai - 400025"
Shree Sai Siddhesh Store Near St Depot Prabhadevi,,,0 Votes,"Sayani Road, Prabhadevi, Mumbai - 400025, Near St Depot"
Parul Stores Opp S T Stand Prabhadevi,0.19 KM,,0 Votes,"Shop no 9, Parekh bldg, Sayani Road, Prabhadevi, Mumbai - 400013, Opp S T Stand"
Varadvinayak Enterprises Khedgulli Prabhadevi,0.19 KM,3.5,1 Votes,"4,Mauji mansion, Sayani Road, Prabhadevi, Mumbai - 400025, Khedgulli"
Shri Siddhivinayak Icecream And General Store Prabhadevi,0.19 KM,5.0,2 Votes,"Shop No.6, Shree Sai Vismai, Sitharam Seth, Chavan Marg, Khed Galli, Babasaheb Ambedkar Nagar, Prabhadevi, Mumbai - 400025"
Anish Novelty General Stores Prabhadevi,0.2 KM,,0 Votes,"Shop 5 Nandanvan Building, K G Marg, Prabhadevi, Mumbai - 400025"
Mahesh General Stores Near Zandu Prabhadevi,0.2 KM,5.0,2 Votes,"Shop.no4, Mantri Corner, Gokhale Road, Prabhadevi, Mumbai - 400025, Near Zandu"
Parul Store Opp St depot Prabhadevi,0.2 KM,,0 Votes,"Shop no. 9, Sayani road, Prabhadevi, Mumbai - 400013, Opp. St depot"
Balaji Grocery Kirana Store Prabhadevi,0.22 KM,3.3,8 Votes,"10, Laxminarayan C.H.S Limited, Sayani Road, Prabhadevi, Mumbai - 400025"
Shraddha Prabhadevi,0.27 KM,5.0,1 Votes,"Precision Wires India Ltd., J A Raul Marg, Prabhadevi, Mumbai - 400025"
