Name,Distance,Rating,Votes,Address
Laxmi Chemist Medical General stores Near Creative Industrial Estate Santacruz East,1.32 KM,4.0,63 Votes,"Shop No 02, Golden View Apartment, Road No 2, Santacruz East, Mumbai - 400098, Near Creative Industrial Estate"
Chheda Stores Near Girnar Tea Shop Santacruz West,1.38 KM,4.1,265 Votes,"Shop No. 6, Ground Floor, Ardeshir Mansion, 1st Hasnabad Lane, Santacruz West, Mumbai - 400054, Near Girnar Tea Shop"
Noble Chemist And General Store Santacruz West,1.72 KM,4.0,18 Votes,"Smt B.C.J General Hospital, S.V Road, Santacruz West, Mumbai - 400054"
Real Medical General Store Near Milan Subway Junction Rizvi Nagar Santacruz West,1.91 KM,4.0,82 Votes,"Shop No 17, Rizvi Nagar, S V Road, Santacruz West, Mumbai - 400054, Near Milan Subway Junction, Rizvi Nagar"
City Medico Near Canara Bank Santacruz East,1.15 KM,4.4,46 Votes,"SHOP No.14 - F/3, Roy Nagar,kalina, Santacruz East, Mumbai - 400029, Near Canara Bank"
Sadru Medical And General Stores Near Freindship Showroom Santacruz West,1.39 KM,4.1,19 Votes,"Shop No - 3, Nagree Building, Railway Station Road, Santacruz West, Mumbai - 400054, Near Freindship Showroom"
Shivam Chemist And General Store Near Vakola Masjid Vakola santacruz East,0.39 KM,4.5,13 Votes,"Shop No- 8, Basera Apartment, Saint Anthony Street, Vakola-santacruz East, Mumbai - 400055, Near Vakola Masjid"
Rupali Medical General Stores Near Jama Masjid Santacruz East,1.22 KM,4.1,14 Votes,"Shop No - 04, M S Naidu Chawl, Kolivery Village Road, Kalina, Santacruz East, Mumbai - 400098, Near Jama Masjid"
Mahesh General Stores Near Podhar school Santacruz West,1.86 KM,4.3,5 Votes,"Shop No.5, Saraswati Sadan, Saraswati Road, Santacruz West, Mumbai - 400054, Near Podhar school"
Laxmi General Stores Near Ram Krishna Mission Santacruz West,1.97 KM,3.6,37 Votes,"Shop No 11, Marble Arch Building, Central Avenue Road, Santacruz West, Mumbai - 400054, Near Ram Krishna Mission"
Abhar Medical General Store Near Gokul Ice Cream Santacruz West,1.96 KM,4.3,34 Votes,"2 Ajay Apartment, Saraswati Road, Santacruz West, Mumbai - 400054, Near Gokul Ice Cream"
Haria Society Store Near Vakola Masjid Santacruz East,0.04 KM,4.3,9 Votes,"Good Lock House, Vakola Market, Nehru Road, Nehru Road, Santacruz East, Mumbai - 400055, Near Vakola Masjid"
Divine Cold Storage General Stores Next St Anthonys Church Santacruz East,0.21 KM,3.0,3 Votes,"Shop No 7, St Anthonys Street, Santacruz East, Mumbai - 400055, Next St Anthonys Church"
Arvind Stores Vakola Pipe Line Santacruz East,0.47 KM,,0 Votes,"Shop No 6,, Gaondevi, Madras Wadi, Santacruz East, Mumbai - 400055, Vakola Pipe Line"
Venus Cake Shop General Stores Opposite Bhatia Medical St Anthony Church Miranda House Santacruz East,0.29 KM,4.3,6 Votes,"Shop No 03,Rahul Agency ,St. Anthony Road, Santacruz East, Mumbai - 400055, Opposite Bhatia Medical, St. Anthony Church, Miranda House"
Aarti Stores Near Pimpleshwar Sports Club Santacruz East,0.49 KM,,0 Votes,"Shop No 4, Vora Chawl, Dhobighat, Vakola Bridge, Santacruz East, Mumbai - 400055, Near Pimpleshwar Sports Club"
Amul Ice Cream Parlour Vakola Police Station Santacruz East,0.85 KM,5.0,2 Votes,"Shop no. 2, New Agripda, Santacruz East, Mumbai - 400029, Vakola Police Station"
Shriram Kirana Stores Hanuman Tekdi Gate No 2 Santacruz East,1.08 KM,,0 Votes,"Lokseva Mitra Mandal, Golibar Road No. 6, Santacruz East, Mumbai - 400055, Hanuman Tekdi Gate No.2"
Zalani Stores Near Santacruz Station Santacruz West,1.39 KM,3.6,28 Votes,"Shop No 5, Husani Chawl, 1st Hasnabad Lane, Santacruz West, Mumbai - 400054, Near Santacruz Station"
Elite Medical General Stores Opp Right Col Hotel Santacruz East,1.39 KM,4.5,16 Votes,"8/B, Lovely Home Co-Opreative Housing Society, Kalina Road, Santacruz East, Mumbai - 400029, Opp Right Col Hotel"
Golden Medico Surgical Near Milan Subway Signal Santacruz West,1.87 KM,4.0,36 Votes,"Shop No. 19,Rizvi Park, CHS Ltd, S. V. Road, Santacruz West, Mumbai - 400054, Near Milan Subway Signal"
Rons Provision General Stores Opposite To SVC Co Operative Bank Vakola Santacruz East,0.03 KM,5.0,3 Votes,"Shop No - 10, Air View Building, Nehru Road, Vakola-Santacruz East, Mumbai - 400055, Opposite To SVC Co-Operative Bank"
Shanti General Store Gavdevi Nagar Santacruz East,,,0 Votes,"G 065, Gavdevei Vakola Pipe Li, Santacruz East, Mumbai - 400055, Gavdevi Nagar"
Saraswati Enterprises Near Western Express Highway Santacruz East,,,0 Votes,"Gate No, 3 Hanuman Tekadi, Santacruz East, Mumbai - 400055, Near Western Express Highway"
Vakola Janta Supari Vakola Bridge Near Jigar Store Santacruz East,0.36 KM,5.0,1 Votes,"Shop No 2,Diamond Park Building, Datta Mandir Road, Santacruz East, Mumbai - 400055, Vakola Bridge,Near Jigar Store"
New Laxmi General Stores Vakola Bridge Santacruz East,0.49 KM,,0 Votes,"96 1 17 Dhobi Ghat Vevikanand Nagar, Santacruz East, Mumbai - 400055, Vakola Bridge"
Nilesh General Stores Vakola Bridge Shivaji Nagar Santacruz East,0.5 KM,4.0,21 Votes,"Shop No 5, Prisadel Building, Santacruz East, Mumbai - 400055, Vakola Bridge, Shivaji Nagar"
Mukesh Stores Yashwant Nagar Vakola Santacruz East,0.55 KM,,0 Votes,"Shop No 6, Manual Rodrics Apartment, Rajendra Kamble Road, Santacruz East, Mumbai - 400055, Yashwant Nagar,Vakola"
Kalina Supari Stores Opp Reliance Energy Santacruz East,0.88 KM,5.0,1 Votes,"Shop no-1, Kalina Market Road,, Santacruz East, Mumbai - 400029, Opp. Reliance Energy,"
Gupta General Store Vakola police station Santacruz East,0.9 KM,,0 Votes,"Shop no 1, New Agripada, Santacruz East, Mumbai - 400055, Vakola police station"
Agraj Kirana Stores Near Mahakali Mandir Santacruz East,0.91 KM,,0 Votes,"Mahakali Shiv Shankar Chawl, Express Highway, New Agreepada, Santacruz East, Mumbai - 400055, Near Mahakali Mandir"
Vijay general store Near hanuman Mandir Santacruz East,0.94 KM,3.3,3 Votes,"gate no 3 hanuman tekadi, service road, Santacruz East, Mumbai - 400055, Near hanuman Mandir"
Shree rajeshwar medical general store Near Express Highway Santacruz East,0.95 KM,4.1,7 Votes,"Shop No- B-27, Hanuman Tekdi, Hanuman Mandir, Santacruz East, Mumbai - 400055, Near Express Highway"
Gupta Store Opp yatri Hotel Santacruz East,1.05 KM,3.0,1 Votes,"Shop No 2,Kuch Bihar Building,Jaku Club, Road No.8, Santacruz East, Mumbai - 400055, Opp.yatri Hotel"
Neelam Provision Stores Next To Yatri Hotel Santacruz East,1.11 KM,4.0,1 Votes,"24,Tara Bhabwan,Shop No.1,Prabhat Colony, Road No.8, Santacruz East, Mumbai - 400055, Next To Yatri Hotel"
Kanti General Store Near Santacruz Station Santacruz East,1.18 KM,4.1,4 Votes,"Shop No 1, Kalika Niwas, Nehru Rd Santacruz, Santacruz East, Mumbai - 400055, Near Santacruz Station"
Kalina Supari Store Kalina market Santacruz East,1.19 KM,3.8,2 Votes,"Shop no. 2, Santacruz East, Mumbai - 400029, Kalina market"
Dr Amar Dhandhukia Prabhat Colony Santacruz West,1.26 KM,4.6,5 Votes,"Ratanai Chawl, Yogendra Marg, Santacruz West, Mumbai - 400054, Prabhat Colony"
Ranbow General Store Santacruz West Santacruz West,1.42 KM,,0 Votes,"Willingdon, Santacruz West, Mumbai - 400054"
Shraddha Collection And General Store Sanjivani hospital Santacruz East,1.44 KM,,0 Votes,"39 Mahatma Nagar CHS, Golibar Road, Santacruz East, Mumbai - 400055, Sanjivani hospital"
Krishna Medico General Stores Opposite Khira Nagar Santacruz West,1.76 KM,3.7,10 Votes,"Shop No 3, Nabu Mistry Chawl, S V Road, Santacruz West, Mumbai - 400054, Opposite Khira Nagar"
Shamji Pasu General Stores Near Shankar Mandir Santacruz West,1.76 KM,4.5,1 Votes,"Baliram Pandey Chawl, TPS Road-3, Golibar Naka, Santacruz West, Mumbai - 400054, Near Shankar Mandir"
Swastik General store Opp Bath showroom Santacruz West,1.81 KM,2.0,1 Votes,"shop no. 3, S.V. Road, Santacruz West, Mumbai - 400054, Opp. Bath showroom"
Jain general stores Opposite Punjab society Santacruz West,1.89 KM,4.0,1 Votes,"D-6, Hasmukh (Kerala) nagar, Tagore Road, Santacruz West, Mumbai - 400054, Opposite Punjab society"
Amar Deep General Stores Opposite to Sndt Collage Santacruz West,,4.0,16 Votes,"Rithu Raj Apartment, Shop No-15,, Juhu Road, Santacruz West, Mumbai - 400054, Opposite to Sndt Collage"
Vandana Medical Near Shabri Hotel Santacruz West,1.98 KM,3.2,16 Votes,"Shop No. 8, Jolly Centre, Tilak Road, Santacruz West, Mumbai - 400054, Near Shabri Hotel"
Mehul Medico General Stores Opposite SVC Co Operative Bank Ltd Santacruz East,0.06 KM,3.8,14 Votes,"Shop No-6, Air View Building, Nehru Road, Santacruz East, Mumbai - 400055, Opposite SVC Co-Operative Bank Ltd"
New Canara Provision Stores Vakola Market Santacruz East,0.06 KM,3.0,3 Votes,"Shop No 3, Air View Building, Santacruz East, Mumbai - 400055, Vakola Market"
Surya Book General Store Near SVC Bank Vakola Pipe Line Santacruz East,0.08 KM,4.5,19 Votes,"Shop No 11, Air View Building, Nehru Road, Santacruz East, Mumbai - 400055, Near SVC Bank, Vakola Pipe Line"
Ibrahim Valibhai Western Express Highway Santacruz East,0.11 KM,4.4,7 Votes,"Shop No. 2, Service Road, Santacruz East, Mumbai - 400055, Western Express Highway"
Mahavir Stores Near Saint Charles School Vakola santacruz East,0.11 KM,3.5,1 Votes,"Shop No.4, Aasara Apartment, Saint Anthony Road, Vakola-santacruz East, Mumbai - 400055, Near Saint Charles School"
Jayesh General Stores Santacruz East,0.14 KM,,0 Votes,"3 Paradise Apts, 7 Golibar Raod, Santacruz East, Mumbai - 400055"
Chandulal Stores Near Gaondevi Police Chowki Santacruz East,0.17 KM,,0 Votes,"Shop No 33, Bhaji Wadi, Vakola Pipe Line, Gaondevi, Santacruz East, Mumbai - 400055, Near Gaondevi Police Chowki"
Shree Sai General Stores Near Gaondevi Police Chowki Santacruz East,0.17 KM,,0 Votes,"Shop No 32, Bhaji Wadi, Vakola Pipe Line, Gaondevi, Santacruz East, Mumbai - 400055, Near Gaondevi Police Chowki"
Mahavir Store Vakola Pipe Line Santacruz East,0.18 KM,4.0,1 Votes,"Senior House Shop No 4, Santacruz East, Mumbai - 400055, Vakola Pipe Line"
India Sanitary General Stores Near Pakhija Hotel Santacruz West,0.18 KM,,0 Votes,"Shop No. 5, Santacruz West, Mumbai - 400054, Near Pakhija Hotel"
Amin Dryfruit Stores Opposite to Vakola Masjid Santacruz East,0.21 KM,4.1,5 Votes,"Shop No.8, Habib Manzil, Vakola Village Road, Santacruz East, Mumbai - 400055, Opposite to Vakola Masjid"
Bhatia General Stores Khira Nagar Santacruz West,0.22 KM,4.8,5 Votes,"""church View Apts., Behind Vakola, Church,"", Khira Nagar-Santacruz West, Mumbai - 400054"
Pushpa General Store Vakola Santacruz East,0.22 KM,,0 Votes,"shop No -1 tarabai wadi, Dattamindir Road, Santacruz East, Mumbai - 400055, vakola"
MMR General Store Opp sai Baba Temple Santacruz East,0.25 KM,,0 Votes,"Thelma Apartment - B/4, Siddartha Nagar Road, Santacruz East, Mumbai - 400055, Opp.sai Baba Temple"
Bipin Provision Store Vakola Masjid Vakola Village Santacruz East,0.25 KM,3.8,5 Votes,"147 Rita Vila, Santacruz East, Mumbai - 400055, Vakola Masjid Vakola Village"
Vijay General Store Near Mathuradas Colony Santacruz East,0.26 KM,3.6,17 Votes,"Krishna Building, Shop No 4, St Anthony Road, Santacruz East, Mumbai - 400098, Near Mathuradas Colony"
Million kirana store Near police Chowki Santacruz East,0.27 KM,,0 Votes,"shop No4, Vakola pipe line, Santacruz East, Mumbai - 400055, Near police Chowki"
Charbhuja General Stores Vakola Pipe Line Santacruz East,0.27 KM,,0 Votes,"Shop No 2, Shri Samarth Building, Datta Mandir Road, Khandwala Compound, Santacruz East, Mumbai - 400055, Vakola Pipe Line"
Maa Ambe Kirana Store Indira Nagar Santacruz East,0.27 KM,,0 Votes,"Jay Bhavani Chawl, Vakola Pipe Line Road, Santacruz East, Mumbai - 400055, Indira Nagar"
Kuku General Store Vakola Church Vasant Nagar Vakola santacruz East,0.28 KM,,0 Votes,"Pipe Line Saibaba Mandir, Vakola-santacruz East, Mumbai - 400055, Vakola Church, Vasant Nagar"
Charbhuja General Store Vakola Bridge Santacruz East,0.28 KM,,0 Votes,"Shop No-2 Sawami Samrth Apt, Dattamindir Road, Santacruz East, Mumbai - 400055, Vakola Bridge"
Kiran General Stores Near Laxmi Hotel Santacruz East,0.28 KM,,0 Votes,"Shop No 6, Rajput Chawl No 8, Vakola Village Road, Santacruz East, Mumbai - 400055, Near Laxmi Hotel"
Lalita Kirana Store Santacruz Santacruz East,0.29 KM,,0 Votes,"Mahdev Smruti, Nehru Road, Santacruz East, Mumbai - 400055, Santacruz"
Kanti Grain Stores Santacruz East,0.3 KM,,0 Votes,"Shop No 3, Opp Narial Municipal School Pipe Line, Kanti Grain Stores, Amba Wadi, Vakola, Santacruz E, Santacruz East, Mumbai - 400055"
Ghala General Store Opposite Vakola Police Chowki Gaondevi Santacruz East,0.31 KM,,0 Votes,"Bhaji Wadi, Vakola Pipe Line Road, Santacruz East, Mumbai - 400055, Opposite Vakola Police Chowki, Gaondevi"
Babubhai General Store Behind St Anthony Street Vakola Church Near Church View Apartment Santacruz East,0.32 KM,3.0,1 Votes,"Santacruz East, Mumbai - 400055, Behind St Anthony Street & Vakola Church, Near Church View Apartment"
Super Sales Corporation Behind St Anthony Church Santacruz East,0.32 KM,4.3,3 Votes,"Shop No 2, Dwell Inn, Santacruz East, Mumbai - 400055, Behind St Anthony Church"
Praful General Stores Santacruz East,0.32 KM,,0 Votes,"RM 30, Subhash Nagar, Gavdevi, Vakola Pipeline Road, Vakola, Santacruz East, Mumbai - 400055"
Suresh General Stores Vakola Pipe Line Santacruz East,0.32 KM,3.5,2 Votes,"Shop No 1, Datta Mandir Road, Santacruz East, Mumbai - 400055, Vakola Pipe Line"
Mahavir Dryfruits General Stores Opposite Citi bank Santacruz East,0.35 KM,,0 Votes,"Shop no.1, Sadguru Sai baba building, Nehru Road, Santacruz East, Mumbai - 400055, Opposite Citi bank"
Laxmi General Stores Jawahar Nagar Santacruz East,,,0 Votes,"New Ambewadi, Santacruz East, Mumbai - 400055, Jawahar Nagar,"
Karthik General Store Idira Nagar Madras Wadi Santacruz East,,5.0,1 Votes,"Gaondevi Vakola Pipe Line, Santacruz East, Mumbai - 400055, Idira Nagar Madras Wadi"
Nandadip General Stores Santacruz East,,,0 Votes,"Hedf -306/5-5 C Sinha Garjana Seva Mandalima, Golibar Road,, Santacruz East, Mumbai - 400055"
Hild Stons General Stores Santacruz East,,,0 Votes,"Shastri Nagar Kalina,, Santacruz East, Mumbai - 400055"
Shobha General Store Santacruz East,,,0 Votes,"Mangal Yadav Chal Hanuman Tegari Opp Sani Mandir, Santacruz East, Mumbai - 400055"
K R Shah Near Vakola Masjid Vakola Santacruz East,0.36 KM,5.0,1 Votes,"Shop no 2, Akash Darshan, Vakola Masjid, Vakola-Santacruz East, Mumbai - 400055, Near Vakola Masjid"
Bhawani Traders Opp Shivshakti Building Santacruz East,0.36 KM,,0 Votes,"Shop No.9, Tranzist Camp, Golibar Tabela Road, Santacruz East, Mumbai - 400055, Opp. Shivshakti Building"
Kiran General Stores Near Police Chauki Santacruz East,0.36 KM,,0 Votes,"Shop No.1, Indira Nagar Service Road, Santacruz East, Mumbai - 400055, Near Police Chauki"
New Ashapura General Stores Near Sainath Mitra Mandal Santacruz East,0.36 KM,3.5,1 Votes,"Shop No 1, B B Sawant Chawl, Service Road, New Agreepada, Santacruz East, Mumbai - 400055, Near Sainath Mitra Mandal"
