Name,Distance,Rating,Votes,Address
Janta Supreme Punjabi Atta Samaj Mandir Hall Sion Koliwada,1.1 KM,4.3,15 Votes,"Sardar Nagar No 3,, Hemant Manjrekar Marg, Sion Koliwada, Mumbai - 400022, Samaj Mandir Hall"
Shriram Variety Stores Opposite Manjrekar Market Sion Koliwada,0.88 KM,4.4,6 Votes,"Shop No.D-2, Building No.1, Jaishankar Yagnik Road, Sion Koliwada, Mumbai - 400022, Opposite Manjrekar Market"
Kapole Stores Opposite Punjab National Bank Sion Cirlce Sion,0.2 KM,4.3,74 Votes,"Shop No 12/13, Building No 29 B, Mira Mansion, Sion, Sion, Mumbai - 400022, Opposite Punjab National Bank, Sion Cirlce"
Modern Distributor Medical General Store Near Dominoz Pizza Sion,0.83 KM,4.2,53 Votes,"56/3 Shop No:3, Jain Indralaya Near Sabri Hotel, Sion, Mumbai - 400022, Near Dominoz Pizza"
Laxmi Medical General Store Opposite Gandhi Market Near King Circle Station Sion,1.49 KM,4.3,18 Votes,"Shop No.4 Plot No 262, Dr Ambedkar Road, Sion, Mumbai - 400022, Opposite Gandhi Market, Near King Circle Station"
Satnam Atta Stores Near Gtb Nagar Sion Koliwada,1.15 KM,4.5,37 Votes,"Shop No 6 & 7, Guru Arjun Niwas, Sion Koliwada, Mumbai - 400022, Near Gtb Nagar"
Meghdoot General Stores Opposite Shanmukhanand Hall Sion East Sion,1.12 KM,3.7,8 Votes,"Shop No. 2 & 3 Plot No. 283 Meghdoot Building, Sion, Mumbai - 400022, Opposite Shanmukhanand Hall Sion (East)"
Khosla Stores Near Hazara Hotel Sion Koliwada,1.2 KM,3.6,6 Votes,"Bldg No 1, Shop No 27, Sion Koliwada, Mumbai - 400022, Near Hazara Hotel"
National Medical Surgical And General Store Near Triwari Sweets Sion,1.18 KM,4.5,10 Votes,"Shop No: 5, New Nand Deep CHS Ltd., Sulochana Shetty Road, Sion, Mumbai - 400022, Near Triwari Sweets"
Milan Variety Store Near SIES College Sion,0.65 KM,3.9,9 Votes,"Plot No 112, Shop No 4, Shanti Sadan, Vallabdas Marg, Sion, Mumbai - 400022, Near SIES College"
Maharashtra Medical And General Store Opposite Shiv Sena Office MHB Colony Sion Koliwada,0.69 KM,4.0,22 Votes,"Shop No 18/947, Pratiksha Nagar Road, Sion Koliwada, Mumbai - 400022, Opposite Shiv Sena Office, MHB Colony"
