Name,Distance,Rating,Votes,Address
Jai Bharat Store Near Bhatia Hospital Grant Road,0.33 KM,3.2,20 Votes,"1/6 Talmaki Wadi 235 F, Tardeo Road, Grant Road, Mumbai - 400007, Near Bhatia Hospital"
Apna Bazar Mumbai Central Station Tardeo,0.53 KM,4.3,4 Votes,"Ganjawala Building, Shaneguruji Marg, Tardeo, Mumbai - 400034, Mumbai Central Station"
Kumkum Provision Stores Opposite Film Centre Tardeo,1.14 KM,4.0,12 Votes,"Shop No 5, Raheja Excellisor, 57 Tardeo Road, Tardeo, Mumbai - 400034, Opposite Film Centre"
Pramanik Provision Stores Opposite Bhatia Hospital Kailash Nagar Tardeo,0.66 KM,4.4,12 Votes,"658, Tardeo Road, Tardeo, Mumbai - 400007, Opposite Bhatia Hospital, Kailash Nagar"
Ashok Stores Tardeo,0.79 KM,3.9,4 Votes,"225/227 Dun Shopping Centre Shop No 34-35, Tardeo Road, Tardeo, Mumbai - 400007"
Soni Moni Provision Stores Tardeo,1.15 KM,4.3,6 Votes,"Shop No 18 Sahakar Niwas, 20 Tardeo Road, Tardeo, Mumbai - 400034"
Vora Brothers Opposite Gamadia Colony Tardeo,0.33 KM,3.7,3 Votes,"225/227, Dun Shopping Centre,Lallubhai Amichand Compound, Tardeo Road, Tardeo, Mumbai - 400007, Opposite Gamadia Colony"
Kamal General Stores Tardeo,,,0 Votes,"384, Tulsiwada Tardeo Road,, Tardeo, Mumbai - 400034"
JAI Jajau Grahak Society Opp Tardev Police Camp Tardeo,,3.5,2 Votes,"B-3 Sai Leela Co Socity Ground Floor, Tardeo, Mumbai - 400034, Opp Tardev Police Camp"
Pradeep General Store Tardeo,,,0 Votes,"Shop Number 4, Vrundavan Building,, M P Will Compuond,, Tardeo, Mumbai - 400034"
Bhulabhai Velji Co Opp Hindmata Hotel Tardeo,0.47 KM,5.0,1 Votes,"352/A, Bellasis Bridge, Mumbai Central Station, Tardeo, Mumbai - 400034, Opp. Hindmata Hotel"
Shamji Khyshi Co Tardeo,0.53 KM,3.0,1 Votes,"505/8 Hira Kunj Gora Gandi Bldg, Sane Guruji Marg, Tardeo, Mumbai - 400034"
Pooja Provisional Store Behind Tardeo Police Station Tardeo,0.58 KM,,0 Votes,"Shop 3, Transist Camp, M P Mills Compound,, Tardeo, Mumbai - 400034, Behind Tardeo Police Station"
Ganesh Corporations Opposite Axis Bank Tardeo,0.6 KM,,0 Votes,"Shop No 5, Adam Mahal, 145, Tardeo Road, Tardeo, Mumbai - 400034, Opposite Axis Bank"
Shaikh bhajiwala Tardeo,0.72 KM,4.0,2 Votes,"Dadal Estate, Bane Compound, Tardeo, Mumbai - 400034"
Jinaam Stores Opp Chheda Medical Stores Tardeo,0.73 KM,,0 Votes,"Shop No.6, Yasho Mandir Building, Sane Guruji Road,, Tardeo, Mumbai - 400034, Opp. Chheda Medical Stores"
Shiv Krupa Store Tardeo,0.73 KM,5.0,2 Votes,"Nav Maharashtra Nagar, Janata Nagar, Road, Tardeo, Mumbai - 400034"
Shree Ganesh Store Opposite Rosewood hotel Tardeo,0.88 KM,,0 Votes,"shop no.9,German darshan building, Tulsiwadi RTO Road, Tardeo, Mumbai - 400034, Opposite Rosewood hotel"
Mane brothers Tardeo,0.9 KM,,0 Votes,"Shop no gasswala building, Tardeo, Mumbai - 400034"
Gajanan general store Near Tulsiwadi post office Tardeo,0.96 KM,,0 Votes,"Shop no-7,Arya nagar, Tardeo, Mumbai - 400034, Near Tulsiwadi post office"
Gupta Stores Near Film Centre Tardeo,1.11 KM,,0 Votes,"Shop No. 9, Khandawala Building, Tardeo Road, Tardeo, Mumbai - 400034, Near Film Centre"
Duttatray Provision Stores Tardeo,1.14 KM,,0 Votes,"Shop No 6, Raheja Excelsior, Pandit Madan Mohan Malviya Marg, Tardeo, Mumbai - 400034"
Gupta provision store Tardeo,1.15 KM,,0 Votes,"9, dawoodbhai fazalbhai blg, Tardeo, Mumbai - 400034"
Saroj General Stores Near Hira Pannalal Shopping Centre Tardeo,1.2 KM,,0 Votes,"Shop No.11, Goundwat Chawl, Tardeo Road, Tardeo, Mumbai - 400034, Near Hira Pannalal Shopping Centre"
KBs Fair Price Sobo Central Mall Near Haji Ali Tardeo,1.26 KM,3.9,5 Votes,"Ground Floor, Sobo Central Mall, Tardeo Road, Tardeo, Mumbai - 400034, Near Haji Ali"
SAVMORE Supermarket Haji Ali Circle Tardeo,1.38 KM,,0 Votes,"Shop No 1, Heera Panna Shopping Arcade, Tulsiwadi RTO Road, Tardeo, Mumbai - 400034, Haji Ali Circle"
Apna Bazar Opposite Fire Brigade Nana Chowk Grant Road,0.54 KM,3.9,10 Votes,"Ness Baug Building, Grant Road, Mumbai - 400007, Opposite Fire Brigade, Nana Chowk"
Virchand Khimji Co Opposite Two Tank Grant Road,1.3 KM,4.0,35 Votes,"144, Grant Road, Mumbai - 400007, Opposite Two Tank"
Devshi Nathubhai Co Near Grant Road Railway Station Grant Road,0.13 KM,4.1,19 Votes,"Shop No 6, 36 D, Avishkar Building, Sleater Road, Grant Road, Mumbai - 400007, Near Grant Road Railway Station"
Patel Brothers Novelty Cinema Grant Road,0.74 KM,4.2,3 Votes,"Shop No 391b, Lt Market, Grant Road, Mumbai - 400007, Novelty Cinema"
Vishal Super Market Opposite J K Building No 5 Gamdevi,0.31 KM,4.0,47 Votes,"2/3 Royal Chambers, H G Road, Gamdevi, Mumbai - 400007, Opposite J K Building No 5"
New Regal Stores Grant Road,0.47 KM,,0 Votes,"Shop No.5,6, Grant Road, Mumbai - 400007"
Himalaya Store Haji Ali Circle Haji Ali,1.52 KM,3.3,3 Votes,"Karimbhai Manor, Haji Ali, Mumbai - 400034, Haji Ali Circle"
Nanji Ujpal And Company Opposite Som Restaurant Near Babulnath Temple Grant Road,1.16 KM,3.8,3 Votes,"Gangadas Wadi, Babulnath Road, Grant Road, Mumbai - 400007, Opposite Som Restaurant, Near Babulnath Temple"
Consumers Food Near railway station Grant Road,0.14 KM,3.0,5 Votes,"Shop no. 92 Chaman manzil, Chaman Road, Grant Road, Mumbai - 400007, near railway station"
Chedda Chemist General Store Next Garant Road Post Office Grant Road,0.17 KM,4.3,43 Votes,"13 jyoti mahal, Sleater road, Grant Road, Mumbai - 400007, Next Garant Road Post Office"
Ranchoddas Bhaichand Sons Grant Road,,3.0,2 Votes,"Grant Road, Mumbai - 400007"
Home Choice Opp Sbi Bank Grant Road,0.44 KM,4.8,2 Votes,"Shop No-2 Janam Bldg, Forjett Street, Grant Road, Mumbai - 400007, Opp Sbi Bank"
Bombay Bazaar Ltd Near Two Tanks Grant Road,1.35 KM,4.0,2 Votes,"258, Moulana Azad Road, Grant Road, Mumbai - 400007, Near Two Tanks"
Easyday Club,1.69 KM,,0 Votes,"Car Care Center, 43, Simla Nagar, L Jagmohandas Marg, Mumbai - 400007, Malabar Hill"
Krupa Stores,0.27 KM,5.0,7 Votes,"Navyug Nivas, Ground Floor, A/6, Society, Mumbai - 400007, Lamington Road"
Ashish Supar Market Bhaji gali Grant Road,0.31 KM,,0 Votes,"15 Pillai lodge blg Shankar Seth lane, Grant Road, Mumbai - 400007, Bhaji gali"
Ashok Provision Store Bhaji Market Grant Road,0.33 KM,4.0,2 Votes,"7, Captian House, 24, Shanker Shet Road, Grant Road, Mumbai - 400007, Bhaji Market"
Devji Dhanji Grant Road,0.33 KM,3.7,10 Votes,"Shop No 85, Lokmanya Tilak Market, Grant Road, Mumbai - 400007"
Malwa Traders Near Railway Station Grant Road,,,0 Votes,"Ground Floor,Shop No 1e,A Wing, M K Ansari Marg,Aara Plan, Grant Road, Mumbai - 400007, Near Railway Station"
Hemant Store Near Grant Road Delhi Darbar Hotel Grant Road,0.39 KM,,0 Votes,"Ground Floor, Shop No 1 Danewala Building, 5th Kolsa Lane, Pv Marg, Grant Road, Mumbai - 400007, Near Grant Road Delhi Darbar Hotel"
Modi Arjan Lakhu Grant Road,0.42 KM,4.8,4 Votes,"Shop No 10, Siddesh Jyoti Tower, Balaram Street, Grant Road, Mumbai - 400007"
Sansare Shop Nana Chowk Grant Road,0.45 KM,,0 Votes,"Shop No 29,Jobanputra Compound, J D Marg, Grant Road, Mumbai - 400007, Nana Chowk"
Yash General Stores Near Novelty Cinema Grant Road,0.51 KM,,0 Votes,"Shop No 79, Lt Market, Grant Road, Mumbai - 400007, Near Novelty Cinema"
Rekha General Stores Grant Road,0.51 KM,,0 Votes,"Grant Road, Mumbai - 400007"
Vandna Grain Stores Opposite Railway Station Grant Road,0.52 KM,,0 Votes,"Shop No 48, Union Building, Slater Road, Grant Road, Mumbai - 400007, Opposite Railway Station"
Shree Krishna General Store Near minarva cinema Grant Road,,2.5,1 Votes,"shop no.4, zeenat manzil, mohammad ali road, Grant Road, Mumbai - 400007, near minarva cinema"
