Name,Distance,Rating,Votes,Address
Savla Dry Fruits Near Vishnunagar Ghantali Chowk Naupada Thane West,0.75 KM,3.6,5 Votes,"Shradha Bhavan, Station Road, Thane West, Thane - 400601, Near Vishnunagar Ghantali Chowk Naupada"
Ashish Bharatiya Bazaar Apna Near Shimla Bar Thane West,1.42 KM,4.0,3 Votes,"Shop 2,Shreejidham Building, Edulji Road, Thane West, thane - 400601, Near Shimla Bar"
Ratan Supermarket Near Gaondevi Mandir Kopri Colony Thane East,0.33 KM,4.1,26 Votes,"Shop No 52, C, Sant Tukaram Road, Kopri Colony-Thane East, Thane - 400603, Near Gaondevi Mandir"
Deepak Stores Near Jambhali Naka Thane West,1.05 KM,4.3,3 Votes,"Station Rd, Thane West, Thane - 400601, Near Jambhali Naka"
Vishal Super Market Opposite Sant Tukaram Ground Kopri Thane East,0.26 KM,3.7,15 Votes,"Shop No-02, Gautam Aracade, Raut Road, Kopri-Thane East, Thane - 400603, Opposite Sant Tukaram Ground"
Khushalani Stores Opposite Building No 22 Kopri Thane East,0.6 KM,4.0,20 Votes,"Sarvanand Appartment , Plot No 10, Kopri, Thane East, Thane - 400603, Opposite Building No 22 ,Kopri"
New Thana Traders Near Thane Market Jambli Naka Thane West,,3.9,5 Votes,"Shop No 1, Bohri Building, Devidas Road, Thane West, Thane - 400601, Near Thane Market,Jambli Naka"
Niti General Store Near Thane Bharat Sahakari Bank Thane West,0.87 KM,3.7,11 Votes,"Kaustubh Chs, Baji Prabhu Deshpande Road, Thane West, Thane - 400601, Near Thane Bharat Sahakari Bank"
Raju Cold Drinks And Gen Store Near Block No 4 Kopri Colony thane East,0.94 KM,4.0,1 Votes,"Kopari Colony, Thane West, Mumbai, Kopri Road, Kopri Colony-thane East, Thane - 400603, Near Block No 4"
Krishna Medical General Store Near Bhanushali Hospital Shivaji Path Thane West,0.37 KM,4.0,27 Votes,"Shop No 3, Solanki Sadan, Station Road, Thane West, Thane - 400601, Near Bhanushali Hospital, Shivaji Path"
Sharda Medical General Store Opposite Thane Janta Sahakari Bank Singh Nagar Thane West,2 KM,4.1,14 Votes,"Shop No.01 Singh Nagar, Kopat Road, Thane West, Thane - 400601, Opposite Thane Janta Sahakari Bank, Singh Nagar"
Hari Om Crockery Kirana Store,,2.0,1 Votes,"Section 29, Bhaji Market, Thane - 400603, Near Unr- 4"
Jainam General Store Opp Sadguru Garden Kopri Thane East,0.28 KM,,0 Votes,"Shop no-1 Gurudev Nagar, R. M. Road, Kopri-Thane East, Thane - 400603, Opp. Sadguru Garden"
Shri Krishna General Store Thane West,0.29 KM,,0 Votes,"Vartak Nagar, Thane West, Thane - 400601"
Food Trip Next to Monginis Cake Shop Near Railway Station Thane West,0.31 KM,4.7,3 Votes,"Shop No 6 & 7, Yashodhan Biulding, Station Road, Thane West, Thane - 400601, Next to Monginis Cake Shop, Near Railway Station"
