Name,Distance,Rating,Votes,Address
Manilal Traders Vikhroli East,0.37 KM,3.9,13 Votes,"Shop No.1, Opposite Building No.8, Tagore Nagar, Station Road, Vikhroli East, Mumbai - 400083"
Lata Books General Stores Near Station Vikhroli East,0.38 KM,4.1,270 Votes,"Station Road, Ganesh Marg, Vikhroli East, Mumbai - 400083, Near Station"
Noble Medical General Stores Hariyali Village Vikhroli East,0.62 KM,4.2,13 Votes,"Shop No 6, Shiv Shankar Chawl, Vikhroli East, Mumbai - 400083, Hariyali Village"
Sirji Medical General Stores Janta Seva Samiti Hariyali Village Vikhroli East,,2.0,1 Votes,"Sona Intp Colony, SM Mandir Marg, Vikhroli East, Mumbai - 400083, Janta Seva Samiti, Hariyali Village"
Shree Mamata Chemist Near Kannamwar Nagar No 2 Opposite Vikhroli Police Station Vikhroli East,0.8 KM,2.8,3 Votes,"Shop No 24, Patidar Complex, Vikhroli East, Mumbai - 400083, Near Kannamwar Nagar No 2, Opposite Vikhroli Police Station"
Om Medical And General Store Tagore Nagar Near Badi Masjid Vikhroli East,,4.0,4 Votes,"Ganga Ram Chawl,, Vikhroli East, Mumbai - 400079, Tagore Nagar, Near Badi Masjid"
Annu Medical and General Stores Near Mahatma Phule Hospital Kannamwar Nagar No 2 Vikhroli East,1.35 KM,4.5,10 Votes,"Shop No 121-1/1, Janta Market Road, Vikhroli East, Mumbai - 400083, Near Mahatma Phule Hospital, Kannamwar Nagar No 2"
Shree Sagar Medical General Stores Near Shankar Mandir Park Site Vikhroli West,1.66 KM,4.2,5 Votes,"Shop No 350/2 Ground Floor, Anand Gadh, Park Site-Vikhroli West, Mumbai - 400079, Near Shankar Mandir"
Prajapati Provision Stores Bharat Nagar Vikhroli East,0.31 KM,4.1,5 Votes,"Shop No 12, Station Road, Vikhroli East, Mumbai - 400083, Bharat Nagar"
Ramji Govindji Company Near Aakershan Hotel Vikhroli West,0.39 KM,3.8,6 Votes,"Palival Bhavan, Station Road, Vikhroli West, Mumbai - 400079, Near Aakershan Hotel"
Variety General Store Near Railway Station Vikhroli West,0.39 KM,3.6,6 Votes,"Shop No. 7 Paras Sadan, Station Road, Vikhroli West, Mumbai - 400083, Near Railway Station"
Shree Bhavani Kirana Store Near VT Bakery Hariyali Village vikhroli East,0.45 KM,,0 Votes,"Shop No 6, Tagore Nagar, Hariyali Village-vikhroli East, Mumbai - 400083, Near VT Bakery"
Pravin General Store Opp Shiddhesh Collection Vikhroli East,0.46 KM,5.0,1 Votes,"Group No.1, Tagore Nagar, Tikke Kamble Marg, Vikhroli East, Mumbai - 400083, Opp. Shiddhesh Collection"
