Name,Distance,Rating,Votes,Address
Joshi Khaughar Opposite ICICI Bank Vile Parle East,0.73 KM,5.0,4 Votes,"Shop No.5, Dunhill Castel Elvid Co-Operative Housing Society, Hanuman Road, Vile Parle East, Mumbai - 400057, Opposite ICICI Bank"
Heersons Stores Near Railway Station Agarwal Market Vile Parle East,1.2 KM,4.4,1013 Votes,"A/9, Agarwalmarket, Tejpal Road, Vile Parle East, Mumbai - 400057, Near Railway Station, Agarwal Market"
Vijay Stores Opposite Ram Mandir Vile Parle East,1.11 KM,4.1,249 Votes,"4, Sahajeevan, Shraddhanand Road, Vile Parle East, Mumbai - 400057, Opposite Ram Mandir"
Noble Chemist Near Dominos Pizza Vile Parle East,0.63 KM,4.0,92 Votes,"Shop No 05, Gujrati Society, Nehru Road, Vile Parle East, Mumbai - 400057, Near Dominos Pizza"
Vishnu Stores Near Parleshwar Temple Vile Parle East,1.07 KM,4.3,167 Votes,"Shop No 1 Paranjpe Wadi, M G Road, Vile Parle East, Mumbai - 400057, Near Parleshwar Temple"
Parlekar Masala Supermarket Opposite Railway Station Vile Parle East,1.29 KM,4.0,76 Votes,"Shop No. 15 16 , Vanmalidas Compund, Tejpal Road, Vile Parle East, Mumbai - 400057, Opposite Railway Station"
Vijay Provision General Stores Near Parle Tilak Vidyalaya Vile Parle East,0.97 KM,4.1,42 Votes,"1/2, Nandanvan, Tejpal Scheme Main Road, Vile Parle East, Mumbai - 400057, Near Parle Tilak Vidyalaya"
Suvidha Medical General Store Opposite Ramkrishna Hotel Corner Of Nehru Road Vile Parle East,1.28 KM,4.3,22 Votes,"Vanmali Compound, Shop No 240, Vile Parle East, Mumbai - 400057, Opposite Ramkrishna Hotel, Corner Of Nehru Road"
My Lifestyle Marketing Pvt Ltd Near Alfa College Vile Parle East,,4.8,4 Votes,"Jai Hind Cottage Room 21, Vile Parle East, Mumbai - 400057, Near Alfa College"
New Gajora Brothers Near Mahalaxmi Mandir Vile Parle East,0.97 KM,4.2,17 Votes,"Shop-11, Suryaniwas Apartment, Ram Mandir Road, Vile Parle East, Mumbai - 400057, Near Mahalaxmi Mandir"
Central General Stores Opp STN Baba Gavde Compound Vile Parle East,1.08 KM,4.1,13 Votes,"Shop No 3 Old Market, M G Road, Vile Parle East, Mumbai - 400057, Opp STN, Baba Gavde Compound"
K K Shah And Company Opp Gujrat Soc Vile Parle East,0.62 KM,4.0,2 Votes,"Shop No. 2 & 3, Sawant Sadan, Nehru Road, Vile Parle East, Mumbai - 400057, Opp Gujrat Soc"
