Name,Distance,Rating,Votes,Address
Alfa 1 Near Cooper Hospital Vile Parle West,0.87 KM,3.9,2842 Votes,"116/A, Oskar House, Irla Society Road, Vile Parle West, Mumbai - 400056, Near Cooper Hospital"
Atul Stores Near Vishwa Karma Hall Vile Parle West,0.45 KM,4.1,344 Votes,"Shop No 2, Laxmi Darshan Building, Bajaj Road, Vile Parle West, Mumbai - 400056, Near Vishwa Karma Hall"
Murgan Store Nehru Nagar Vile Parle West,,4.1,8 Votes,"Shop No. 1, Marchant Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Kamat Medical General Stores Opposite Madina Stores Near Railway Fatak Vile Parle West,0.53 KM,3.5,39 Votes,"79 A, St Francis Road, Vile Parle West, Mumbai - 400056, Opposite Madina Stores Near Railway Fatak"
Patel General Stores Opposite Rashraj Hotel Near Vishnu Prasad Hall Next Welcome Medical Vile Parle West,0.46 KM,4.3,3 Votes,"Shop No 6, V M Road, Vile Parle West, Mumbai - 400056, Opposite Rashraj Hotel, Near Vishnu Prasad Hall, Next Welcome Medical"
Sonal General Stores Opp Chandan Niwas Vile Parle West,0.42 KM,4.7,24 Votes,"Shop No.9, Laxmi Darshan, Bajaj Road, Vile Parle West, Mumbai - 400056, Opp. Chandan Niwas"
Deepak Stores Opposite Bank Of Baroda Vile Parle West,0.05 KM,4.2,12 Votes,"Shop No 2, Shrikrishna Niwas, D J Road, Vile Parle West, Mumbai - 400056, Opposite Bank Of Baroda"
Janta General Stores Opposite Mcdonalds Vile Parle West,0.13 KM,4.2,22 Votes,"Shop No 1, Nirmal Building, D J Road, Vile Parle West, Mumbai - 400056, Opposite Mcdonalds"
Sohini Provision Stores Near Bank Of Baroda Vile Parle West,0.03 KM,3.6,33 Votes,"Shop No 2, Sohinin Apartment, Dashrathlal Joshi Marg, Vile Parle West, Mumbai - 400056, Near Bank Of Baroda"
Sunshine Medical General Store Opposite Catholic Syrian Bank Vile Parle West,0.4 KM,3.8,53 Votes,"Shop No 11 Shiv Kesar Co-operative Housing Society, Baptists Road, Vile Parle West, Mumbai - 400056, Opposite Catholic Syrian Bank"
Ahmed Dawood Opp Railway Station Vile Parle West,0.18 KM,3.6,8 Votes,"Ashok Kumar Panachand Building, V P Road, Vile Parle West, Mumbai - 400056, Opp. Railway Station,"
Talika Department Stores Opposite Mcdonald Vile Parle West,0.2 KM,4.1,10 Votes,"Shop No 6 & 7, 113, Anant Building, D J Road, Vile Parle West, Mumbai - 400056, Opposite Mcdonald"
Khirani Stores Near Vishwakarma Hall Vile Parle West,0.51 KM,4.2,15 Votes,"Shop No 5, Kailash Sadan Building, Bajaj Road, Vile Parle West, Mumbai - 400056, Near Vishwakarma Hall"
Rajshree Lottery Vile Parle West,,,0 Votes,"Vile Parle West, Mumbai - 400056"
Span Medico Opposite Bank Of Baroda Vile Parle West,0.11 KM,4.4,7 Votes,"7/A Kanta Niwas, D.J. Road, Vile Parle West, Mumbai - 400056, Opposite Bank Of Baroda"
V K General Store Near Laxmi Narayan Temple Vile Parle West,0.32 KM,4.1,13 Votes,"9 Nandan Villa, Ansari Road, Vile Parle West, Mumbai - 400056, Near Laxmi Narayan Temple"
Yasmin Bakery Store Nehera Nagar Vile Parle West,0.75 KM,5.0,1 Votes,"Shiv Chawl, S.v. Road, Vile Parle West, Mumbai - 400056, Nehera Nagar"
Sai Kripa Medical General Stores Near Kalimata Mandir Vile Parle West,0.82 KM,3.0,1 Votes,"Shop No 1, Durai Pande Chawl, V M Road No 5, Vile Parle West, Mumbai - 400056, Near Kalimata Mandir"
Royal Medical General Store Nr kalimata Mandir Vile Parle West,0.86 KM,5.0,2 Votes,"Durai Pandey Chawl, Nehru Nagar, V. M. Road No. 5, Vile Parle West, Mumbai - 400056, Nr.kalimata Mandir"
Priya Super Store Juhu Scheme Vile Parle West,1.39 KM,4.2,44 Votes,"Shop No-04, BMC Market, N S Road No-06, Vile Parle West, Mumbai - 400056, Juhu Scheme"
Charbhuja Jewellery V M Rd Vile Parle West,,,0 Votes,"Shivdham Chawl, Juhu Rd Nehru Nagar, Vile Parle West, Mumbai - 400056, V M Rd"
Sandeep General Store Opp Manish Store Vile Parle West,,,0 Votes,"Shop No. 1, Ram Niwas Chawl, Vile Parle West, Mumbai - 400056, Opp. Manish Store"
Shivani General Store Opp Hanuman Mandir Vile Parle West,,,0 Votes,"Shop No. 1, Nana Prakash Chawl, Vile Parle West, Mumbai - 400056, Opp. Hanuman Mandir"
Ramdev General Store Nehru Nagar Vile Parle West,,,0 Votes,"Shop No. 1, Tangama Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Rasai Kirana And General Store Nehru Nagar Vile Parle West,,,0 Votes,"Shop No. 1, Raman Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Kanhaiya Communication Near HP Petrol Pump Vile Parle West,,,0 Votes,"Shop No.20, Road No.05, Neharu Nagar, Vile Parle West, Mumbai - 400056, Near HP Petrol Pump"
Shree Anapurna Sweets Farsan Dryfruit Centre Near Bank Of Baroda Vile Parle West,0.07 KM,3.7,8 Votes,"5, Sohini Building, D J Road, Vile Parle West, Mumbai - 400056, Near Bank Of Baroda"
Mangal General Store Near Old Police Station Vile Parle West,,,0 Votes,"Shop No 5, Yamuna Shree Co Operative Housing Society, Bajaj Road, Vile Parle West, Mumbai - 400056, Near Old Police Station"
Parle General Stores Vile Parle West Vile Parle West,0.17 KM,4.2,6 Votes,"Namdar Building,D J Road,, Vile Parle West, Mumbai - 400056, Vile Parle West"
Nirmal General Stores Indiranagar No 1 Vile Parle West,0.18 KM,,0 Votes,"S V Road, Vile Parle West, Mumbai - 400056, Indiranagar No 1"
Zilmit provision stores Opp baptista Vile Parle West,0.21 KM,,0 Votes,"Shop no.88,maa mansion, Old police station road, Vile Parle West, Mumbai - 400056, Opp.baptista"
Dodhia Provision Store Near Kapol Bank Vile Parle West,0.21 KM,,0 Votes,"Shop No-47/B Baptista Hacienda, Old police Station Road, Vile Parle West, Mumbai - 400056, Near Kapol Bank"
Shankar General Store Opposite Noble Chemist Vile Parle West,0.24 KM,5.0,1 Votes,"Shop No 7, Angelina Apartment, Baji Prabhu Deshpande Marg, Vile Parle West, Mumbai - 400056, Opposite Noble Chemist"
Shivam Medical Store Near Rashmi Gas Agencies Vile Parle West,0.27 KM,3.5,6 Votes,"Shop No-2,Yamunashree, B-Wing, Bajaj Road, Vile Parle West, Mumbai - 400056, Near Rashmi Gas Agencies"
Shweta Colddrink House Opposite MP Shah School Vile Parle West,0.3 KM,4.0,3 Votes,"Milk No. 122, Ishwar Lal Park, Sarojani Road, Vile Parle West, Mumbai - 400056, Opposite MP Shah School"
Mahadev Medical General Stores Near Laxmi Narayan Mandir Vile Parle West,0.32 KM,,0 Votes,"8, Nandan Villa, Ansari Road, Vile Parle West, Mumbai - 400056, Near Laxmi Narayan Mandir"
Geeta store Nehru Nagar Vile Parle West,0.34 KM,,0 Votes,"Shiv Sai Chawl No 3, S V Road, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Saraswati Kirana General Store Nehru Nagar Vile Parle West,0.34 KM,,0 Votes,"Shop No. 1, Shiv Sai Chawl - 5, S V Road, Vile Parle West, Mumbai - 400056, Nehru Nagar"
New Saraswati Store Near Nehru Nagar Vile Parle West,,,0 Votes,"Shop No. 2, Kartik Vinayak Chawl, Vile Parle West, Mumbai - 400056, Near Nehru Nagar"
Aarti General Stores Near Ashwini Hotel Vile Parle West,,,0 Votes,"Shop No. 1,, V M Road, Dandi Chawl, Vile Parle West, Mumbai - 400056, Near Ashwini Hotel"
Jaya Store Nehru Nagar Vile Parle West,0.4 KM,3.0,1 Votes,"Opp Poojari Chawl, Juhu Road, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Roop Sangam General Stores Vile Parle West,0.44 KM,4.0,2 Votes,"4 Laxmi Darshan Bldg, Bajaj Road, Vile Parle West, Mumbai - 400056"
Mahakali General Store Vile Parle West,0.47 KM,,0 Votes,"S.V.Road , V.M.Road, Sarangpani Chawl, Flying Club Shanty Town, Nehru Nagar, Vile Parle West, Mumbai - 400056"
Gemeni Medical General Store Vile Parle West,0.5 KM,3.0,2 Votes,"Shop No. 1 Vijaylaxmi Chawl, V.m.road Vile Parle, Vile Parle West, Mumbai - 400056"
Shree Aai Mata Kirana Store Nehru Nagar Vile Parle West,0.5 KM,,0 Votes,"Shop No. 2, Arjun Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Hare Krishna General Store Near Shitla Mata Temple Vile Parle West,0.5 KM,,0 Votes,"Arjun Chawl, S V Road No 5, Vile Parle West, Mumbai - 400056, Near Shitla Mata Temple"
S Vyankatesh Store Opp Chamunda Chawl Vile Parle West,0.51 KM,4.0,1 Votes,"Vijay Laxmi Chawl, Nehru Nagar, Vile Parle West, Mumbai - 400056, Opp Chamunda Chawl"
Madina store Nr railway crossing Vile Parle West,0.53 KM,,0 Votes,"St.francis road, Vile Parle West, Mumbai - 400056, Nr.railway crossing"
Aarti Store Mithibai College Vile Parle West,0.54 KM,,0 Votes,"Anna Chawl , Gandhi Nagar, Nerul Nagar, Vile Parle West, Mumbai - 400056, Mithibai College"
Azad Stores Near Mithibai College Vile Parle West,0.54 KM,,0 Votes,"Nagar Nagar, No 5, Vile Parle West, Mumbai - 400056, Near Mithibai College"
Sai Kirana Store Near Mithibai College Vile Parle West,0.54 KM,,0 Votes,"B M Road, Vile Parle West, Mumbai - 400056, Near Mithibai College"
Gemini Medical General Store Near Mithibai College Vile Parle West,0.55 KM,3.8,8 Votes,"Shop No 1, Vijaylaxmi Chawl, V M Road, Vile Parle West, Mumbai - 400056, Near Mithibai College"
Ganesh General Stores Near mithi bai college Vile Parle West,0.55 KM,,0 Votes,"nehru nagar, Vile Parle West, Mumbai - 400056, near mithi bai college"
I N R Store Opposite Mithibai College Vile Parle West,0.55 KM,4.0,1 Votes,"No. 5, Nehru Nagar, V.M. Road, Vile Parle West, Mumbai - 400056, Opposite Mithibai College"
Om Sai Vighnesh General Store Nehru Nagar Vile Parle West,0.58 KM,,0 Votes,"Shop No. 1, Ambe Mata Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
Shree Gulabchand Hiralal Stores Vile Parle West,0.59 KM,5.0,2 Votes,"J.M Parera Chawl, Vile Parle (W), St. Francis Road, Vile Parle West, Mumbai - 400056"
S K Shah Kirana Store Near Ganesh Farsan Vile Parle West,0.6 KM,4.3,7 Votes,"Shop No 1, 49/31 Gayatri, Dadabhai Road, Vile Parle West, Mumbai - 400056, Near Ganesh Farsan"
Manish Store Nehru Nagar Vile Parle West,0.63 KM,,0 Votes,"Shop No. 1, Mahatma Gandhi Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar"
