Name,Distance,Rating,Votes,Address
Rakhangi General Stores Nx Worli,0.46 KM,4.0,142 Votes,"Plot No 2, Kakad Estate, R G Thadani Marg, Worli, Mumbai - 400018"
Natural Food Basket Podar Hospital Worli,0.6 KM,3.9,13 Votes,"Shop No 5, Ground Floor, 109, Himalaya CHS LTD, Dr. R G Thadani Marg, Worli, Mumbai - 400018, Podar Hospital"
Mamajis Namkeen Opposite Oriental Bank Worli Naka worli,0.08 KM,4.5,12 Votes,"Shop No 12, Mantri Chawl, Ganpatrao Kadam Marg, Worli Naka-worli, Mumbai - 400018, Opposite Oriental Bank"
Kevat General Stores NEAR MAHINDRE TOWER Worli,0.72 KM,5.0,2 Votes,"BDD CHAWL, BUILDING NO-72, Ganpat Rao Madam Marg, Worli, Mumbai - 400013, NEAR MAHINDRE TOWER"
Patanjali General Store Near Century Bazar Fire Brigade Worli,1.77 KM,4.2,22 Votes,"Shop No 12, Kharude Market, Annie Besant Road, Worli, Mumbai - 400018, Near Century Bazar Fire Brigade"
Vipul Stores Worli Sea Face Worli,0.59 KM,3.8,62 Votes,"Shop No 2 3 & 4 Himalaya Society, Worli, Mumbai - 400018, Worli Sea Face"
Tirumala Medical And General Stores Near Mahindra Tower Worli,0.72 KM,4.4,59 Votes,"Shop No 5, B D D Building No 55, P B Marg, Worli, Mumbai - 400018, Near Mahindra Tower"
Om The Super Shopee Near Worli Sea Face Worli,0.5 KM,4.1,47 Votes,"107/6 Anand Ashram Building, R G Thadani Marg, Worli, Mumbai - 400018, Near Worli Sea Face"
Rakhangis 7 L L P Opposite Podar Hospital Worli Naka Worli,0.57 KM,4.7,25 Votes,"Alankar C.h.s.l, Dr. Annie Besant Road, Worli Naka-Worli, Mumbai - 400018, Opposite Podar Hospital"
Shree Shanti Book Depot General Store Opposite Jamburi Maidan Worli,0.97 KM,3.9,12 Votes,"Shop No 2& 4, B D D Chawl, Worli, Mumbai - 400018, Opposite Jamburi Maidan"
New Rakhangi General Store Worli Seaface Worli,0.49 KM,4.1,143 Votes,"Shop No 1, Anand Ashram, R G Thadani Marg, Worli, Mumbai - 400018, Worli Seaface"
New Lokpriya Medical General Stores Opposite Mahindra Tower Near Alankar Hotel Worli,1.05 KM,4.2,12 Votes,"28/9, Century Mills Chawl, Pandurang Budhkar Marg, Worli, Mumbai - 400018, Opposite Mahindra Tower,Near Alankar Hotel"
Kripa General Store Opposite Ansal Height Tower Worli,0.24 KM,5.0,1 Votes,"Shop No 6 , Merchant Chamber, G M Bhosle Marg, Worli, Mumbai - 400018, Opposite Ansal Height Tower"
Patel Stores Opp Poddar Hospital Worli,0.49 KM,3.9,22 Votes,"Shop No 4 Plot No 107 Anand Ashram Building, R G Thadani Marg, Worli, Mumbai - 400018, Opp Poddar Hospital"
