Name,Distance,Rating,Votes,Address,Website
New Nutan Provisional Store Opposite BMC Hospital Near Dena Bank Beside Marol Fire Brigade Andheri East,0.77 KM,4.2,3 Votes,"Marol Unit, Marol Village Road, Andheri East, Mumbai - 400059, Opposite BMC Hospital, Near Dena Bank, Beside Marol Fire Brigade",https://www.justdial.com/Mumbai/New-Nutan-Provisional-Store-Opposite-BMC-Hospital-Near-Dena-Bank-Beside-Marol-Fire-Brigade-Andheri-East/022PXX22-XX22-100118092450-E6N7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Lucky Stores Opposite Sevenhills Hospital Near Agrwal Sweets Andheri East,1.23 KM,4.1,197 Votes,"Shop No 17, Premavati Anand Compound, Military Road, Andheri East, Mumbai - 400059, Opposite Sevenhills Hospital Near Agrwal Sweets",https://www.justdial.com/Mumbai/Lucky-Stores-Opposite-Sevenhills-Hospital-Near-Agrwal-Sweets-Andheri-East/022P8023890_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Real Super Market Near Vijay Nagar Opposite Vicent Pollotty Church Andheri East,1.53 KM,4.1,47 Votes,"Shop No 5, Vijay Tower, Marol Marosi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar, Opposite Vicent Pollotty Church",https://www.justdial.com/Mumbai/Real-Super-Market-Near-Vijay-Nagar-Opposite-Vicent-Pollotty-Church-Andheri-East/022PXX22-XX22-121112124955-J8V4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Colony Stores J B Nagar Andheri East,0.49 KM,4.0,21 Votes,"Shop No 4, 80 Bagadka Chawl, Andheri East, Mumbai - 400069, J B Nagar",https://www.justdial.com/Mumbai/Colony-Stores-J-B-Nagar-Andheri-East/022PF019094_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Rajwadi Super Stores Near Bagarka College Jb Nagar andheri East,0.42 KM,3.8,62 Votes,"Shop No 1, Narayani Bhavan, Swami Bagarka Road, Jb Nagar-andheri East, Mumbai - 400059, Near Bagarka College",https://www.justdial.com/Mumbai/Rajwadi-Super-Stores-Near-Bagarka-College-Jb-Nagar-andheri-East/022PF017973_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Mahaveer Super Market Chakala Junction Andheri East,,,0 Votes,"Shop No 2 & 3, Plot No 487, Andheri East, Mumbai - 400099, Chakala Junction",https://www.justdial.com/Mumbai/Mahaveer-Super-Market-Chakala-Junction-Andheri-East/022PXX22-XX22-200218112049-J3W4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Shashi Medical Seepz MIDC Next to Aakruti Center Point Andheri East,1.02 KM,4.3,45 Votes,"Shop No D-14, Central Road , MIDC, Andheri East, Mumbai - 400093, Seepz, MIDC, Next to Aakruti Center Point",https://www.justdial.com/Mumbai/Shashi-Medical-Seepz-MIDC-Next-to-Aakruti-Center-Point-Andheri-East/022PXX22-XX22-101008184419-B9W5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
A Mart Super Market Near Canossa Convent School Shere Punjab Mahakali Andheri East,1.79 KM,3.9,448 Votes,"Shop No 3,4,5 Sapher Building, Mahakali Cross Road, Mahakali-Andheri East, Mumbai - 400093, Near Canossa Convent School & Shere Punjab",https://www.justdial.com/Mumbai/A-Mart-Super-Market-Near-Canossa-Convent-School-Shere-Punjab-Mahakali-Andheri-East/022PXX22-XX22-190213111020-V1K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Shanti General Store Near By Jain Mandir Andheri East,0.34 KM,4.2,5 Votes,"Mehul Apartment, Bhagwan Mahaveer Marg, Andheri East, Mumbai - 400059, Near By Jain Mandir",https://www.justdial.com/Mumbai/Shanti-General-Store-Near-By-Jain-Mandir-Andheri-East/022PXX22-XX22-180726144605-B3Y7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Suryavanshi Super Market Opposite Check Inn Hotel Near Cigarate Factory Andheri East,1.19 KM,3.5,2 Votes,"Shop No, 2 & 3, Plot No, 3 Krishna Building T, Tarun Bharat Road Chakala, Andheri East, Mumbai - 400099, Opposite Check Inn Hotel & Near Cigarate Factory",https://www.justdial.com/Mumbai/Suryavanshi-Super-Market-Opposite-Check-Inn-Hotel-Near-Cigarate-Factory-Andheri-East/022PXX22-XX22-170627172002-T2R6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Gala General Stores Near Parsiwada Busstop Opposite New Airport Colony Andheri East,1.58 KM,2.8,3 Votes,"Shop No.2,Koldongri CHS Soc, Sahar Road, Andheri East, Mumbai - 400099, Near Parsiwada Busstop,Opposite New Airport Colony",https://www.justdial.com/Mumbai/Gala-General-Stores-Near-Parsiwada-Busstop-Opposite-New-Airport-Colony-Andheri-East/022PXX22-XX22-120208001047-S1A2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Devki General Stores Near Jb nagar circle Andheri East,0.68 KM,,0 Votes,"monarch society, Sri Nivas Bagarka marg, Andheri East, Mumbai - 400059, near Jb nagar circle",https://www.justdial.com/Mumbai/Devki-General-Stores-Near-Jb-nagar-circle-Andheri-East/022PXX22-XX22-150826150038-J5H8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Savla General Store Near Off marol Maroshi Road Near Bus Stop Marol Village Andheri East,0.83 KM,4.2,34 Votes,"Shop No -1, Marol Village Road, Andheri East, Mumbai - 400059, Near Off.marol Maroshi Road, Near Bus Stop, Marol Village",https://www.justdial.com/Mumbai/Savla-General-Store-Near-Off-marol-Maroshi-Road-Near-Bus-Stop-Marol-Village-Andheri-East/022PXX22-XX22-121121153745-S5V2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Ganesh General Stores Near seven hill hospital Marol Pipeline Andheri East,1.04 KM,4.4,34 Votes,"Shop no 1 and 2, Marol Maroshi Road, Marol Pipeline-Andheri East, Mumbai - 400059, Near seven hill hospital",https://www.justdial.com/Mumbai/Ganesh-General-Stores-Near-seven-hill-hospital-Marol-Pipeline-Andheri-East/022PXX22-XX22-170207134326-N6A8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Super Janta Stores Near Holy Family Church Andheri East,1.34 KM,3.6,14 Votes,"Shop No 4 Grace Chamber, Sir M. V Road, Andheri East, Mumbai - 400093, Near Holy Family Church",https://www.justdial.com/Mumbai/Super-Janta-Stores-Near-Holy-Family-Church-Andheri-East/022PXX22-XX22-160119161032-N1Y9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Shivam General Stores Near Mukund Hospital Andheri East,0.1 KM,,0 Votes,"Shop No. 6 Sushila Complex, Oppo. Mukund Nagar, Andheri East, Mumbai - 400059, Near Mukund Hospital",https://www.justdial.com/Mumbai/Shivam-General-Stores-Near-Mukund-Hospital-Andheri-East/022PXX22-XX22-190808140041-Y4H1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Anmol Medical Andheri East,,3.5,2 Votes,"Andheri East, Mumbai - 400059",https://www.justdial.com/Mumbai/Anmol-Medical-Andheri-East/022PAPP20080811IROJ1104264_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
LUCKY STORE Seven Hills Andheri East,,4.2,3 Votes,"Shop No 1 Marol Military Road Junction, Andheri East, Mumbai - 400059, Seven Hills",https://www.justdial.com/Mumbai/LUCKY-STORE-Seven-Hills-Andheri-East/022PXX22-XX22-180202120525-F6W3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
Patel Bakery And General Store Bombay Cambridge School Andheri East,1.09 KM,4.4,12 Votes,"2/cicila Cottage Dewalwadi Chakala, Bombay Cambridge Road, Andheri East, Mumbai - 400099, Bombay Cambridge School",https://www.justdial.com/Mumbai/Patel-Bakery-And-General-Store-Bombay-Cambridge-School-Andheri-East/022PXX22-XX22-170127144351-Z5L8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==
