Name,Distance,Rating,Votes,Address,Website
Patel Provision Stores Next to Mehboob Studio Bandra West,0.83 KM,4.2,1008 Votes,"Plot No 100 A, Hill Road, Bandra West, Mumbai - 400050, Next to Mehboob Studio",https://www.justdial.com/Mumbai/Patel-Provision-Stores-Next-to-Mehboob-Studio-Bandra-West/022P8700114_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Solanki Medical And General Stores Near Pali MARKET Bandra West,0.87 KM,4.0,544 Votes,"SHOP NO.14/B Dheeraj Arcade BLDG, Pali NAKA, Bandra West, Mumbai - 400050, Near Pali MARKET",https://www.justdial.com/Mumbai/Solanki-Medical-And-General-Stores-Near-Pali-MARKET-Bandra-West/022PF018415_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Modern Stores Opposite Camy Wafers Bandra West,0.87 KM,4.0,287 Votes,"Shop No 11, Dhiraj Arcade, Pali Naka Road, Bandra West, Mumbai - 400050, Opposite Camy Wafers",https://www.justdial.com/Mumbai/Modern-Stores-Opposite-Camy-Wafers-Bandra-West/022PF015399_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Kalidas Vishram Opposite Shree Laxmi Hotel Next to Fish Market Bandra West,0.2 KM,4.1,157 Votes,"87, N.D.Marg Bazar Road, Bandra West, Mumbai - 400050, Opposite Shree Laxmi Hotel, Next to Fish Market",https://www.justdial.com/Mumbai/Kalidas-Vishram-Opposite-Shree-Laxmi-Hotel-Next-to-Fish-Market-Bandra-West/022PXX22-XX22-121023155238-F5D4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Bombay General Stores Near Hill Road Bandra West,0.46 KM,4.0,335 Votes,"18/413, Jain Mandir Road, Bandra West, Mumbai - 400050, Near Hill Road",https://www.justdial.com/Mumbai/Bombay-General-Stores-Near-Hill-Road-Bandra-West/022PK023775_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Tejani Convenient Stores Near TPS 3 Bandra West,1.13 KM,4.0,169 Votes,"Shop No 1 2, Corner View Cooperative Housing Society, Kamal Kunj 15 & 33 Road Junction, Bandra West, Mumbai - 400050, Near TPS 3",https://www.justdial.com/Mumbai/Tejani-Convenient-Stores-Near-TPS-3-Bandra-West/022P1929510_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Shree Ganesh Medical And General Store Opposite Holy Family Hospital Bandra West,0.5 KM,4.2,42 Votes,"Shop No. 9, Classic Corner, Junction Of Hill Road & St. Andrews Road, Bandra West, Mumbai - 400050, Opposite Holy Family Hospital",https://www.justdial.com/Mumbai/Shree-Ganesh-Medical-And-General-Store-Opposite-Holy-Family-Hospital-Bandra-West/022PXX22-XX22-100430190902-T8S8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Cheap Jack General Stores Opp St Joseph Convent Bandra West,0.11 KM,3.8,96 Votes,"Plot No 63, Hill Road, Bandra West, Mumbai - 400050, Opp St Joseph Convent",https://www.justdial.com/Mumbai/Cheap-Jack-General-Stores-Opp-St-Joseph-Convent-Bandra-West/022PXX22-XX22-000994617350-K6H2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Benzer Super Market Near Saks Hair and Beauty Bandra West,0.49 KM,4.0,78 Votes,"Shop No 4, Saquib, J N Turner Road, Bandra West, Mumbai - 400050, Near Saks Hair and Beauty",https://www.justdial.com/Mumbai/Benzer-Super-Market-Near-Saks-Hair-and-Beauty-Bandra-West/022PAPP20080511IROK8107803_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
Roman General Provision Store Opposite Kotak Mahindra Bank Bandra West,0.51 KM,3.9,76 Votes,"Shop No 7, Carlton Court Building, 3 Perry Road, Bandra West, Mumbai - 400050, Opposite Kotak Mahindra Bank",https://www.justdial.com/Mumbai/Roman-General-Provision-Store-Opposite-Kotak-Mahindra-Bank-Bandra-West/022P1235855100N2F7V7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJhbmRyYSBXZXN0
