Name,Distance,Rating,Votes,Address,Website
Sapan Papadwala General Stores Opposite to Adarsh Baug Hotel Kalbadevi,0.46 KM,4.3,192 Votes,"88 Manohar Bhavan, Shop No 3, Dr A M Road, Bhuleshwar Road, Kalbadevi, Mumbai - 400002, Opposite to Adarsh Baug Hotel",https://www.justdial.com/Mumbai/Sapan-Papadwala-General-Stores-Opposite-to-Adarsh-Baug-Hotel-Kalbadevi/022P1426089_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Deval General Store Near Central Bank Bhuleshwar,,,0 Votes,"23, Dauji Building, Dr A M Road, Bhuleshwar, Mumbai - 400002, Near Central Bank",https://www.justdial.com/Mumbai/Deval-General-Store-Near-Central-Bank-Bhuleshwar/022PXX22-XX22-191021201603-D1X4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Mahamdi Store Bhuleshwar,0.1 KM,5.0,4 Votes,"Ali Umar St, Marine Lines East, Gulal Wadi, Bhuleshwar, Mumbai - 400002",https://www.justdial.com/Mumbai/Mahamdi-Store-Bhuleshwar/022PXX22-XX22-181203224003-H8U6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
We Care Medical General Stores Near Gulalwadi Circle Gulal Wadi Bhuleshwar,0.14 KM,4.5,4 Votes,"192, Hasham Mansion Brigadier Usman Marg, Null Bazar,, Gulal Wadi-Bhuleshwar, Mumbai - 400002, Near Gulalwadi Circle",https://www.justdial.com/Mumbai/We-Care-Medical-General-Stores-Near-Gulalwadi-Circle-Gulal-Wadi-Bhuleshwar/022PXX22-XX22-170307141252-L8X1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Afzal Store Bhuleshwar,0.17 KM,1.0,2 Votes,"149, Gulal Wadi, Erskline Road, Bhuleshwar, Mumbai - 400002",https://www.justdial.com/Mumbai/Afzal-Store-Bhuleshwar/022PXX22-XX22-181207143156-G8P3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Agrawal Dryfruit General Stores Opp 2nd Bhoiwada Bhuleshwar Kalbadevi,0.3 KM,,0 Votes,"41/A Balaji Ramji Bldg, Kalbadevi, Mumbai - 400002, Opp 2nd Bhoiwada Bhuleshwar",https://www.justdial.com/Mumbai/Agrawal-Dryfruit-General-Stores-Opp-2nd-Bhoiwada-Bhuleshwar-Kalbadevi/022PXX22-XX22-000579928378-A6L1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Shree Giriraj Stores Near Kaburtarkhana Kalbadevi,0.77 KM,1.5,2 Votes,"142 M K N Shop No 4,5,6 Lalbaba Mandir, Bhuleshwar Road, Kalbadevi, Mumbai - 400002, Near Kaburtarkhana",https://www.justdial.com/Mumbai/Shree-Giriraj-Stores-Near-Kaburtarkhana-Kalbadevi/022P5466620_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Balmukund General Stores Bhuleshwar Kalbadevi,,,0 Votes,"51/53, Dr A M Road, Kalbadevi, Mumbai - 400002, Bhuleshwar",https://www.justdial.com/Mumbai/Balmukund-General-Stores-Bhuleshwar-Kalbadevi/022P1226500510D3M4A4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Shreenathji Stores Near Kabutar Khana Bhuleshwar,0.31 KM,,0 Votes,"142/B, Shop No 5/6, Lalbaba Mandir, Bhuleshwar Road, Bhuleshwar, Mumbai - 400002, Near Kabutar Khana",https://www.justdial.com/Mumbai/Shreenathji-Stores-Near-Kabutar-Khana-Bhuleshwar/022PXX22-XX22-120620035504-I3T3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
Salunke Bandhu Near Vegetable Market Chira Bazar kalbadevi,0.96 KM,4.1,7 Votes,"Shop No 509, Sona Chambers, J S S Road, Chira Bazar-kalbadevi, Mumbai - 400002, Near Vegetable Market",https://www.justdial.com/Mumbai/Salunke-Bandhu-Near-Vegetable-Market-Chira-Bazar-kalbadevi/022PXX22-XX22-120727081030-S5E5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJodWxlc2h3YXI=
