Name,Distance,Rating,Votes,Address,Website
Vishwas Store Saibaba Nagar borivali West,1.82 KM,4.3,48 Votes,"5, Kusumkala Cooperative Housing Society, Saibaba Mandir Road, Saibaba Nagar-borivali West, Mumbai - 400092",https://www.justdial.com/Mumbai/Vishwas-Store-Saibaba-Nagar-borivali-West/022P2401129_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Anupam Variety Store Opposite Borivali Railway Station Borivali West,0.46 KM,3.9,55 Votes,"Shop No 9, 10 BMC Market, S V Road, Borivali West, Mumbai - 400092, Opposite Borivali Railway Station",https://www.justdial.com/Mumbai/Anupam-Variety-Store-Opposite-Borivali-Railway-Station-Borivali-West/022PXX22-XX22-130728112928-H5Q2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
D K Corporation Opposite Sanjay Ice Cream Opposite M K High School Borivali West,0.72 KM,4.2,118 Votes,"Shop No 1 & 2, D K House, Jambli Gully, Borivali West, Mumbai - 400092, Opposite Sanjay Ice Cream, Opposite M K High School",https://www.justdial.com/Mumbai/D-K-Corporation-Opposite-Sanjay-Ice-Cream-Opposite-M-K-High-School-Borivali-West/022PGE23101_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Shree Damodar Medical General Stores Opposite Punjab Sind Bank Borivali West,0.91 KM,4.3,261 Votes,"Shop No 8/9,Atul Apartment, L T Road,Vaziranaka, Borivali West, Mumbai - 400091, Opposite Punjab & Sind Bank",https://www.justdial.com/Mumbai/Shree-Damodar-Medical-General-Stores-Opposite-Punjab-Sind-Bank-Borivali-West/022PXX22-XX22-000954432551-T5M6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Bhagwati Medical General Store Near Corporation Bank IC Colony Borivali West,1.46 KM,4.1,188 Votes,"Shop No 4, Royal Tower, D P Link Road, IC Colony-Borivali West, Mumbai - 400103, Near Corporation Bank",https://www.justdial.com/Mumbai/Bhagwati-Medical-General-Store-Near-Corporation-Bank-IC-Colony-Borivali-West/022PF014104_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Bright General Stores Mulji Nagar Saibaba Road Borivali West,1.8 KM,4.1,129 Votes,"Shop No 8, Pancharatna Chs Ltd, Plot No 5, S V Road, Borivali West, Mumbai - 400092, Mulji Nagar, Saibaba Road",https://www.justdial.com/Mumbai/Bright-General-Stores-Mulji-Nagar-Saibaba-Road-Borivali-West/022PXX22-XX22-090926092716-T9E1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Venus General Stores Opposite Jawahar Oil Borivali West,1.11 KM,4.0,33 Votes,"D/26 Shop No 6, Yogi Nagar, Eksar Road, Yogi Nagar, Borivali West, Mumbai - 400091, Opposite Jawahar Oil",https://www.justdial.com/Mumbai/Venus-General-Stores-Opposite-Jawahar-Oil-Borivali-West/022P1224602364G2U1A3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Sweet Home Super Market Near Ganesh Temple Oppsite Cosmos Bank Borivali East,1.17 KM,4.1,333 Votes,"Shop No.6,7,8 Gangadhar Nagar CHS, Nancy Road, Borivali East, Mumbai - 400066, Near Ganesh Temple Oppsite Cosmos Bank",https://www.justdial.com/Mumbai/Sweet-Home-Super-Market-Near-Ganesh-Temple-Oppsite-Cosmos-Bank-Borivali-East/022PXX22-XX22-160331095614-W3B5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Mahadev Medical General Stores Daulat Nagar Borivali East,0.76 KM,3.9,6 Votes,"Shop No 11,Shewta Park, Road No 2, Borivali East, Mumbai - 400066, Daulat Nagar",https://www.justdial.com/Mumbai/Mahadev-Medical-General-Stores-Daulat-Nagar-Borivali-East/022PXX22-XX22-120403041203-R1U1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Rex Super Market Near Corporation Bank Borivali West,1.46 KM,4.2,197 Votes,"Shop No.8 & 9, Royal Tower, IC Colony, D. P. Link Road, Borivali West, Mumbai - 400103, Near Corporation Bank",https://www.justdial.com/Mumbai/Rex-Super-Market-Near-Corporation-Bank-Borivali-West/022PF006777_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Shree Arya Durga Medical General Stores Opposite Borivali Fire Brigade Borivali West,1.48 KM,4.1,68 Votes,"Shop No 5, Ranade Shopping Centre, L T Road, Borivali West, Mumbai - 400092, Opposite Borivali Fire Brigade",https://www.justdial.com/Mumbai/Shree-Arya-Durga-Medical-General-Stores-Opposite-Borivali-Fire-Brigade-Borivali-West/022P2400109_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Om Shraddha Medical General Store J Raj Nagar Borivali West,1.24 KM,4.0,24 Votes,"Shop No 4, Om Shraddha Co Operative Housing Society, Link Road, Borivali West, Mumbai - 400091, J Raj Nagar",https://www.justdial.com/Mumbai/Om-Shraddha-Medical-General-Store-J-Raj-Nagar-Borivali-West/022PK034328_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Shree Tirupati Drug House Saibaba Nagar Borivali West,1.86 KM,4.3,26 Votes,"Shop No 3, Saibaba Dham, SAI Baba Mandir Road, Borivali West, Mumbai - 400092, Saibaba Nagar",https://www.justdial.com/Mumbai/Shree-Tirupati-Drug-House-Saibaba-Nagar-Borivali-West/022PXX22-XX22-000210859015-R9T8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Darshan Dairy Borivali East,1.7 KM,4.5,9 Votes,"Shop No 11, Ekta Bhoomi Garden, Dattapada Road, Borivali East, Mumbai - 400066",https://www.justdial.com/Mumbai/Darshan-Dairy-Borivali-East/022PXX22-XX22-140725193205-S5M7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Arihant Medical General Stores Opposite Pragati High School Borivali West,1.82 KM,3.9,63 Votes,"Shop No 1, Plot No 87, Gorai Manas Co Operative Housing Society Ltd, Gorai-2, Borivali West, Mumbai - 400091, Opposite Pragati High School",https://www.justdial.com/Mumbai/Arihant-Medical-General-Stores-Opposite-Pragati-High-School-Borivali-West/022PXX22-XX22-120613025523-D6Z8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Navkar Provision Stores SAI Baba Nagar Nr Battiya School Borivali West,1.96 KM,3.8,15 Votes,"Shop No 4 Bahubali Tower, Borivali West, Mumbai - 400092, SAI Baba Nagar Nr Battiya School",https://www.justdial.com/Mumbai/Navkar-Provision-Stores-SAI-Baba-Nagar-Nr-Battiya-School-Borivali-West/022P1945599_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Centre Point Opposite Railway Station Borivali West,0.51 KM,3.6,4 Votes,"37, Goyal Shopping Centre, Borivali West, Mumbai - 400092, Opposite Railway Station",https://www.justdial.com/Mumbai/Centre-Point-Opposite-Railway-Station-Borivali-West/022PXX22-XX22-161118215749-V4K6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Maru General Stores Near Sai Sadan Carter Road No 3 Borivali East,0.87 KM,3.6,9 Votes,"2 Borivali Rakhi Sra Society Ltd B Wing, Borivali Ea, Borivali East, Mumbai - 400066, Near Sai Sadan Carter Road No.3",https://www.justdial.com/Mumbai/Maru-General-Stores-Near-Sai-Sadan-Carter-Road-No-3-Borivali-East/022PXX22-XX22-170901132125-F4T3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Janta Provision Stores Yogi Nagar Borivali West,1.16 KM,4.0,72 Votes,"Shop No 3 D-15, Borivali West, Mumbai - 400091, Yogi Nagar",https://www.justdial.com/Mumbai/Janta-Provision-Stores-Yogi-Nagar-Borivali-West/022P1946051_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Jayesh Medical General Store Opposite Gajanan Hotel Borivali East,0.79 KM,4.5,52 Votes,"Shop No 5, Rambhia Niwas, Main Kasturba Road, Station Road, Borivali East, Mumbai - 400066, Opposite Gajanan Hotel",https://www.justdial.com/Mumbai/Jayesh-Medical-General-Store-Opposite-Gajanan-Hotel-Borivali-East/022PK005591_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Vinay Store Kastur Park Near Suvarna Hospital Borivali West,1.23 KM,3.9,18 Votes,"Shiv Tirth Apartments, Shop No 3, Shimpoli Road, Borivali West, Mumbai - 400091, Kastur Park, Near Suvarna Hospital",https://www.justdial.com/Mumbai/Vinay-Store-Kastur-Park-Near-Suvarna-Hospital-Borivali-West/022P8125500_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Shree Sai Baba General Provision Stores Near Police Station Borivali West,1.28 KM,3.2,3 Votes,"Shop No 2, Indrapuri Building, Link Road, Borivali West, Mumbai - 400092, Near Police Station",https://www.justdial.com/Mumbai/Shree-Sai-Baba-General-Provision-Stores-Near-Police-Station-Borivali-West/022P1234994043R9D3L8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Vishwas Stores Borivali West,1.43 KM,4.5,1 Votes,"Shop No 5 Kusumkala Shooping Center, Sai Baba Nagar, Borivali West, Mumbai - 400092",https://www.justdial.com/Mumbai/Vishwas-Stores-Borivali-West/022PXX22-XX22-190203132012-X8D6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Supreme Traders Nr Silver Coin Hotel IC Colony Borivali West,1.51 KM,3.8,15 Votes,"Shop No 1, Archie Betty Building, D.P. Link Road, IC Colony-Borivali West, Mumbai - 400103, Nr. Silver Coin Hotel",https://www.justdial.com/Mumbai/Supreme-Traders-Nr-Silver-Coin-Hotel-IC-Colony-Borivali-West/022PXX22-XX22-150410131130-Y3U3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Welcome Medical General Stores Near Citizen Bank I C Colony Borivali West,1.59 KM,4.4,64 Votes,"Shop No 3,Rozario Apartment, I C Colony, Borivali West, Mumbai - 400103, Near Citizen Bank, I C Colony",https://www.justdial.com/Mumbai/Welcome-Medical-General-Stores-Near-Citizen-Bank-I-C-Colony-Borivali-West/022PXX22-XX22-111122132634-K1Z6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Maharashtra Medical General Store Opp Dr Nayak Borivali West,1.08 KM,3.9,21 Votes,"Shop No -5 , Building B8, Yogi Prabhat, Yogi Nagar, Borivali West, Mumbai - 400091, Opp Dr. Nayak",https://www.justdial.com/Mumbai/Maharashtra-Medical-General-Store-Opp-Dr-Nayak-Borivali-West/022PXX22-XX22-120222232636-C2M7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Ashapura Medico General Store Near Kastur Park Borivali West,1.27 KM,4.3,28 Votes,"Shop No.6, Madhusudan Terrace, Shimpoli Road, Haridas Road, Borivali West, Mumbai - 400092, Near Kastur Park,",https://www.justdial.com/Mumbai/Ashapura-Medico-General-Store-Near-Kastur-Park-Borivali-West/022PXX22-XX22-120222223041-R9Q9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Jasmine Stores Near National Park Kulup Wadi Borivali East,1.27 KM,4.5,29 Votes,"Shop No 11, Ashoka Tower, Borivali East, Mumbai - 400066, Near National Park, Kulup Wadi",https://www.justdial.com/Mumbai/Jasmine-Stores-Near-National-Park-Kulup-Wadi-Borivali-East/022PXX22-XX22-151222150753-P2S2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Ramkrishna Medical General Store Opp J B Khot School Borivali West,1.98 KM,4.4,10 Votes,"Shop No.8, Bahubali Tower, Desai Seth Nagar, Near Saibaba Nagar, Borivali West, Mumbai - 400092, Opp. J B Khot School",https://www.justdial.com/Mumbai/Ramkrishna-Medical-General-Store-Opp-J-B-Khot-School-Borivali-West/022P7705066_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
Aastha Medical General Stores Opp Hanuman Mandir Borivali East,0.68 KM,3.9,5 Votes,"Shop No.1Ground Floor SAI Shital Chs, Daulat Nagar S V Road Plot No.23Road No.5, Borivali East, Mumbai - 400066, Opp Hanuman Mandir",https://www.justdial.com/Mumbai/Aastha-Medical-General-Stores-Opp-Hanuman-Mandir-Borivali-East/022PXX22-XX22-120224034757-L3W4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEJvcml2YWxp
