Name,Distance,Rating,Votes,Address,Website
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.1 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Next-to-Amarsons-Opposite-Breach-Candy-Hospital-Breach-Candy/022P651756_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Nutan Stores Near Jaslok Hospital Breach Candy,0.62 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital",https://www.justdial.com/Mumbai/Nutan-Stores-Near-Jaslok-Hospital-Breach-Candy/022P5648648_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Amit Stores Mahalaxmi Breach Candy,0.68 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi",https://www.justdial.com/Mumbai/Amit-Stores-Mahalaxmi-Breach-Candy/022PXX22-XX22-120312225447-A7A5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Nutan Stores Near Parsi General Hospital Breach Candy,0.42 KM,,0 Votes,"Shop No 7, Bhomanji Road, Breach Candy, Mumbai - 400026, Near Parsi General Hospital",https://www.justdial.com/Mumbai/Nutan-Stores-Near-Parsi-General-Hospital-Breach-Candy/022PXX22-XX22-141006185704-E8X6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Keshavji Padamshi Grocery Stores Near Mahalaxmi Temple Breach Candy,,,0 Votes,"Shope No 1 Ram Das Bansali Chawl, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Near Mahalaxmi Temple",https://www.justdial.com/Mumbai/Keshavji-Padamshi-Grocery-Stores-Near-Mahalaxmi-Temple-Breach-Candy/022PXX22-XX22-180326154840-A3C3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Raveesons Breach Candy,0.54 KM,3.6,19 Votes,"42 A, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026",https://www.justdial.com/Mumbai/Raveesons-Breach-Candy/022P1228835966M8F5W2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Pushpa Niketan Oppsoite St Stephen Church Breach Candy,0.71 KM,,0 Votes,"162, Chinoy Mansion, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Oppsoite St Stephen Church",https://www.justdial.com/Mumbai/Pushpa-Niketan-Oppsoite-St-Stephen-Church-Breach-Candy/022PXX22-XX22-140321172030-J9G8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Godrej Natures Basket Opposite Mahalaxmi Temple Near Nalli Sarees Warden Road,0.67 KM,4.1,1290 Votes,"Shop No.8, Ground Floor, Tirupati Apartment, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Opposite Mahalaxmi Temple, Near Nalli Sarees",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Opposite-Mahalaxmi-Temple-Near-Nalli-Sarees-Warden-Road/022P8006103_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.97 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital",https://www.justdial.com/Mumbai/Diamond-Stores-Opp-ACI-Cumballa-Hospital-Kemps-Corner/022PXX22-XX22-000038290740-E7G8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
New Vijay Store Behind Jas Lok Hospital Pedder Road,,4.0,2 Votes,"Shop No:01, 31D, Bhavisha Darshan Building, Altamount Road, Pedder Road, Mumbai - 400026, Behind Jas Lok Hospital",https://www.justdial.com/Mumbai/New-Vijay-Store-Behind-Jas-Lok-Hospital-Pedder-Road/022PXX22-XX22-150804133930-P7F2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.59 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building",https://www.justdial.com/Mumbai/Bhimshi-Vershi-Company-Opp-Nalanda-Building-Pedder-Road/022P1224363455R7G4G7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Bharat Stores Next to Jaslok Hospital Pedder Road,0.57 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital",https://www.justdial.com/Mumbai/Bharat-Stores-Next-to-Jaslok-Hospital-Pedder-Road/022P8904655_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Bhaskar Store Near Jaslok Hospital Pedder Road,0.59 KM,5.0,1 Votes,"Sukh Shanti Building, Blg No. 2, Shop No. 5, Pedder Road, Mumbai - 400026, Near Jaslok Hospital",https://www.justdial.com/Mumbai/Bhaskar-Store-Near-Jaslok-Hospital-Pedder-Road/022PXX22-XX22-161128122652-N5E8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Navrang Dhanya Bhandar Near Shobha Hotel Warden Road,0.74 KM,,0 Votes,"Shop No 6, K P Trust Building, B 30 Road, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Near Shobha Hotel",https://www.justdial.com/Mumbai/Navrang-Dhanya-Bhandar-Near-Shobha-Hotel-Warden-Road/022PXX22-XX22-090504143451-S1W8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Bhatkar Store Near Jslok Hospital Pedder Road,,,0 Votes,"Shop No.5 Sukhshanti Building No.19, Dhanukar Marg, Pedder Road, Mumbai - 400026, Near Jslok Hospital",https://www.justdial.com/Mumbai/Bhatkar-Store-Near-Jslok-Hospital-Pedder-Road/022PXX22-XX22-180529180112-T2L6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Singer Jewellers Pedder Road,0.51 KM,3.2,8 Votes,"Jewellers Appartment, Shahid Bhagat Singh Nagar, Cumballa Hill, Pedder Road, Mumbai - 400026",https://www.justdial.com/Mumbai/Singer-Jewellers-Pedder-Road/022PXX22-XX22-171223200959-U4U7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Society Store Next to Noble Plus Opposite Antilia Pedder Road,,,0 Votes,"Altamount Road, Pedder Road, Mumbai - 400026, Next to Noble Plus, Opposite Antilia",https://www.justdial.com/Mumbai/Society-Store-Next-to-Noble-Plus-Opposite-Antilia-Pedder-Road/022PXX22-XX22-201119193252-K9Z1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Mahalaxmi General Store Warden Road,,,0 Votes,"Shop No 6, Dariya Sagar Rahiwasi Sangh,, Bhulabhai Desai Road, Warden Road, Mumbai - 400026",https://www.justdial.com/Mumbai/Mahalaxmi-General-Store-Warden-Road/022PXX22-XX22-171127141918-A6G7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Supar Market Chheda N g Road Corner Pedder Road,0.61 KM,4.0,1 Votes,"4-b Pedder Road, Pedder Road, Mumbai - 400026, N.g. Road Corner",https://www.justdial.com/Mumbai/Supar-Market-Chheda-N-g-Road-Corner-Pedder-Road/022PXX22-XX22-151204154513-S3Z4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Reliance Fresh Opposite Shagun Hotel Navjeevan Society Mumbai Central,1.69 KM,3.8,924 Votes,"Central City Mall, Santoshi Mata Durga Co Operative Housing Society, Parekh Holding, Lamington Road, Mumbai Central, Mumbai - 400008, Opposite Shagun Hotel & Navjeevan Society",https://www.justdial.com/Mumbai/Reliance-Fresh-Opposite-Shagun-Hotel-Navjeevan-Society-Mumbai-Central/022P1233741292B2T9P4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,1.65 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Opposite-Priyadarshini-Park-Nepean-Sea-Road/022PXX22-XX22-100916143840-J6F9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Manilal Provision Store Near Wiaa Club Malabar Hill,1.86 KM,4.1,65 Votes,"Shop No 23, David Sasson Chawl, 10 Ridge Road, Malabar Hill, Mumbai - 400006, Near Wiaa Club",https://www.justdial.com/Mumbai/Manilal-Provision-Store-Near-Wiaa-Club-Malabar-Hill/022P8403916_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Welcome General Store Near Shayadri Guest House Malabar Hill,1.93 KM,4.3,99 Votes,"Shop No 1-1A, Mini Sudarshan Building, 22, LD Ruparel Marg, Malabar Hill, Mumbai - 400006, Near Shayadri Guest House",https://www.justdial.com/Mumbai/Welcome-General-Store-Near-Shayadri-Guest-House-Malabar-Hill/022PXX22-XX22-151229153536-T9D1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Apna Bazar Opposite Fire Brigade Nana Chowk Grant Road,1.39 KM,3.9,10 Votes,"Ness Baug Building, Grant Road, Mumbai - 400007, Opposite Fire Brigade, Nana Chowk",https://www.justdial.com/Mumbai/Apna-Bazar-Opposite-Fire-Brigade-Nana-Chowk-Grant-Road/022P28341_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
Kamdhenu Gowalia Tank Kemps Corner,1.04 KM,4.2,55 Votes,"Shop No. 20, Warden Court Building, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Gowalia Tank",https://www.justdial.com/Mumbai/Kamdhenu-Gowalia-Tank-Kemps-Corner/022P8127623_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEJyZWFjaCBDYW5keQ==
