Name,Distance,Rating,Votes,Address,Website
Lullas Medical General Stores Near Basant Cinema Chembur East,1.38 KM,3.9,46 Votes,"Shop No 5/A, Vikas Commercial Centre, Dr C Gidwani Road, Chembur East, Mumbai - 400074, Near Basant Cinema",https://www.justdial.com/Mumbai/Lullas-Medical-General-Stores-Near-Basant-Cinema-Chembur-East/022P1930608_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Navin Super Market Near Vasinaka Opposite Agarwal Nagar Chembur East,1.81 KM,3.8,40 Votes,"Shop No 4, Mahul Road, Chembur East, Mumbai - 400074, Near Vasinaka, Opposite Agarwal Nagar",https://www.justdial.com/Mumbai/Navin-Super-Market-Near-Vasinaka-Opposite-Agarwal-Nagar-Chembur-East/022PXX22-XX22-130803142126-A6Q2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Paras General Store Opp Navbhart Apt Chembur East,1.96 KM,3.0,1 Votes,"Shop 4 Nityanand Baug Society, Mahul Road, Chembur East, Mumbai - 400074, Opp Navbhart Apt",https://www.justdial.com/Mumbai/Paras-General-Store-Opp-Navbhart-Apt-Chembur-East/022PXX22-XX22-200123112655-P3P2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Parivar Society Kirana General Store Chembur East,1.09 KM,,0 Votes,"Bharat Nagar, Bharat Nagar, Chembur East, Mumbai - 400074",https://www.justdial.com/Mumbai/Parivar-Society-Kirana-General-Store-Chembur-East/022PXX22-XX22-180411200457-F9P8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Suraj General Stores Near hanuman mandir bhaji market Chembur East,,4.3,2 Votes,"shop no 1 Khardev Nagar, Chembur Ghatla, Chembur (E), Chembur East, Mumbai - 400071, near hanuman mandir,bhaji market",https://www.justdial.com/Mumbai/Suraj-General-Stores-Near-hanuman-mandir-bhaji-market-Chembur-East/022PXX22-XX22-110330123627-K2N1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Annapurna General Store Near Ashish Cinema Hall Chembur,,,0 Votes,"New Rna Park Shop No 26, Vashi Naka, Chembur, Mumbai - 400071, Near Ashish Cinema Hall",https://www.justdial.com/Mumbai/Annapurna-General-Store-Near-Ashish-Cinema-Hall-Chembur/022PXX22-XX22-180616132404-V3E8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Mahalaxmi General Stores Near Balaji Electronic Khardev Nagar Chembur East,1.4 KM,4.5,2 Votes,"Chembur East, Mumbai - 400071, Near Balaji Electronic, Khardev Nagar",https://www.justdial.com/Mumbai/Mahalaxmi-General-Stores-Near-Balaji-Electronic-Khardev-Nagar-Chembur-East/022P1231283626V6H2U3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Jyoti Electric General Stores Opposite Basant Theatre Near Borla Society Chembur Colony chembur East,1.45 KM,5.0,1 Votes,"Dr C G Road, Chembur Colony-chembur East, Mumbai - 400074, Opposite Basant Theatre,Near Borla Society",https://www.justdial.com/Mumbai/Jyoti-Electric-General-Stores-Opposite-Basant-Theatre-Near-Borla-Society-Chembur-Colony-chembur-East/022PXX22-XX22-120216193336-T6Y8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Goel Hardware General Stores Vashi Naka Chembur East,1.77 KM,3.0,2 Votes,"R C Marg, Chembur East, Mumbai - 400074, Vashi Naka",https://www.justdial.com/Mumbai/Goel-Hardware-General-Stores-Vashi-Naka-Chembur-East/022P1234810811U9P8R5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
Shree Girish Stores Chembur East,1.79 KM,,0 Votes,"Ghatla School, Ghatala Village, Nagesh Patilwadi, Kurla East, Ghatla Village Road, Chembur East, Mumbai - 400071",https://www.justdial.com/Mumbai/Shree-Girish-Stores-Chembur-East/022PXX22-XX22-181220171558-V4B7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENoZW1idXI=
