Name,Distance,Rating,Votes,Address,Website
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,0.51 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR",https://www.justdial.com/Mumbai/Star-Market-A-TATA-And-Tesco-Enterprise-Near-Churchgate-Railway-Station-Beside-KC-and-HR-Churchgate/022PXX22-XX22-171211111839-F7T9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Godrej Natures Basket Near Kc College Churchgate,0.31 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Near-Kc-College-Churchgate/022PXX22-XX22-101026152238-Q8X3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Fair Price Shop Opposite Samrat Hotel Churchgate,0.4 KM,4.0,71 Votes,"Shop No 4, 195, Moti Mahal, J T Road, Churchgate, Mumbai - 400020, Opposite Samrat Hotel",https://www.justdial.com/Mumbai/Fair-Price-Shop-Opposite-Samrat-Hotel-Churchgate/022P1850093_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Jyoti Grain Stores Bhd Satyam Collection Churchgate,0.38 KM,3.9,22 Votes,"Shop No 4 Chheda Sadan Grd Flr, J Tata Road, Churchgate, Mumbai - 400020, Bhd Satyam Collection",https://www.justdial.com/Mumbai/Jyoti-Grain-Stores-Bhd-Satyam-Collection-Churchgate/022PXX22-XX22-001078231953-O1F5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Treat shop Near Jai Hind College Churchgate,0.05 KM,,0 Votes,"Tushar Apt., A-Road, Churchgate, Mumbai - 400020, Near Jai Hind College",https://www.justdial.com/Mumbai/Treat-shop-Near-Jai-Hind-College-Churchgate/022PXX22-XX22-160419132424-A6I2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Vivek Grocery General And Cold Drinks Store Churchgate Churchgate,0.07 KM,5.0,1 Votes,"Imc Marg, Churchgate, Mumbai - 400020, Churchgate",https://www.justdial.com/Mumbai/Vivek-Grocery-General-And-Cold-Drinks-Store-Churchgate-Churchgate/022PXX22-XX22-190723192519-L9M8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Hari Grocery Store Churchgate,0.19 KM,,0 Votes,"C Road, Churchgate, Mumbai - 400020",https://www.justdial.com/Mumbai/Hari-Grocery-Store-Churchgate/022PXX22-XX22-190312211311-G4Q4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Ramesh Gernal Store Near smarat hoteo Churchgate,0.41 KM,,0 Votes,"Shop no 1, J. Tata road, Churchgate, Mumbai - 400020, Near smarat hoteo",https://www.justdial.com/Mumbai/Ramesh-Gernal-Store-Near-smarat-hoteo-Churchgate/022PXX22-XX22-160420144428-G9X1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Patel Brothers Near yes ub academy school Marine Drive,0.86 KM,3.8,37 Votes,"Shop No 3, Badrikeshwar Building No 82, Marine Drive, Mumbai - 400020, near yes ub academy school",https://www.justdial.com/Mumbai/Patel-Brothers-Near-yes-ub-academy-school-Marine-Drive/022P1850125_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
K J Mart Opposite Adamji Peerbhai Market Marine Lines,1.05 KM,3.7,6 Votes,"Shop No 21, Bhiwandiwala Terrace, 2nd Dhobhighat Lane, Marine Lines, Mumbai - 400020, Opposite Adamji Peerbhai Market",https://www.justdial.com/Mumbai/K-J-Mart-Opposite-Adamji-Peerbhai-Market-Marine-Lines/022PXX22-XX22-160926130947-R1R1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Sarvodaya Stores Marine Drive,0.9 KM,3.9,61 Votes,"Shop No 1, Building No 81, Swashray, Hvb Road, Marine Drive, Mumbai - 400020",https://www.justdial.com/Mumbai/Sarvodaya-Stores-Marine-Drive/022PXX22-XX22-110329114542-M7E4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Sil sila a Husaini 51 M k road Marine Lines,1.15 KM,3.5,1 Votes,"Mogal House, Princess Street, Marine Lines, Mumbai - 400020, 51 M.k road",https://www.justdial.com/Mumbai/Sil-sila-a-Husaini-51-M-k-road-Marine-Lines/022PXX22-XX22-131129091125-Y4P5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Maharashtra Chana Bhandar Marine Drive,1.45 KM,,0 Votes,"Shop No 30/32, Batliwala Chawl, Shreekant Palekar Marg, Marine Drive, Mumbai - 400020",https://www.justdial.com/Mumbai/Maharashtra-Chana-Bhandar-Marine-Drive/022PXX22-XX22-150717160008-T7R1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Tiwari General Stores Marine Lines,1.57 KM,,0 Votes,"Shop No 450, G S Road, Marine Lines, Mumbai - 400020",https://www.justdial.com/Mumbai/Tiwari-General-Stores-Marine-Lines/022PXX22-XX22-140722133611-C8T2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Manish Market Near Chhatrapati Shivaji Terminus Area Fort,1.7 KM,3.9,7677 Votes,"Unit No 2, Ramabai Ambedkar Marg, Fort, Mumbai - 400001, Near Chhatrapati Shivaji Terminus Area",https://www.justdial.com/Mumbai/Manish-Market-Near-Chhatrapati-Shivaji-Terminus-Area-Fort/022PXX22-XX22-161118110128-U2H4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Lobo Stores Opposite Bombay Police Head Quater Crawford Market,1.7 KM,4.1,206 Votes,"Shop No 295-296, M J Phule Market, Crawford Market, Mumbai - 400001, Opposite Bombay Police Head Quater",https://www.justdial.com/Mumbai/Lobo-Stores-Opposite-Bombay-Police-Head-Quater-Crawford-Market/022P2150289_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Hakimi Stores Crawford Market,1.69 KM,4.4,132 Votes,"301/302 Crawford Hair Tage Market, 3rd Lane, Crawford Market, Mumbai - 400001",https://www.justdial.com/Mumbai/Hakimi-Stores-Crawford-Market/022PXX22-XX22-100226232638-S2A2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Janta Super Market Colaba Market Colaba,1.94 KM,4.8,9 Votes,"Shop No 03, Colaba Mansion, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Janta-Super-Market-Colaba-Market-Colaba/022PXX22-XX22-150220181011-E9N3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
V K Stores Opp crime branch Crawford Market,1.65 KM,4.3,12 Votes,"Shop No 467-468, second galli second shop, Crawford Market, Mumbai - 400001, opp crime branch",https://www.justdial.com/Mumbai/V-K-Stores-Opp-crime-branch-Crawford-Market/022PXX22-XX22-140301164442-G5Q5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Maratha Stores Near Dena Bank Colaba,1.86 KM,3.7,110 Votes,"40/A, Dena Bank Building, Shahid Bhagat Singh Marg, 3rd Pasta Lane, Colaba, Mumbai - 400005, Near Dena Bank",https://www.justdial.com/Mumbai/Maratha-Stores-Near-Dena-Bank-Colaba/022P8402998_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Shah Vasanji Damji Opposite Badshah Cold Drink House Opposite CID Office Crawford Market,1.14 KM,4.0,18 Votes,"Shop No 376/377/378, D N Road, Crawford Market, Mumbai - 400001, Opposite Badshah Cold Drink House, Opposite CID Office",https://www.justdial.com/Mumbai/Shah-Vasanji-Damji-Opposite-Badshah-Cold-Drink-House-Opposite-CID-Office-Crawford-Market/022PPE70553_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
Ketan Store Apollo Bandar Colaba,1.91 KM,3.4,8 Votes,"Sugra Manzil, Lala Nigam Road, Colaba, Mumbai - 400005, Apollo Bandar",https://www.justdial.com/Mumbai/Ketan-Store-Apollo-Bandar-Colaba/022PXX22-XX22-000684034828-E2S8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
New Colaba Super Market Opposite Dena Bank Colaba,1.89 KM,4.1,29 Votes,"Shop No 1, Ruby Terrace, Lala Nigam Road, Colaba, Mumbai - 400005, Opposite Dena Bank",https://www.justdial.com/Mumbai/New-Colaba-Super-Market-Opposite-Dena-Bank-Colaba/022PXX22-XX22-091025205939-Q6Z3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIENodXJjaGdhdGU=
