Name,Distance,Rating,Votes,Address,Website
Students General Stores Cuffe Parade colaba,1.28 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Students-General-Stores-Cuffe-Parade-colaba/022P603052_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Patel General Stores Near Colaba Post Office Colaba,1.4 KM,3.5,15 Votes,"Shop No 20, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office",https://www.justdial.com/Mumbai/Patel-General-Stores-Near-Colaba-Post-Office-Colaba/022PXX22-XX22-120309032402-C1F2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Nagrik Stores Opp MTNL Building Cuffe Parade Colaba,,2.0,1 Votes,"G D Somani Road, Cuffe Parade-Colaba, Mumbai - 400005, opp MTNL Building",https://www.justdial.com/Mumbai/Nagrik-Stores-Opp-MTNL-Building-Cuffe-Parade-Colaba/022PXX22-XX22-110117200438-J8U5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Royal Dry Fruits General Stores Near Electric House Causeway Colaba,0.08 KM,4.4,11 Votes,"Awabai Mansion,89, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Electric House, Causeway",https://www.justdial.com/Mumbai/Royal-Dry-Fruits-General-Stores-Near-Electric-House-Causeway-Colaba/022PK063178_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Jai Bharat Stores Colaba Market Colaba,0.54 KM,1.8,2 Votes,"Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Jai-Bharat-Stores-Colaba-Market-Colaba/022PXX22-XX22-120308203243-Y7K1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
New Variety General Stores Near Colaba Post Office Colaba,0.83 KM,3.6,8 Votes,"Shop No 22, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office",https://www.justdial.com/Mumbai/New-Variety-General-Stores-Near-Colaba-Post-Office-Colaba/022PXX22-XX22-000586420181-X2K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Kohinoor General Stores Behind Strand Cinema Colaba,1.66 KM,4.1,35 Votes,"Grants Building, Arthur Bunder Road, Colaba, Mumbai - 400005, Behind Strand Cinema",https://www.justdial.com/Mumbai/Kohinoor-General-Stores-Behind-Strand-Cinema-Colaba/022PXX22-XX22-090901267903-IAPP_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Shivam Stationery And General Store Navy Nagar Colaba,,3.1,4 Votes,"Shop No 9, Sumitra Market, Colaba, Mumbai - 400005, Navy Nagar",https://www.justdial.com/Mumbai/Shivam-Stationery-And-General-Store-Navy-Nagar-Colaba/022PXX22-XX22-140725151930-M5A5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Welcome General Stores Colaba Market Colaba,0.5 KM,3.8,5 Votes,"Shop No 5, Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Welcome-General-Stores-Colaba-Market-Colaba/022PXX22-XX22-000759465484-K1L7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
Shakti General Stores Near Colaba Post Officie Colaba,1.54 KM,4.6,8 Votes,"Usha Sadan, Shop No 9, Block A, Shahid Bhagat Singh Road,Colaba, Colaba, Mumbai - 400005, Near Colaba Post Officie",https://www.justdial.com/Mumbai/Shakti-General-Stores-Near-Colaba-Post-Officie-Colaba/022PXX22-XX22-111011122527-P9D8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvbGFiYQ==
