Name,Distance,Rating,Votes,Address,Website
Popular General Stores Cotton Green,0.75 KM,4.0,1 Votes,"135 137, R A Marg Ghorupdevi Road, Cotton Green, Mumbai - 400033",https://www.justdial.com/Mumbai/Popular-General-Stores-Cotton-Green/022PXX22-XX22-000538338591-O6I8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
B S Sawant General Stores Jijamata Nagar Kalachowki Cotton Green,,,0 Votes,"171/ B, Cotton Green, Mumbai - 400033, Jijamata Nagar, Kalachowki",https://www.justdial.com/Mumbai/B-S-Sawant-General-Stores-Jijamata-Nagar-Kalachowki-Cotton-Green/022PXX22-XX22-121017042410-R2F3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Kalika General Trades Jijamata Nagar Kalachowki Cotton Green,100 mts.,,0 Votes,"Cotton Green, Mumbai - 400033, Jijamata Nagar, Kalachowki",https://www.justdial.com/Mumbai/Kalika-General-Trades-Jijamata-Nagar-Kalachowki-Cotton-Green/022PXX22-XX22-180307200010-N9I9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Parag Tea General Stores Opposite Cotton Green Station Cotton Green,0.16 KM,5.0,1 Votes,"B P T Plot No 141, J.B Road, Cotton Green, Mumbai - 400033, Opposite Cotton Green Station",https://www.justdial.com/Mumbai/Parag-Tea-General-Stores-Opposite-Cotton-Green-Station-Cotton-Green/022PXX22-XX22-140528110239-F5H7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Maharashtra Mobile General Store Cotton Green,0.24 KM,,0 Votes,"Shop No 2a,Chatai Chawl No 7, J B Road, Cotton Green, Mumbai - 400033",https://www.justdial.com/Mumbai/Maharashtra-Mobile-General-Store-Cotton-Green/022PXX22-XX22-120209012344-H6W4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Majisa General Store Ferbundar Naka Cotton Green,0.35 KM,,0 Votes,"Shop No 20 New Bawan Chwal, 42/R.B Marg, Cotton Green, Mumbai - 400033, Ferbundar Naka",https://www.justdial.com/Mumbai/Majisa-General-Store-Ferbundar-Naka-Cotton-Green/022PXX22-XX22-150312100031-C2T9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Lakshmi General Store Cotton Green,0.45 KM,,0 Votes,"3/4 Hirji Govindji Chawl, T J Rd, Cotton Green, Mumbai - 400033",https://www.justdial.com/Mumbai/Lakshmi-General-Store-Cotton-Green/022P5472194_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Bhagwati General Stores Ferbunder Cotton Green,0.5 KM,,0 Votes,"Shop No 48, Bawan Chawl, Tanaji Malusure Road, Cotton Green, Mumbai - 400033, Ferbunder",https://www.justdial.com/Mumbai/Bhagwati-General-Stores-Ferbunder-Cotton-Green/022PXX22-XX22-190426182006-B6J2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Shivshakti Dhanya Bhandar Cotton Green,0.54 KM,4.3,4 Votes,"C-5 Shop No 9 Prabhakar Nagar, A.G Pawar Lane, Cotton Green, Mumbai - 400033",https://www.justdial.com/Mumbai/Shivshakti-Dhanya-Bhandar-Cotton-Green/022PXX22-XX22-160418163511-Z3W8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
Shrivastav Coldrink House Near Cotton Green Station Kala Chowki,0.55 KM,5.0,1 Votes,"Shop No 1, Building No 1, Shrikant Hadkar Marg, Kala Chowki, Mumbai - 400033, Near Cotton Green Station",https://www.justdial.com/Mumbai/Shrivastav-Coldrink-House-Near-Cotton-Green-Station-Kala-Chowki/022PXX22-XX22-140527113432-J3V3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIENvdHRvbiBHcmVlbg==
