Name,Distance,Rating,Votes,Address,Website
Students General Stores Cuffe Parade colaba,0.2 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Students-General-Stores-Cuffe-Parade-colaba/022P603052_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Nagrik Stores Opp MTNL Building Cuffe Parade Colaba,,2.0,1 Votes,"G D Somani Road, Cuffe Parade-Colaba, Mumbai - 400005, opp MTNL Building",https://www.justdial.com/Mumbai/Nagrik-Stores-Opp-MTNL-Building-Cuffe-Parade-Colaba/022PXX22-XX22-110117200438-J8U5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Thompson General Store Opp President Hotel Cuffe Parade Colaba,,,0 Votes,"Shop No. 37, Mahar DAS Bldg, Cuffe Parade-Colaba, Mumbai - 400005, Opp President Hotel",https://www.justdial.com/Mumbai/Thompson-General-Store-Opp-President-Hotel-Cuffe-Parade-Colaba/022P8904653_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Citizen Store Cuffe Parade Cuffe Parade Colaba,0.22 KM,5.0,1 Votes,"Maker Tower, Cuffe Parade-Colaba, Mumbai - 400005, Cuffe Parade",https://www.justdial.com/Mumbai/Citizen-Store-Cuffe-Parade-Cuffe-Parade-Colaba/022PXX22-XX22-110122180151-Q2C4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Maleshwar Kirana Store Opposite Police Stn Colaba Colaba,0.36 KM,4.0,2 Votes,"Cuffe Parade, L.T Vasvani Marg, Colaba, Mumbai - 400005, Opposite Police Stn Colaba",https://www.justdial.com/Mumbai/Maleshwar-Kirana-Store-Opposite-Police-Stn-Colaba-Colaba/022PXX22-XX22-181203235601-P5V1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Devika Communication General Store Cuffe Parade Colaba,0.54 KM,3.5,2 Votes,"550, Dr. Babasaheb Ambedkar Nagar Hutments, Dhobighat, Backbay Depot, Settlement, Cuffe Parade, Baba, Captain Prakash Pethe Marg, Cuffe Parade-Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Devika-Communication-General-Store-Cuffe-Parade-Colaba/022PXX22-XX22-170913141818-G8M5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Sai Krupa General Store Colaba,0.59 KM,3.0,6 Votes,"Bhai Bandal Nagar, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Sai-Krupa-General-Store-Colaba/022PXX22-XX22-180411210451-C2Z9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Saurav General Stores Dobhi Ghat Cuffe Parade Colaba,,,0 Votes,"Shop No 53, Rajak Co Operative Housing Society, New Dhobi Ghat, Cuffe Parade-Colaba, Mumbai - 400005, Dobhi Ghat",https://www.justdial.com/Mumbai/Saurav-General-Stores-Dobhi-Ghat-Cuffe-Parade-Colaba/022PXX22-XX22-110529103728-C2K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Patel General Stores Near Colaba Post Office Colaba,0.33 KM,3.5,15 Votes,"Shop No 20, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office",https://www.justdial.com/Mumbai/Patel-General-Stores-Near-Colaba-Post-Office-Colaba/022PXX22-XX22-120309032402-C1F2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
New Variety General Stores Near Colaba Post Office Colaba,0.58 KM,3.6,8 Votes,"Shop No 22, Hampton Court, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Colaba Post Office",https://www.justdial.com/Mumbai/New-Variety-General-Stores-Near-Colaba-Post-Office-Colaba/022PXX22-XX22-000586420181-X2K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Jai Bharat Stores Colaba Market Colaba,0.94 KM,1.8,2 Votes,"Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Jai-Bharat-Stores-Colaba-Market-Colaba/022PXX22-XX22-120308203243-Y7K1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Royal Dry Fruits General Stores Near Electric House Causeway Colaba,1.31 KM,4.4,11 Votes,"Awabai Mansion,89, Shahid Bhagat Singh Road, Colaba, Mumbai - 400005, Near Electric House, Causeway",https://www.justdial.com/Mumbai/Royal-Dry-Fruits-General-Stores-Near-Electric-House-Causeway-Colaba/022PK063178_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Kohinoor General Stores Behind Strand Cinema Colaba,0.45 KM,4.1,35 Votes,"Grants Building, Arthur Bunder Road, Colaba, Mumbai - 400005, Behind Strand Cinema",https://www.justdial.com/Mumbai/Kohinoor-General-Stores-Behind-Strand-Cinema-Colaba/022PXX22-XX22-090901267903-IAPP_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Shakti General Stores Near Colaba Post Officie Colaba,0.35 KM,4.6,8 Votes,"Usha Sadan, Shop No 9, Block A, Shahid Bhagat Singh Road,Colaba, Colaba, Mumbai - 400005, Near Colaba Post Officie",https://www.justdial.com/Mumbai/Shakti-General-Stores-Near-Colaba-Post-Officie-Colaba/022PXX22-XX22-111011122527-P9D8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Welcome General Stores Colaba Market Colaba,0.98 KM,3.8,5 Votes,"Shop No 5, Plumber House, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Welcome-General-Stores-Colaba-Market-Colaba/022PXX22-XX22-000759465484-K1L7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Star Daily Opposite Colaba Market Colaba,1.26 KM,2.9,4 Votes,"Sanghavi House, Third Pasta Lane, Colaba, Mumbai - 400005, Opposite Colaba Market",https://www.justdial.com/Mumbai/Star-Daily-Opposite-Colaba-Market-Colaba/022PXX22-XX22-160511091424-C6Z4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Shivam Stationery And General Store Navy Nagar Colaba,,3.1,4 Votes,"Shop No 9, Sumitra Market, Colaba, Mumbai - 400005, Navy Nagar",https://www.justdial.com/Mumbai/Shivam-Stationery-And-General-Store-Navy-Nagar-Colaba/022PXX22-XX22-140725151930-M5A5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Kajol General Store Near Back Bay Depot Colaba,,,0 Votes,"New Dhobi Ghat, Rajat Society, Capt Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Back Bay Depot",https://www.justdial.com/Mumbai/Kajol-General-Store-Near-Back-Bay-Depot-Colaba/022PXX22-XX22-170929144244-K2L9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Maa Dhan Laxmi Store Colaba,0.37 KM,,0 Votes,"Shop No. 141, Cuffle Parade, Settlement, Babasaheb Ambedkar Nagar, T.L. Vasvani Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Maa-Dhan-Laxmi-Store-Colaba/022PXX22-XX22-181221172446-M3U3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Ramdav Store,0.4 KM,,0 Votes,"Prakasin Pate, Coff, Parg Coff, Parade Bomday, Captain Prakash Pethe , Machimar Nagar, Cuffe Parade, Marg, Mumbai - 400005",https://www.justdial.com/Mumbai/Ramdav-Store/022PXX22-XX22-181221054148-U1W8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Tapan general store Near bakery Colaba,,,0 Votes,"Riya bldge, Wodehouse Road, Colaba, Mumbai - 400005, Near bakery",https://www.justdial.com/Mumbai/Tapan-general-store-Near-bakery-Colaba/022PXX22-XX22-140715133056-F4D2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Kisan Grain Stores Near Backbe Depo Colaba,0.5 KM,4.0,2 Votes,"New Dhobighat, Cuf Pared, Mumbai, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Backbe Depo",https://www.justdial.com/Mumbai/Kisan-Grain-Stores-Near-Backbe-Depo-Colaba/022PXX22-XX22-181222140047-L8I9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Maharashtra General Stores Near Sasoon Dock Colaba,0.53 KM,,0 Votes,"Daulatram Mansion, Shop No. 4, Rambhau Salgaonkar Marg, Colaba, MUMBAI - 400005, Near Sasoon Dock",https://www.justdial.com/Mumbai/Maharashtra-General-Stores-Near-Sasoon-Dock-Colaba/022PXX22-XX22-170206181718-S7C9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Karishma General Provision Store Colaba,0.54 KM,4.9,14 Votes,"Cen508, Doctor B.A Nagar Punarvasab, Settlement, Babasaheb Ambedkar Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Karishma-General-Provision-Store-Colaba/022PXX22-XX22-180411181344-B8U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Laxmi Stores Colaba,0.54 KM,,0 Votes,"New Ganesh Medical, Settlement, Babasaheb Ambedkar Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Laxmi-Stores-Colaba/022PXX22-XX22-181221065119-E9T6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Mahakaali Stores Colaba,0.55 KM,3.7,3 Votes,"Settlement, Dr Babasaheb Ambedkar Nagar, Babasaheb Ambedkar Nagar, Cuffe Road, Cuffe Roadcaptain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Mahakaali-Stores-Colaba/022PXX22-XX22-181203222422-K5Y6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Balge Colaba,0.59 KM,4.0,8 Votes,"Settlement, Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Balge-Colaba/022PXX22-XX22-181130203158-R2N6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
New Manish Stores,0.62 KM,3.0,4 Votes,"Gali Number 3, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Mumbai - 400005",https://www.justdial.com/Mumbai/New-Manish-Stores/022PXX22-XX22-181203222221-W9A7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Bhagwati Store,0.64 KM,3.5,4 Votes,"Machimar, Machimar Nagar, Cuffe Parade, Captain Prakash Pethe Marg, Mumbai - 400005",https://www.justdial.com/Mumbai/Bhagwati-Store/022PXX22-XX22-181204075008-T7E2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
K G N Near Suladh Sochalya Colaba,0.68 KM,4.3,35 Votes,"Ganesh Muti Nagar 3, Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005, Near Suladh Sochalya",https://www.justdial.com/Mumbai/K-G-N-Near-Suladh-Sochalya-Colaba/022PXX22-XX22-181222025949-C7P8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Sai General Store Near Hanuman Mandir Colaba,0.69 KM,,0 Votes,"Mittal Apartment, Strand Road, Colaba, Mumbai - 400005, Near Hanuman Mandir",https://www.justdial.com/Mumbai/Sai-General-Store-Near-Hanuman-Mandir-Colaba/022PXX22-XX22-140712162000-L3K5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
Ramadav Shop Colaba,0.69 KM,4.0,2 Votes,"Ganesh Murti Nagar, Captain Prakash Pethe Marg, Colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Ramadav-Shop-Colaba/022PXX22-XX22-181203223746-U7Y5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEN1ZmZlIFBhcmFkZSBDb2xhYmE=
