Name,Distance,Rating,Votes,Address,Website
Singer Jewellers Pedder Road,0.12 KM,3.2,8 Votes,"Jewellers Appartment, Shahid Bhagat Singh Nagar, Cumballa Hill, Pedder Road, Mumbai - 400026",https://www.justdial.com/Mumbai/Singer-Jewellers-Pedder-Road/022PXX22-XX22-171223200959-U4U7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Godrej Natures Basket Opposite Mahalaxmi Temple Near Nalli Sarees Warden Road,0.91 KM,4.1,1290 Votes,"Shop No.8, Ground Floor, Tirupati Apartment, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Opposite Mahalaxmi Temple, Near Nalli Sarees",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Opposite-Mahalaxmi-Temple-Near-Nalli-Sarees-Warden-Road/022P8006103_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.35 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Next-to-Amarsons-Opposite-Breach-Candy-Hospital-Breach-Candy/022P651756_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.57 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital",https://www.justdial.com/Mumbai/Diamond-Stores-Opp-ACI-Cumballa-Hospital-Kemps-Corner/022PXX22-XX22-000038290740-E7G8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
New Vijay Store Behind Jas Lok Hospital Pedder Road,,4.0,2 Votes,"Shop No:01, 31D, Bhavisha Darshan Building, Altamount Road, Pedder Road, Mumbai - 400026, Behind Jas Lok Hospital",https://www.justdial.com/Mumbai/New-Vijay-Store-Behind-Jas-Lok-Hospital-Pedder-Road/022PXX22-XX22-150804133930-P7F2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Bhimshi Vershi Company Opp Nalanda Building Pedder Road,0.18 KM,4.2,20 Votes,"63, Mani Mansion, Pedder Road, Mumbai - 400026, Opp Nalanda Building",https://www.justdial.com/Mumbai/Bhimshi-Vershi-Company-Opp-Nalanda-Building-Pedder-Road/022P1224363455R7G4G7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Bharat Stores Next to Jaslok Hospital Pedder Road,0.48 KM,4.3,20 Votes,"19, Shanti Building No 2, Pedder Road, Mumbai - 400026, Next to Jaslok Hospital",https://www.justdial.com/Mumbai/Bharat-Stores-Next-to-Jaslok-Hospital-Pedder-Road/022P8904655_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Nutan Stores Near Jaslok Hospital Breach Candy,0.5 KM,3.9,9 Votes,"Purnima Apartment, Pedder Road, Breach Candy, Mumbai - 400026, Near Jaslok Hospital",https://www.justdial.com/Mumbai/Nutan-Stores-Near-Jaslok-Hospital-Breach-Candy/022P5648648_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Amit Stores Mahalaxmi Breach Candy,0.95 KM,4.1,8 Votes,"28/A,Bachubhai Niwas, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Mahalaxmi",https://www.justdial.com/Mumbai/Amit-Stores-Mahalaxmi-Breach-Candy/022PXX22-XX22-120312225447-A7A5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
Bhaskar Store Near Jaslok Hospital Pedder Road,0.49 KM,5.0,1 Votes,"Sukh Shanti Building, Blg No. 2, Shop No. 5, Pedder Road, Mumbai - 400026, Near Jaslok Hospital",https://www.justdial.com/Mumbai/Bhaskar-Store-Near-Jaslok-Hospital-Pedder-Road/022PXX22-XX22-161128122652-N5E8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEN1bWJhbGxhIEhpbGw=
