Name,Distance,Rating,Votes,Address,Website
Malde General Stores Opposite Petrol Pump Dahisar,0.77 KM,2.7,3 Votes,"Shop No 21, Shri SAI Kripa Nagar, C S Road, Dahisar, Mumbai - 400068, Opposite Petrol Pump",https://www.justdial.com/Mumbai/Malde-General-Stores-Opposite-Petrol-Pump-Dahisar/022PXX22-XX22-120409201605-N2R7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Gogari Anna Bhandar Opposite Bhatladevi Temple Dahisar,0.38 KM,4.0,98 Votes,"Shop No-9/10, Mani Ben Chawl, Station Road, Dahisar, Mumbai - 400068, Opposite Bhatladevi Temple",https://www.justdial.com/Mumbai/Gogari-Anna-Bhandar-Opposite-Bhatladevi-Temple-Dahisar/022P1945836_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Bhavani Medical General Stores Maruti Nagar Ashokvan Near Gokul Anand Hotel Dahisar,1.33 KM,4.2,19 Votes,"Shop No 7 Kesari Nandan BBuilding, Shiv Vallabh Road, Dahisar, Mumbai - 400068, Maruti Nagar, Ashokvan, Near Gokul Anand Hotel",https://www.justdial.com/Mumbai/Bhavani-Medical-General-Stores-Maruti-Nagar-Ashokvan-Near-Gokul-Anand-Hotel-Dahisar/022P1229037087U8A4N1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Jyoti Medico Opp BMC Market Dahisar,0.8 KM,3.9,12 Votes,"Shop No-13 A-2 Anand Nagar, CST Road, Dahisar, Mumbai - 400068, Opp BMC Market",https://www.justdial.com/Mumbai/Jyoti-Medico-Opp-BMC-Market-Dahisar/022PXX22-XX22-121128111512-A8Q1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Krishna Medical General Stores Kandar Pada Dahisar,0.93 KM,3.7,28 Votes,"Shop No 7, Radha Raman Apartment, Waman Rao Bhoir Road, Dahisar, Mumbai - 400068, Kandar Pada",https://www.justdial.com/Mumbai/Krishna-Medical-General-Stores-Kandar-Pada-Dahisar/022PXX22-XX22-120314024221-M3V5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Shri Purnima Super Market Near 298 Last Bus Stop Rawalpada Dahisar East,1.3 KM,4.0,90 Votes,"Shop No 1 & 2, Mandakini Building, Shiv Vallabh Cross Road, Rawalpada-Dahisar East, Mumbai - 400068, Near 298 Last Bus Stop",https://www.justdial.com/Mumbai/Shri-Purnima-Super-Market-Near-298-Last-Bus-Stop-Rawalpada-Dahisar-East/022PXX22-XX22-120410205550-N6Y4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Ankur Stores Opposite Vithal Temple Dahisar,0.44 KM,3.9,7 Votes,"Shop No. 01, Mantri Tower Bldg., L T Road, Dahisar, Mumbai - 400068, Opposite Vithal Temple",https://www.justdial.com/Mumbai/Ankur-Stores-Opposite-Vithal-Temple-Dahisar/022P1227724922Q1F8I3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Real Chemist Medical General Store Near JBCN International School Dahisar,0.47 KM,3.9,20 Votes,"Shop No 1, Shree Blue Diamond Co-op.Hsg.socity Ltd., L M Road, Dahisar, Mumbai - 400068, Near JBCN International School",https://www.justdial.com/Mumbai/Real-Chemist-Medical-General-Store-Near-JBCN-International-School-Dahisar/022PXX22-XX22-120314212821-T2D3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Shree Krishna Super Market Near Raj Medical Dahisar,0.69 KM,4.0,69 Votes,"Shop No 125,M.H.B Colony, Society No 22, S.N Dubey Road, Chunabhatti, Dahisar, Mumbai - 400068, Near Raj Medical",https://www.justdial.com/Mumbai/Shree-Krishna-Super-Market-Near-Raj-Medical-Dahisar/022PXX22-XX22-121206163411-R6T1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
Yash Supermarket Opposite Garden Dahisar,1.22 KM,4.0,10 Votes,"Anand Nagar Complex Building Udhish Thir Shop 11/10, 1750 Shivaji Road, Dahisar, Mumbai - 400068, Opposite Garden",https://www.justdial.com/Mumbai/Yash-Supermarket-Opposite-Garden-Dahisar/022PXX22-XX22-090619203382-IAPP_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERhaGlzYXI=
