Name,Distance,Rating,Votes,Address,Website
Shah Medical General Store Opposite J J Hospital Gate No 6 Umerkhadi Dongri,0.4 KM,4.2,23 Votes,"109/5, Bandukwala Building, R B Bhat Marg, Dongri, Mumbai - 400009, Opposite J J Hospital Gate No 6, Umerkhadi",https://www.justdial.com/Mumbai/Shah-Medical-General-Store-Opposite-J-J-Hospital-Gate-No-6-Umerkhadi-Dongri/022PXX22-XX22-140606103320-K2W2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Anmol Store Dongri,0.07 KM,4.5,5 Votes,"Kanchwala Biulding, Shop No. 5, Naoroji Hill Road, Dongri, Mumbai - 400009",https://www.justdial.com/Mumbai/Anmol-Store-Dongri/022PXX22-XX22-181221074322-S6W3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Metro Medical General Stores Opposite J J Hospital Gate No 6 Dongri,0.41 KM,4.0,14 Votes,"Shop No 4 A, Ramchandra Bhatt Marg, Dongri, Mumbai - 400009, Opposite J J Hospital Gate No 6",https://www.justdial.com/Mumbai/Metro-Medical-General-Stores-Opposite-J-J-Hospital-Gate-No-6-Dongri/022PXX22-XX22-130401123805-J8W4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Umama Medical General Store Near J J Hospital Dongri,0.41 KM,4.5,45 Votes,"Shop No 2 A, 115 Bandukwala Building, Ramchandra Bhatt Marg, Dongri, Mumbai - 400009, Near J J Hospital",https://www.justdial.com/Mumbai/Umama-Medical-General-Store-Near-J-J-Hospital-Dongri/022PXX22-XX22-130401124615-T1R1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
A Desai Beedi Shop Provision Stores Ajwa sweet Dongri,0.28 KM,,0 Votes,"172 Svp road, S.V.P. Road, Dongri, Mumbai - 400009, ajwa sweet",https://www.justdial.com/Mumbai/A-Desai-Beedi-Shop-Provision-Stores-Ajwa-sweet-Dongri/022PXX22-XX22-140604192802-K8Z9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Bharat General Stores Kidz Kraft Cambridge School Dongri,0.54 KM,5.0,1 Votes,"Dr Maheshwari Road, Dongri, Mumbai - 400009, Kidz Kraft Cambridge School",https://www.justdial.com/Mumbai/Bharat-General-Stores-Kidz-Kraft-Cambridge-School-Dongri/022PXX22-XX22-120302231747-D1C9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Rahat Medical General Stores Next to Metro Opticians Dongri,0.58 KM,4.3,6 Votes,"Shop No 17, Haroon Manzil, 155 Imamwada Road, Dongri, Mumbai - 400009, Next to Metro Opticians",https://www.justdial.com/Mumbai/Rahat-Medical-General-Stores-Next-to-Metro-Opticians-Dongri/022PXX22-XX22-130325142831-R1N8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Kuldip Vilash Jhadav General Store Dongri,0.04 KM,,0 Votes,"2, Umerkhadi, Navroji Hill Road, Dongri, Mumbai - 400009",https://www.justdial.com/Mumbai/Kuldip-Vilash-Jhadav-General-Store-Dongri/022PXX22-XX22-181222083245-X2K9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
A One General Stores Dongri Sandhurst Road,0.05 KM,,0 Votes,"Shop No 8, Baitul Habib Building, Navroji Hill Road, Sandhurst Road, Mumbai - 400009, Dongri",https://www.justdial.com/Mumbai/A-One-General-Stores-Dongri-Sandhurst-Road/022PXX22-XX22-190427175104-K6S2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
Kishori General Store And Xerox Opposite St Joseph High School Dongri,0.07 KM,,0 Votes,"Shop No. 6, Nowroji Hill Road, Dongri, Mumbai - 400009, Opposite St. Joseph High School",https://www.justdial.com/Mumbai/Kishori-General-Store-And-Xerox-Opposite-St-Joseph-High-School-Dongri/022PXX22-XX22-130306122412-L8B4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIERvbmdyaQ==
