Name,Distance,Rating,Votes,Address,Website
Shreeji Lad Stores Near Wilson School Khetwadi girgaon,0.62 KM,4.8,4 Votes,"Shop No 112, Laxmi Building, N D Road, Khetwadi-girgaon, Mumbai - 400004, Near Wilson School",https://www.justdial.com/Mumbai/Shreeji-Lad-Stores-Near-Wilson-School-Khetwadi-girgaon/022PXX22-XX22-121231171004-J8G9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Vijay Stores Kelewadi Corner Girgaon,0.06 KM,4.0,4 Votes,"Shop No 212-A, Bapu Balwant Building, J S S Road, Girgaon, Mumbai - 400004, Kelewadi Corner",https://www.justdial.com/Mumbai/Vijay-Stores-Kelewadi-Corner-Girgaon/022PXX22-XX22-140120110257-R7D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Sai Shraddha Medical General Stores Opposite Jain Clinic Girgaon,0.16 KM,4.5,4 Votes,"Shop No 2, Lav Building, S V Sovani Path, Girgaon, Mumbai - 400004, Opposite Jain Clinic",https://www.justdial.com/Mumbai/Sai-Shraddha-Medical-General-Stores-Opposite-Jain-Clinic-Girgaon/022PXX22-XX22-150630193504-G3K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Laxmi Chand Khimji Girgaon,0.2 KM,5.0,1 Votes,"Mangal, Swami Samarth Nagar, Urankawadi, Wadi, Khadilkar Road, Girgaon, Mumbai - 400004",https://www.justdial.com/Mumbai/Laxmi-Chand-Khimji-Girgaon/022PXX22-XX22-190205024538-E4L3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Shree Sadguru medical General Stores Thakurdwar Corner Girgaon,0.23 KM,4.5,6 Votes,"Plot No. 291, Shop No. 2, Saraswati Niwas, J. S. S Road, Girgaon, Mumbai - 400004, Thakurdwar Corner",https://www.justdial.com/Mumbai/Shree-Sadguru-medical-General-Stores-Thakurdwar-Corner-Girgaon/022PXX22-XX22-130208130434-N8K9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Bhoomi Medico General Store Gaiwadi Girgaon,0.26 KM,3.4,7 Votes,"79/83, Gandhi Niwas No 2, Shop No. 5, Khadilkar Road, Girgaon, Mumbai - 400004, Gaiwadi",https://www.justdial.com/Mumbai/Bhoomi-Medico-General-Store-Gaiwadi-Girgaon/022PXX22-XX22-140118142148-X5V7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Savla General Store Near post office Girgaon,0.42 KM,4.4,4 Votes,"Shop No.-113, v.p.road, Girgaon, Mumbai - 400004, near post office",https://www.justdial.com/Mumbai/Savla-General-Store-Near-post-office-Girgaon/022PXX22-XX22-140303180145-Q8T4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Ganesh General Stores Charni Road,0.45 KM,,0 Votes,"91/93, Randeep House, East, Bhatwadi, Girgaon, Jagannath Shankar Seth Road, Charni Road, Mumbai - 400004",https://www.justdial.com/Mumbai/Ganesh-General-Stores-Charni-Road/022PXX22-XX22-180411170356-V8G4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
Morarji Kunverji Company Near Prathna Samaj Vegetable Market Girgaon,0.52 KM,4.0,1 Votes,"Shop No 1 birala mansion, Dr D D Sathe Marg, Girgaon, Mumbai - 400004, Near Prathna Samaj Vegetable Market",https://www.justdial.com/Mumbai/Morarji-Kunverji-Company-Near-Prathna-Samaj-Vegetable-Market-Girgaon/022PXX22-XX22-121212133523-C6H5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
M R Bade Shop Opposite Gazwadi Girgaon,0.09 KM,,0 Votes,"Mangal, East, Wadi, Khadilkar Road, Khadilkar Roadcharni Road, Girgaon, Mumbai - 400004, Opposite Gazwadi",https://www.justdial.com/Mumbai/M-R-Bade-Shop-Opposite-Gazwadi-Girgaon/022PXX22-XX22-181221083051-T9Z6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEdpcmdhb24=
