Name,Distance,Rating,Votes,Address,Website
Top Choice Super Market Goregaon West,1.23 KM,3.5,2 Votes,"Shop No14/15/16,Shepherd Royal, Near Metro Station Laxmi Nagar Link Road Goregaon West, Goregaon West, Mumbai - 400090",https://www.justdial.com/Mumbai/Top-Choice-Super-Market-Goregaon-West/022PXX22-XX22-200908104339-T1Q7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Deepak Grain Stores Opp to BMC Market Goregaon West,0.31 KM,5.0,3 Votes,"Shop No 10, SAMARTH Complex, Jawahar Nagar Road No 1,, Goregaon West, Mumbai - 400062, Opp to BMC Market",https://www.justdial.com/Mumbai/Deepak-Grain-Stores-Opp-to-BMC-Market-Goregaon-West/022PXX22-XX22-161026153806-R7Z8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Big Bazaar The Hub Mall Near Western Express Highway Goregaon East,1.2 KM,3.9,82 Votes,"C/O Nirlon Compound, Goregaon East, Mumbai - 400063, Near Western Express Highway",https://www.justdial.com/Mumbai/Big-Bazaar-The-Hub-Mall-Near-Western-Express-Highway-Goregaon-East/022PXX22-XX22-180219062223-G4L8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Chheda Sales Opposite Kedia Hospital Off MG Road Goregaon West,0.53 KM,4.2,285 Votes,"Shop No 2,3,4 Kiran Industrial Estate, Goregaon West, Mumbai - 400062, Opposite Kedia Hospital, Off MG Road",https://www.justdial.com/Mumbai/Chheda-Sales-Opposite-Kedia-Hospital-Off-MG-Road-Goregaon-West/022P1232729957D5Y5I7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Central Store Near Anupam Stationary Goregaon East,0.85 KM,4.1,68 Votes,"Accord Classic Shop No.7, Station Road, Goregaon East, Mumbai - 400063, Near Anupam Stationary",https://www.justdial.com/Mumbai/Central-Store-Near-Anupam-Stationary-Goregaon-East/022PXX22-XX22-120222193426-X6T5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Shanti Dal Mill Opposite Vardan Jewellers Goregaon West,0.71 KM,4.3,131 Votes,"1,2 Old Bora House,, Grampanchyayat Road,, Goregaon West, Mumbai - 400062, Opposite Vardan Jewellers,",https://www.justdial.com/Mumbai/Shanti-Dal-Mill-Opposite-Vardan-Jewellers-Goregaon-West/022P6105009_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Sunday Express Liberty Sunday Retail Pvt Ltd Churi Wadi Goregaon East,1.21 KM,5.0,1 Votes,"Ground Floor,Romell Umiya Grandeur Building, Vishveshwar Nagar Road, Goregaon East, Mumbai - 400063, Churi Wadi",https://www.justdial.com/Mumbai/Sunday-Express-Liberty-Sunday-Retail-Pvt-Ltd-Churi-Wadi-Goregaon-East/022PXX22-XX22-200609123029-G1V9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Nutan Dal Mill Opposite Hotel Shabri Goregaon West,0.62 KM,3.9,224 Votes,"Shop No 1 & 2, Ganesh Bhavan, M G Road, Goregaon West, Mumbai - 400062, Opposite Hotel Shabri",https://www.justdial.com/Mumbai/Nutan-Dal-Mill-Opposite-Hotel-Shabri-Goregaon-West/022P209550_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Satyam Stores Near Bangur Nagar Chowki Bangur Nagar goregaon West,1.51 KM,4.2,49 Votes,"Shop No 60,Bhanumati Society, Bangur Nagar-goregaon West, Mumbai - 400104, Near Bangur Nagar Chowki",https://www.justdial.com/Mumbai/Satyam-Stores-Near-Bangur-Nagar-Chowki-Bangur-Nagar-goregaon-West/022P1901785_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
Mangalore Stores Goregaon West,0.04 KM,4.3,96 Votes,"20, Jawahar Nagar, Swami Vivekanand Marg, Goregaon West, Mumbai - 400104",https://www.justdial.com/Mumbai/Mangalore-Stores-Goregaon-West/022PXX22-XX22-181126202441-R3B5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvcmVnYW9u
