Name,Distance,Rating,Votes,Address,Website
Gujrals Mega Mart Near Tobotil Near State Bank Of India Govandi East,0.57 KM,3.8,13 Votes,"Shop No.18, Govandi Street, Govandi East, Mumbai - 400088, Near Tobotil, Near State Bank Of India",https://www.justdial.com/Mumbai/Gujrals-Mega-Mart-Near-Tobotil-Near-State-Bank-Of-India-Govandi-East/022PXX22-XX22-131227141916-E7I3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
S Mart Govandi East,1.05 KM,4.2,30 Votes,"Patil Wadi, Bs Devashi Marg, Govandi East, Mumbai - 400088",https://www.justdial.com/Mumbai/S-Mart-Govandi-East/022PXX22-XX22-181207152358-W5H6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
Mcha Kirana Shop Govandi East Govandi West,0.25 KM,4.5,4 Votes,"1155, Gautam Naga, New Gautam Nagar, Gautam Naga, New Gautam Nagar, Sonapur Road, Govandi West, Mumbai - 400043, Govandi East",https://www.justdial.com/Mumbai/Mcha-Kirana-Shop-Govandi-East-Govandi-West/022PXX22-XX22-191015230011-M1G5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
The Tree House Dionar Meet Mandi Tata Nagar Govandi West,0.39 KM,,0 Votes,"364 part 1/2, Tata Nagar-Govandi West, Mumbai - 400043, Dionar Meet Mandi",https://www.justdial.com/Mumbai/The-Tree-House-Dionar-Meet-Mandi-Tata-Nagar-Govandi-West/022PXX22-XX22-151216150009-G8X8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
The Tree House Dionar Meet Mandi Tata Nagar Govandi West,0.39 KM,,0 Votes,"Shop no 365/1, Tata Nagar-Govandi West, Mumbai - 400043, Dionar Meet Mandi",https://www.justdial.com/Mumbai/The-Tree-House-Dionar-Meet-Mandi-Tata-Nagar-Govandi-West/022PXX22-XX22-151216150810-N2B1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
Firdoos Supari Govandi West,0.43 KM,2.8,11 Votes,"1155, Gautam Naga, New Gautam Nagar, Gautam Naga, New Gautam Nagar, Sonapur Road, Govandi West, Mumbai - 400043",https://www.justdial.com/Mumbai/Firdoos-Supari-Govandi-West/022PXX22-XX22-180901081820-H1F1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
New Kismat Kirana Store Govandi East,0.44 KM,5.0,1 Votes,"Raman Raza Chowk, Baiganwadi, Govandi East, Mumbai - 400088",https://www.justdial.com/Mumbai/New-Kismat-Kirana-Store-Govandi-East/022PXX22-XX22-180529203625-Z2V2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
Sanda Mata Oil Depot Deonar Gate No1 Govandi West,0.46 KM,,0 Votes,"Shop No 12, Govandi West, Mumbai - 400043, Deonar Gate No1",https://www.justdial.com/Mumbai/Sanda-Mata-Oil-Depot-Deonar-Gate-No1-Govandi-West/022PXX22-XX22-160112145122-B8I1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
Bhola Nath Lallan Gupta Near Ali Xerox Govandi West,0.48 KM,1.0,1 Votes,"New Gautam Nagar Plot No.1 Banana Shop, Govandi West, Mumbai - 400043, Near Ali Xerox",https://www.justdial.com/Mumbai/Bhola-Nath-Lallan-Gupta-Near-Ali-Xerox-Govandi-West/022PXX22-XX22-181222100000-M4Y3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
Suresh Provision Store Near Dainik Chemist Govandi East,0.54 KM,,0 Votes,"Ramji Umarshi Building, Govandi Station Road, Govandi East, Mumbai - 400088, Near Dainik Chemist",https://www.justdial.com/Mumbai/Suresh-Provision-Store-Near-Dainik-Chemist-Govandi-East/022PXX22-XX22-130912143426-C6K2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEdvdmFuZGk=
